,https://roic.ai/company/HAL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,244600000,249600000,294500000,360000000,452000000,261600000,244100000,267900000,309500000,587000000,599000000,503000000,531000000,505000000,518000000,509000000,504000000,527000000,583000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1058000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-32500000,-25300000,-23600000,-67000000,-17500000,86000000,47900000,-23800000,9400000,-293400000,188000000,-6000000,26000000,-151000000,-86000000,-176000000,-235000000,682000000,-111000000,254000000,274000000,124000000,- -,165000000,-132000000,-454000000,-224000000,-1501000000,1212000000,-267000000,-396000000,-444000000,-486000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298000000,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,43400000,- -,- -,- -,- -,2553200000,-1659400000,-500000,305400000,880700000,249600000,-587000000,923000000,-377000000,-911000000,1521000000,1992000000,1566000000,-1294000000,-532000000,1119000000,380000000,1327000000,878000000,344000000,507000000,7065000000,-8596000000,-1739000000,434000000,-15000000,-1280000000,285000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,700000,-92700000,-4800000,103200000,1900000,92000000,17700000,-46000000,-14100000,-66300000,65000000,8000000,-91000000,62000000,7000000,-22000000,-152000000,-308000000,-218000000,-368000000,232000000,-331000000,-564000000,-611000000,-107000000,-247000000,153000000,552000000,-29000000,-681000000,-202000000,340000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161000000,-118000000,330000000,649000000,200000000,327000000,489000000,-603000000,-219000000,753000000,483000000,-595000000,-934000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,2553200000,893800000,893300000,1198700000,2079400000,2329000000,1742000000,2665000000,2288000000,1377000000,2898000000,4890000000,6456000000,5162000000,4630000000,5749000000,6129000000,7456000000,8334000000,8678000000,9185000000,16250000000,7654000000,5915000000,6349000000,6334000000,5054000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,22900000,-275000000,-11300000,225900000,-30400000,-2635200000,1831100000,-92000000,-530500000,-705500000,-1241600000,358000000,3000000,2583000000,524000000,53000000,-3918000000,-1466000000,49000000,1414000000,-132000000,-127000000,-482000000,-24000000,2110000000,211000000,-3264000000,14157000000,3458000000,1334000000,3987000000,5492000000,655000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,412100000,146700000,286200000,381600000,243100000,443400000,632000000,452000000,548200000,454100000,233000000,769000000,2292000000,1562000000,-775000000,928000000,701000000,3657000000,2726000000,2674000000,2406000000,2212000000,3684000000,3654000000,4447000000,4062000000,2906000000,-1703000000,2468000000,3157000000,2445000000,1881000000,1911000000
84,CAPEX,- -,- -,- -,- -,-244800000,-338300000,-425900000,-315900000,-246900000,-245700000,-290100000,-395700000,-577100000,-954700000,-606000000,-578000000,-797000000,-764000000,-515000000,-575000000,-651000000,-891000000,-1583000000,-2476000000,-1864000000,-2069000000,-2953000000,-3566000000,-2934000000,-3283000000,-2184000000,-798000000,-1373000000,-2026000000,-1530000000,-728000000,-799000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-108000000,-27000000,-563000000,-652000000,-55000000,-523000000,-880000000,-214000000,-94000000,-231000000,-39000000,-31000000,-628000000,-187000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-135100000,-102600000,-375600000,-79100000,-192500000,-164800000,- -,- -,- -,- -,- -,- -,- -,-187000000,-18000000,- -,- -,-20000000,-332000000,-40000000,-1669000000,-1282000000,-501000000,-506000000,-329000000,-183000000,-109000000,- -,- -,-423000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,76100000,85200000,260200000,290600000,175500000,148600000,- -,- -,- -,- -,- -,- -,- -,62000000,57000000,111000000,907000000,10000000,56000000,388000000,300000000,1925000000,1001000000,258000000,356000000,444000000,106000000,- -,- -,527000000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,70100000,43400000,-65700000,-34100000,-78600000,456200000,51800000,-13700000,-109600000,108600000,447000000,167000000,-61000000,416000000,280000000,238000000,362000000,502000000,-1226000000,924000000,203000000,194000000,143000000,340000000,131000000,115000000,34000000,119000000,74000000,116000000,85000000,-486000000,-534000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-233700000,-312300000,-607000000,-138500000,-342500000,194300000,-238300000,-409400000,-686700000,-846100000,-159000000,-411000000,-858000000,-473000000,-196000000,-226000000,510000000,-426000000,-3648000000,-1856000000,-3085000000,-1755000000,-3190000000,-3688000000,-2870000000,-3138000000,-2192000000,-710000000,-1927000000,-1993000000,-1445000000,-486000000,-534000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2048000000,-31000000,-790000000,- -,- -,- -,- -,- -,-3171000000,-1641000000,-445000000,-13000000,-1654000000,-700000000
91,Common Stock Issued,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,25600000,49500000,49100000,49000000,105000000,27000000,- -,- -,63000000,342000000,667000000,110000000,- -,- -,- -,- -,- -,- -,- -,- -,186000000,158000000,195000000,118000000,87000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-4900000,-100000,-600000,-500000,-1000000,- -,- -,-7100000,-2200000,-19900000,-10000000,-769000000,-34000000,-4000000,- -,-7000000,-12000000,-1339000000,-1374000000,-507000000,-17000000,-141000000,-43000000,-33000000,-4356000000,-800000000,- -,- -,- -,-400000000,-100000000,-100000000,- -
93,Dividends Paid,- -,- -,- -,- -,-106500000,-106700000,-106800000,-107300000,-112200000,-114000000,-114300000,-117500000,-127300000,-254200000,-221000000,-221000000,-215000000,-219000000,-219000000,-221000000,-254000000,-306000000,-314000000,-319000000,-324000000,-327000000,-330000000,-333000000,-465000000,-533000000,-614000000,-620000000,-626000000,-630000000,-630000000,-278000000,-161000000
94,Other Financing Activites,- -,- -,- -,- -,-7200000,-2700000,436700000,-28000000,32200000,-138600000,-477000000,33200000,231600000,478700000,366000000,301000000,-1133000000,-25000000,1855000000,448000000,-796000000,-302000000,8000000,1351000000,2042000000,144000000,1206000000,194000000,3067000000,303000000,7695000000,65000000,-52000000,-139000000,-70000000,938000000,23000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-118600000,-109400000,329300000,-135800000,-81000000,-252600000,-591300000,-65800000,151600000,253700000,184000000,-584000000,-1355000000,-248000000,1636000000,283000000,-720000000,-1280000000,-1570000000,-1523000000,1670000000,-1114000000,833000000,-172000000,-1754000000,-1030000000,7081000000,-3540000000,-2161000000,-1419000000,-695000000,-1007000000,-838000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-2600000,-3400000,-300000,-5600000,-4100000,-5800000,-2800000,-2800000,-5400000,-5400000,5000000,-9000000,-20000000,-24000000,43000000,8000000,-17000000,37000000,-27000000,-18000000,-33000000,-27000000,-27000000,-8000000,49000000,41000000,-9000000,-115000000,-52000000,-74000000,-45000000,-93000000,-58000000
97,Net Change In Cash,- -,- -,- -,- -,-118600000,-109400000,329300000,-135800000,-81000000,- -,- -,- -,- -,- -,263000000,-235000000,59000000,817000000,708000000,993000000,474000000,1988000000,-2532000000,-723000000,958000000,-684000000,1300000000,-214000000,-128000000,-65000000,7786000000,-6068000000,-1672000000,-329000000,260000000,295000000,481000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,466000000,231000000,290000000,1107000000,1815000000,2808000000,2391000000,4379000000,1847000000,1124000000,2082000000,1398000000,2698000000,2484000000,2356000000,2291000000,10077000000,4009000000,2337000000,2008000000,2268000000,2563000000,3044000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,344600000,401800000,123400000,131600000,233300000,48800000,375300000,239600000,213600000,346300000,203000000,466000000,231000000,290000000,1107000000,1815000000,1917000000,2391000000,4379000000,1847000000,1124000000,2082000000,1398000000,2698000000,2484000000,2356000000,2291000000,10077000000,4009000000,2337000000,2008000000,2268000000,2563000000
100,Free Cash Flow,- -,- -,- -,- -,167300000,-191600000,-139700000,65700000,-3800000,197700000,341900000,56300000,-28900000,-500600000,-373000000,191000000,1495000000,798000000,-1290000000,353000000,50000000,2766000000,1143000000,198000000,542000000,143000000,731000000,88000000,1513000000,779000000,722000000,-2501000000,1095000000,1131000000,915000000,1153000000,1112000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/45012/000004501295000011/0000045012-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/45012/000004501296000006/0000045012-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/45012/000004501297000011/0000045012-97-000011-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/45012/000004501201000009/0000045012-01-000009-index.html,https://www.sec.gov/Archives/edgar/data/45012/000004501202000011/0000045012-02-000011-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/45012/000004501205000055/0000045012-05-000055-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501206000124/0000045012-06-000124-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501207000072/0000045012-07-000072-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501208000122/0000045012-08-000122-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501209000098/0000045012-09-000098-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501210000085/0000045012-10-000085-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501211000087/0000045012-11-000087-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501212000075/0000045012-12-000075-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501213000086/0000045012-13-000086-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501214000069/0000045012-14-000069-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501215000040/0000045012-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501216000272/0000045012-16-000272-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501217000047/0000045012-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501218000059/0000045012-18-000059-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501219000044/0000045012-19-000044-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501220000031/0000045012-20-000031-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501221000009/0000045012-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/45012/000004501222000013/0000045012-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
