,https://roic.ai/company/DD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2534000000,-915000000,-884000000,-84000000,-1539000000,-2589000000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-267000000,-220000000,200000000,195000000,207000000,-171000000,-369000000,123000000,56000000,52000000,79000000,-489000000,34000000,223000000,95000000,-931000000,-240000000,-758000000,-712000000,812000000,63000000,-750000000,-702000000,-871000000,130000000,224000000,780000000,610000000,-2218000000,-1490000000,387000000,570000000,-537000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1062000000,304000000,495000000,376000000,261000000,-408000000,-79000000,-681000000,458000000,2631000000,201000000,-1049000000,177000000,317000000
81,Other Working Capital,- -,- -,- -,- -,856000000,2265000000,1584000000,1802000000,2001000000,2075000000,4953000000,3826000000,1300000000,1198000000,2552000000,1387000000,2183000000,2825000000,3468000000,5384000000,6741000000,6608000000,6209000000,2952000000,6454000000,9885000000,9788000000,12191000000,13006000000,12674000000,13260000000,11055000000,23765000000,24888000000,1653000000,6178000000,25000000
82,Other Non-Cash Items,- -,- -,- -,- -,-110000000,-1168000000,1190000000,972000000,-523000000,64000000,-3318000000,1015000000,2934000000,448000000,-1148000000,-574000000,-46000000,290000000,-118000000,-4386000000,-4217000000,-1615000000,-688000000,5413000000,-4250000000,-4929000000,-1650000000,-1743000000,-573000000,-151000000,-3581000000,1762000000,-7361000000,-5720000000,21719000000,119000000,-4871000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,3292000000,3090000000,2739000000,1893000000,1896000000,2635000000,3341000000,3399000000,3653000000,2946000000,2992000000,1214000000,1789000000,2108000000,3780000000,2670000000,4474000000,4154000000,4484000000,4711000000,2075000000,4102000000,3879000000,4075000000,7823000000,6502000000,7516000000,5478000000,8695000000,4731000000,1409000000,4095000000,2281000000
84,CAPEX,- -,- -,- -,- -,-1695000000,-2123000000,-1921000000,-1608000000,-1414000000,-1183000000,-1417000000,-1344000000,-2890000000,-1546000000,-1853000000,-1349000000,-1587000000,-1623000000,-1100000000,-1333000000,-1597000000,-1983000000,-2105000000,-2339000000,-2123000000,-2175000000,-2830000000,-2614000000,-2302000000,-3572000000,-3826000000,-4104000000,-3691000000,-3971000000,-2677000000,-1264000000,-3237000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2301000000,-1000000,-10000000,-149000000,- -,296000000,-143000000,-325000000,-13780000000,-114000000,48000000,-324000000,-92000000,-267000000,725000000,52000000,3315000000,-22000000,20000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-178000000,-135000000,-420000000,-127000000,-237000000,-1171000000,-2260000000,-2289000000,-2904000000,-1722000000,-4136000000,-2957000000,-2561000000,-1799000000,-1732000000,-1827000000,-1400000000,-1619000000,-2897000000,-1191000000,-580000000,-946000000,-1263000000,-509000000,-462000000,-643000000,-1246000000,-577000000,-1690000000,-2787000000,-197000000,-1000000,-2001000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,959000000,1179000000,1751000000,2160000000,2614000000,1670000000,3296000000,4441000000,3330000000,1688000000,1500000000,1661000000,1379000000,1383000000,1983000000,800000000,684000000,1057000000,967000000,553000000,639000000,767000000,640000000,733000000,4101000000,3402000000,242000000,1000000,2001000000
88,Other Investing Activites,- -,- -,- -,- -,-2459000000,-143000000,-364000000,-425000000,70000000,-20000000,4804000000,-726000000,-103000000,503000000,53000000,-595000000,445000000,109000000,-334000000,995000000,522000000,16000000,304000000,-1958000000,-378000000,183000000,-1603000000,-2407000000,-1554000000,-2962000000,-1346000000,-3387000000,-1331000000,-2921000000,-2173000000,-132000000,-55000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-4332000000,-2401000000,-2705000000,-2160000000,-622000000,-1195000000,2878000000,-2199000000,-3283000000,-1095000000,-2640000000,-460000000,-2674000000,-1626000000,-1676000000,-653000000,-1096000000,-1907000000,-2858000000,-2737000000,-14767000000,135000000,-1994000000,-2687000000,-1469000000,-3105000000,-1350000000,-3479000000,4274000000,-2462000000,-2313000000,-202000000,-2401000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-760000000,-14434000000,-2755000000,-6181000000,-4104000000,-4272000000,-747000000,-1114000000,-588000000,-663000000,-9009000000,-6900000000,-2031000000,-5000000000
91,Common Stock Issued,- -,- -,- -,- -,213000000,64000000,30000000,82000000,82000000,110000000,158000000,255000000,192000000,142000000,1116000000,118000000,146000000,138000000,303000000,706000000,398000000,223000000,379000000,72000000,1521000000,290000000,334000000,295000000,386000000,948000000,508000000,398000000,519000000,197000000,85000000,57000000,115000000
92,Common Stock Repurchased,- -,- -,- -,- -,-525000000,-49000000,-10000000,-10000000,-17000000,-38000000,-2115000000,-1243000000,-1655000000,-742000000,-531000000,-3000000,-5000000,-6000000,-6000000,-15000000,-68000000,-739000000,-1462000000,-898000000,-5000000,-14000000,-19000000,- -,-307000000,-4193000000,-1166000000,-916000000,-1000000000,-4421000000,-2329000000,-232000000,-2143000000
93,Dividends Paid,- -,- -,- -,- -,-578000000,-711000000,-712000000,-710000000,-719000000,-723000000,-766000000,-749000000,-758000000,-786000000,-771000000,-783000000,-1063000000,-1217000000,-1229000000,-1252000000,-1287000000,-1404000000,-1512000000,-1608000000,-1030000000,-1014000000,-1258000000,-2050000000,-1479000000,-2020000000,-2253000000,-2462000000,-3394000000,-3491000000,-1611000000,-882000000,-630000000
94,Other Financing Activites,- -,- -,- -,- -,1807000000,88000000,678000000,1042000000,-586000000,-626000000,-1233000000,-393000000,201000000,-570000000,226000000,-368000000,1753000000,1872000000,-293000000,-836000000,-1551000000,-1382000000,-133000000,2216000000,26607000000,3315000000,3762000000,3329000000,941000000,2429000000,984000000,-324000000,-1985000000,14806000000,-795000000,6326000000,1151000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,917000000,-608000000,-14000000,404000000,-1240000000,-1277000000,-3956000000,-2130000000,-2020000000,-1956000000,40000000,-1036000000,831000000,787000000,-1225000000,-1397000000,-2508000000,-3302000000,-2728000000,-978000000,12659000000,-178000000,-3362000000,-2530000000,-4731000000,-3583000000,-3041000000,-3892000000,-6523000000,-1918000000,-11550000000,3238000000,-6507000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,15000000,6000000,12000000,2000000,-2000000,-1000000,7000000,-6000000,-18000000,-7000000,-9000000,-9000000,-4000000,-5000000,29000000,96000000,-172000000,6000000,81000000,68000000,79000000,134000000,-118000000,16000000,-1000000,-100000000,-202000000,-77000000,297000000,-344000000,9000000,67000000,-72000000
97,Net Change In Cash,- -,- -,- -,- -,917000000,-608000000,-14000000,404000000,-1240000000,-1277000000,-3956000000,-2130000000,-2020000000,-1956000000,383000000,-291000000,-58000000,1264000000,908000000,716000000,698000000,-1049000000,-1021000000,1064000000,46000000,4193000000,-1595000000,-1126000000,1622000000,-286000000,2923000000,-1970000000,6831000000,-533000000,-12445000000,7198000000,-6699000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,506000000,215000000,220000000,1484000000,2392000000,3108000000,3806000000,2757000000,1736000000,2800000000,2846000000,7039000000,5444000000,4318000000,5940000000,5654000000,8577000000,6607000000,13438000000,13482000000,1577000000,8775000000,2076000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,225000000,117000000,204000000,236000000,375000000,407000000,569000000,2839000000,1903000000,235000000,123000000,506000000,278000000,220000000,1484000000,2392000000,3108000000,3806000000,2757000000,1736000000,2800000000,2846000000,7039000000,5444000000,4318000000,5940000000,5654000000,8577000000,6607000000,14015000000,14022000000,1577000000,8775000000
100,Free Cash Flow,- -,- -,- -,- -,1597000000,967000000,818000000,285000000,482000000,1452000000,1924000000,2055000000,763000000,1400000000,1139000000,-135000000,202000000,485000000,2680000000,1337000000,2877000000,2171000000,2379000000,2372000000,-48000000,1927000000,1049000000,1461000000,5521000000,2930000000,3690000000,1374000000,5004000000,760000000,-1268000000,2831000000,-956000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000009/0001666700-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1666700/000166670019000006/0001666700-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1666700/000166670020000006/0001666700-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1666700/000166670021000005/0001666700-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1666700/000166670022000009/0001666700-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
