,https://roic.ai/company/KEX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,8400000,2900000,600000,1200000,-2600000,1195000,5445000,6472000,-3806000,-13994000,2683000,5017000,-528000,2131000,-7548000,15842000,41383000,11276000,11742000,-22888000,-25929000,19262000,21492000,-10484000,23088000,44645000,-81808000,-1739000,20758000,22622000,-57405000,-39795000,15951000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,223568000,35678000,40194000,40194000,46418000,31258000,21429000,16190000,28223000,32911000,35260000,46455000,82725000,75923000,106445000,162993000,265656000,170529000,241236000,198017000,209127000,278859000,288217000,476776000,488707000,403464000,581939000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,9000000,-3600000,-4400000,57200000,61700000,-169910000,220236000,-5628000,10915000,-3303000,35321000,10621000,9338000,-10549000,-7088000,2238000,4733000,-45461000,36638000,-42200000,43428000,-103401000,28063000,-186363000,112076000,-113086000,-41210000,-614000,-106446000,-22341000,175116000,279205000,367570000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,15500000,29000000,26500000,38400000,61600000,38372000,81679000,64068000,63500000,35446000,72369000,83303000,96940000,72554000,112230000,126751000,141982000,150364000,235746000,245947000,319885000,245246000,311995000,325730000,601032000,438909000,521305000,414038000,353378000,346999000,511813000,444940000,321576000
84,CAPEX,- -,- -,- -,- -,-57400000,-500000,-36300000,-109000000,-64000000,-109026000,-49504000,-37158000,-24506000,-27445000,-12719000,-47683000,-59159000,-47709000,-72356000,-93604000,-122283000,-139129000,-164083000,-173019000,-192660000,-136841000,-226238000,-312167000,-253227000,-355144000,-345475000,-231066000,-177222000,-301861000,-248164000,-148185000,-98015000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39989000,- -,-7942000,- -,-44818000,-37816000,-10174000,-7500000,-143911000,-67185000,-5480000,- -,- -,-859512000,-380925000,-3643000,-31800000,-41250000,-137072000,-470101000,-533897000,-262491000,-354972000,-9115000
86,Purchases of Investments,- -,- -,- -,- -,-32200000,-51000000,-30900000,-21500000,-16500000,-21544000,-81060000,-9583000,-5237000,-789000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,36900000,55500000,27900000,22300000,12100000,22319000,50178000,6861000,1935000,1950000,6697000,13568000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-9800000,-17100000,1100000,-4600000,2500000,-4732000,-2796000,-1846000,2151000,49791000,-230283000,3543000,2784000,5868000,7069000,2503000,5482000,-4236000,3365000,-171041000,-185272000,-127116000,-229220000,-292516000,-219245000,-344751000,-321046000,-212449000,-122993000,-248719000,-190507000,-130875000,-46673000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-62500000,-13100000,-38200000,-112800000,-65900000,-112983000,-83182000,-41726000,-25657000,63496000,-236305000,-38514000,-56375000,-86659000,-103103000,-101275000,-124301000,-287276000,-227903000,-176521000,-185272000,-127116000,-1088732000,-673441000,-222888000,-376551000,-362296000,-349521000,-593094000,-782616000,-452998000,-485847000,-55788000
90,Debt Repayment,- -,- -,- -,- -,-32300000,-8600000,-3900000,-104800000,-112600000,-104805000,-26618000,-5676000,-39333000,-5333000,-5333000,-72455000,-10335000,-50335000,-260736000,-225000,-218704000,-96000,-13334000,-50141000,-47087000,-105000,-33128000,-39005000,-460000000,-108000000,-100000000,- -,-13721000,- -,-125000000,-150000000,-60000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,300000,143000,233000,1352000,1489000,3056000,667000,1340000,4207000,2444000,4901000,9549000,19054000,13188000,5718000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-900000,-7100000,-500000,- -,- -,- -,-33386000,-26331000,-11700000,-91247000,-12362000,-15791000,-2750000,-3931000,- -,- -,- -,-4789000,- -,-33377000,-657000,-23793000,- -,- -,- -,-15321000,-241105000,-1827000,- -,-776000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,81000000,- -,15300000,183000000,124200000,183025000,50891000,8400000,12200000,-6600000,183674000,43204000,-34495000,65509000,249340000,-38235000,199178000,113424000,2237000,17622000,2320000,3532000,630514000,381526000,74819000,81240000,163682000,-62941000,267905000,424091000,83122000,246508000,-251313000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,45500000,-15700000,10900000,78200000,11900000,78363000,-8880000,-22255000,-37344000,-100124000,166646000,-43702000,-43373000,13687000,-6495000,-28911000,-472000,121727000,-5379000,-65896000,-45424000,-20366000,597386000,342521000,-385181000,-42081000,-177423000,-64768000,254184000,423315000,-41878000,96508000,-311313000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,45500000,-15700000,10900000,78200000,11900000,3752000,-10383000,87000,499000,-1182000,2710000,1087000,-2808000,-418000,2632000,-3435000,17209000,-15185000,2464000,3530000,89189000,97764000,-179351000,-5190000,-7037000,20277000,-18414000,-251000,14468000,-12302000,16937000,55601000,-45525000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,1457000,1544000,2043000,861000,3571000,4658000,1850000,1432000,4064000,629000,17838000,2653000,5117000,8647000,97836000,195600000,16249000,11059000,4022000,24299000,5885000,5634000,20102000,7800000,24737000,80338000,34813000
99,Cash at the Beginning of Period,- -,- -,- -,- -,5600000,4100000,4300000,3500000,7300000,3548000,11840000,1457000,1544000,2043000,861000,3571000,4658000,1850000,1432000,4064000,629000,17838000,2653000,5117000,8647000,97836000,195600000,16249000,11059000,4022000,24299000,5885000,5634000,20102000,7800000,24737000,80338000
100,Free Cash Flow,- -,- -,- -,- -,-41900000,28500000,-9800000,-70600000,-2400000,-70654000,32175000,26910000,38994000,8001000,59650000,35620000,37781000,24845000,39874000,33147000,19699000,11235000,71663000,72928000,127225000,108405000,85757000,13563000,347805000,83765000,175830000,182972000,176156000,45138000,263649000,296755000,223561000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56047/000095012996000358/0000950129-96-000358-index.html,https://www.sec.gov/Archives/edgar/data/56047/000095012997000866/0000950129-97-000866-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/56047/000095012905001993/h22444e10vk.htm,https://www.sec.gov/Archives/edgar/data/56047/000095012906002289/h32083e10vk.htm,https://www.sec.gov/Archives/edgar/data/56047/000095012907001015/h43416e10vk.htm,https://www.sec.gov/Archives/edgar/data/56047/000095012908001244/h53780e10vk.htm,https://www.sec.gov/Archives/edgar/data/56047/000095012909000665/0000950129-09-000665-index.html,https://www.sec.gov/Archives/edgar/data/56047/000095012310018030/0000950123-10-018030-index.html,https://www.sec.gov/Archives/edgar/data/56047/000119312511046507/d10k.htm,https://www.sec.gov/Archives/edgar/data/56047/000119312512083165/0001193125-12-083165-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036113009529/0001140361-13-009529-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036114009215/form10k.htm,https://www.sec.gov/Archives/edgar/data/56047/000114036115008395/form10k.htm,https://www.sec.gov/Archives/edgar/data/56047/000114036116054260/0001140361-16-054260-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036117008777/0001140361-17-008777-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036118010152/0001140361-18-010152-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036119003795/0001140361-19-003795-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036120003820/0001140361-20-003820-index.html,https://www.sec.gov/Archives/edgar/data/56047/000114036121005871/0001140361-21-005871-index.htm,https://www.sec.gov/Archives/edgar/data/56047/000095017022001486/0000950170-22-001486-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
