,https://roic.ai/company/GOLD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,-419700000,-527000000,502383572,462969719,470024484,539052910,702011474,704760635,679105415,651966703,582984009,505875490,725771777,2151257619,1753096365,2205567452,-2322000000,4127000000,5315000000,5439000000,4239000000,2296000000,2794000000,2640000000,2065000000,1765000000,2833000000,5417000000,4378000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-384965163,-795986866,-372018188,-507009497,-620031797,-664755301,-549063953,-291033869,-384257103,-824235353,-1104136212,-1086788566,-1046218910,-1775654752,-2351000000,-3323000000,-4973000000,-6369000000,-5501000000,-2432000000,-1713000000,-1126000000,-1396000000,-1400000000,-1701000000,-2054000000,-2435000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-206884711,-1121740006,-2174271125,-101000000,-813000000,-7677000000,-37000000,522000000,382000000,1904000000,588000000,1038000000,-5000000,1501000000,283000000,27000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,6200000,6500000,- -,- -,- -,- -,- -,- -,-157054906,- -,-55115665,-46670556,-89431593,-244656194,-11076427,-18118926,-83000000,-61000000,-72000000,- -,- -,- -,- -,- -,-7000000,-159000000,-4000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,71067107,- -,- -,- -,- -,- -,- -,158861282,- -,9167431,10319030,46355911,625314671,75770054,7000000,15000000,80000000,168000000,18000000,120000000,33000000,- -,- -,- -,- -,220000000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-4200000,-372200000,30583058,-22984312,3987408,144970606,21981061,28003734,8795075,11438012,48129172,42503542,3439677,2686925916,-8055584,-19766101,-2238000000,-3313000000,-5158000000,-6652000000,-5777000000,-2452000000,-1687000000,-1000000000,-1368000000,-1330000000,-1447000000,-1789000000,-1924000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,219800000,16300000,-283314998,-818971178,-368030780,-362038891,-598050736,-636751567,-697323784,-120734575,-391243596,-819234936,-1179809098,1194952356,-1561776256,-3912040850,-2415000000,-4172000000,-12827000000,-6521000000,-5237000000,-1950000000,250000000,-412000000,-337000000,-1494000000,50000000,-1286000000,-1897000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-397000000,-149000000,-380000000,-1462000000,-6412000000,-188000000,-3142000000,-2062000000,-1533000000,-687000000,-309000000,-379000000,-43000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,-27000000,-8400000,10707737,21962787,6016090,35015182,29031589,6000800,6910416,83243312,28722248,49170764,92011351,73826079,141979660,74122879,3885000000,884000000,- -,- -,2910000000,186000000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-153702841,-95007917,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-750000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,30200000,44900000,-42610928,-51003283,-60020986,-68027650,-79007396,-86678224,-86694308,-118828239,-117994100,-118343195,-117808926,-191432741,-260799517,-349201120,-369000000,-436000000,-509000000,-750000000,-508000000,-232000000,-160000000,-86000000,-125000000,-125000000,-548000000,-547000000,-634000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,123600000,326000000,-289695636,346005107,-979364,-19962530,29999309,135351381,49001130,-25417805,-23288310,905075423,118668845,-1218130311,-917329574,1208202932,2710000000,1135000000,7180000000,2635000000,5352000000,174000000,27000000,-149000000,-228000000,-113000000,-282000000,-1328000000,-961000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,126800000,362500000,-321598827,316964611,-54984260,-52974998,-19976498,54673957,-30782762,-61002732,-266263003,740895075,92871270,-1335736973,-1036149431,933124691,5829000000,1434000000,6291000000,423000000,1342000000,-60000000,-3275000000,-2297000000,-1886000000,-925000000,-1139000000,-2254000000,-2388000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4292214,9062531,3294350,35000000,15000000,-2000000,7000000,-17000000,-11000000,-13000000,3000000,3000000,-9000000,-1000000,-3000000,-1000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,-72800000,-148300000,-102530253,-38963881,46939489,124039020,83984240,122683024,-49001131,470229395,-73746312,427535628,-361166051,2006180788,-835766791,-770054357,1127000000,1404000000,-1223000000,-652000000,307000000,295000000,-244000000,-66000000,-155000000,-663000000,1743000000,1874000000,92000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,-372400000,-542900000,284708471,245020066,291990206,416047548,500034561,622749700,574192738,1044036347,970346220,1397616468,1037062516,3043179672,2207229886,1437160270,2564000000,3968000000,2745000000,2093000000,2404000000,2699000000,2455000000,2389000000,2234000000,1571000000,3314000000,5188000000,5280000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,-299600000,-394600000,387238724,283983947,245050717,292008528,416050321,500066676,623193869,573806952,1044092532,970080840,1398228567,1036998884,3042996677,2207214627,1437000000,2564000000,3968000000,2745000000,2097000000,2404000000,2699000000,2455000000,2389000000,2234000000,1571000000,3314000000,5188000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,-419700000,-527000000,117418409,-333017147,98006296,32043413,81979677,40005334,130041462,360932834,198726906,-318359863,-378364435,1064469053,706877455,429912700,-4673000000,804000000,342000000,-930000000,-1262000000,-136000000,1081000000,1514000000,669000000,365000000,1132000000,3363000000,1943000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/756894/000090956704000785/t12971exv2.htm,https://www.sec.gov/Archives/edgar/data/756894/000090956705000696/t16189exv2.htm,https://www.sec.gov/Archives/edgar/data/756894/000090956706000513/o30834exv2.htm,https://www.sec.gov/Archives/edgar/data/756894/000090956707000544/0000909567-07-000544-index.html,https://www.sec.gov/Archives/edgar/data/756894/000104746908003676/a2184254zex-99_3.htm,https://www.sec.gov/Archives/edgar/data/1206942/000110465909005019/0001104659-09-005019-index.html,https://www.sec.gov/Archives/edgar/data/756894/000110465910017012/0001104659-10-017012-index.html,https://www.sec.gov/Archives/edgar/data/756894/000110465911017950/0001104659-11-017950-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312512137603/0001193125-12-137603-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312513131918/0001193125-13-131918-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/756894/000119312516518731/0001193125-16-518731-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312517095834/0001193125-17-095834-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312518094424/0001193125-18-094424-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312519083744/0001193125-19-083744-index.html,https://www.sec.gov/Archives/edgar/data/756894/000119312520085600/0001193125-20-085600-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
