,https://roic.ai/company/FARM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,83800000,86800000,81700000,139800000,90900000,131100000,152800000,153900000,178600000,165600000,171594000,301224000,332175000,329958000,231531000,224526000,230230000,212266000,188841000,110089000,91410000,53948000,43162000,63199000,80590000,70811000,96528000,19897000,-4943000,63802000,112421000,62846000
82,Other Non-Cash Items,- -,- -,- -,- -,-500000,-27300000,11200000,-74400000,37700000,-33100000,-32000000,5400000,-26000000,20600000,-5232000,-157974000,-80242000,20901000,97306000,9656000,-808000,58757000,48369000,159966000,9265000,89797000,22926000,-25827000,-8791000,6064000,-32809000,51932000,535000,-36093000,-43982000,44131000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,18700000,2800000,31300000,8300000,5000000,30500000,18900000,28800000,35200000,40700000,43966000,15097000,-12734000,52078000,17128000,2110000,13614000,48791000,27496000,87244000,-1047000,33937000,18133000,21927000,52895000,26930000,27628000,42112000,8855000,35450000,1455000,-1486000
84,CAPEX,- -,- -,- -,- -,-9200000,-4800000,-7000000,-5400000,-6700000,-9100000,-5300000,-4400000,-3000000,-6200000,-14130000,-5912000,-5039000,-9089000,-7683000,-8832000,-12840000,-12485000,-24852000,-38901000,-28484000,-19416000,-17498000,-15894000,-25267000,-19216000,-50476000,-84949000,-37020000,-34760000,-17560000,-15117000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23167000,- -,-48287000,- -,- -,- -,- -,- -,-1200000,- -,-25853000,-39608000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-18400000,-31400000,-41000000,-24300000,-88100000,-165600000,-260000000,-431700000,-485100000,-577300000,-278083000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,18100000,17500000,22200000,62900000,37000000,147400000,270000000,418900000,431800000,554600000,268337000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,200000,300000,200000,200000,600000,300000,300000,-1000000,-1400000,300000,1543000,960000,2912000,685000,174000,165000,559000,256000,1413000,605000,437000,2021000,3037000,5666000,4536000,273000,10946000,4078000,1988000,2399000,39477000,4421000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-9300000,-18400000,-25600000,33400000,-57200000,-27000000,5000000,-18200000,-57700000,-28600000,-22333000,-4952000,-2127000,-8404000,-7509000,-8667000,-12281000,-35396000,-23439000,-86583000,-28047000,-17395000,-14461000,-10228000,-20731000,-20143000,-39530000,-106724000,-74640000,-32361000,21917000,-10696000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13465000,-13593000,-45403000,-23097000,-58120000,-69135000,-67857000,-3521000,-87678000,-24096000,-48644000,-60053000,-159347000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,13287000,- -,- -,- -,31235000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11800000,-4103000,- -,- -,- -,-111161000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-2300000,-2700000,-3000000,-3400000,-3900000,-3900000,-4100000,-4600000,-4900000,-5300000,-5580000,-5897000,-6278000,-6523000,-5621000,-5436000,-5814000,-6142000,-6670000,-6631000,-6939000,-4657000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,700000,-100000,200000,- -,- -,- -,- -,- -,- -,- -,-14136000,-390000,-815000,-24237000,78749000,- -,- -,- -,- -,29500000,33737000,35450000,17250000,45193000,46286000,64237000,21358000,137436000,86078000,50100000,89711000,121954000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1600000,-2800000,-2800000,-3400000,-3900000,-3900000,-4100000,-4600000,-4900000,-14500000,-10532000,-6287000,-7093000,-30760000,-6798000,-5436000,-5814000,-6142000,-6670000,9404000,13205000,-14610000,-5847000,-12927000,-22849000,-3620000,17837000,49758000,61982000,1456000,29658000,-37393000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2400000,11101000,3858000,-21954000,12914000,2821000,-11993000,-4481000,7253000,-2613000,10065000,-15889000,1932000,-2175000,-1228000,9315000,3167000,5935000,-14854000,-3803000,4545000,53030000,-49575000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4400000,15504000,19362000,7047000,19961000,21807000,9814000,5333000,12586000,9973000,20038000,4149000,6081000,3906000,2678000,11993000,15160000,21095000,6241000,2438000,6983000,60013000,10438000
99,Cash at the Beginning of Period,- -,- -,- -,- -,34000000,41800000,23400000,26400000,64700000,8700000,8300000,28200000,34200000,6800000,4403000,15504000,29001000,7047000,18986000,21807000,9814000,5333000,12586000,9973000,20038000,4149000,6081000,3906000,2678000,11993000,15160000,21095000,6241000,2438000,6983000,60013000
100,Free Cash Flow,- -,- -,- -,- -,9500000,-2000000,24300000,2900000,-1700000,21400000,13600000,24400000,32200000,34500000,29836000,9185000,-17773000,42989000,9445000,-6722000,774000,36306000,2644000,48343000,-29531000,14521000,635000,6033000,27628000,7714000,-22848000,-42837000,-28165000,690000,-16105000,-16603000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34563/000003456394000014/0000034563-94-000014-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456395000010/0000034563-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456396000009/0000034563-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456397000008/0000034563-97-000008-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456398000008/0000034563-98-000008-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456399000006/0000034563-99-000006-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456300000016/0000034563-00-000016-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456301500018/0000034563-01-500018-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34563/000110465906060879/a06-19524_110k.htm,https://www.sec.gov/Archives/edgar/data/34563/000110465907068865/0001104659-07-068865-index.html,https://www.sec.gov/Archives/edgar/data/34563/000104746908010086/0001047469-08-010086-index.html,https://www.sec.gov/Archives/edgar/data/34563/000104746909008327/0001047469-09-008327-index.html,https://www.sec.gov/Archives/edgar/data/34563/000119312510209081/0001193125-10-209081-index.html,https://www.sec.gov/Archives/edgar/data/34563/000119312511246167/0001193125-11-246167-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456312000029/0000034563-12-000029-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456313000038/farm-2013630x10k.htm,https://www.sec.gov/Archives/edgar/data/34563/000003456314000033/0000034563-14-000033-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456315000047/0000034563-15-000047-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456316000127/farm-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/34563/000003456317000064/0000034563-17-000064-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456318000049/0000034563-18-000049-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456319000064/0000034563-19-000064-index.html,https://www.sec.gov/Archives/edgar/data/34563/000003456320000111/0000034563-20-000111-index.htm,https://www.sec.gov/Archives/edgar/data/34563/000003456321000061/0000034563-21-000061-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
