,https://roic.ai/company/STC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,-2100000,-4000000,-3900000,-7800000,-8700000,-12200000,-6700000,-12670000,-13209000,-20473000,-25307000,-19191000,-23452000,-30165000,-37236000,-32410000,-33931000,-42021000,-31383000,-17968000,-11032000,-16339000,-17704000,-16752000,-17282000,2105000,-19658000,-18155000,-16396000,-10675000,-17075000,-14992000,-39799000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000000,-45000000,-8000000,- -,- -,- -,-8000000,-1000000,-15000000,-40000000,-4000000,1000000,-17000000,-19000000,- -,-199537000,-599984000
86,Purchases of Investments,- -,- -,- -,- -,-56600000,-17600000,-53800000,-50800000,-86300000,-145500000,-91466000,-105318000,-51198000,-106333000,-88456000,-91237000,-138787000,-200946000,-417587000,-473421000,-681680000,-407674000,-403147000,-811782000,-369366000,-303517000,-336118000,-207690000,-160500000,-224714000,-162361000,-148976000,-181956000,-43057000,-78128000,-118301000,-143925000
87,Sales/Maturities of Investments,- -,- -,- -,- -,47700000,10000000,41300000,39300000,52600000,113800000,83743000,85322000,41139000,67911000,52362000,89058000,81605000,170042000,265670000,408121000,583704000,437196000,451900000,668531000,512313000,545685000,339697000,181938000,104525000,197195000,111475000,108216000,110854000,79465000,99321000,99863000,146179000
88,Other Investing Activites,- -,- -,- -,- -,100000,1500000,500000,1600000,-700000,800000,-5175000,-482000,-3457000,-5886000,-1017000,-16338000,-13016000,-12502000,-22952000,-69765000,6903000,-5145000,-1438000,2309000,-1725000,9331000,-7094000,6976000,9894000,8499000,5753000,1141000,601000,2646000,2922000,1597000,-7747000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-10900000,-10100000,-15900000,-17700000,-43100000,-43100000,-19598000,-33148000,-26725000,-64781000,-62418000,-37708000,-93650000,-73571000,-212105000,-167475000,-143004000,-62644000,7932000,-158910000,130190000,235160000,-29219000,-36528000,-78363000,-78557000,-68791000,-56774000,-103897000,9379000,7040000,-231370000,-645276000
90,Debt Repayment,- -,- -,- -,- -,-5400000,-6300000,-4700000,-9600000,-4300000,-3500000,-7209000,-4694000,-4240000,-12041000,-7429000,-5829000,-35852000,-7543000,-7108000,-13020000,-23821000,-24778000,-21514000,-27978000,-145451000,-232435000,-5988000,-5692000,-12941000,-60838000,-22494000,-60339000,-56467000,-20118000,-27868000,-25581000,-809816000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1543000,65000,19000,44846000,467000,3878000,1284000,364000,517000,368000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108961000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1512000,- -,- -,- -,- -,- -,- -,-9472000,- -,- -,- -,- -,- -,- -,-22048000,-27950000,-13053000,-727000,-1175000,-532000,-1054000,-2252000
93,Dividends Paid,- -,- -,- -,- -,-1900000,-1300000,-700000,-800000,-1000000,-1100000,-1214000,-1488000,-1644000,-5846000,-6229000,-4814000,-5926000,-7713000,-19307000,-20326000,-29377000,-31168000,-26244000,-9371000,-8636000,-7990000,-917000,-1832000,-2159000,-2334000,-18010000,-27840000,-28135000,-28263000,-28345000,-30226000,-36637000
94,Other Financing Activites,- -,- -,- -,- -,2900000,4600000,3500000,2700000,3300000,5100000,7937000,4366000,10688000,9150000,10056000,16856000,6597000,4259000,15748000,34440000,37161000,17307000,14479000,289336000,65490000,1635000,-129000,-10596000,-3096000,111246000,42904000,41890000,41734000,1798000,18983000,2201000,1159079000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-4400000,-3000000,-1900000,-7700000,-2000000,500000,-486000,-1816000,4804000,-7194000,-3537000,4720000,9665000,-10530000,-6789000,2378000,-15673000,-38122000,-42383000,251987000,-88597000,-238790000,-7034000,-18120000,-18196000,26026000,-25550000,-59342000,-43595000,-47758000,-37762000,54301000,310374000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1868000,-1480000,2438000,2975000,-10912000,5213000,826000,-803000,1821000,-4877000,-5189000,-7664000,-141000,3731000,-3810000,2905000,3337000,-2153000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,-8100000,-1075000,24201000,78450000,-24954000,7181000,13351000,1403000,-26898000,-22993000,29854000,38390000,-13647000,67695000,-14249000,6269000,-21491000,6705000,-35693000,41988000,138542000,102074000,53236000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36800000,35728000,60706000,139156000,114202000,121383000,134734000,136137000,109239000,86246000,116100000,154490000,140843000,208538000,194289000,200558000,179067000,185772000,150079000,192067000,330609000,432683000,485919000
99,Cash at the Beginning of Period,- -,- -,- -,- -,15400000,11800000,9700000,10400000,21500000,30900000,16200000,16700000,18500000,30400000,44900000,36803000,36505000,60706000,139156000,114202000,121383000,134734000,136137000,109239000,86246000,116100000,154490000,140843000,208538000,194289000,200558000,179067000,185772000,150079000,192067000,330609000,432683000
100,Free Cash Flow,- -,- -,10800000,8900000,9600000,7000000,14700000,28500000,45800000,15700000,13868000,24080000,20619000,65994000,32568000,12722000,84734000,132386000,156704000,138000000,139577000,57710000,-26805000,-123126000,-27984000,24855000,5705000,103770000,69905000,44452000,60856000,104807000,91672000,73502000,149284000,260814000,350492000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/94344/000095012906002568/h33794e10vk.htm,https://www.sec.gov/Archives/edgar/data/94344/000095012907001090/h43929e10vk.htm,https://www.sec.gov/Archives/edgar/data/94344/000095012908001380/h54248e10vk.htm,https://www.sec.gov/Archives/edgar/data/94344/000095013409005240/0000950134-09-005240-index.html,https://www.sec.gov/Archives/edgar/data/94344/000095012310021253/0000950123-10-021253-index.html,https://www.sec.gov/Archives/edgar/data/94344/000095012311021783/h79965e10vk.htm,https://www.sec.gov/Archives/edgar/data/94344/000119312512109948/0001193125-12-109948-index.html,https://www.sec.gov/Archives/edgar/data/94344/000119312513093781/0001193125-13-093781-index.html,https://www.sec.gov/Archives/edgar/data/94344/000119312514077383/d652336d10k.htm,https://www.sec.gov/Archives/edgar/data/94344/000162828015001257/stc1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/94344/000009434416000011/0000094344-16-000011-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434417000004/0000094344-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434418000007/0000094344-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434419000004/0000094344-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434420000006/0000094344-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/94344/000009434421000009/0000094344-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/94344/000009434422000006/0000094344-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
