,https://roic.ai/company/SWKS,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,- -,- -,- -,- -,- -,- -,- -,135600000,-75000000,169479000,33321000,55147000,-92547000,71300000,29416000,47984000,191700000,-16362000,131362000,193000000,238000000,319200000,341100000,453900000,-373300000,-11900000,8600000,337700000,-303800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,600000,2300000,-1800000,-2600000,770000,2326000,- -,- -,52600000,-4413000,-12102000,-21404000,2172000,-3454000,-247000,-16082000,15678000,-38818000,-49694000,-19314000,3400000,-6100000,3600000,-147300000,-69200000,11900000,-119600000,-190400000,-41200000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,- -,- -,- -,- -,- -,- -,- -,9219000,42869000,-14350000,15244000,-14100000,74200000,90500000,-181500000,147800000,-126000000,-33000000,61100000,59600000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135600000,60600000,249279000,282600000,337747000,245200000,316500000,345916000,393900000,585600000,569238000,700600000,893600000,1131600000,1450800000,1791900000,2245800000,1872500000,1860600000,1869200000,2206900000,75500000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,700000,8500000,-2000000,-7200000,4176000,4673000,-34700000,-189900000,230500000,-69982000,302242000,-30076000,76653000,2226000,-26289000,-2062000,-123366000,-29969000,-139367000,-297593000,-205200000,-216500000,-438300000,-679200000,488900000,-80200000,59600000,-455500000,8400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2400000,1500000,5000000,1300000,-5475000,21748000,-7100000,-53800000,-89400000,-99094000,-72052000,91913000,54197000,27226000,84778000,173678000,210149000,222962000,365818000,285239000,499700000,772400000,992800000,1095700000,1471300000,1260600000,1367400000,1204500000,1772000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1300000,-2800000,-2600000,-5000000,-12000000,-7951000,-11039000,-94300000,-100400000,-51100000,-29412000,-40294000,-59998000,-38135000,-49359000,-42596000,-64832000,-39172000,-88929000,-100660000,-94129000,-123800000,-208600000,-430100000,-195300000,-315400000,-430900000,-423400000,-398500000,-652100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67102000,- -,- -,- -,- -,- -,-32627000,-10356000,-6400000,-249284000,-229628000,- -,-148500000,-24600000,-55600000,-13700000,-404000000,- -,- -,-2751000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000000,-4030000,-2335000,- -,- -,- -,- -,-3988000,-5000000,-1251470000,-1009810000,-955596000,-7500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-683700000,-360500000,-790500000,-500800000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,6955000,2060000,- -,- -,- -,35422000,- -,3988000,1223181000,1094985000,978046000,10000000,- -,- -,- -,20900000,800000,- -,- -,- -,3200000,368200000,447000000,607600000,770700000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,2400000,1191000,109000,- -,7600000,- -,-3070000,- -,- -,- -,6567000,- -,- -,-39172000,-88929000,-100660000,-94129000,-123800000,-208600000,-430100000,-195300000,-315400000,-430900000,-423400000,-398500000,-652100000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1300000,-2700000,-2600000,-4900000,-13600000,-3835000,-11205000,-94300000,-92800000,-51100000,70042000,-44282000,-61010000,-66424000,42383000,-20146000,-94959000,-49528000,-95329000,-349944000,-302857000,-123000000,-357100000,-454700000,-250900000,-325900000,-1150400000,-336900000,-581400000,-3133200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57883000,-80709000,-50000000,-48047000,- -,- -,- -,- -,- -,- -,- -,- -,-250000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,500000,25800000,570000,1538000,- -,- -,- -,42000,103755000,3512000,5244000,1746000,8266000,18049000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-268000,- -,- -,- -,- -,- -,- -,- -,-173000,-31681000,-2063000,-2389000,-4412000,-90135000,-30984000,-203500000,-187800000,-291500000,-598900000,-481500000,-807500000,-680400000,-680600000,-250800000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41400000,-123100000,-201000000,-214600000,-243200000,-273900000,-307000000,-340600000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,1500000,-700000,1200000,-5600000,3229000,-3272000,103500000,148700000,138300000,80370000,120727000,7618000,- -,-50955000,63611000,-111178000,38768000,46524000,81091000,-7145000,30800000,108600000,114300000,-4700000,83700000,57000000,41800000,79900000,2518800000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,1600000,-600000,1700000,20200000,3799000,-2002000,103500000,148700000,138300000,80412000,224482000,11130000,5244000,-49382000,40196000,-95192000,-21504000,-38597000,-59044000,-86176000,-172700000,-120600000,-300300000,-804600000,-612400000,-993700000,-912500000,-907700000,1677400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,1600000,-600000,1700000,20200000,-5511000,8541000,2100000,2100000,-2200000,51360000,108148000,42033000,-6983000,20227000,104828000,-16473000,139117000,89036000,-43170000,-103794000,204000000,294700000,237800000,40200000,533000000,-883500000,118000000,-284600000,316200000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5815000,14356000,735400000,2100000,2000000,53358000,161506000,203539000,116522000,136749000,241577000,225104000,364221000,453257000,410087000,306293000,511100000,805800000,1043600000,1083800000,1616800000,733300000,851300000,566700000,882900000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,2200000,3400000,1700000,3500000,11326000,5815000,733300000,- -,4200000,1998000,53358000,161506000,123505000,116522000,136749000,241577000,225104000,364221000,453257000,410087000,307100000,511100000,805800000,1043600000,1083800000,1616800000,733300000,851300000,566700000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,-400000,-1100000,- -,-10700000,-13426000,10709000,-101400000,-154200000,-140500000,-128506000,-112346000,31915000,16062000,-22133000,42182000,108846000,170977000,134033000,265158000,191110000,375900000,563800000,562700000,900400000,1155900000,829700000,944000000,806000000,1119900000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/4127/000095013502005681/0000950135-02-005681-index.html,- -,https://www.sec.gov/Archives/edgar/data/4127/000000412704000082/tenk.htm,- -,https://www.sec.gov/Archives/edgar/data/4127/000089256906001446/a25760e10vk.htm,https://www.sec.gov/Archives/edgar/data/4127/000089256907001468/0000892569-07-001468-index.html,- -,https://www.sec.gov/Archives/edgar/data/4127/000095012309066947/0000950123-09-066947-index.html,https://www.sec.gov/Archives/edgar/data/4127/000095012310109435/0000950123-10-109435-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412711000015/0000004127-11-000015-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412712000042/0000004127-12-000042-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412713000056/0000004127-13-000056-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412714000046/0000004127-14-000046-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412715000037/0000004127-15-000037-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412716000068/0000004127-16-000068-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412717000033/0000004127-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412718000046/0000004127-18-000046-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412719000049/0000004127-19-000049-index.html,https://www.sec.gov/Archives/edgar/data/4127/000000412720000058/0000004127-20-000058-index.htm,https://www.sec.gov/Archives/edgar/data/4127/000000412722000002/0000004127-22-000002-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
