,https://roic.ai/company/FISV,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27000000,44000000,-12000000,-83000000,-12000000,-47000000,-42000000,-2000000,-88000000,-75000000,-108000000,-7000000,320000000,-358000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71000000,- -,- -,- -,37000000,168000000,148000000,178000000,54000000,116000000,238000000,-146000000,303000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-719800000,237500000,-832400000,-2228300000,429700000,1980732000,2163785000,1953462000,52743000,39850000,117537000,-8118000,86186000,450000000,98000000,116000000,526000000,-28000000,307000000,240000000,- -,4000000,-92000000,37000000,214000000,1319000000,582000000,77000000
82,Other Non-Cash Items,- -,- -,- -,- -,-4500000,-2900000,-9700000,-15000000,-34500000,691900000,-814200000,1086600000,1407300000,-2597500000,-1644753000,70739000,284845000,2039481000,19294000,30418000,7977000,-122022000,-384814000,166000000,-83000000,-363000000,618000000,-514000000,18000000,337000000,128000000,97000000,-141000000,-574000000,-1130000000,276000000,22000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,19000000,28700000,31500000,36100000,38600000,63000000,88600000,148900000,169600000,249800000,177837000,584468000,442135000,576818000,518101000,694132000,597122000,634962000,631000000,775000000,844000000,958000000,953000000,835000000,1039000000,1307000000,1346000000,1431000000,1483000000,1552000000,2795000000,4147000000,4034000000
84,CAPEX,- -,- -,- -,- -,-14400000,-5100000,-14300000,-19100000,-28500000,-52800000,-45000000,-36200000,-39800000,-77500000,-69697000,-72979000,-67974000,-141880000,-143242000,-161093000,-164951000,-187488000,-160000000,-199000000,-198000000,-175000000,-192000000,-195000000,-236000000,-292000000,-359000000,-290000000,-287000000,-360000000,-721000000,-900000000,-1160000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-210587000,-88764000,-224842000,-406578000,-735917000,-64896000,-509630000,-181044000,-4333000000,413000000,- -,40000000,-469000000,32000000,-30000000,- -,- -,-265000000,-367000000,-293000000,-15954000000,440000000,-848000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-97100000,-79000000,-126600000,-71600000,-173100000,-97400000,-128400000,-167800000,- -,-209011000,- -,-72571000,- -,- -,- -,-104810000,- -,- -,- -,-57000000,- -,- -,- -,- -,- -,- -,-1000000,-10000000,-3000000,-45000000,-1000000,-256000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227700000,- -,- -,- -,- -,136726000,- -,- -,187968000,- -,- -,107444000,19000000,- -,- -,- -,- -,- -,- -,7000000,1000000,- -,- -,- -,- -,- -,519000000
88,Other Investing Activites,- -,- -,- -,- -,-292400000,-9800000,-70500000,14500000,-115300000,-20600000,-258300000,89500000,-65000000,-248600000,-26052000,-34008000,-36635000,-303222000,- -,-139258000,350236000,- -,- -,-207000000,730000000,-156000000,-196000000,-170000000,-118000000,-293000000,-361000000,-288000000,-280000000,-367000000,-603000000,-780000000,-1045000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-306800000,-112000000,-163800000,-131200000,-215400000,-246500000,-173000000,-75100000,-272600000,-326100000,-515347000,-59025000,-402022000,-851680000,-691191000,-365247000,-429155000,-261088000,-4474000000,206000000,673000000,-116000000,-665000000,-138000000,-148000000,-286000000,-360000000,-554000000,-657000000,-663000000,-16602000000,-341000000,-1630000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1303000000,-475000000,-1060000000,-1226000000,-1642000000,-2590000000,-653000000,-2707000000,-1863000000,-1985000000,-4005000000,-5043000000,-10918000000,-7881000000
91,Common Stock Issued,- -,- -,- -,- -,2300000,1700000,48400000,1100000,22700000,1900000,600000,4900000,10000000,5000000,5913000,20576000,15053000,11420000,18585000,30666000,32129000,36277000,50000000,37000000,45000000,62000000,73000000,96000000,49000000,53000000,71000000,79000000,78000000,75000000,156000000,133000000,140000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42400000,-28713000,-9884000,- -,-33578000,- -,-64344000,-652575000,-560111000,-469000000,-441000000,-175000000,-413000000,-533000000,-634000000,-578000000,-1148000000,-1522000000,-1245000000,-1223000000,-1946000000,-561000000,-1826000000,-2786000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,282700000,99400000,86800000,127200000,132400000,173900000,113800000,-57600000,81100000,95900000,369306000,-517833000,-17934000,388171000,130034000,54001000,120823000,150817000,4442000000,-6000000,-817000000,740000000,1188000000,1474000000,2246000000,622000000,3153000000,2177000000,2310000000,5034000000,19639000000,8775000000,9766000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,285000000,101100000,135200000,128300000,155100000,175800000,114400000,-52700000,91100000,58500000,346506000,-507141000,-2881000,366013000,148619000,20323000,-499623000,-373017000,4023000000,-1713000000,-1422000000,-671000000,-498000000,-706000000,-873000000,-1126000000,-1005000000,-852000000,-820000000,-842000000,14191000000,-3836000000,-761000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000000,- -,- -,- -,- -,- -,- -,- -,1000000,16000000,-27000000
97,Net Change In Cash,- -,- -,- -,- -,285000000,101100000,135200000,128300000,155100000,175800000,114400000,-52700000,91100000,58500000,8996000,18302000,37232000,91151000,-24471000,349208000,-331656000,857000,180000000,-65000000,95000000,200000000,-226000000,21000000,42000000,-106000000,-19000000,25000000,25000000,90000000,518000000,-14000000,1616000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80554000,98856000,136088000,227239000,202768000,516127000,184471000,185328000,297000000,232000000,363000000,563000000,337000000,358000000,400000000,294000000,275000000,300000000,325000000,415000000,933000000,919000000,4360000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,6600000,3800000,21600000,24400000,57600000,35900000,29700000,59700000,101300000,89400000,71558000,80554000,98856000,136088000,227239000,166919000,516127000,184471000,117000000,297000000,268000000,363000000,563000000,337000000,358000000,400000000,294000000,275000000,300000000,325000000,415000000,933000000,2744000000
100,Free Cash Flow,- -,- -,- -,- -,4600000,23600000,17200000,17000000,10100000,10200000,43600000,112700000,129800000,172300000,108140000,511489000,374161000,434938000,374859000,533039000,432171000,447474000,471000000,576000000,646000000,783000000,761000000,640000000,803000000,1015000000,987000000,1141000000,1196000000,1192000000,2074000000,3247000000,2874000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798354/000079835495000007/0000798354-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/798354/000079835496000009/0000798354-96-000009-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798354/000119312504031049/0001193125-04-031049-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312505037404/0001193125-05-037404-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312506055120/0001193125-06-055120-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312507042737/0001193125-07-042737-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312508041891/0001193125-08-041891-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312509041067/0001193125-09-041067-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312510042577/0001193125-10-042577-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312511045000/0001193125-11-045000-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312512077375/0001193125-12-077375-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312513071589/0001193125-13-071589-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312514060861/0001193125-14-060861-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000119312515056319/0001193125-15-056319-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000162828016011435/0001628280-16-011435-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835417000006/0000798354-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835418000005/0000798354-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835419000005/0000798354-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835420000006/0000798354-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835421000004/0000798354-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835422000004/0000798354-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
