,https://roic.ai/company/CDZI,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2154000,6803000,1032000,1583000,764000,10304000,21274000,- -,1050000,5171000,5063000,8835000,- -,15129000,- -,- -,14523000,- -,10510000,- -,15503000,19395000,14767000,32459000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1449000
94,Other Financing Activites,- -,- -,- -,- -,5200000,4800000,14400000,4777000,10969000,115980000,12000000,- -,10231000,7910000,14400000,-65000,-10150000,40000,9321000,-9000,-9000,46000,5000000,2000000,5014000,26147000,- -,- -,19040000,57253000,- -,- -,150000,97763000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,5200000,4000000,9800000,4247000,10792000,-25268000,13567000,6118000,10577000,7929000,13993000,10232000,11124000,40000,10371000,5162000,5054000,8861000,4978000,17113000,5004000,26136000,14512000,-42000,18996000,12330000,15447000,19336000,14874000,51178000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,-1954000,2699000,-28009000,8337000,-9098000,231000,-1833000,1771000,193000,5609000,-3729000,5095000,-1476000,-6907000,6864000,-2967000,5459000,-9685000,10202000,4319000,-13516000,9482000,858000,-472000,3125000,-8392000,12432000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,2454000,5153000,5298000,13635000,4537000,4768000,1458000,3229000,3422000,9031000,5302000,10397000,8921000,2014000,8878000,5911000,11370000,1685000,11887000,16206000,2690000,12172000,13030000,12691000,15816000,7424000,19856000
99,Cash at the Beginning of Period,- -,- -,- -,- -,800000,700000,100000,4408000,2454000,33307000,5298000,13635000,4537000,3291000,1458000,3229000,3422000,9031000,5302000,10397000,8921000,2014000,8878000,5911000,11370000,1685000,11887000,16206000,2690000,12172000,13163000,12691000,15816000,7424000
100,Free Cash Flow,- -,- -,- -,- -,-5200000,-3100000,-3800000,-4339000,-6094000,-1956000,-15205000,-7430000,-8906000,-5885000,-10771000,-6724000,-7647000,-3769000,-5298000,-6388000,-7226000,-6497000,-7945000,-11654000,-14626000,-15934000,-10193000,-13474000,-9514000,-11472000,-13919000,-15307000,-19157000,-38182000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/727273/000072727301500026/0000727273-01-500026-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/727273/000072727306000010/0000727273-06-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/727273/000072727308000006/0000727273-08-000006-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727309000010/0000727273-09-000010-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727310000004/0000727273-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727311000003/0000727273-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727312000006/0000727273-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727313000008/0000727273-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727314000003/0000727273-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727315000005/0000727273-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727316000047/0000727273-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727317000008/0000727273-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727318000003/0000727273-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727319000004/0000727273-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000072727320000011/0000727273-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000143774921007331/0001437749-21-007331-index.htm,https://www.sec.gov/Archives/edgar/data/727273/000143774922007512/0001437749-22-007512-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
