,https://roic.ai/company/HD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
73,Net Income,- -,- -,- -,- -,112000000,163400000,249200000,362900000,457400000,605000000,732000000,938000000,1160000000,1614000000,2320000000,2581000000,3044000000,3664000000,4304000000,5001000000,5838000000,5761000000,4395000000,2260000000,2661000000,3338000000,3883000000,4535000000,5385000000,6345000000,7009000000,7957000000,8630000000,11121000000,11242000000,12866000000,16433000000
74,Depreciation and Amortization,- -,- -,- -,- -,21100000,34400000,52300000,69500000,89800000,129600000,181200000,232300000,283000000,373000000,463000000,601000000,764000000,903000000,1076000000,1319000000,1579000000,1886000000,1906000000,1902000000,1806000000,1718000000,1682000000,1684000000,1757000000,1786000000,1863000000,1973000000,2062000000,2152000000,2296000000,2519000000,2862000000
75,Deferred Income Tax,- -,- -,- -,- -,-2900000,700000,-2100000,5500000,12600000,-2500000,18000000,28800000,-28000000,7000000,- -,- -,- -,173000000,605000000,319000000,- -,46000000,-348000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,202000000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176000000,201000000,214000000,215000000,218000000,228000000,225000000,244000000,267000000,273000000,282000000,251000000,310000000,399000000
77,Change in Working Capital,- -,- -,- -,- -,-13500000,- -,- -,- -,- -,919000000,- -,337000000,611000000,137000000,72000000,658000000,1126000000,22000000,-108000000,-113000000,-1216000000,2624000000,-3101000000,241000000,1328000000,-180000000,1787000000,-1234000000,620000000,-497000000,434000000,-876000000,-852000000,-926000000,-378000000,3876000000,-4949000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-87200000,-127600000,-153200000,-277600000,-353700000,-405200000,-429300000,-525200000,-885000000,-698000000,-1142000000,-1075000000,-166000000,-1592000000,-693000000,-849000000,-971000000,-563000000,-491000000,743000000,625000000,-355000000,256000000,-350000000,-455000000,-124000000,-546000000,-769000000,-84000000,-1244000000,-593000000,-1657000000,-5403000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-646000000,- -,- -,- -,698000000,605000000,244000000,888000000,446000000,352000000,743000000,68000000,5118000000,2401000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,919000000,919000000,1256000000,1867000000,2004000000,2076000000,2734000000,3860000000,3882000000,3774000000,3661000000,2445000000,5069000000,1968000000,2209000000,3537000000,3357000000,5144000000,3910000000,4530000000,4033000000,4467000000,3591000000,2739000000,1813000000,1435000000,5311000000,362000000
82,Other Non-Cash Items,- -,- -,- -,- -,100000,-17800000,-32800000,-99800000,-163300000,-1116600000,-218200000,-436000000,-997000000,-214000000,-409000000,-1044000000,1029000000,40000000,668000000,378000000,283000000,-2656000000,2875000000,949000000,-871000000,-505000000,-916000000,1772000000,-362000000,383000000,-177000000,462000000,1918000000,383000000,110000000,-732000000,1826000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,116800000,180700000,266600000,338100000,396500000,534500000,713000000,1100100000,1029000000,1917000000,2446000000,2796000000,5963000000,4802000000,6545000000,6904000000,6484000000,7661000000,5727000000,5528000000,5125000000,4585000000,6651000000,6975000000,7628000000,8242000000,9373000000,9783000000,12031000000,13038000000,13723000000,18839000000,16571000000
84,CAPEX,- -,- -,- -,- -,-190200000,-398100000,-431700000,-432500000,-864200000,-1100700000,-1278100000,-1194400000,-1481000000,-2320000000,-2581000000,-3558000000,-3393000000,-2749000000,-4106000000,-3948000000,-3881000000,-3542000000,-3558000000,-1847000000,-966000000,-1096000000,-1221000000,-1312000000,-1389000000,-1442000000,-1503000000,-1621000000,-1897000000,-2442000000,-2678000000,-2463000000,-2566000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101000000,-26000000,-190000000,-235000000,-215000000,-727000000,-2546000000,-4268000000,8324000000,- -,- -,- -,36000000,-170000000,-206000000,-200000000,-1666000000,- -,-374000000,-21000000,- -,-7780000000,-421000000
86,Purchases of Investments,- -,- -,- -,- -,-65900000,- -,-217900000,-2091200000,-840400000,- -,- -,-409000000,-194000000,-2000000,-32000000,-39000000,-85000000,-583000000,-159000000,-25890000000,-18230000000,-5409000000,-11225000000,-168000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,36500000,6500000,1345400000,1214500000,96000000,56900000,67900000,599000000,4000000,30000000,30000000,25000000,506000000,219000000,25990000000,19907000000,5434000000,10899000000,139000000,33000000,- -,- -,- -,- -,323000000,144000000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,700000,-7200000,800000,-49000000,40800000,250400000,44200000,27900000,105000000,47000000,62000000,63000000,177000000,127000000,265000000,96000000,164000000,138000000,318000000,-1700000000,-788000000,-1012000000,-1165000000,-1262000000,-1301000000,-1394000000,-1460000000,-1583000000,-1854000000,-2395000000,-2653000000,-2390000000,-2548000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-255400000,-368800000,-642300000,-1227300000,-449300000,-754300000,-1177000000,-1507600000,-971000000,-2271000000,-2622000000,-3530000000,-3466000000,-2934000000,-3996000000,-4479000000,-4586000000,-7647000000,4758000000,-1729000000,-755000000,-1012000000,-1129000000,-1432000000,-1507000000,-1271000000,-2982000000,-1583000000,-2228000000,-2416000000,-2653000000,-10170000000,-2969000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-313000000,-1774000000,-1029000000,-1028000000,-32000000,-1289000000,-39000000,-39000000,-3045000000,-543000000,-1429000000,-1070000000,-3846000000,-1532000000
91,Common Stock Issued,- -,- -,- -,- -,19100000,23100000,502600000,58300000,76800000,77900000,68500000,104500000,122000000,167000000,267000000,351000000,445000000,326000000,227000000,285000000,414000000,381000000,276000000,84000000,73000000,104000000,306000000,784000000,241000000,252000000,228000000,218000000,255000000,236000000,280000000,326000000,337000000
92,Common Stock Repurchased,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000000,-1554000000,-3106000000,-3040000000,-6684000000,-10815000000,-70000000,-213000000,-2608000000,-3470000000,-3984000000,-8546000000,-7000000000,-7000000000,-6880000000,-8000000000,-9963000000,-6965000000,-791000000,-14809000000
93,Dividends Paid,- -,- -,- -,- -,-8400000,-12800000,-22400000,-35800000,-50300000,-67800000,-89700000,-110200000,-139000000,-168000000,-255000000,-371000000,-396000000,-492000000,-595000000,-719000000,-857000000,-1395000000,-1709000000,-1521000000,-1525000000,-1569000000,-1632000000,-1743000000,-2243000000,-2530000000,-3031000000,-3404000000,-4212000000,-4704000000,-5958000000,-6451000000,-6985000000
94,Other Financing Activites,- -,- -,- -,- -,181900000,216200000,6200000,769900000,4500000,110800000,536900000,505800000,-15000000,249000000,269000000,757000000,-222000000,1000000,-9000000,485000000,1871000000,7495000000,1609000000,-1860000000,-64000000,651000000,1776000000,-59000000,5185000000,2246000000,4055000000,5241000000,3630000000,3440000000,2879000000,7779000000,3869000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,192300000,226500000,486400000,792400000,31000000,120900000,515700000,500100000,-32000000,248000000,281000000,737000000,-173000000,-2165000000,-1931000000,-3055000000,-1612000000,-203000000,-10639000000,-3680000000,-3503000000,-4451000000,-4048000000,-5034000000,-6652000000,-7071000000,-5787000000,-7870000000,-8870000000,-12420000000,-10834000000,-2983000000,-19120000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,200000,- -,-4000000,1000000,-4000000,-14000000,8000000,20000000,33000000,1000000,-4000000,-1000000,-45000000,35000000,2000000,-32000000,-2000000,-34000000,-106000000,-111000000,-8000000,124000000,-19000000,119000000,76000000,-34000000
97,Net Change In Cash,- -,- -,- -,- -,192300000,226500000,486400000,792400000,31000000,120900000,515700000,500100000,-32000000,248000000,106000000,-1000000,2310000000,-289000000,638000000,-597000000,287000000,-193000000,-155000000,74000000,902000000,-876000000,1442000000,507000000,-565000000,-206000000,493000000,322000000,1057000000,-1817000000,355000000,5762000000,-5552000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168000000,167000000,2477000000,2188000000,2826000000,506000000,793000000,600000000,445000000,519000000,1421000000,545000000,1987000000,2494000000,1929000000,1723000000,2216000000,2538000000,3595000000,1778000000,2133000000,7895000000,2343000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,15900000,69500000,107900000,218500000,121700000,100000000,1200000,53300000,146000000,172000000,62000000,168000000,167000000,2477000000,2188000000,1103000000,506000000,793000000,600000000,445000000,519000000,1421000000,545000000,1987000000,2494000000,1929000000,1723000000,2216000000,2538000000,3595000000,1778000000,2133000000,7895000000
100,Free Cash Flow,- -,- -,- -,- -,-73400000,-217400000,-165100000,-94400000,-467700000,-566200000,-565100000,-94300000,-452000000,-403000000,-135000000,-762000000,2570000000,2053000000,2439000000,2956000000,2603000000,4119000000,2169000000,3681000000,4159000000,3489000000,5430000000,5663000000,6239000000,6800000000,7870000000,8162000000,10134000000,10596000000,11045000000,16376000000,14005000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/354950/000035495096000002/0000354950-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/354950/000095014497004508/0000950144-97-004508-index.html,https://www.sec.gov/Archives/edgar/data/354950/000095014498005045/0000950144-98-005045-index.html,- -,https://www.sec.gov/Archives/edgar/data/354950/000095014400005338/0000950144-00-005338-index.html,- -,https://www.sec.gov/Archives/edgar/data/354950/000095014402004155/0000950144-02-004155-index.html,- -,https://www.sec.gov/Archives/edgar/data/354950/000104746904011651/a2132560z10-k.htm,https://www.sec.gov/Archives/edgar/data/354950/000104746905009783/a2153171z10-k.htm,https://www.sec.gov/Archives/edgar/data/354950/000104746906004211/a2168212z10-k.htm,https://www.sec.gov/Archives/edgar/data/354950/000104746907002295/a2176777z10-k.htm,https://www.sec.gov/Archives/edgar/data/354950/000104746908004077/0001047469-08-004077-index.html,https://www.sec.gov/Archives/edgar/data/354950/000095014409002875/0000950144-09-002875-index.html,https://www.sec.gov/Archives/edgar/data/354950/000119312510067178/0001193125-10-067178-index.html,https://www.sec.gov/Archives/edgar/data/354950/000119312511076501/d10k.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495012000003/0000354950-12-000003-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495013000008/0000354950-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495014000008/hd-222014x10xk.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495015000008/hd-212015x10xk.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495016000060/0000354950-16-000060-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495017000005/0000354950-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495018000019/0000354950-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495019000010/0000354950-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/354950/000035495020000015/0000354950-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495021000089/0000354950-21-000089-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495022000070/0000354950-22-000070-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
