,https://roic.ai/company/EMR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,230800000,269300000,294400000,295200000,340700000,364500000,408900000,464600000,511600000,562500000,637500000,678500000,708500000,541000000,534000000,557000000,562000000,607000000,656000000,707000000,727000000,816000000,867000000,823000000,819000000,831000000,815000000,568000000,636000000,758000000,822000000,854000000,969000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-424000000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000000,110000000,224000000
77,Change in Working Capital,- -,- -,- -,- -,-83500000,- -,- -,- -,- -,720900000,-217500000,662700000,-291700000,105200000,-445600000,-270100000,-322900000,620000000,1522000000,-6000000,-171000000,50000000,563000000,239000000,-61000000,-183000000,366000000,113000000,381000000,-961000000,-164000000,-297000000,1255000000,-2752000000,708000000,1858000000,203000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-32800000,57600000,5900000,45200000,53400000,-88500000,-100200000,-18000000,-64400000,-27700000,69000000,-167000000,99400000,265000000,161000000,-8000000,8000000,-274000000,96000000,-90000000,580000000,-160000000,12000000,-49000000,83000000,-132000000,-16000000,58000000,32000000,17000000,-87000000,-6000000,-126000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-709000000,498000000,194000000,143000000,14000000,294000000,-287000000,-22000000,135000000,115000000,-37000000,-196000000,370000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,720900000,503400000,1166100000,874400000,979600000,534000000,263900000,-59000000,561000000,2083000000,2077000000,1906000000,1956000000,2519000000,2758000000,2697000000,2514000000,2880000000,2993000000,3374000000,2413000000,2249000000,1952000000,3207000000,455000000,1163000000,3021000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,16000000,-56000000,40000000,43100000,26000000,-777100000,43300000,-828500000,156800000,-244700000,305000000,9000000,290300000,535000000,-1414000000,408000000,374000000,10000000,-339000000,-65000000,696000000,495000000,-480000000,149000000,445000000,1675000000,-408000000,975000000,-1497000000,2683000000,-950000000,-1704000000,-124000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,751300000,826500000,966300000,1001200000,1074800000,1096800000,1142400000,1317300000,1498600000,1651600000,1810500000,1839800000,1707700000,1818000000,1731000000,2216000000,2187000000,2512000000,3016000000,3293000000,3086000000,3292000000,3233000000,3053000000,3649000000,3692000000,2529000000,2881000000,1912000000,2892000000,3006000000,3083000000,3575000000
84,CAPEX,- -,- -,- -,- -,-285800000,-309700000,-310900000,-345500000,-305600000,-332300000,-420700000,-513500000,-575400000,-602600000,-591600000,-692000000,-554200000,-384000000,-337000000,-400000000,-518000000,-601000000,-681000000,-714000000,-531000000,-524000000,-647000000,-665000000,-678000000,-767000000,-685000000,-447000000,-476000000,-617000000,-594000000,-538000000,-581000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58100000,-235500000,-299800000,-319200000,-572900000,-1202000000,-1971800000,-200100000,-754000000,-6000000,-414000000,-366000000,-752000000,-295000000,-561000000,-776000000,-1997000000,-129000000,-62000000,-16000000,-247000000,1488000000,-132000000,-2951000000,-2002000000,-455000000,-126000000,-1577000000
86,Purchases of Investments,- -,- -,- -,- -,-12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,16400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,54700000,-699100000,-194900000,5000000,-1188500000,204700000,28900000,272300000,34000000,76200000,215500000,168600000,206600000,257000000,39000000,97000000,-44000000,137000000,106000000,203000000,-533000000,-520000000,-719000000,-744000000,-773000000,-912000000,-897000000,-494000000,4465000000,-718000000,-719000000,-614000000,-543000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-226700000,-1008800000,-505800000,-340500000,-1494100000,-185700000,-627300000,-541000000,-860600000,-1099300000,-1578100000,-2495200000,-547700000,-881000000,-304000000,-717000000,-928000000,-1216000000,-870000000,-1072000000,-1309000000,-2517000000,-848000000,-806000000,-789000000,-1159000000,591000000,-626000000,1514000000,-2720000000,-1174000000,-740000000,-2120000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1362000000,-680000000,-57000000,-262000000,-521000000,-2839000000,-3790000000,-1462000000,-1979000000,-241000000,-662000000,-1636000000,-883000000
91,Common Stock Issued,- -,- -,- -,- -,8300000,6200000,11700000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-92200000,- -,- -,- -,-8200000,-110800000,-51300000,-120300000,-376600000,-499400000,-323700000,-376200000,-533700000,-20000000,- -,-121000000,-621000000,-862000000,-853000000,-1120000000,-718000000,-100000000,-935000000,-797000000,-1110000000,-1048000000,-2501000000,-601000000,-400000000,-1000000000,-1250000000,-942000000,-500000000
93,Dividends Paid,- -,- -,- -,- -,-250600000,-281200000,-295200000,-309500000,-324200000,-349900000,-398500000,-439100000,-480700000,-521000000,-566400000,-613200000,-654000000,-652000000,-661000000,-675000000,-694000000,-730000000,-837000000,-940000000,-998000000,-1009000000,-1039000000,-1171000000,-1181000000,-1210000000,-1269000000,-1227000000,-1239000000,-1229000000,-1209000000,-1209000000,-1210000000
94,Other Financing Activites,- -,- -,- -,- -,-178000000,428800000,-163700000,-394900000,792200000,-449300000,-65800000,-190900000,314500000,464900000,717400000,1694000000,107900000,-262000000,-503000000,-93000000,-54000000,-139000000,-304000000,606000000,1130000000,1063000000,144000000,331000000,879000000,2538000000,4612000000,1245000000,27000000,378000000,1730000000,3278000000,171000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-512500000,153800000,-447200000,-704200000,459800000,-910000000,-515600000,-750300000,-542800000,-555500000,-172700000,704600000,-1079800000,-934000000,-1153000000,-889000000,-1369000000,-1731000000,-1994000000,-1454000000,-1948000000,-726000000,-1887000000,-1899000000,-1933000000,-2559000000,-2948000000,-2045000000,-3591000000,-2092000000,-1391000000,-509000000,-2422000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,2000000,14100000,-9200000,21300000,-18800000,10300000,4500000,5700000,-23100000,-8200000,-3300000,-34500000,-5300000,22000000,41000000,40000000,-3000000,12000000,46000000,2000000,-46000000,-17000000,-38000000,-33000000,-19000000,-100000000,-267000000,-82000000,45000000,-49000000,-40000000,-13000000,6000000
97,Net Change In Cash,- -,- -,- -,- -,-512500000,153800000,-447200000,-704200000,459800000,11400000,4000000,31700000,72100000,-11400000,56400000,14700000,74900000,25000000,315000000,650000000,-113000000,-423000000,198000000,769000000,-217000000,32000000,460000000,315000000,908000000,-126000000,-95000000,128000000,-120000000,-1969000000,401000000,1821000000,-961000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,113300000,117300000,149000000,221100000,209700000,266100000,280800000,355700000,381000000,696000000,1346000000,1233000000,810000000,1008000000,1777000000,1560000000,1592000000,2052000000,2367000000,3275000000,3149000000,3054000000,3182000000,3062000000,1093000000,1494000000,3315000000,2354000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,98600000,112700000,98300000,102400000,80200000,101900000,113300000,117300000,149000000,221100000,209700000,266100000,280800000,356000000,381000000,696000000,1346000000,1233000000,810000000,1008000000,1777000000,1560000000,1592000000,2052000000,2367000000,3275000000,3149000000,3054000000,3182000000,3062000000,1093000000,1494000000,3315000000
100,Free Cash Flow,- -,- -,- -,- -,465500000,516800000,655400000,655700000,769200000,764500000,721700000,803800000,923200000,1049000000,1218900000,1147800000,1153500000,1434000000,1394000000,1816000000,1669000000,1911000000,2335000000,2579000000,2555000000,2768000000,2586000000,2388000000,2971000000,2925000000,1844000000,2434000000,1436000000,2275000000,2412000000,2545000000,2994000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/32604/000003260494000022/0000032604-94-000022-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260495000011/0000032604-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260496000015/0000032604-96-000015-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260497000015/0000032604-97-000015-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260498000016/0000032604-98-000016-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260499000014/0000032604-99-000014-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260400000030/0000032604-00-000030-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260401500032/0000032604-01-500032-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260402000022/0000032604-02-000022-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/32604/000114420407063041/0001144204-07-063041-index.html,https://www.sec.gov/Archives/edgar/data/32604/000114420408066523/0001144204-08-066523-index.html,https://www.sec.gov/Archives/edgar/data/32604/000114420409061535/0001144204-09-061535-index.html,https://www.sec.gov/Archives/edgar/data/32604/000114420410063258/0001144204-10-063258-index.html,https://www.sec.gov/Archives/edgar/data/32604/000114420411066373/0001144204-11-066373-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260412000012/0000032604-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260413000044/0000032604-13-000044-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260414000048/0000032604-14-000048-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260415000051/0000032604-15-000051-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260416000105/0000032604-16-000105-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260417000046/0000032604-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260418000044/0000032604-18-000044-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260419000048/0000032604-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/32604/000003260420000041/0000032604-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/32604/000003260421000038/0000032604-21-000038-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
