,https://roic.ai/company/IIIN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,6400000,- -,19900000,11000000,14300000,8200000,-10320000,-1613000,-3645000,16266000,-14600000,7416000,17382000,35210000,-12159000,-39215000,20087000,2977000,-29256000,-42104000,48504000,-5467000,1094000,-4861000,4553000,4056000,-26633000,-18400000,-9811000,-2000,-25080000,10167000,72000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,13900000,- -,16300000,6700000,17300000,1600000,4643000,18309000,7277000,14517000,13708000,24515000,-733000,7845000,3763000,27769000,44461000,44835000,16918000,36749000,22122000,12879000,-2907000,13144000,36828000,29232000,35774000,54536000,20303000,53969000,6608000,56224000,69878000
84,CAPEX,- -,- -,- -,- -,-4500000,- -,-3400000,-9800000,-19600000,-10700000,-5554000,-13193000,-27076000,-6708000,-7344000,-9230000,-2257000,-528000,-962000,-3043000,-6607000,-18959000,-17013000,-9456000,-2377000,-1493000,-7937000,-8066000,-6917000,-8955000,-8613000,-12977000,-20575000,-18449000,-10512000,-7114000,-17500000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8397000,-1453000,8078000,16448000,- -,- -,- -,- -,- -,- -,- -,- -,-37308000,- -,- -,-33943000,480000,- -,- -,-3300000,- -,-18356000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-116000,- -,- -,- -,-5125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-215000,- -,-147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,638000,222000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,413000,- -,1063000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-4000000,- -,-200000,2200000,-500000,-400000,-5312000,-13405000,-27076000,2150000,-8318000,-72635000,-2097000,1720000,246000,24000,2691000,11413000,-49000,1207000,-2364000,420000,-4997000,-8191000,-6294000,-6432000,-3519000,-12972000,-20880000,-18639000,-9556000,-4818000,-17805000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-8500000,- -,-3600000,-7600000,-20000000,-11100000,-5428000,-13405000,-26438000,2372000,-21840000,-74088000,5981000,18168000,-716000,-3019000,-3916000,-7546000,-17062000,-8249000,-2166000,420000,-41389000,-8191000,-6294000,-40375000,-3039000,-12972000,-20880000,-21939000,-9556000,-23174000,-17805000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3907000,-74130000,-95525000,-123062000,-95981000,-143471000,-85395000,-32065000,- -,- -,- -,- -,- -,- -,-22920000,-338000,-52150000,-93406000,-16077000,-19215000,-60978000,-328000,-404000,-372000,-44333000,-322000,-297000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,423000,243000,10000,44000,111000,19000,- -,- -,- -,- -,175000,360000,162000,120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8529000,- -,-8691000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-900000,- -,-1200000,-1300000,-1900000,-2000000,-2008000,-2021000,-2024000,-2026000,-2028000,-2030000,- -,- -,- -,- -,-566000,-2222000,-2176000,-2141000,-11381000,-2108000,-2112000,-2121000,-6599000,-2193000,-2211000,-20859000,-26011000,-21333000,-2310000,-2313000,-31294000
94,Other Financing Activites,- -,- -,- -,- -,4600000,- -,-7700000,-1300000,13500000,3500000,5306000,72164000,115256000,107132000,106435000,197458000,81100000,5400000,-3047000,-22742000,-41100000,-11617000,172000,2000,22954000,-20000,52633000,90574000,7572000,20161000,60662000,5238000,224000,1511000,43831000,92000,714000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,3700000,- -,-8900000,-2600000,11600000,1500000,-186000,-3744000,17717000,-17912000,8537000,51976000,-4295000,-26665000,-3047000,-22742000,-41491000,-22008000,-1842000,-10710000,-11347000,-2466000,-1629000,-4953000,-15104000,-1247000,-2527000,-15949000,-26191000,-20194000,-2812000,-2543000,-30877000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,3700000,- -,-8900000,-2600000,11600000,1500000,-971000,1160000,-344000,-657000,405000,2403000,953000,-652000,- -,2008000,-946000,9318000,-1986000,17790000,8609000,10833000,-45925000,- -,15430000,-12390000,30208000,25615000,-26768000,11836000,-5760000,30507000,21196000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263000,1423000,1079000,422000,827000,3230000,4183000,310000,310000,2318000,1372000,10689000,8703000,26493000,35102000,45935000,10000,10000,15440000,3050000,33258000,58873000,32105000,43941000,38181000,68688000,89884000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1000000,- -,- -,3800000,400000,9300000,1234000,263000,1423000,1079000,422000,827000,3230000,962000,310000,310000,2318000,1371000,10689000,8703000,26493000,35102000,45935000,10000,10000,15440000,3050000,33258000,58873000,32105000,43941000,38181000,68688000
100,Free Cash Flow,- -,- -,- -,- -,9400000,- -,12900000,-3100000,-2300000,-9100000,-911000,5116000,-19799000,7809000,6364000,15285000,-2990000,7317000,2801000,24726000,37854000,25876000,-95000,27293000,19745000,11386000,-10844000,5078000,29911000,20277000,27161000,41559000,-272000,35520000,-3904000,49110000,52378000
101,SEC Link,undefined,undefined,undefined,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764401/000095014402012962/g79876e10vk.htm,https://www.sec.gov/Archives/edgar/data/764401/000095014404006214/g89605e10vk.htm,https://www.sec.gov/Archives/edgar/data/764401/000095014404011815/g92264e10vk.htm,https://www.sec.gov/Archives/edgar/data/764401/000095014405012675/g98743e10vk.htm,https://www.sec.gov/Archives/edgar/data/764401/000095014406011379/0000950144-06-011379-index.html,https://www.sec.gov/Archives/edgar/data/764401/000095014407010780/0000950144-07-010780-index.html,https://www.sec.gov/Archives/edgar/data/764401/000095014408008769/0000950144-08-008769-index.html,https://www.sec.gov/Archives/edgar/data/764401/000095012309060253/0000950123-09-060253-index.html,https://www.sec.gov/Archives/edgar/data/764401/000095012310109739/0000950123-10-109739-index.html,https://www.sec.gov/Archives/edgar/data/764401/000119312511306348/0001193125-11-306348-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774912010790/0001437749-12-010790-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774913013544/0001437749-13-013544-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774914018761/0001437749-14-018761-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774915019173/0001437749-15-019173-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774916040500/0001437749-16-040500-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774917017727/0001437749-17-017727-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774918018853/0001437749-18-018853-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774919020623/0001437749-19-020623-index.html,https://www.sec.gov/Archives/edgar/data/764401/000143774920021957/0001437749-20-021957-index.htm,https://www.sec.gov/Archives/edgar/data/764401/000143774921024481/0001437749-21-024481-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
