,https://roic.ai/company/HNI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,58200000,33800000,55800000,64000000,64600000,93000000,93300000,- -,141400000,146800000,204920000,227800000,202391000,- -,194256000,201009000,159602000,291187000,- -,174369000,193205000,134278000,144777000,165002000,- -,167796000,223362000,133149000,186430000,219380000,- -,214469000
84,CAPEX,- -,- -,- -,- -,- -,-20700000,-13900000,-29000000,-27500000,-35000000,-53900000,-123800000,- -,-85500000,-161200000,-59840000,-36851000,-25885000,- -,-32417000,-38912000,-59924000,-58914000,- -,-71496000,-17554000,-31143000,-60270000,-78895000,- -,-112713000,-119584000,-127391000,-63696000,-66885000,- -,-41802000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-134696000,-8748000,- -,- -,-134848000,-33804000,-78569000,-41696000,- -,-75479000,-500000,-54990000,-26894000,- -,- -,-61823000,-34302000,-898000,-2850000,- -,- -,-58258000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-5700000,- -,-11600000,- -,- -,- -,- -,- -,- -,-38870000,- -,-24496000,-34495000,-13600000,-24427000,- -,-10900000,-9710000,-15555000,-5554000,-1107000,- -,-3801000,-8724000,-3451000,-2676000,-6702000,- -,-4222000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,- -,12400000,- -,400000,100000,- -,- -,- -,- -,77807000,34905000,9176000,20576000,- -,20158000,33872000,6480000,4762000,5053000,- -,7770000,8619000,3197000,3100000,4845000,- -,3611000
88,Other Investing Activites,- -,- -,- -,- -,- -,4200000,-3200000,-17300000,-1000000,2100000,2700000,9500000,- -,-115600000,1200000,-2195000,-1414000,859000,- -,-765000,-2641000,5952000,12439000,- -,6191000,-10381000,-27476000,-58127000,-79365000,- -,-96356000,-118619000,-116872000,-38794000,-61038000,- -,-41503000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-16500000,-17100000,-46300000,-34200000,-24400000,-62800000,-101900000,- -,-200700000,-159900000,-196731000,-47013000,-63896000,- -,-114719000,-74947000,-136965000,-92022000,- -,-131526000,13281000,-91541000,-85813000,-75419000,- -,-154210000,-153026000,-118024000,-41220000,-62895000,- -,-100372000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-219884000,-26523000,-179333000,-163524000,- -,-235595000,-594547000,-274343000,-352727000,-215934000,- -,-83179000
91,Common Stock Issued,- -,- -,- -,- -,- -,900000,900000,900000,1100000,1800000,1900000,1800000,- -,59200000,3300000,9529000,9449000,2096000,- -,15579000,14997000,5786000,9708000,- -,4151000,2893000,3198000,6396000,9591000,- -,18469000,21596000,14224000,19606000,30473000,- -,8064000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-32000000,-4200000,-16000000,-19600000,-29600000,-9800000,-21900000,- -,-4100000,-12200000,-17973000,-35059000,-15736000,- -,-145604000,-202217000,-203646000,-147675000,- -,-28553000,- -,-10000000,-21021000,-27488000,- -,-67908000,-55825000,-57505000,-30452000,-83887000,- -,-6764000
93,Dividends Paid,- -,- -,- -,- -,- -,-9900000,-11700000,-12100000,-12600000,-13600000,-14500000,-15000000,- -,-16700000,-19700000,-26455000,-28373000,-29386000,- -,-32023000,-33841000,-36028000,-36408000,- -,-38095000,-38667000,-41250000,-43041000,-43494000,- -,-44328000,-48495000,-49557000,-51085000,-52232000,- -,-52096000
94,Other Financing Activites,- -,- -,- -,- -,- -,-4300000,-2900000,27600000,-5900000,-4000000,-3200000,42700000,- -,35800000,13100000,7723000,-51147000,-35142000,- -,-26795000,141030000,163621000,-18986000,- -,25311000,97008000,5554000,147005000,158580000,- -,284890000,614699000,339092000,322919000,140349000,- -,83925000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-45300000,-17900000,400000,-37000000,-45400000,-25600000,7600000,- -,74200000,-15500000,-27176000,-105130000,-78168000,- -,-188843000,-80031000,-70267000,-193361000,- -,-37186000,-158650000,-69021000,-89994000,-66335000,- -,-44472000,-62572000,-28089000,-91739000,-181231000,- -,-50050000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-45300000,-17900000,400000,-37000000,-45400000,-25600000,7600000,- -,74200000,-15500000,-18987000,75657000,60327000,- -,-109306000,46031000,-47630000,5804000,- -,5657000,47836000,-26284000,-31030000,23248000,- -,-30886000,7764000,-12964000,53471000,-24746000,- -,64047000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3181000,78838000,139165000,- -,29676000,75707000,28077000,33881000,- -,39538000,87374000,72812000,41782000,65030000,- -,34144000,36312000,23348000,76819000,52073000,- -,116120000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,34900000,31400000,30200000,40100000,32800000,27700000,32200000,- -,31200000,46100000,22168000,3181000,78838000,- -,138982000,29676000,75707000,28077000,- -,33881000,39538000,99096000,72812000,41782000,- -,65030000,28548000,36312000,23348000,76819000,- -,52073000
100,Free Cash Flow,- -,- -,- -,- -,- -,37500000,19900000,26800000,36500000,29600000,39100000,-30500000,- -,55900000,-14400000,145080000,190949000,176506000,- -,161839000,162097000,99678000,232273000,- -,102873000,175651000,103135000,84507000,86107000,- -,55083000,103778000,5758000,122734000,152495000,- -,172667000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/48287/000095013195000749/0000950131-95-000749-index.html,https://www.sec.gov/Archives/edgar/data/48287/000095013196001292/0000950131-96-001292-index.html,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/48287/000091205701008394/0000912057-01-008394-index.html,https://www.sec.gov/Archives/edgar/data/48287/000091205702011161/0000912057-02-011161-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000104746903009781/0001047469-03-009781-index.htm,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/48287/000114036107004255/0001140361-07-004255-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000114036108004941/0001140361-08-004941-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/48287/000114036109005205/0001140361-09-005205-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000114036110008626/0001140361-10-008626-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828712000010/0000048287-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828713000006/0000048287-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828714000007/0000048287-14-000007-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/48287/000004828715000009/0000048287-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828717000067/0000048287-17-000067-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828718000059/0000048287-18-000059-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828719000045/0000048287-19-000045-index.htm,https://www.sec.gov/Archives/edgar/data/48287/000004828720000045/0000048287-20-000045-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/48287/000004828721000038/0000048287-21-000038-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
