,https://roic.ai/company/WHR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,209000000,- -,- -,- -,-288000000,- -,78000000,815000000,10000000,-330000000,-351000000,295000000,-407000000,454000000,253000000,-120000000,65000000,188000000,-181000000,603000000,82000000,-1041000000,192000000,-89000000,-533000000,-114000000,96000000,-252000000,-1205000000,809000000,1656000000,23000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000000,-286000000,187000000,-15000000,47000000,-65000000,-90000000,-89000000,-291000000,160000000,79000000,-87000000,-940000000,-232000000
79,Inventory,- -,- -,- -,- -,- -,112000000,109000000,-7000000,-145000000,-72000000,-111000000,-7000000,177000000,73000000,-52000000,-80000000,-26000000,101000000,-127000000,-266000000,37000000,-118000000,-194000000,-174000000,578000000,-595000000,283000000,-7000000,-86000000,40000000,-141000000,-18000000,-229000000,73000000,-39000000,241000000,-648000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000000,326000000,341000000,25000000,240000000,275000000,359000000,14000000,37000000,180000000,210000000,140000000,341000000,949000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-288000000,-288000000,-210000000,605000000,615000000,285000000,-66000000,229000000,-178000000,276000000,529000000,409000000,474000000,662000000,481000000,1084000000,1166000000,125000000,317000000,228000000,-305000000,-419000000,-323000000,-575000000,-1780000000,-971000000,685000000,-241000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,29000000,411000000,89000000,368000000,341000000,-188000000,-10000000,-355000000,-36000000,338000000,-45000000,441000000,1051000000,-551000000,-310000000,137000000,-160000000,-498000000,-507000000,94000000,-178000000,623000000,-448000000,-16000000,802000000,-112000000,-436000000,512000000,1972000000,-1350000000,-1795000000,-124000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,528000000,817000000,578000000,629000000,449000000,377000000,545000000,593000000,763000000,801000000,445000000,1024000000,812000000,744000000,794000000,881000000,888000000,933000000,327000000,1550000000,1078000000,530000000,696000000,1262000000,1479000000,1225000000,1203000000,1264000000,1229000000,1230000000,1500000000,2176000000
84,CAPEX,- -,- -,- -,- -,- -,-265000000,-882000000,-288000000,-309000000,-418000000,-483000000,-336000000,-378000000,-644000000,-437000000,-375000000,-378000000,-430000000,-423000000,-511000000,-494000000,-576000000,-536000000,-547000000,-541000000,-620000000,-608000000,-476000000,-578000000,-720000000,-689000000,-660000000,-684000000,-590000000,-532000000,-410000000,-525000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-283000000,- -,-179000000,-4000000,-2000000,-77000000,-651000000,100000000,- -,- -,-18000000,- -,- -,- -,-1809000000,- -,- -,- -,- -,- -,- -,-439000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35000000,- -,-7000000,-28000000,-6000000,-16000000,-70000000,-12000000,-208000000,-25000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113000000,60000000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-296000000,-802000000,76000000,213000000,79000000,-452000000,-324000000,1366000000,587000000,- -,- -,209000000,- -,75000000,74000000,141000000,33000000,105000000,-433000000,-464000000,-588000000,-589000000,-466000000,-576000000,-631000000,-611000000,-576000000,-560000000,-434000000,636000000,-237000000,-221000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-561000000,-1684000000,-212000000,-96000000,-339000000,-935000000,-645000000,988000000,-57000000,-437000000,-658000000,-169000000,-609000000,-352000000,-439000000,-430000000,-1194000000,-331000000,-433000000,-499000000,-606000000,-596000000,-494000000,-582000000,-2456000000,-681000000,-588000000,-655000000,-399000000,636000000,-237000000,-660000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131000000,-572000000,-411000000,-315000000,-361000000,-513000000,-606000000,-283000000,-522000000,-564000000,-386000000,-949000000,-569000000,-300000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,75000000,- -,- -,25000000,- -,- -,- -,- -,- -,- -,65000000,64000000,102000000,54000000,68000000,21000000,21000000,72000000,14000000,43000000,95000000,38000000,38000000,26000000,34000000,17000000,8000000,44000000,76000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000000,-35000000,- -,- -,-40000000,-167000000,-427000000,-43000000,-46000000,-98000000,-251000000,-34000000,- -,-368000000,-247000000,- -,- -,- -,- -,-350000000,-25000000,-250000000,-525000000,-750000000,-1153000000,-148000000,-121000000,-1041000000
93,Dividends Paid,- -,- -,- -,- -,- -,-76000000,-76000000,-77000000,-85000000,-90000000,-100000000,-101000000,-102000000,-102000000,-103000000,-70000000,-113000000,-92000000,-94000000,-116000000,-116000000,-130000000,-134000000,-128000000,-128000000,-132000000,-148000000,-155000000,-187000000,-224000000,-269000000,-294000000,-312000000,-306000000,-305000000,-311000000,-338000000
94,Other Financing Activites,- -,- -,- -,- -,- -,105000000,907000000,-265000000,-501000000,-20000000,770000000,156000000,-1030000000,-506000000,-326000000,573000000,-497000000,-185000000,-218000000,-55000000,-119000000,105000000,-262000000,626000000,823000000,-24000000,283000000,325000000,521000000,1522000000,57000000,1037000000,1039000000,1310000000,-30000000,704000000,264000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,29000000,831000000,-342000000,-511000000,-126000000,635000000,80000000,-1132000000,-648000000,-596000000,76000000,-653000000,-323000000,-345000000,-358000000,-167000000,29000000,-696000000,141000000,144000000,-495000000,-166000000,-148000000,-434000000,705000000,-707000000,-278000000,-553000000,-518000000,-1424000000,-253000000,-1339000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,-143000000,-10000000,- -,-4000000,10000000,-3000000,-3000000,18000000,33000000,-90000000,39000000,11000000,-27000000,5000000,-34000000,-82000000,-91000000,-24000000,55000000,-67000000,-28000000,-28000000,-67000000
97,Net Change In Cash,- -,- -,- -,- -,- -,29000000,831000000,-342000000,-511000000,-126000000,- -,- -,- -,- -,-375000000,-147000000,202000000,-124000000,57000000,-6000000,281000000,-262000000,-61000000,-55000000,1234000000,-12000000,-259000000,59000000,212000000,-354000000,-254000000,313000000,111000000,245000000,414000000,982000000,110000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261000000,114000000,316000000,192000000,249000000,243000000,524000000,262000000,201000000,146000000,1380000000,1368000000,1109000000,1168000000,1380000000,1026000000,772000000,1085000000,1196000000,1538000000,1952000000,2934000000,3044000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,78000000,78000000,42000000,66000000,88000000,72000000,149000000,129000000,578000000,636000000,261000000,114000000,316000000,192000000,249000000,243000000,524000000,262000000,201000000,146000000,1380000000,1368000000,1109000000,1168000000,1380000000,1026000000,772000000,1085000000,1293000000,1538000000,1952000000,2934000000
100,Free Cash Flow,- -,- -,- -,- -,- -,263000000,-65000000,290000000,320000000,31000000,-106000000,209000000,215000000,119000000,364000000,70000000,646000000,382000000,321000000,283000000,387000000,312000000,397000000,-220000000,1009000000,458000000,-78000000,220000000,684000000,759000000,536000000,543000000,580000000,639000000,698000000,1090000000,1651000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106640/000095013196001100/0000950131-96-001100-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106640/000095013103001354/0000950131-03-001354-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000119312504040222/0001193125-04-040222-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000119312505042422/0001193125-05-042422-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000104746906002674/0001047469-06-002674-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000119312507042772/0001193125-07-042772-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000119312508036294/0001193125-08-036294-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000119312509032852/0001193125-09-032852-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000119312510033211/0001193125-10-033211-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000119312511035529/0001193125-11-035529-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664012000006/0000106640-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664013000009/0000106640-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664014000008/0000106640-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664015000014/0000106640-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664016000068/0000106640-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664017000013/0000106640-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664018000019/0000106640-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664019000016/0000106640-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664020000017/0000106640-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664021000022/0000106640-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/106640/000010664022000015/0000106640-22-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
