,https://roic.ai/company/NPK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3593000,-500000,-10218000,-1400000,-750000,-13834000,-6748000,- -,- -,- -,-4526000,-246000,- -,-10534000,- -,- -,64033000,9410000,-3733000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-12400000,- -,- -,-7900000,-25700000,-98700000,-98900000,-117900000,-183900000,-51500000,-92700000,-50747000,-63553000,-45211000,-18075000,-47944000,-50771000,-53472000,-93965000,-138113000,-78486000,-45464000,-40962000,-26023000,-6151000,-8976000,-20170000,-86119000,-192584000,-163271000,-105409000,-48047000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,3000000,1100000,- -,- -,91100000,99100000,94300000,179400000,65500000,68900000,57997000,104144000,60651000,40714000,40903000,54401000,68287000,74630000,134009000,81426000,62109000,82521000,29767000,25263000,22959000,10306000,33863000,132752000,173060000,161420000,57823000,- -
88,Other Investing Activites,- -,- -,- -,- -,-200000,-700000,- -,- -,300000,200000,200000,400000,100000,- -,-300000,-194000,-388000,4000,1522000,759000,12000,9000,211000,- -,299000,-215000,-214000,-3492000,-21559000,307000,25000,-1640000,1105000,331000,6020000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-14100000,1100000,300000,-9400000,-26400000,-9100000,-4100000,-25200000,-8400000,10300000,-28300000,3213000,34572000,11536000,11040000,-35870000,-10940000,-6281000,-32096000,-8474000,-98000,-1542000,21816000,-13578000,-38703000,-7531000,-16300000,-60846000,-2090000,10844000,55160000,7155000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323000,443000,519000,528000,518000,528000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5400000,-10544000,-1301000,-3000,-425000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-18800000,-30400000,-19800000,-27900000,- -,-13900000,-15800000,-14700000,-14700000,-14700000,-14700000,-14995000,-13754000,-6290000,-6284000,-7977000,-11394000,-14476000,-25958000,-29067000,-38008000,-55889000,-56665000,-86106000,- -,-34954000,-28114000,-35161000,-38405000,-41989000,-42087000,-42172000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-900000,- -,- -,- -,-5100000,- -,- -,- -,- -,- -,-5243000,- -,- -,- -,-10000,-76000,41000,190000,243000,408000,439000,784000,- -,362000,-5000,- -,-114000,-6000,-442000,-27000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-18800000,-30400000,-20700000,-27900000,- -,-13900000,-20900000,-14700000,-14700000,-14700000,-20100000,-25539000,-20298000,-6293000,-6709000,-7977000,-11404000,-14552000,-25917000,-28877000,-37765000,-55481000,-56226000,-85322000,- -,-34592000,-27796000,-34718000,-38000000,-41467000,-42011000,-41671000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-18800000,-30400000,-20700000,-27900000,- -,-13900000,-20900000,-14700000,-14700000,-14700000,-26500000,-8451000,8631000,30760000,29128000,-39041000,-3257000,-15327000,-19981000,-2023000,24282000,745000,24276000,-36558000,-14484000,31090000,2179000,-29188000,-15812000,45625000,22732000,6457000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88100000,79624000,83877000,114637000,143765000,104724000,101467000,46696000,26715000,24692000,48974000,49719000,73995000,37437000,22953000,54043000,56222000,27034000,11222000,56847000,79579000,86036000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,114700000,103800000,118800000,129100000,126800000,115500000,109400000,91400000,91900000,91600000,114600000,88075000,75246000,83877000,114637000,143765000,104724000,62023000,46696000,26715000,24692000,48974000,49719000,73995000,37437000,22953000,54043000,56222000,27034000,11222000,56847000,79579000,86036000
100,Free Cash Flow,- -,- -,- -,- -,20500000,43100000,29900000,33500000,14100000,15300000,2500000,38300000,18800000,23700000,17700000,10032000,-7681000,22109000,21894000,-23382000,5255000,-1765000,31808000,30958000,58808000,39796000,43683000,48758000,-34005000,61926000,39814000,59215000,15882000,67562000,6445000,38352000,- -
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80172/000089710107001809/0000897101-07-001809-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000089710108000656/0000897101-08-000656-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000111650209000400/0001116502-09-000400-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/80172/000089710112000452/0000897101-12-000452-index.html,https://www.sec.gov/Archives/edgar/data/80172/000089710113000378/0000897101-13-000378-index.html,https://www.sec.gov/Archives/edgar/data/80172/000089710114000337/0000897101-14-000337-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000089710115000339/0000897101-15-000339-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000008017216000039/0000080172-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000008017217000013/0000080172-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000008017218000011/0000080172-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000008017219000007/0000080172-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000156276220000111/0001562762-20-000111-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000143774921006162/0001437749-21-006162-index.htm,https://www.sec.gov/Archives/edgar/data/80172/000143774922006042/0001437749-22-006042-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
