,https://roic.ai/company/QMCO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,25200000,137400000,-26500000,44100000,51700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52783000,11495000,-1466000,4107000,-8630000,-5881000,12849000,-8180000,-4845000,21647000,-25356000,-768000,-1994000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,27083000,-67628000,-38030000,13199000,25995000,- -,- -,- -,-31220000,3429000,-17749000,27041000,-20942000,4692000,-273000,10943000,465000,4491000,320000,2323000,10163000,-27872000,-4933000,-5549000,-2080000,-17627000,4349000
82,Other Non-Cash Items,- -,- -,- -,- -,8800000,27100000,56200000,53800000,65000000,67184000,206141000,2391000,4236000,96145000,80406000,19352000,-105370000,200945000,815000,1423000,901000,21106000,12444000,359691000,-4189000,15284000,13046000,10081000,12290000,-8442000,62647000,6333000,19061000,28684000,13479000,23559000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,40700000,79500000,50400000,-30100000,71300000,161056000,-164107000,312699000,284352000,217105000,379613000,177462000,38839000,17625000,-2063000,26260000,3419000,63809000,25741000,88088000,100164000,52327000,45660000,7735000,35474000,6034000,-11720000,8914000,-5032000,-16859000,-1181000,-767000
84,CAPEX,- -,- -,- -,- -,-16700000,-46000000,-37800000,-36100000,-38400000,-128170000,-211602000,-174977000,-175599000,-33176000,-35192000,-91823000,-41661000,-18525000,-22264000,-19792000,-20024000,-17195000,-21110000,-5423000,-8595000,-12339000,-11414000,-10099000,-5957000,-3241000,-3482000,-1752000,-2584000,-2708000,-2633000,-6931000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1750000,-2500000,- -,- -,-4965000,- -,-35831000,-20039000,-545385000,2176000,- -,- -,- -,-8152000,- -,- -,-517000,- -,- -,- -,- -,-1966000,-2655000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-62000000,-434800000,-134600000,-105474000,- -,- -,-71573000,- -,-7920000,-26803000,-27550000,-724925000,-2183510000,-2958185000,-1748925000,-714758000,-65000000,- -,- -,- -,- -,-2169000,-1118000,-22000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,351200000,192400000,217982000,5875000,- -,18000000,- -,12607000,2032000,- -,638925000,2229710000,2989123000,1673950000,781834000,105441000,- -,166000,2204000,- -,247000,- -,15209000,- -,- -,288000,2892000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,600000,-3800000,- -,100000,100000,-285171000,5276000,3533000,59112000,3000,- -,- -,-24400000,5510000,- -,5137000,- -,6000000,- -,1038000,-112000,32000,-2408000,1113000,426000,212000,-139000,-20240000,- -,51000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-16100000,-49800000,-99800000,-119600000,19500000,-300833000,-200451000,-171444000,-144210000,-34923000,-33005000,-116594000,-93611000,-103980000,23936000,-19548000,-115038000,-489504000,21507000,-4385000,-8541000,-10103000,-21974000,-10908000,-6649000,11641000,-3621000,-21992000,-2296000,235000,-4599000,-9586000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-125500000,-330000000,-378339000,-180977000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-92000000,-184222000,-225548000,-104334000,-49495000,-1265000,-50000000,-86946000,-113082000,-378880000,-491143000,-330250000,-405847000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,14999000,37207000,45261000,50360000,28189000,36813000,64039000,47743000,5477000,7598000,5865000,11269000,10295000,17016000,1959000,2851000,16547000,10390000,4805000,4430000,3737000,2478000,1020000,1715000,- -,- -,98091000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-303766000,-240848000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-305287000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,3800000,5800000,9100000,197100000,4900000,220500000,634350000,372196000,287500000,-21351000,-15578000,-1131000,-46630000,-41266000,-36598000,-2048000,-1488000,352683000,-30547000,- -,118973000,127715000,45591000,65665000,-1880000,-2378000,65744000,104176000,365933000,507353000,331461000,339084000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,3800000,5800000,9100000,197100000,4900000,109999000,341557000,39118000,156883000,-298449000,-282531000,-177940000,1113000,-35789000,-29000000,3817000,9781000,362978000,-13531000,-90041000,-62398000,-81286000,-48353000,20975000,1285000,-48641000,-18724000,-7886000,-11232000,16210000,1211000,31328000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190000,125000,-82000,-87000,39000,-211000,-13000,52000,-145000,62000,-16000,-108000
97,Net Change In Cash,- -,- -,- -,- -,3800000,5800000,9100000,197100000,4900000,-29778000,-23001000,180373000,297025000,-116267000,64077000,-117072000,-53659000,-122144000,-7127000,10529000,-101838000,-62717000,33717000,-6338000,29415000,-38937000,-24749000,17715000,30149000,-31177000,-34078000,-20912000,-18705000,-352000,-4585000,20867000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,187753000,164752000,345125000,642150000,272643000,336720000,801190000,343878000,221734000,214607000,225136000,123298000,60581000,93643000,87305000,114947000,76010000,51261000,68976000,99125000,67948000,33870000,12958000,17207000,16855000,12270000,33137000
99,Cash at the Beginning of Period,- -,- -,- -,- -,50900000,79300000,114700000,74500000,121800000,217531000,187753000,164752000,345125000,388910000,272643000,918262000,397537000,343878000,221734000,214607000,225136000,123298000,59926000,93643000,85532000,114947000,76010000,51261000,68976000,99125000,67948000,33870000,35912000,17207000,16855000,12270000
100,Free Cash Flow,- -,- -,- -,- -,24000000,33500000,12600000,-66200000,32900000,32886000,-375709000,137722000,108753000,183929000,344421000,85639000,-2822000,-900000,-24327000,6468000,-16605000,46614000,4631000,82665000,91569000,39988000,34246000,-2364000,29517000,2793000,-15202000,7162000,-7616000,-19567000,-3814000,-7698000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/709283/000095000597000595/0000950005-97-000595-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/709283/000103221000001281/0001032210-00-001281-index.html,https://www.sec.gov/Archives/edgar/data/709283/000102140801502794/0001021408-01-502794-index.html,https://www.sec.gov/Archives/edgar/data/709283/000101287002002895/0001012870-02-002895-index.html,https://www.sec.gov/Archives/edgar/data/709283/000070928303000014/d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000070928304000067/d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000070928305000043/d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000070928306000020/d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000119312507134671/0001193125-07-134671-index.html,https://www.sec.gov/Archives/edgar/data/709283/000119312508133393/0001193125-08-133393-index.html,https://www.sec.gov/Archives/edgar/data/709283/000119312509141705/0001193125-09-141705-index.html,https://www.sec.gov/Archives/edgar/data/709283/000120677410001437/0001206774-10-001437-index.html,https://www.sec.gov/Archives/edgar/data/709283/000120677411001377/0001206774-11-001377-index.html,https://www.sec.gov/Archives/edgar/data/709283/000120677412002735/quantum_10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000120677413002096/0001206774-13-002096-index.html,https://www.sec.gov/Archives/edgar/data/709283/000120677414001897/0001206774-14-001897-index.html,https://www.sec.gov/Archives/edgar/data/709283/000162828015004907/0001628280-15-004907-index.html,https://www.sec.gov/Archives/edgar/data/709283/000162828016016926/0001628280-16-016926-index.html,https://www.sec.gov/Archives/edgar/data/709283/000162828017006127/0001628280-17-006127-index.html,- -,https://www.sec.gov/Archives/edgar/data/709283/000119312519214070/d756514d10k.htm,https://www.sec.gov/Archives/edgar/data/709283/000162828020009888/0001628280-20-009888-index.htm,https://www.sec.gov/Archives/edgar/data/709283/000070928321000024/0000709283-21-000024-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
