,https://roic.ai/company/CL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21665/000095014695000129/0000950146-95-000129-index.html,https://www.sec.gov/Archives/edgar/data/21665/000095011296000868/0000950112-96-000868-index.html,https://www.sec.gov/Archives/edgar/data/21665/000094018097000241/0000940180-97-000241-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21665/000095013002001698/0000950130-02-001698-index.html,https://www.sec.gov/Archives/edgar/data/21665/000095013003002310/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312504040431/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312505037145/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312506038891/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312507038190/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312508041526/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312509041029/0001193125-09-041029-index.html,https://www.sec.gov/Archives/edgar/data/21665/000114036110008522/0001140361-10-008522-index.html,https://www.sec.gov/Archives/edgar/data/21665/000114036111011883/form10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000144530512000409/0001445305-12-000409-index.html,https://www.sec.gov/Archives/edgar/data/21665/000144530513000275/0001445305-13-000275-index.html,https://www.sec.gov/Archives/edgar/data/21665/000154554714000003/cl-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000162828015000846/cl-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000162828016011343/0001628280-16-011343-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166517000002/0000021665-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166518000003/0000021665-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166519000003/0000021665-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166520000004/0000021665-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166521000007/0000021665-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166522000003/0000021665-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,280000000,321000000,124900000,477000000,189900000,580200000,172000000,635000000,740400000,848600000,937300000,1063800000,1146600000,1288300000,1421300000,1327100000,1351400000,1353400000,1737400000,1957200000,2291000000,2203000000,2431000000,2472000000,2241000000,2180000000,1384000000,2441000000,2024000000,2400000000,2367000000,2695000000,2166000000
74,Depreciation and Amortization,- -,- -,- -,- -,97000000,126200000,146200000,192500000,209600000,235100000,300300000,316300000,319900000,330300000,340200000,337800000,336200000,296500000,315500000,327800000,329300000,328700000,333900000,347600000,351000000,376000000,421000000,425000000,439000000,442000000,449000000,443000000,475000000,511000000,519000000,539000000,556000000
75,Deferred Income Tax,- -,- -,- -,- -,27500000,52200000,-38400000,-25800000,53600000,64700000,-62900000,-23000000,18500000,60700000,- -,- -,- -,5300000,-48800000,57700000,30800000,- -,-147400000,-6100000,-23000000,29000000,88000000,63000000,71000000,18000000,-51000000,56000000,383000000,107000000,17000000,-120000000,-132000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100300000,117000000,121000000,122000000,120000000,128000000,131000000,125000000,123000000,127000000,109000000,100000000,107000000,135000000
77,Change in Working Capital,- -,- -,- -,- -,95300000,-391500000,80000000,39600000,40800000,-27900000,-41400000,-139100000,-231000000,-106500000,-49200000,21800000,-23200000,-500000,-28300000,-41900000,4900000,-182200000,623900000,300900000,-545700000,-209000000,684000000,134000000,-468000000,565000000,-67000000,183000000,198000000,-779000000,-311000000,-207000000,-197000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,47700000,-65000000,45800000,28400000,31700000,-44500000,-26100000,-1200000,-50900000,-19500000,-82800000,59000000,-18700000,-2400000,-3100000,-76100000,-46800000,-118500000,-111500000,-134700000,44000000,-10000000,-130000000,-21000000,-97000000,-60000000,-13000000,-4000000,-8000000,-58000000,-77000000,-251000000,-72000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,907500000,516000000,596000000,635600000,676400000,648500000,607100000,468000000,237000000,130500000,81300000,103100000,79900000,79400000,51100000,9200000,14100000,-168100000,455800000,756700000,211000000,2000000,686000000,820000000,352000000,917000000,850000000,1033000000,1231000000,452000000,141000000,-66000000,-55000000
82,Other Non-Cash Items,- -,- -,- -,- -,-147200000,342700000,173000000,-140600000,216500000,-22700000,442200000,128200000,250000000,45700000,64400000,112800000,140000000,21600000,108000000,83600000,68000000,321600000,-344100000,-461600000,1086700000,691000000,-850000000,-18000000,793000000,-38000000,1109000000,-105000000,-153000000,708000000,441000000,705000000,797000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,352600000,450600000,485700000,542700000,710400000,829400000,810200000,917400000,1097800000,1178800000,1292700000,1536200000,1599600000,1611200000,1767700000,1754300000,1784400000,1821500000,2203700000,2238300000,3277000000,3211000000,2896000000,3196000000,3204000000,3298000000,2949000000,3141000000,3054000000,3056000000,3133000000,3719000000,3325000000
84,CAPEX,- -,- -,- -,- -,-210000000,-296800000,-260700000,-318500000,-364300000,-400800000,-431800000,-459000000,-478500000,-412200000,-416900000,-366600000,-340200000,-343700000,-302100000,-348100000,-389200000,-476400000,-583100000,-683500000,-575000000,-550000000,-537000000,-565000000,-670000000,-757000000,-691000000,-593000000,-553000000,-436000000,-335000000,-410000000,-567000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-64900000,-10200000,- -,- -,-800700000,-38500000,-200000000,-26500000,- -,- -,- -,-966000000,-29000000,-3000000,-87000000,208000000,-5000000,- -,-728000000,-1711000000,-353000000,- -
86,Purchases of Investments,- -,- -,- -,- -,-3500000,- -,- -,-6600000,-12500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-127700000,-20000000,-1200000,-11000000,- -,-289000000,-308000000,-356000000,-545000000,-505000000,-340000000,-742000000,-336000000,-347000000,-169000000,-184000000,-143000000,-141000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,9700000,36800000,79900000,33800000,58400000,6200000,26300000,68500000,18700000,22700000,137400000,9300000,1500000,41900000,147300000,10000000,- -,- -,10400000,- -,167000000,423000000,147000000,267000000,283000000,599000000,378000000,391000000,156000000,131000000,124000000,141000000
88,Other Investing Activites,- -,- -,- -,- -,-57200000,-427300000,-312400000,-152700000,-109500000,-115300000,-1317600000,-71300000,72600000,41600000,62700000,85500000,-78100000,-15000000,142600000,38800000,217000000,57200000,92300000,-623800000,-552000000,-517000000,-314000000,-438000000,-649000000,-715000000,-750000000,-536000000,-515000000,-429000000,-335000000,-407000000,-592000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-270700000,-714400000,-536300000,-397900000,-452500000,-457700000,-1743200000,-504000000,-337400000,-351900000,-331500000,-208600000,-419200000,-357200000,-117600000,-1090400000,-220700000,-620400000,-528300000,-613400000,-841000000,-658000000,-1213000000,-865000000,-890000000,-859000000,-685000000,-499000000,-471000000,-1170000000,-2099000000,-779000000,-592000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2319900000,-3950000000,-4719000000,-4429000000,-5011000000,-7554000000,-8525000000,-9181000000,-7274000000,-4808000000,-7355000000,-6611000000,-1061000000,-703000000
91,Common Stock Issued,- -,- -,- -,- -,449100000,32100000,445500000,22600000,21800000,18500000,28300000,30700000,15800000,- -,- -,- -,- -,- -,79300000,70400000,47100000,364400000,489300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-229800000,-13800000,-200000,-20500000,-657200000,-357900000,-9000000,-27400000,-175100000,-542500000,-624400000,-1040600000,-1230200000,-1082900000,-554900000,-637900000,-796200000,-884700000,-1269400000,-1072900000,-1063000000,-2020000000,-1806000000,-1943000000,-1521000000,-1530000000,-1551000000,-1335000000,-1399000000,-1238000000,-1202000000,-1476000000,-1320000000
93,Dividends Paid,- -,- -,- -,- -,-116600000,-138300000,-157100000,-200700000,-231400000,-246900000,-276500000,-296200000,-333400000,-345600000,-366000000,-382400000,-396700000,-413400000,-506800000,-536200000,-607200000,-677800000,-749600000,-825200000,-981000000,-1142000000,-1203000000,-1277000000,-1382000000,-1446000000,-1493000000,-1508000000,-1529000000,-1591000000,-1614000000,-1654000000,-1679000000
94,Other Financing Activites,- -,- -,- -,- -,-24500000,150600000,-230000000,12500000,641300000,243300000,1233400000,-78700000,-320300000,58100000,50300000,107000000,416200000,236300000,-574800000,492600000,-168100000,139100000,-224700000,2752100000,3724000000,5257000000,6196000000,5930000000,8315000000,9331000000,9949000000,7884000000,5286000000,7505000000,8557000000,1272000000,928000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,78200000,30600000,58200000,-186100000,-225500000,-343000000,976200000,-371600000,-813000000,-830000000,-940100000,-1316000000,-1210700000,-1260000000,-1557200000,-611100000,-1524400000,-1059000000,-1754400000,-1465900000,-2270000000,-2624000000,-1242000000,-2301000000,-2142000000,-2170000000,-2276000000,-2233000000,-2450000000,-2679000000,-870000000,-2919000000,-2774000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-3600000,1700000,-5500000,-9300000,-6200000,-2900000,-4300000,-2400000,-12500000,1700000,-3200000,-4600000,-3600000,1200000,4500000,1500000,-18200000,6700000,18200000,-32800000,-121000000,-39000000,-53000000,-24000000,-94000000,-142000000,-107000000,-64000000,87000000,-16000000,-7000000,-16000000,-15000000
97,Net Change In Cash,- -,- -,- -,- -,78200000,30600000,58200000,-186100000,-225500000,-343000000,976200000,-371600000,-813000000,-830000000,17900000,7000000,-33900000,-4800000,97400000,54300000,21100000,148800000,-60800000,126200000,45000000,-110000000,388000000,6000000,78000000,127000000,-119000000,345000000,220000000,-809000000,157000000,5000000,-56000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199600000,206600000,172700000,167900000,265300000,319600000,340700000,489500000,428700000,554900000,600000000,490000000,878000000,884000000,962000000,1089000000,970000000,1315000000,1535000000,726000000,883000000,888000000,832000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,241400000,397900000,166400000,168500000,117900000,144100000,169900000,208800000,248200000,183100000,181700000,199600000,206600000,172700000,167900000,265300000,319600000,340700000,489500000,428700000,555000000,600000000,490000000,878000000,884000000,962000000,1089000000,970000000,1315000000,1535000000,726000000,883000000,888000000
100,Free Cash Flow,- -,- -,- -,- -,142600000,153800000,225000000,224200000,346100000,428600000,378400000,458400000,619300000,766600000,875800000,1169600000,1259400000,1267500000,1465600000,1406200000,1395200000,1345100000,1620600000,1554800000,2702000000,2661000000,2359000000,2631000000,2534000000,2541000000,2258000000,2548000000,2501000000,2620000000,2798000000,3309000000,2758000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21665/000095014695000129/0000950146-95-000129-index.html,https://www.sec.gov/Archives/edgar/data/21665/000095011296000868/0000950112-96-000868-index.html,https://www.sec.gov/Archives/edgar/data/21665/000094018097000241/0000940180-97-000241-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21665/000095013002001698/0000950130-02-001698-index.html,https://www.sec.gov/Archives/edgar/data/21665/000095013003002310/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312504040431/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312505037145/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312506038891/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312507038190/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312508041526/d10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000119312509041029/0001193125-09-041029-index.html,https://www.sec.gov/Archives/edgar/data/21665/000114036110008522/0001140361-10-008522-index.html,https://www.sec.gov/Archives/edgar/data/21665/000114036111011883/form10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000144530512000409/0001445305-12-000409-index.html,https://www.sec.gov/Archives/edgar/data/21665/000144530513000275/0001445305-13-000275-index.html,https://www.sec.gov/Archives/edgar/data/21665/000154554714000003/cl-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000162828015000846/cl-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/21665/000162828016011343/0001628280-16-011343-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166517000002/0000021665-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166518000003/0000021665-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166519000003/0000021665-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166520000004/0000021665-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/21665/000002166521000007/0000021665-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/21665/000002166522000003/0000021665-22-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
