,https://roic.ai/company/FICO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,17100000,16500000,13300000,14700000,16500000,24400000,33300000,47700000,54800000,55900000,100694000,94624000,337965000,569510000,345785000,274523000,-123719000,-103173000,229071000,327970000,225028000,217983000,49720000,83308000,-52877000,42727000,21561000,-15724000,-83703000,-35122000,119567000,-8658000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,1600000,2700000,-4000000,2800000,-11800000,-13500000,-18000000,-1200000,-5000000,-54747000,2995000,-196333000,-220187000,258288000,83073000,443978000,1041000,-273445000,-65691000,89281000,30690000,164269000,-53185000,157337000,-134922000,11630000,43286000,17891000,-102641000,-141593000,-87621000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,3500000,3800000,4500000,5700000,17700000,13300000,19700000,26100000,41300000,42500000,36652000,70539000,103120000,174574000,199149000,214082000,199042000,179163000,159150000,151633000,105780000,136156000,129746000,136120000,175034000,132977000,185231000,225644000,223052000,260350000,364916000,423817000
84,CAPEX,- -,- -,- -,- -,-1000000,-1000000,-6200000,-5700000,-5300000,-10700000,-13100000,-21700000,-15700000,-18300000,-22595000,-24004000,-23386000,-18312000,-23204000,-16414000,-31409000,-22735000,-22780000,-13958000,-17453000,-14020000,-25483000,-24147000,-12590000,-24999000,-21969000,-19828000,-31299000,-23981000,-21989000,-7569000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48620000,-284731000,-41312000,- -,- -,-17755000,- -,- -,- -,-123779000,-32824000,-7253000,-56917000,-5646000,-777000,- -,-15855000,- -,147431000
86,Purchases of Investments,- -,- -,- -,- -,-10700000,-16500000,-10200000,-2200000,-15800000,-9200000,-10800000,-9700000,-33500000,-80300000,-14432000,-125169000,-189858000,-486767000,-586666000,-241273000,-176251000,-191164000,-161803000,-197274000,-71749000,-144224000,-48067000,- -,- -,- -,- -,- -,-6050000,-6404000,-6119000,-9249000
87,Sales/Maturities of Investments,- -,- -,- -,- -,8000000,- -,12800000,5000000,9900000,7100000,5900000,7600000,11000000,73000000,9447000,51052000,165248000,396693000,809510000,273276000,190133000,235013000,169692000,123985000,197607000,106403000,131659000,22000000,- -,- -,- -,- -,23230000,3480000,3470000,7237000
88,Other Investing Activites,- -,- -,- -,- -,-500000,16000000,-700000,-3400000,- -,-2500000,-1300000,300000,-3300000,100000,- -,- -,140499000,3062000,2234000,22822000,500000,16324000,1527000,5300000,2232000,140000,- -,- -,- -,- -,- -,- -,- -,- -,55000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-4200000,-1500000,-4300000,-6300000,-11200000,-15300000,-19300000,-23500000,-41500000,-25500000,-27580000,-98121000,92503000,-153944000,-82857000,-2901000,-17027000,37438000,-31119000,-81947000,110637000,-51701000,-65670000,-34971000,-19843000,-81916000,-27615000,-20605000,-14119000,-42760000,-24583000,137850000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-295000000,-8000000,-13466000,-67676000,-69000000,-187000000,-159000000,-156000000,-662000000,-169945000,-599716000,-259176000
91,Common Stock Issued,- -,- -,- -,- -,- -,200000,700000,900000,600000,500000,900000,1000000,2800000,3300000,11329000,34283000,23676000,75966000,53526000,71867000,64200000,84087000,19786000,3289000,1410000,7613000,70793000,30256000,6554000,18258000,17828000,14474000,11023000,22788000,42258000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-500000,-100000,-12200000,-41000,-19864000,-144351000,-331638000,-101125000,-328537000,-256487000,-451088000,-116642000,-18500000,-196119000,-91422000,-191056000,-82752000,-217039000,-130719000,-138399000,-187629000,-342596000,-228894000,-235223000,-874179000
93,Dividends Paid,- -,- -,- -,- -,-500000,-500000,-800000,-800000,-800000,-700000,-1000000,-1000000,-1100000,-1100000,-1140000,-1322000,-2582000,-3857000,-4669000,-5316000,-5100000,-4432000,-3897000,-3887000,-3579000,-3140000,-2803000,-2824000,-2714000,-2508000,-2489000,-1238000,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,200000,100000,500000,-500000,-600000,-400000,-400000,-400000,-400000,-500000,-429000,-413000,-140000,391523000,-154180000,- -,7094000,172728000,9798000,280000,244815000,928000,8079000,36362000,151808000,243334000,117082000,149768000,774946000,176004000,503257000,609784000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-300000,-200000,400000,-400000,-800000,-700000,-500000,-900000,1200000,-10500000,9719000,12684000,-123397000,131994000,-206448000,-261986000,-190293000,-198705000,-90955000,-18818000,-248473000,-94021000,-128453000,-86634000,-130391000,-58635000,-164978000,-180625000,-218627000,-200047000,-289424000,-523571000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,568000,-385000,552000,2234000,-2682000,-2389000,98000,-881000,234000,-2946000,-2903000,-11381000,-2832000,5278000,-5901000,-1140000,59000,-136000
97,Net Change In Cash,- -,- -,- -,- -,-300000,-200000,400000,-400000,-800000,-2700000,-500000,-900000,1000000,6500000,18791000,-14898000,72226000,152624000,-89588000,-51190000,-7726000,20130000,34394000,48479000,-31958000,-10447000,-64143000,11569000,21897000,-18955000,-10194000,29692000,-15595000,16403000,50968000,37960000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,8300000,- -,- -,14200000,20700000,39506000,24608000,96834000,249458000,159870000,82880000,75154000,95284000,129678000,178157000,146199000,135752000,71609000,83178000,105075000,86120000,75926000,105618000,90023000,106426000,157394000,195354000
99,Cash at the Beginning of Period,- -,- -,- -,- -,4200000,3300000,5400000,6100000,5200000,11000000,8300000,11500000,13200000,14200000,20715000,39506000,24608000,96834000,249458000,134070000,82880000,75154000,95284000,129678000,178157000,146199000,135752000,71609000,83178000,105075000,86120000,75926000,105618000,90023000,106426000,157394000
100,Free Cash Flow,- -,- -,- -,- -,2500000,2800000,-1700000,- -,12400000,2600000,6600000,4400000,25600000,24200000,14057000,46535000,79734000,156262000,175945000,197668000,167633000,156428000,136370000,137675000,88327000,122136000,104263000,111973000,162444000,107978000,163262000,205816000,191753000,236369000,342927000,416248000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814547/000095000595000341/0000950005-95-000341-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095000596001002/0000950005-96-001002-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814547/000095000500001222/0000950005-00-001222-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095000501500749/0000950005-01-500749-index.html,- -,https://www.sec.gov/Archives/edgar/data/814547/000093639203001666/a94662e10vk.htm,https://www.sec.gov/Archives/edgar/data/814547/000095013704011008/a03859e10vk.htm,https://www.sec.gov/Archives/edgar/data/814547/000095013405023081/c00522e10vk.htm,https://www.sec.gov/Archives/edgar/data/814547/000095013706013419/c10450e10vk.htm,https://www.sec.gov/Archives/edgar/data/814547/000095013707017904/0000950137-07-017904-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095013708014107/0000950137-08-014107-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095012309065746/0000950123-09-065746-index.html,https://www.sec.gov/Archives/edgar/data/814547/000095012310108284/0000950123-10-108284-index.html,https://www.sec.gov/Archives/edgar/data/814547/000119312511317245/0001193125-11-317245-index.html,https://www.sec.gov/Archives/edgar/data/814547/000119312512473516/0001193125-12-473516-index.html,https://www.sec.gov/Archives/edgar/data/814547/000119312513438562/0001193125-13-438562-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454714000011/0000814547-14-000011-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454715000019/0000814547-15-000019-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454716000035/0000814547-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454717000014/0000814547-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454718000010/0000814547-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454719000016/0000814547-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/814547/000081454720000012/0000814547-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/814547/000081454721000019/0000814547-21-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
