,https://roic.ai/company/KSS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
88,Other Investing Activites,-300000,-3300000,-4100000,3800000,400000,1000000,-1300000,-6300000,-13300000,-15801000,-25036000,-28520000,-32473000,-25624000,-33411000,-33056000,-6856000,25810000,11000000,-2000000,2000000,-20000000,16000000,19000000,7000000,9000000,12000000,23000000,6000000,18000000,197000000,35000000
89,Cash Used for Investing Activites,-11600000,-30800000,-44500000,-59200000,-107100000,-131400000,-224700000,-209000000,-288900000,-641957000,-527117000,-871308000,-995055000,-415517000,-977491000,-903783000,-1419336000,-1567771000,-1442000000,-640000000,-717000000,-802000000,-660000000,-623000000,-593000000,-681000000,-756000000,-649000000,-572000000,-837000000,-137000000,-570000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000000,-17000000,-491000000,-111000000,-115000000,-114000000,-1199000000,-127000000,-138000000,-1069000000,-119000000,-1602000000,-125000000
91,Common Stock Issued,- -,104700000,104800000,46100000,1500000,2400000,3100000,- -,15700000,264582000,45879000,36128000,31299000,46257000,47094000,22858000,94594000,97412000,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1628416000,-747915000,-262000000,-1000000,-1004000000,-2311000000,-1293000000,-812000000,-696000000,-1028000000,-574000000,-320000000,-430000000,-501000000,-30000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-271000000,-300000000,-302000000,-317000000,-349000000,-358000000,-368000000,-400000000,-423000000,-108000000,-147000000
94,Other Financing Activites,-28800000,-115100000,-121700000,-49900000,32000000,72700000,122600000,294500000,1200000,276920000,220176000,276464000,277535000,-362538000,-13292000,9356000,-83889000,975284000,-16000000,48000000,72000000,660000000,431000000,402000000,132000000,1083000000,34000000,18000000,-10000000,12000000,2087000000,-2113000000
95,Cash Used/Provided by Financing Activities,-28800000,-10400000,-16900000,-3800000,33500000,75100000,125700000,294500000,16900000,541502000,266055000,312592000,308834000,-316281000,33802000,32214000,-1617711000,324781000,-273000000,30000000,-949000000,-2413000000,-1273000000,-827000000,-995000000,-1493000000,-1025000000,-808000000,-1909000000,-1031000000,347000000,-2385000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-28800000,-10400000,-16900000,-3800000,33500000,75100000,125700000,294500000,16900000,9750000,111013000,-16899000,-16637000,22663000,3969000,10122000,62331000,-8627000,-14000000,1624000000,10000000,-1072000000,-668000000,434000000,436000000,-700000000,367000000,234000000,-374000000,-211000000,1548000000,-684000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,12608000,123621000,106722000,90085000,112748000,116717000,126839000,189170000,180543000,167000000,2267000000,2277000000,1205000000,537000000,971000000,1407000000,707000000,1074000000,1308000000,934000000,723000000,2271000000,1587000000
99,Cash at the Beginning of Period,800000,800000,900000,900000,8500000,30400000,2800000,8900000,44200000,2858000,12608000,123621000,106722000,90085000,112748000,116717000,126839000,189170000,181000000,643000000,2267000000,2277000000,1205000000,537000000,971000000,1407000000,707000000,1074000000,1308000000,934000000,723000000,2271000000
100,Free Cash Flow,29100000,13800000,24400000,4200000,-12000000,-103700000,-118200000,-252900000,-18200000,-515187000,-108906000,-120194000,-46384000,-77138000,58060000,82274000,1957131000,-307320000,687000000,1568000000,915000000,1216000000,480000000,1241000000,1342000000,784000000,1380000000,1019000000,1529000000,802000000,1004000000,1666000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885639/0000950131-98-002734-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885639/000119312504045654/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312505055302/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312506058252/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312507062937/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312508062622/d10k.htm,https://www.sec.gov/Archives/edgar/data/885639/000119312509059797/0001193125-09-059797-index.html,https://www.sec.gov/Archives/edgar/data/885639/000119312510061795/0001193125-10-061795-index.html,https://www.sec.gov/Archives/edgar/data/885639/000119312512119732/0001193125-12-119732-index.htm,- -,https://www.sec.gov/Archives/edgar/data/885639/000088563913000004/0000885639-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/885639/000088563914000007/kohls_10kx2013.htm,https://www.sec.gov/Archives/edgar/data/885639/000088563915000007/kohls_10kx2014.htm,https://www.sec.gov/Archives/edgar/data/885639/000088563916000033/0000885639-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/885639/000088563917000007/0000885639-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/885639/000156459018006671/0001564590-18-006671-index.html,https://www.sec.gov/Archives/edgar/data/885639/000156459019009005/0001564590-19-009005-index.html,https://www.sec.gov/Archives/edgar/data/885639/000156459020011512/0001564590-20-011512-index.html,https://www.sec.gov/Archives/edgar/data/885639/000156459021014145/0001564590-21-014145-index.htm,https://www.sec.gov/Archives/edgar/data/885639/000095017022004076/0000950170-22-004076-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
