,https://roic.ai/company/HRB,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37017000,34510000,681000,16723000,-30472000,32610000,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,363600000,363600000,276797000,923164000,556856000,866385000,533593000,343094000,282804000,365441000,850165000,489256000,861714000,-69489000,-1722060000,-714796000,172800000,327545000,263056000,-25434000,450138000,800890000,1073012000,182693000,406759000,1048062000,1070358000,1511120000
82,Other Non-Cash Items,- -,- -,- -,3700000,-32900000,21300000,140800000,109100000,-330700000,-54020000,13771000,-889827000,119033000,-380463000,454722000,38114000,181809000,-197546000,-497570000,13132000,-570153000,675298000,2099326000,-691899000,-1106205000,-193917000,28835000,265796000,-297768000,-368177000,-347409000,783559000,-304601000,-648865000,-95090000,-561165000
83,Cash Provided by Operating Activities,- -,- -,- -,37600000,117400000,194300000,344600000,344500000,287800000,124363000,137796000,77974000,185003000,220776000,505276000,295515000,741446000,690825000,926807000,513793000,585686000,-584724000,215787000,1024439000,587469000,512503000,362049000,497108000,809581000,626608000,532394000,550093000,850003000,606538000,108961000,625928000
84,CAPEX,- -,- -,- -,-26600000,-28400000,-38300000,-55800000,-71900000,-83700000,-123337000,-36972000,-164500000,-46803000,-78823000,-113032000,-90033000,-111775000,-150897000,-127573000,-209458000,-250510000,-161091000,-105910000,-97880000,-90515000,-62959000,-82457000,-113239000,-147011000,-123158000,-99923000,-89255000,-98583000,-95490000,-81685000,-52792000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-971802000,-21143000,-46738000,-26408000,-280865000,-37621000,-212543000,-57554000,-24872000,-293805000,-10539000,16912000,545241000,-16957000,-67486000,-113252000,-88776000,-54816000,-42539000,-43637000,-450242000,-15576000
86,Purchases of Investments,- -,- -,- -,-547500000,-755700000,-595100000,-860300000,-1198100000,-1522600000,-1904653000,-851993000,-220677000,-882378000,-251627000,-14281000,-10636000,-7241000,-14614000,-11434000,-10175000,-416754000,-54375000,-11794000,-5092000,-5365000,-138824000,-256173000,-227177000,-45158000,-90581000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,511900000,722500000,578500000,800600000,1179900000,1340000000,2137286000,831057000,176154000,1360677000,733491000,269252000,377716000,98493000,156567000,68801000,162282000,154153000,5983000,18175000,106404000,88590000,75268000,115524000,118411000,107101000,91878000,436471000,1144000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-9900000,-15800000,-44400000,-2600000,-24200000,147600000,-48434000,55036000,-51179000,-296512000,-140828000,-42918000,2703000,8228000,160691000,219938000,36562000,37149000,-891339000,1271690000,591866000,49182000,-554000,29732000,128025000,16233000,-36977000,-18180000,152991000,-69518000,-111494000,-19989000,-29947000
89,Cash Used for Investing Activites,- -,- -,- -,-72100000,-77400000,-99300000,-118100000,-114300000,-118700000,60862000,-2872000,-260202000,134984000,262213000,-872781000,258607000,-59033000,125339000,-131133000,-58410000,-688505000,-1158376000,1147289000,301493000,31353000,-110157000,351867000,-110937000,10690000,-148932000,329515000,99319000,-112057000,-155131000,-470231000,-45523000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4762294000,-5673786000,-4880206000,-715258000,-1850859000,-316000000,-1449136000,-1465000000,-1700000000,-830000000,-720000000,-1335000000,-3925000000
91,Common Stock Issued,- -,- -,- -,15600000,37700000,30600000,55800000,62200000,50300000,57997000,13172000,3439000,58881000,79961000,36958000,19550000,195233000,126325000,119956000,136102000,108507000,25703000,23322000,141415000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-38800000,-24200000,-86500000,-94800000,-68900000,-114900000,-71897000,- -,-18351000,-492945000,-50654000,-222895000,-462938000,-317570000,-519862000,-530022000,-260312000,-188802000,-7280000,-106189000,-254250000,-283534000,-180592000,-340413000,-6106000,-10449000,-2018338000,-322850000,-9147000,-189912000,-256214000,-191294000
93,Dividends Paid,- -,- -,- -,-51600000,-64500000,-79000000,-91800000,-103500000,-115500000,-128838000,-131263000,-107988000,-83635000,-95004000,-105480000,-108374000,-115725000,-125898000,-138397000,-142988000,-160031000,-171966000,-183628000,-198685000,-200899000,-186802000,-208801000,-217201000,-218980000,-219960000,-201688000,-187115000,-200469000,-205461000,-204870000,-195068000
94,Other Financing Activites,- -,- -,- -,53100000,34000000,-28800000,-127200000,-64100000,-37100000,49421000,23230000,196968000,166895000,-682617000,673342000,-350491000,-50454000,-59813000,-61048000,108993000,8800000,2326176000,-1390483000,4885520000,5647817000,4816151000,659589000,1823932000,176156000,1033738000,1723297000,1679541000,848952000,711678000,3327932000,1902539000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,17100000,-31600000,-101400000,-249700000,-200200000,-171200000,-136320000,-166758000,92419000,123790000,-1190605000,554166000,-662210000,-433884000,-376956000,-599351000,-427915000,-303036000,1991111000,-1558069000,-40233000,-481118000,-534391000,-445062000,-584541000,-364930000,-645807000,-1961729000,-530424000,-190664000,-403695000,1531848000,-2408823000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11678000,5844000,-2364000,1620000,-17618000,-9986000,-10569000,-4458000,-1143000,-3663000,-5285000,18318000
97,Net Change In Cash,- -,- -,- -,17100000,-31600000,-101400000,-249700000,-200200000,-171200000,48905000,-31834000,-89809000,443777000,-707616000,186661000,-108088000,248529000,439208000,196323000,27468000,-405855000,248011000,-194993000,989766000,149382000,-126201000,266490000,-196750000,437723000,-178117000,-1110389000,114530000,546139000,44049000,1165293000,-1810100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,90248000,58414000,595851000,900856000,193240000,379901000,271813000,436145000,875353000,1071676000,1100213000,694358000,921838000,726845000,1654663000,1804045000,1677844000,1944334000,1747584000,2185307000,2007190000,896801000,1011331000,1663678000,1707727000,2873020000,1062920000
99,Cash at the Beginning of Period,- -,- -,- -,52100000,34800000,43200000,36700000,13500000,43400000,41343000,90248000,685660000,457079000,900856000,193240000,379901000,187616000,436145000,875353000,1072745000,1100213000,673827000,921838000,664897000,1654663000,1804045000,1677844000,1944334000,1747584000,2185307000,2007190000,896801000,1117539000,1663678000,1707727000,2873020000
100,Free Cash Flow,- -,- -,- -,11000000,89000000,156000000,288800000,272600000,204100000,1026000,100824000,-86526000,138200000,141953000,392244000,205482000,629671000,539928000,799234000,304335000,335176000,-745815000,109877000,926559000,496954000,449544000,279592000,383869000,662570000,503450000,432471000,460838000,751420000,511048000,27276000,573136000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12659/000001265994000006/0000012659-94-000006-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12659/000095012498004013/0000950124-98-004013-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095012499004315/0000950124-99-004315-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/12659/000095013402008804/0000950134-02-008804-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095013403010141/c78154e10vk.htm,https://www.sec.gov/Archives/edgar/data/12659/000095013704005468/c86302e10vk.htm,https://www.sec.gov/Archives/edgar/data/12659/000095013705009321/c91685e10vk.htm,https://www.sec.gov/Archives/edgar/data/12659/000095013706007517/c04679e10vk.htm,https://www.sec.gov/Archives/edgar/data/12659/000095013707009521/0000950137-07-009521-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095013408012051/0000950134-08-012051-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095012309018620/0000950123-09-018620-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095012310061837/0000950123-10-061837-index.html,https://www.sec.gov/Archives/edgar/data/12659/000095012311061237/0000950123-11-061237-index.html,https://www.sec.gov/Archives/edgar/data/12659/000119312512283991/d347306d10k.htm,https://www.sec.gov/Archives/edgar/data/12659/000157484213000010/0001574842-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484214000031/0001574842-14-000031-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484215000011/0001574842-15-000011-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484216000042/0001574842-16-000042-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484217000019/0001574842-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484218000019/0001574842-18-000019-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484219000022/0001574842-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/12659/000157484220000021/0001574842-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/12659/000183886221000028/0001838862-21-000028-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
