,https://roic.ai/company/UNP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,595000000,618000000,64000000,728000000,530000000,546000000,946000000,904000000,432000000,-633000000,810000000,842000000,966000000,1341000000,1585000000,604000000,1026000000,1606000000,1855000000,2338000000,1898000000,2780000000,3292000000,3943000000,4388000000,5180000000,4772000000,4233000000,10712000000,5966000000,5919000000,5349000000,6523000000
74,Depreciation and Amortization,- -,- -,- -,- -,-603000000,-697000000,-748000000,-909000000,-949000000,-1005000000,642000000,762000000,1043000000,1070000000,1083000000,1140000000,1174000000,1206000000,1067000000,1111000000,1175000000,1237000000,1321000000,1387000000,1444000000,1487000000,1617000000,1760000000,1777000000,1904000000,2012000000,2038000000,2105000000,2191000000,2216000000,2210000000,2208000000
75,Deferred Income Tax,- -,- -,- -,- -,197000000,161000000,-58000000,217000000,320000000,349000000,151000000,166000000,300000000,-74000000,529000000,447000000,424000000,573000000,494000000,359000000,320000000,235000000,332000000,547000000,723000000,672000000,986000000,887000000,723000000,895000000,765000000,831000000,-5067000000,338000000,566000000,340000000,154000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,44000000,65000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,168000000,- -,- -,- -,- -,-683000000,463000000,-1502000000,-110000000,402000000,-141000000,-106000000,527000000,601000000,182000000,141000000,-833000000,-69000000,681000000,380000000,1065000000,-518000000,-70000000,85000000,-296000000,715000000,10000000,-968000000,111000000,-530000000,-429000000,933000000,203000000
78,Accounts Receivable,- -,- -,- -,- -,236000000,-69000000,29000000,-59000000,-76000000,- -,47000000,14000000,-124000000,84000000,62000000,-16000000,10000000,-92000000,59000000,-40000000,-201000000,68000000,47000000,38000000,-72000000,-518000000,-217000000,70000000,-83000000,-197000000,255000000,98000000,-235000000,-262000000,160000000,90000000,-217000000
79,Inventory,- -,- -,- -,- -,5000000,19000000,21000000,-22000000,-8000000,- -,19000000,12000000,8000000,-47000000,6000000,-23000000,96000000,-23000000,10000000,-42000000,-22000000,-64000000,-58000000,3000000,-25000000,-59000000,-80000000,-46000000,7000000,-59000000,-24000000,19000000,-32000000,7000000,-9000000,113000000,17000000
80,Accounts Payable,- -,- -,- -,- -,13000000,-27000000,64000000,143000000,-35000000,- -,80000000,4000000,47000000,-183000000,11000000,73000000,-112000000,-66000000,79000000,100000000,224000000,-102000000,30000000,- -,-90000000,- -,- -,-185000000,163000000,217000000,-276000000,232000000,182000000,-125000000,-179000000,-73000000,184000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-683000000,-220000000,-1722000000,-1832000000,-1430000000,-1571000000,-1677000000,-1150000000,-549000000,-367000000,-226000000,-1059000000,-1128000000,-447000000,-67000000,998000000,480000000,410000000,495000000,199000000,914000000,924000000,-44000000,67000000,-463000000,-892000000,41000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,1126000000,1385000000,2134000000,1624000000,1662000000,2702000000,-748000000,1327000000,-65000000,-200000000,-412000000,-365000000,-1099000000,-1471000000,-906000000,22000000,907000000,-164000000,-956000000,-647000000,-1896000000,-316000000,48000000,-514000000,231000000,-1309000000,-215000000,1391000000,-631000000,721000000,337000000,-292000000,-56000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1483000000,1467000000,1392000000,1660000000,1563000000,1909000000,1454000000,1657000000,1600000000,565000000,1869000000,1958000000,1992000000,2250000000,2422000000,2237000000,2595000000,2880000000,3277000000,4070000000,3234000000,4105000000,5873000000,6161000000,6823000000,7385000000,7344000000,7525000000,7230000000,8686000000,8609000000,8540000000,9032000000
84,CAPEX,- -,- -,- -,- -,-1174000000,-1206000000,-1231000000,-1567000000,-1574000000,-1597000000,-1058000000,-1360000000,-2101000000,-2111000000,-1834000000,-1783000000,- -,-1887000000,-1752000000,-1876000000,-2169000000,-2778000000,-3117000000,-3168000000,-2484000000,-2482000000,-3261000000,-3738000000,-3496000000,-4346000000,-4650000000,-3505000000,-3238000000,-3437000000,-3453000000,-2927000000,-2936000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-100000000,-91000000,- -,-71000000,-75000000,-725000000,-2146000000,-539000000,- -,- -,- -,- -,-1736000000,- -,- -,- -,- -,- -,- -,-2780000000,-2354000000,-2482000000,-3176000000,- -,- -,- -,- -,-580000000,-120000000,-90000000,-115000000,-136000000,-70000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,520000000,90000000,90000000,130000000,141000000,94000000
88,Other Investing Activites,- -,- -,- -,- -,31000000,23000000,94000000,291000000,96000000,361000000,-423000000,-596000000,-1772000000,-1898000000,-1614000000,-1542000000,192000000,-1521000000,-1476000000,-1712000000,-2047000000,-1506000000,-1805000000,404000000,279000000,-6000000,142000000,-3633000000,-3405000000,-4249000000,-4476000000,-3333000000,-3056000000,-3411000000,-3450000000,-2681000000,-2733000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1243000000,-1274000000,-1137000000,-1347000000,-1553000000,-1961000000,-2569000000,-1135000000,-1772000000,-1898000000,-1614000000,-1542000000,-1544000000,-1521000000,-1476000000,-1712000000,-2047000000,-2042000000,-2426000000,-2764000000,-2175000000,-2488000000,-3119000000,-3633000000,-3405000000,-4249000000,-4476000000,-3393000000,-3086000000,-3411000000,-3435000000,-2676000000,-2709000000
90,Debt Repayment,- -,- -,- -,- -,-323000000,-697000000,-373000000,-677000000,-753000000,-338000000,-1531000000,-2047000000,-572000000,-1789000000,-692000000,-796000000,-1219000000,-1197000000,-2117000000,-588000000,-699000000,-657000000,-792000000,-1208000000,-871000000,-1412000000,-690000000,-758000000,-640000000,-710000000,-556000000,-1013000000,-840000000,-1736000000,-817000000,-2508000000,-1569000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,844000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-972000000,-62000000,- -,-5000000,-10000000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1375000000,-1637000000,- -,-1249000000,-1418000000,-1474000000,-2218000000,-3225000000,-3465000000,-3105000000,-4013000000,-8225000000,-5804000000,-3705000000,-7291000000
93,Dividends Paid,- -,- -,- -,- -,-235000000,-232000000,-257000000,-282000000,-309000000,-334000000,-353000000,-353000000,-422000000,-255000000,-198000000,-199000000,-198000000,-201000000,-234000000,-310000000,-314000000,-322000000,-364000000,-481000000,-544000000,-602000000,-837000000,-1146000000,-1333000000,-1632000000,-2344000000,-1879000000,-1982000000,-2299000000,-2598000000,-2626000000,-2800000000
94,Other Financing Activites,- -,- -,- -,- -,1038000000,780000000,350000000,752000000,930000000,733000000,2270000000,1798000000,1065000000,3463000000,634000000,509000000,977000000,925000000,945000000,823000000,261000000,195000000,1731000000,2391000000,957000000,882000000,322000000,696000000,1142000000,2585000000,3302000000,1751000000,2689000000,7038000000,3573000000,3937000000,4502000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-492000000,-211000000,-280000000,-212000000,-142000000,60000000,1230000000,-602000000,71000000,1419000000,-256000000,-486000000,-440000000,-473000000,-1406000000,-75000000,-752000000,-784000000,-800000000,-935000000,-458000000,-2381000000,-2623000000,-2682000000,-3049000000,-2982000000,-3063000000,-4246000000,-4146000000,-5222000000,-5646000000,-4902000000,-7158000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-492000000,-211000000,-280000000,-212000000,-142000000,8000000,115000000,-39000000,-101000000,86000000,-1000000,-70000000,8000000,256000000,160000000,450000000,-204000000,54000000,51000000,371000000,601000000,-764000000,131000000,-154000000,369000000,154000000,-195000000,-114000000,-2000000,53000000,-472000000,962000000,-835000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,121000000,230000000,191000000,90000000,176000000,175000000,105000000,113000000,369000000,527000000,977000000,773000000,827000000,878000000,1249000000,1850000000,1086000000,1217000000,1063000000,1432000000,1586000000,1391000000,1277000000,1275000000,1328000000,856000000,1818000000,983000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,439000000,187000000,169000000,144000000,245000000,113000000,115000000,230000000,191000000,90000000,176000000,175000000,105000000,113000000,367000000,527000000,977000000,773000000,827000000,878000000,1249000000,1850000000,1086000000,1217000000,1063000000,1432000000,1586000000,1391000000,1277000000,1275000000,1328000000,856000000,1818000000
100,Free Cash Flow,- -,- -,- -,- -,309000000,261000000,161000000,93000000,-11000000,312000000,396000000,297000000,-501000000,-1546000000,35000000,175000000,1992000000,363000000,670000000,361000000,426000000,102000000,160000000,902000000,750000000,1623000000,2612000000,2423000000,3327000000,3039000000,2694000000,4020000000,3992000000,5249000000,5156000000,5613000000,6096000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100885/000095010996001749/0000950109-96-001749-index.html,https://www.sec.gov/Archives/edgar/data/100885/000010088597000002/0000100885-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/100885/000095013498002114/0000950134-98-002114-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/100885/000095013401002416/0000950134-01-002416-index.html,https://www.sec.gov/Archives/edgar/data/100885/000095013402001771/0000950134-02-001771-index.html,https://www.sec.gov/Archives/edgar/data/100885/000095013403002918/0000950134-03-002918-index.html,https://www.sec.gov/Archives/edgar/data/100885/000119312504025678/0001193125-04-025678-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312505037425/0001193125-05-037425-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312506038383/0001193125-06-038383-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312507038387/0001193125-07-038387-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312508041700/0001193125-08-041700-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312509021370/0001193125-09-021370-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312510023294/0001193125-10-023294-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312511024531/0001193125-11-024531-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312512038569/0001193125-12-038569-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312513045658/0001193125-13-045658-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312514040752/0001193125-14-040752-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000119312515037518/0001193125-15-037518-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088516000260/0000100885-16-000260-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088517000056/0000100885-17-000056-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088518000048/0000100885-18-000048-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088519000060/0000100885-19-000060-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088520000065/0000100885-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000010088521000068/0000100885-21-000068-index.htm,https://www.sec.gov/Archives/edgar/data/100885/000143774922002494/0001437749-22-002494-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
