,https://roic.ai/company/POWL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,900000,-1600000,-10300000,-8000000,5300000,-4800000,-12300000,1700000,-17000000,-17700000,6900000,-16278000,-46482000,11238000,12869000,18043000,-32826000,-4970000,-13576000,-92651000,60334000,2257000,-8431000,-65579000,68011000,-42384000,3313000,25107000,52122000,-29597000,30319000,28210000,-41609000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-4300000,13000000,3800000,2700000,11500000,1200000,1200000,11800000,5600000,1000000,18500000,426000,-2057000,31666000,36467000,24908000,-21189000,-4700000,12160000,-5188000,126984000,64133000,15487000,-5965000,91762000,9128000,12918000,74906000,36815000,-28543000,68759000,72394000,-30461000
84,CAPEX,- -,- -,- -,- -,-2400000,-1900000,-3300000,-5200000,-2500000,-2100000,-3100000,-3300000,-14800000,-9700000,-5200000,-2648000,-10291000,-13872000,-4541000,-6472000,-6108000,-8435000,-14338000,-3428000,-8081000,-4420000,-7347000,-29063000,-74369000,-16495000,-34719000,-3044000,-3636000,-4502000,-4255000,-5130000,-2891000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19167000,-11000000,- -,- -,- -,-24053000,- -,- -,- -,14819000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5763000,-1018000,-6350000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60018000,-22261000,-5869000,-18553000,-27735000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2773000,52386000,- -,- -,- -,- -,- -,1229000,- -,- -,- -,- -,- -,33189000,35248000,13088000,6146000,27688000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-4500000,- -,-1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,879000,8735000,175000,- -,30000,14000,-646000,1195000,885000,118000,112000,187000,-24839000,1658000,- -,- -,474000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2400000,-1900000,-3300000,-9700000,-2500000,-3700000,-3100000,-3300000,-14800000,-9700000,-5200000,-2648000,-10291000,-13872000,-10304000,-3017000,21640000,-10700000,-14163000,-3428000,-8051000,-28459000,-6764000,-27868000,-73484000,-1558000,-34607000,-2857000,-55304000,10143000,2964000,-17537000,-2464000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82000,- -,- -,-82197000,-22192000,-9286000,-9109000,-5634000,-400000,-400000,-400000,-400000,-400000,-400000,-400000,- -
91,Common Stock Issued,- -,- -,- -,- -,400000,- -,300000,600000,500000,200000,200000,500000,200000,100000,100000,788000,1401000,752000,914000,1038000,1530000,- -,3264000,4236000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4669000,-218000,- -,- -,- -,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,-21259000,-3740000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11998000,-12358000,-11845000,-11875000,-11916000,-11998000,-12066000,-12142000
94,Other Financing Activites,- -,- -,- -,- -,8500000,-1600000,-1100000,500000,-2800000,-3400000,-2900000,-2800000,2200000,7000000,-3400000,-2429000,15571000,-10704000,-4651000,-458000,13883000,-18000,-7311000,9556000,51759000,2800000,8485000,10380000,5182000,-108000,-931000,-1387000,-398000,-712000,-1454000,-629000,-1032000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,8900000,-1600000,-800000,1100000,-2300000,-3200000,-2700000,-2300000,2400000,7100000,-3300000,-6310000,16754000,-9952000,-3737000,580000,15413000,700000,-4047000,13792000,-30438000,-19392000,-801000,1271000,-452000,-12506000,-34948000,-17372000,-12673000,-13028000,-13852000,-13095000,-13174000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,300000,812000,-299000,-1226000,1668000,191000,-864000,-118000,643000,-2912000,-526000,1801000,-347000,-957000,-185000,197000
97,Net Change In Cash,- -,- -,- -,- -,8900000,-1600000,-800000,1100000,-2300000,-3200000,-2700000,-2300000,2400000,7100000,10000000,-8532000,4406000,7842000,22426000,22471000,15870000,-14300000,-5238000,4877000,87269000,17950000,8113000,-33426000,17708000,-4293000,-59549000,54151000,-29361000,-31775000,56914000,41577000,-45902000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10600000,2114000,6520000,14362000,36788000,59259000,24844000,10500000,5257000,10134000,97403000,115353000,123466000,90040000,107748000,103118000,43569000,97720000,68359000,36584000,118639000,160216000,114314000
99,Cash at the Beginning of Period,- -,- -,- -,- -,900000,3100000,12600000,12300000,6400000,13100000,7600000,2800000,8900000,2200000,600000,10646000,2114000,6520000,14362000,36788000,8974000,24800000,10495000,5257000,10134000,97403000,115353000,123466000,90040000,107411000,103118000,43569000,97720000,68359000,61725000,118639000,160216000
100,Free Cash Flow,- -,- -,- -,- -,-6700000,11100000,500000,-2500000,9000000,-900000,-1900000,8500000,-9200000,-8700000,13300000,-2222000,-12348000,17794000,31926000,18436000,-27297000,-13100000,-2178000,-8616000,118903000,59713000,8140000,-35028000,17393000,-7367000,-21801000,71862000,33179000,-33045000,64504000,67264000,-33352000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80420/000095012997000305/0000950129-97-000305-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80420/000008042005000015/form2004_10k.htm,https://www.sec.gov/Archives/edgar/data/80420/000095012906000313/h31947e10vk.htm,https://www.sec.gov/Archives/edgar/data/80420/000095012907002707/h47053a1e10vktza.htm,https://www.sec.gov/Archives/edgar/data/80420/000095012907006026/0000950129-07-006026-index.html,https://www.sec.gov/Archives/edgar/data/80420/000095013408021933/0000950134-08-021933-index.html,https://www.sec.gov/Archives/edgar/data/80420/000095012309070233/0000950123-09-070233-index.html,https://www.sec.gov/Archives/edgar/data/80420/000095012310112061/0000950123-10-112061-index.html,https://www.sec.gov/Archives/edgar/data/80420/000119312511337982/0001193125-11-337982-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156276212000007/0001562762-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156459013001396/0001564590-13-001396-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156459014006033/0001564590-14-006033-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156459015011208/0001564590-15-011208-index.html,https://www.sec.gov/Archives/edgar/data/80420/000156459016029924/0001564590-16-029924-index.html,https://www.sec.gov/Archives/edgar/data/80420/000008042017000032/0000080420-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/80420/000008042018000036/0000080420-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/80420/000008042019000039/0000080420-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/80420/000008042020000036/0000080420-20-000036-index.htm,https://www.sec.gov/Archives/edgar/data/80420/000008042021000045/0000080420-21-000045-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
