,https://roic.ai/company/TPL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7378,0.7154,0.7519,0.8437,0.7089,0.6851,0.7479,0.7776,0.7631,0.8844,0.7900,0.7265,0.7441,0.8072,0.7636,0.8172,0.9197,0.8992,0.9098,0.9314,0.9476,0.9190,0.9051,0.8688,0.8146,0.7181,0.8036
19,Total Other Income Expenses (Gains),-2800000,-2600000,-2600000,-2500000,-2800000,-2600000,-2800000,-2300000,-2500000,-3100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,561284,370000,228746,53427,25707,18528,19435,12005,14523,27440,29070,84000,916000,2682000,2411000,624000
20,Income Before Tax,10800000,4900000,4100000,3700000,4000000,4100000,3300000,2700000,3600000,7300000,4751718,6138560,9831117,8841538,4199422,5342757,10044021,7093620,7595243,25772435,12172728,16879015,11877714,15804966,10044763,16424181,30755918,29322886,40142578,51431554,75283022,55086920,119860000,261750000,402255000,219662000,363017000
21,Income Before Tax Ratio,0.8852,0.7903,0.7593,0.7551,0.7407,0.7321,0.6735,0.6279,0.6792,0.8022,0.7378,0.7154,0.7519,0.8437,0.7089,0.6851,0.7479,0.7776,0.7631,0.8844,0.7900,0.7515,0.7680,0.8191,0.7677,0.8185,0.9203,0.8998,0.9101,0.9317,0.9480,0.9195,0.9058,0.8719,0.8201,0.7260,0.8050
22,Income Tax expense (Gain),3800000,1800000,1400000,1400000,1200000,1300000,1000000,700000,1100000,2300000,1422817,1874287,3124376,2808277,1261595,1584688,3157508,2192834,2265092,8359477,3660141,5309153,3628026,4865193,3130720,5115470,10161149,9675068,12924070,16666534,25244515,17847370,43499000,52014000,83527000,43613000,93037000
23,Net Income,7000000,3100000,2700000,2300000,2800000,2800000,2300000,2000000,1700000,5000000,3328901,4264273,6706741,6033261,2937827,3758069,6886513,4900786,5330151,17412958,8512587,11569862,8249688,10939773,6914043,11308711,20594769,19647818,27218508,34765020,50038507,37239550,76361000,209736000,318728000,176049000,269980000
24,Net Income ratio,0.5738,0.5000,0.5000,0.4694,0.5185,0.5000,0.4694,0.4651,0.3208,0.5495,0.5169,0.4969,0.5129,0.5757,0.4959,0.4819,0.5128,0.5372,0.5355,0.5975,0.5525,0.5151,0.5334,0.5669,0.5284,0.5636,0.6162,0.6029,0.6171,0.6298,0.6301,0.6216,0.5771,0.6986,0.6498,0.5819,0.5987
25,EPS,0.35,0.16,0.15,0.13,0.15,0.16,0.13,0.12,0.10,0.32,0.22,0.29,0.48,0.44,0.22,0.29,0.56,0.42,0.47,1.58,0.78,1.08,0.78,1.06,0.69,1.17,2.21,2.20,3.16,4.14,6.10,4.66,9.72,26.93,41.38,22.70,34.81
26,EPS Diluted,0.35,0.16,0.15,0.13,0.15,0.16,0.13,0.12,0.10,0.32,0.22,0.29,0.48,0.44,0.22,0.29,0.56,0.42,0.47,1.58,0.78,1.08,0.78,1.06,0.69,1.17,2.21,2.20,3.16,4.14,6.10,4.66,9.72,26.93,41.38,22.70,34.81
27,Weighted Average Shares Outstanding,19774011,18902439,18493151,18253968,18181818,17721519,17424242,16666667,16346154,15822785,15270188,14603675,14030839,13588426,13233455,12782548,12341421,11724368,11389212,11034828,10857892,10693033,10576523,10354408,10018028,9679921,9336998,8939045,8601171,8397314,8197632,7989030,7854705,7787407,7756437,7756156,7756156
28,Weighted Average Shares Outstanding Diluted,19774011,18902439,18493151,18253968,18181818,17721519,17424242,16666667,16346154,15822785,15270188,14673913,14146341,13650000,13255000,12782548,12341421,11724368,11389212,11034828,10857892,10693033,10576523,10406889,10070246,9679921,9336998,8939045,8601171,8397314,8197632,7989030,7854705,7787407,7756437,7756156,7756156
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97517/000093244004000089/0000932440-04-000089-index.htm,- -,https://www.sec.gov/Archives/edgar/data/97517/000093244006000125/0000932440-06-000125-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244007000218/0000932440-07-000218-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244008000195/0000932440-08-000195-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244009000215/0000932440-09-000215-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244010000057/0000932440-10-000057-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244011000107/0000932440-11-000107-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774912002194/0001437749-12-002194-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774913002599/0001437749-13-002599-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774914003082/0001437749-14-003082-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774915003635/0001437749-15-003635-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774916026297/0001437749-16-026297-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774917003418/0001437749-17-003418-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774918003528/0001437749-18-003528-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000009751719000015/0000097517-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000009751720000017/0000097517-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1811074/000181107421000013/0001811074-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1811074/000181107422000014/0001811074-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72985,144898,112591,147375,222539,263834,85065,147746,163250,342945,226984,8524177,10153202,9654379,8151209,7149552,13029578,8424907,13239211,26814759,45011969,49417889,79580000,119647000,303645000,281046000,428242000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2950000,1650000,1800000,2450000,1650000,1350000,2500000,3200000,4350000,5600000,9400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3022985,1794898,1912591,2597375,1872539,1613834,2585065,3347746,4513250,5942945,9626984,8524177,10153202,9654379,8151209,7149552,13029578,8424907,13239211,26814759,45011969,49417889,79580000,119647000,303645000,281046000,428242000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3932072,5067778,9307218,11006307,8393007,8591998,11421331,11923998,10501601,22251684,19083848,21956737,21165963,18828508,1630220,2164842,13147391,11071839,7613441,4143135,3926648,6645400,18205000,48750000,62995000,48216000,95217000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1125059,1125059,1125059,1114601,1114601,1115000,10492000,107075000,108536000,109071000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10664851,- -,-19310832,-21956737,-21165963,1062336,73245,131152,82057,416882,- -,815937,- -,- -,1202000,9398000,- -,1978000,3054000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4350000,- -,9400000,8524177,10153202,29545223,9854674,9445546,26259026,21038687,21977711,32898890,50053218,57177890,100102000,188287000,473715000,439776000,635584000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6898382,6162569,4609525,4547643,4718604,4113200,2658274,2573390,2320309,1599533,1930089,1894465,1192283,1239811,1204021,1200916,1173231,66103,81132,89107,260901,1168281,19516000,89105000,120481000,127386000,125938000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3874788,6992000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15728925,14342898,- -,82082,298105,114491,121426,232970,850000,7683000,3980000,4473000,2542000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1239811,16932946,15543814,1173231,148185,379237,203598,382327,5276039,27358000,96788000,124461000,131859000,128480000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13901804,13710234,16673289,18856414,15876606,15329316,17628181,18735307,13971900,31149178,22904893,23943371,22503533,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13901804,13710234,16673289,18856414,15876606,15329316,17628181,18735307,18321900,31149178,32304893,32467548,32656735,30785034,26787620,24989360,27432257,21186872,22356948,33102488,50435545,62453929,127460000,285075000,598176000,571635000,764064000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55046,70034,93072,9064,80650,51711,7537,10120,31434,562855,827911,382153,1142444,786848,753328,976202,1079310,1075256,862364,828672,868807,826771,5608000,10505000,19193000,14680000,18008000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155617,240083,43421,54822,271580,75100,201863,263861,236657,1477919,349703,513466,566246,802201,2227587,1284000,1607000,5271000,4054000,29083000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,438374,767233,755199,834120,- -,- -,- -,- -,- -,- -,- -,- -,- -,20449000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3544954,3529966,4406928,5190936,- -,- -,- -,- -,- -,- -,- -,686640,413811,5343138,4991367,4519390,1477919,349703,513466,566246,802201,2227587,1284000,1607000,5271000,4054000,29083000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,3600000,4500000,5200000,- -,- -,- -,- -,31434,- -,827911,1068793,1556255,6568360,6511928,6250791,3391349,1424959,1375830,1394918,1671008,3054358,6892000,12112000,24464000,18734000,67540000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3367000,2821000,1445000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415060,413811,- -,- -,- -,- -,1017693,1377577,3940353,2579406,11775049,41375000,13369000,17381000,26168000,3809000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3294317,3388382,4291856,4840479,4021803,3905678,4402481,4586451,4059410,7837643,6808490,6408682,5964844,- -,- -,- -,2953703,2274496,1673875,293140,163213,- -,- -,14903000,40827000,38728000,38948000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,692002,571695,436343,539971,873579,- -,754260,333239,- -,- -,- -,- -,- -,611000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,692002,571695,436343,3493674,4165768,3051452,4987753,3075858,11775049,41375000,28272000,61575000,67717000,44813000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7176,- -,- -,14708,4129836,4061009,4430539,4752188,4299493,8443919,6863312,6959353,6210941,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3367000,2821000,1445000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3607176,3584578,4452083,5214708,4129836,4061009,4430539,4752188,4330927,8443919,7691223,8028146,7767196,7260362,7083623,6687134,6885023,5590727,4427282,6382671,4746866,14829407,48267000,40384000,86039000,86451000,112353000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,668029000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-336788,-257842,-629075,-488348,-515724,-834314,-953965,-622012,-1352794,-1248906,-959563,-804000,-1078000,-1461000,-2693000,-1007000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10294628,10125656,12221206,13641706,11746770,11268307,13197642,13983119,13990973,- -,24613670,24776190,25147381,24153747,20192345,18817950,21381548,16550110,18551678,28072611,46937585,48584085,79997000,245769000,- -,- -,-15389000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10294628,10125656,12221206,13641706,11746770,11268307,13197642,13983119,13990973,22705259,24613670,24439402,24889539,23524672,19703997,18302226,20547234,15596145,17929666,26719817,45688679,47624522,79193000,244691000,512137000,485184000,651711000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13901804,13710234,16673289,18856414,15876606,15329316,17628181,18735307,18321900,31149178,32304893,32467548,32656735,30785034,26787620,24989360,27432257,21186872,22356948,33102488,50435545,62453929,127460000,285075000,598176000,571635000,764064000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13901804,13710234,16673289,18856414,15876606,15329316,17628181,18735307,18321900,31149178,32304893,32467548,32656735,30785034,26787620,24989360,27432257,21186872,22356948,33102488,50435545,62453929,127460000,285075000,598176000,571635000,764064000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97517/000093244004000089/0000932440-04-000089-index.htm,- -,https://www.sec.gov/Archives/edgar/data/97517/000093244006000125/0000932440-06-000125-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244007000218/0000932440-07-000218-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244008000195/0000932440-08-000195-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244009000215/0000932440-09-000215-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244010000057/0000932440-10-000057-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000093244011000107/0000932440-11-000107-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774912002194/0001437749-12-002194-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774913002599/0001437749-13-002599-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774914003082/0001437749-14-003082-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774915003635/0001437749-15-003635-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774916026297/0001437749-16-026297-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774917003418/0001437749-17-003418-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000143774918003528/0001437749-18-003528-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000009751719000015/0000097517-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/97517/000009751720000017/0000097517-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1811074/000181107421000013/0001811074-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1811074/000181107422000014/0001811074-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,2800000,2300000,2000000,1700000,5000000,3328901,4264273,6706741,6033261,2937827,3758069,6886513,4900786,5330151,17412958,8512587,11569862,8249688,10939773,6914043,11308711,20594769,19647818,27218508,34765020,50038507,37239550,76361000,209736000,318728000,176049000,269980000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11314,15726,49201,60321,48026,44413,52116,49965,50929,38174,28791,37134,35999,36803,42142,15391,12675,16504,16286,19730,25374,43290,376000,2583000,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,-900000,-500000,-300000,-200000,700000,-472129,94065,903474,548623,-818677,-116125,496803,183970,-527041,3778233,-1029153,-399808,-443838,-823569,-413769,-444773,-1329030,-679207,-600621,-1380735,-129927,-4038001,-3117000,14789000,25924000,-2099000,220000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000
77,Change in Working Capital,- -,- -,- -,- -,- -,4600000,- -,- -,- -,- -,-3600000,- -,-900000,-700000,5200000,- -,- -,- -,4318566,-4318566,8572089,-1116705,1141563,14379916,-19634117,-147991,19672922,-3253949,988153,10902091,16878238,5741322,39086468,82965000,11232000,20107000,-21322000
78,Accounts Receivable,- -,- -,- -,- -,- -,2300000,1500000,1000000,1000000,-500000,1800000,-1800000,-2800000,-1500000,2300000,-159351,-2632892,-599019,1325830,-12075489,2729079,-1529656,800570,370447,-451198,- -,-637244,92408,-1240703,689129,-563991,-2874439,-12226000,-37824000,-13802000,18828000,-47603000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-100000,100000,100000,- -,- -,- -,-100000,100000,-28939,-44174,2583,21314,531421,265056,186163,475614,- -,- -,- -,- -,404585,-344671,2553084,-1629956,9219234,5093000,4783000,7960000,-6291000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3600000,-3600000,-4500000,-5200000,- -,- -,- -,- -,4318566,- -,8572089,7455384,8596947,22976863,3342746,3194755,22867677,19613728,20601881,31503972,48382210,54123532,93210000,176175000,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-2200000,1500000,900000,1600000,-2100000,5444904,-1079626,-1966301,-601404,-3216808,336801,-1368417,-213507,-2654584,-6749322,-5752253,276880,551382,-13091960,22484639,965281,-15020128,4180324,2443028,-5453683,-17244993,1971680,-18876468,-118424000,-13094000,12980000,16257000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,4300000,3300000,2600000,3100000,3600000,4712990,3294438,4793115,5340801,4150368,4023158,6067015,4921214,6518021,10161477,10332061,10367363,9534794,11440963,9392938,11696619,23931208,19911490,30065354,38852423,49567199,40957841,93830000,191649000,342790000,207037000,265163000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19394,-108653,-78731,-56243,-57941,-61005,-151606,-55224,-30220,-33110,-55486,-62828,-27272,-6379,-29663,-27670,-37261,-50405,-54610,-53788,-221456,-976871,-18747000,-9377000,-37226000,-22032000,-15548000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
