,https://roic.ai/company/UIS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,-639300000,-436700000,-1393300000,361200000,565400000,100500000,-624600000,49700000,-853600000,387000000,510700000,225000000,-67100000,223000000,258700000,38600000,-1731900000,-278700000,-79100000,-130100000,189300000,236100000,134000000,145600000,108500000,46700000,-109900000,-47700000,-65300000,75500000,-17200000,750700000,-448500000
74,Depreciation and Amortization,- -,- -,- -,- -,704200000,752200000,951600000,530200000,476700000,450200000,395600000,329700000,1216900000,266400000,265200000,271000000,302200000,297800000,342600000,394000000,374200000,388500000,380500000,418000000,352500000,250600000,194800000,174600000,159600000,168600000,180100000,155600000,156500000,164100000,147400000,161000000,173400000
75,Deferred Income Tax,- -,- -,- -,- -,14400000,14600000,-39000000,-12200000,202600000,-55800000,-223100000,-51000000,-25300000,-26800000,-9900000,85600000,-44400000,39400000,57200000,-41200000,1491200000,-66500000,82700000,-9900000,-87900000,-34400000,- -,- -,- -,- -,- -,- -,- -,8200000,4400000,-13400000,-59200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,9400000,25700000,14300000,12500000,10400000,9400000,9500000,11200000,13200000,13200000,14500000,18800000
77,Change in Working Capital,- -,- -,- -,- -,382900000,-886100000,-27000000,191000000,10300000,-202100000,-560800000,596700000,-358900000,-74900000,-7000000,-326000000,-20200000,-119500000,443000000,190300000,-56300000,-31700000,9400000,-104200000,96600000,230100000,-51400000,-5200000,33900000,-196400000,-154400000,-119500000,372200000,-39800000,-84100000,276900000,-52300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,722700000,303100000,372300000,151000000,119900000,-19100000,-15400000,32100000,81500000,98200000,98000000,-52500000,79700000,53000000,54100000,23000000,20900000,19400000,10700000,27200000,14000000,12400000,22100000,14200000,-6500000,6300000,-3700000,15300000,4100000,-5500000,6100000,3000000,6000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,1546000000,659900000,632900000,823900000,834200000,632100000,71300000,668000000,309100000,234200000,227200000,-98800000,-119000000,-238500000,204500000,394800000,338500000,306800000,316200000,212000000,308600000,538700000,487300000,482100000,516000000,319600000,165200000,45700000,417900000,378100000,294000000,570900000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,5000000,1896400000,1427200000,106300000,-235300000,356000000,1768900000,-1035300000,385300000,98300000,-241400000,164300000,31900000,-116200000,-572300000,-111900000,204800000,17100000,-220400000,80800000,-154400000,-355000000,14100000,-68000000,-127100000,92100000,76000000,220300000,-308200000,-147300000,60200000,-1870900000,500300000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,467200000,1340400000,919500000,1176500000,1019700000,648800000,756000000,-110200000,364400000,650000000,517600000,419900000,202400000,324500000,529200000,469800000,282000000,28700000,173100000,254600000,396800000,336800000,317200000,261300000,187400000,121400000,1200000,218200000,166400000,73900000,123900000,-681200000,132500000
84,CAPEX,- -,- -,- -,- -,-615400000,-460100000,-248300000,-251700000,-196800000,-225700000,-195000000,-162300000,-179900000,-207300000,-273500000,-198300000,-208500000,-196200000,-5122100000,-314500000,-112000000,-175500000,-309000000,-294500000,-201300000,-203100000,-134400000,-96500000,-111500000,-126900000,-111700000,-95800000,-90200000,-116300000,-111300000,-100000000,-81700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42300000,-17900000,-22200000,-3900000,- -,-13900000,- -,-4800000,-256600000,-19400000,-1500000,-1100000,-1200000,-6400000,-1900000,117200000,-15600000,5200000,-100000,- -,- -,- -,- -,- -,- -,1162900000,-239300000
86,Purchases of Investments,- -,- -,- -,- -,-3759700000,-3912600000,-3624300000,-2107400000,-2135300000,-1913600000,-3329600000,-1845900000,-1629000000,-2006500000,-1013800000,-716700000,-3009000000,-3485400000,-144100000,-6054300000,-7835300000,-7535900000,-7728300000,-6190300000,-489600000,-416500000,-688200000,-4107200000,-5325800000,-5640300000,-3806200000,-4490000000,-4692400000,-3722000000,-3566100000,-3379200000,-4168100000
87,Sales/Maturities of Investments,- -,- -,- -,- -,3889700000,3775300000,3652900000,2060100000,1967700000,1990600000,3326300000,1846100000,1667300000,1991000000,1033800000,790400000,3028700000,3447100000,5054000000,6026500000,7726200000,7522000000,7718500000,6208200000,404100000,417400000,691200000,4108500000,5315900000,5654000000,3831600000,4455900000,4717200000,3708000000,3568900000,3388500000,4148200000
88,Other Investing Activites,- -,- -,- -,- -,-126400000,-53600000,176900000,-19900000,26500000,-96500000,-92700000,-38800000,-127800000,-48300000,-74900000,-132400000,-136800000,-139900000,- -,-117900000,-120400000,299600000,29300000,- -,-138000000,-115600000,-41500000,-93100000,-105500000,-155700000,-153700000,-115600000,-151500000,-135400000,-122700000,-102900000,-73800000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-611800000,-651000000,-42800000,-318900000,-337900000,-245200000,-333300000,-218800000,-291600000,-275000000,-328400000,-270900000,-325600000,-379200000,-468800000,-479600000,-343000000,109100000,-290700000,-283000000,-271300000,-61600000,-96300000,-126700000,-162700000,-195300000,-177900000,-182200000,-152500000,-185000000,-158200000,1041600000,-360300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000000,-92800000,-555700000,-388900000,- -,- -,-10400000,-129800000,-107500000,-2300000,-14400000,-454800000,-103100000
91,Common Stock Issued,- -,- -,- -,- -,245700000,150000000,- -,- -,- -,- -,- -,- -,- -,79100000,87700000,51100000,33600000,- -,31500000,38800000,12800000,1600000,12300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000000,- -,-197000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11700000,-35700000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-264200000,-229800000,-26500000,-46100000,-183700000,-228000000,-120200000,-120800000,-113100000,-106500000,-59400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12200000,-16200000,-16200000,-4000000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,164500000,-190300000,-437100000,-791600000,-434500000,-133500000,-62300000,372000000,-11000000,-543300000,-159700000,-268400000,38000000,25300000,224000000,-23500000,49600000,-79500000,197300000,-200900000,-16100000,1300000,248500000,200700000,4900000,2800000,101000000,113100000,437400000,-2500000,-23600000,459900000,-2400000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,146000000,-270100000,-463600000,-837700000,-618200000,-361500000,-182500000,251200000,-274100000,-570700000,-328400000,-217300000,71600000,25300000,255500000,15300000,62400000,-77900000,209600000,-200900000,-46100000,-91500000,-319400000,-204400000,-23000000,-36900000,90600000,-16700000,329900000,-4800000,-38000000,5100000,-105500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-18500000,-25100000,-2900000,-24400000,-37300000,-9100000,5700000,-7300000,-24900000,-3000000,-13200000,-17700000,-500000,5300000,18200000,19100000,-19400000,16900000,18900000,-56900000,24200000,-3000000,-14900000,10500000,-17500000,-34700000,-43000000,-13900000,19200000,-24100000,- -,-10600000,-12800000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000000,245900000,-85100000,-226200000,-198700000,-152400000,-86000000,-52100000,-24100000,334100000,24600000,-18000000,76800000,110900000,-286200000,103600000,180700000,-113400000,-59300000,-15800000,-145500000,-129100000,5400000,363000000,-140000000,-72300000,354900000,-346100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,868400000,1114300000,1029200000,803000000,604300000,464000000,378000000,325900000,301800000,635900000,660500000,642500000,719300000,830200000,544000000,647600000,828300000,714900000,655600000,639800000,494300000,365200000,370600000,764100000,624100000,551800000,906700000,560600000
99,Cash at the Beginning of Period,- -,- -,- -,- -,26300000,9200000,403400000,813600000,809100000,835400000,868400000,1114300000,1029200000,803000000,616400000,464000000,378000000,325900000,301800000,635900000,660500000,642500000,719300000,830200000,544000000,647600000,828300000,714900000,655600000,639800000,494300000,365200000,401100000,764100000,624100000,551800000,906700000
100,Free Cash Flow,- -,- -,- -,- -,-148200000,880300000,671200000,924800000,822900000,423100000,561000000,-272500000,184500000,442700000,244100000,221600000,-6100000,128300000,-4592900000,155300000,170000000,-146800000,-135900000,-39900000,195500000,133700000,182800000,164800000,75900000,-5500000,-110500000,122400000,76200000,-42400000,12600000,-781200000,50800000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746838/0000746838-94-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/746838/000074683896000001/0000746838-96-000001-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746838/000103605001000142/0001036050-01-000142-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746838/000119312505032226/0001193125-05-032226-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312506038890/0001193125-06-038890-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312507038291/0001193125-07-038291-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312508043792/0001193125-08-043792-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312509042668/0001193125-09-042668-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312510038558/0001193125-10-038558-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312511041209/0001193125-11-041209-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312512078426/0001193125-12-078426-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312513071504/0001193125-13-071504-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312514063880/0001193125-14-063880-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312515058367/0001193125-15-058367-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000119312516483720/0001193125-16-483720-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683817000008/0000746838-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683818000009/0000746838-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683819000051/0000746838-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683820000059/0000746838-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683821000014/0000746838-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/746838/000074683822000006/0000746838-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
