,https://roic.ai/company/UNH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,2200000,700000,800000,3500000,-7300000,- -,- -,- -,91000000,-184000000,35000000,73000000,40000000,154000000,91000000,125000000,167000000,-267000000,-127000000,-166000000,-16000000,45000000,59000000,308000000,1000000,-117000000,-73000000,81000000,-965000000,42000000,230000000,-8000000,130000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404000000,- -,305000000,334000000,326000000,401000000,421000000,331000000,364000000,406000000,485000000,597000000,638000000,697000000,679000000,800000000
77,Change in Working Capital,- -,- -,- -,- -,17200000,- -,- -,- -,- -,- -,433125000,-336243000,-473882000,-685000000,-262000000,-841000000,-380000000,-660000000,557000000,-440000000,-2916000000,3551000000,-495000000,-1823000000,808000000,-1344000000,1735000000,-2492000000,-1437000000,434000000,-4192000000,-4114000000,1994000000,-1138000000,-4631000000,446000000,1522000000
78,Accounts Receivable,- -,- -,- -,- -,-5200000,-2400000,-16300000,-20300000,-40300000,-24500000,-25079000,-137431000,-84000000,41000000,84000000,26000000,7000000,83000000,-46000000,-30000000,-83000000,-411000000,-580000000,-219000000,100000000,-16000000,-267000000,-130000000,-317000000,-911000000,-591000000,-1357000000,-1062000000,-1351000000,162000000,-688000000,-1000000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,1400000,5200000,8900000,3200000,-44400000,-56481000,173807000,70000000,744000000,269000000,439000000,619000000,579000000,276000000,322000000,193000000,597000000,606000000,-41000000,- -,- -,- -,300000000,968000000,2126000000,3228000000,3343000000,2214000000,2357000000,1954000000,5500000000,3863000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,433125000,96882000,-377000000,-1062000000,-1324000000,-2165000000,-2545000000,-3205000000,-2648000000,-3088000000,-6004000000,-2453000000,-2948000000,-4771000000,-3963000000,-5307000000,-3572000000,-6064000000,-7501000000,-7067000000,-11259000000,-15373000000,-13379000000,-14517000000,-19148000000,-18702000000,-310000000
82,Other Non-Cash Items,- -,- -,- -,- -,15800000,33500000,65600000,102400000,141800000,-1403036000,-379272000,409699000,459882000,1921000000,615000000,1306000000,1006000000,1322000000,231000000,1489000000,3322000000,-1991000000,1049000000,1964000000,-314000000,1548000000,-1493000000,2083000000,1096000000,273000000,6093000000,4271000000,-833000000,1757000000,5608000000,2763000000,-497000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,41100000,57500000,126900000,189000000,278800000,326257000,434275000,562259000,683000000,1071000000,1189000000,1521000000,1844000000,2423000000,3003000000,4135000000,4326000000,6526000000,5877000000,4238000000,5625000000,6273000000,6968000000,7155000000,6991000000,8051000000,9740000000,9795000000,13596000000,15713000000,18463000000,22174000000,22343000000
84,CAPEX,- -,- -,- -,- -,-3700000,-2700000,-15100000,-22400000,-55300000,-79609000,-109230000,-165223000,-187000000,-210000000,-196000000,-245000000,-425000000,-419000000,-352000000,-350000000,-509000000,-728000000,-871000000,-791000000,-739000000,-878000000,-1067000000,-1070000000,-1307000000,-1525000000,-1556000000,-1705000000,-2023000000,-2063000000,-2071000000,-2051000000,-2454000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51442000,-969392000,-51864000,- -,-464000000,-334000000,-76000000,-92000000,-302000000,-590000000,-2225000000,-2925000000,-670000000,-262000000,-3813000000,-486000000,-2323000000,-1459000000,-6280000000,-362000000,-1923000000,-16164000000,-1760000000,-2131000000,-5997000000,-8343000000,-7139000000,-4821000000
86,Purchases of Investments,- -,- -,- -,- -,-42300000,-1500000,-269700000,-912300000,-947700000,-1354859000,-3289186000,-5008848000,-6706000000,-2799000000,-2208000000,-3022000000,-2088000000,-3246000000,-2583000000,-3190000000,-5876000000,-4851000000,-6379000000,-9251000000,-6466000000,-7855000000,-9895000000,-9903000000,-12176000000,-9928000000,-9939000000,-17547000000,-14588000000,-14010000000,-18131000000,-16577000000,-17139000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,136700000,623900000,776400000,964813000,3321097000,4754929000,5889000000,3435000000,2064000000,2363000000,1467000000,2576000000,2780000000,4121000000,5821000000,4096000000,3365000000,8598000000,6715000000,5698000000,8200000000,8604000000,10565000000,10727000000,9408000000,11620000000,10269000000,9911000000,15627000000,13741000000,15296000000
88,Other Investing Activites,- -,- -,- -,- -,-8800000,3900000,6800000,-81200000,-80700000,1460193000,961000,-1504000,- -,59000000,51000000,12000000,- -,- -,- -,- -,- -,52000000,- -,185000000,- -,19000000,49000000,- -,191000000,115000000,-144000000,37000000,-126000000,-226000000,219000000,-506000000,-1254000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-54800000,-300000,-141300000,-392000000,-307300000,939096000,-1045750000,-472510000,-1004000000,21000000,-623000000,-968000000,-1138000000,-1391000000,-745000000,-1644000000,-3489000000,-2101000000,-4147000000,-5072000000,-976000000,-5339000000,-4172000000,-8649000000,-3089000000,-2534000000,-18395000000,-9355000000,-8599000000,-12385000000,-12699000000,-12532000000,-10372000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-5300000,-10500000,-10500000,-18547000,-3646000,-620000,- -,- -,- -,- -,-150000000,- -,-350000000,-150000000,-400000000,-91000000,-960000000,-500000000,-1449000000,-1583000000,-955000000,-986000000,-2083000000,-1606000000,-1041000000,-2978000000,-7906000000,-2801000000,-1750000000,-3150000000,-3150000000
91,Common Stock Issued,- -,- -,- -,- -,30900000,1300000,105700000,204900000,18600000,48609000,41374000,41563000,79000000,84000000,102000000,228000000,178000000,205000000,268000000,583000000,423000000,397000000,712000000,299000000,282000000,272000000,381000000,1078000000,598000000,462000000,402000000,429000000,688000000,838000000,1037000000,1440000000,1355000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-22500000,- -,- -,- -,- -,- -,- -,-16000000,-442000000,-983000000,-1180000000,-1129000000,-1815000000,-1607000000,-3446000000,-2557000000,-2345000000,-6599000000,-2684000000,-1801000000,-2517000000,-2994000000,-3084000000,-3170000000,-4008000000,-1200000000,-1280000000,-1500000000,-4500000000,-5500000000,-4250000000,-5000000000
93,Dividends Paid,- -,- -,- -,- -,- -,-800000,-900000,-1000000,-2100000,-4626000,-5192000,-34086000,-35000000,-34000000,-6000000,-5000000,-9000000,-9000000,-9000000,-18000000,-19000000,-41000000,-40000000,-37000000,-36000000,-449000000,-651000000,-820000000,-1056000000,-1362000000,-1786000000,-2261000000,-2773000000,-3320000000,-3932000000,-4584000000,-5280000000
94,Other Financing Activites,- -,- -,- -,- -,100000,200000,-1000000,300000,200000,- -,- -,- -,6000000,194000000,282000000,218000000,525000000,177000000,572000000,2269000000,3146000000,2554000000,3702000000,2317000000,729000000,2666000000,1729000000,4283000000,765000000,1221000000,15864000000,5079000000,8050000000,5418000000,4520000000,6954000000,4620000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,31000000,-21800000,98500000,193700000,6200000,25436000,32536000,6857000,34000000,-198000000,-605000000,-739000000,-585000000,-1442000000,-1126000000,-762000000,593000000,474000000,-3185000000,-605000000,-2275000000,-1611000000,-2490000000,471000000,-4946000000,-5293000000,12239000000,-1011000000,-3441000000,-4365000000,-5625000000,-3590000000,-7455000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86000000,-5000000,-156000000,78000000,-5000000,-78000000,-20000000,-116000000,-62000000
97,Net Change In Cash,- -,- -,- -,- -,31000000,-21800000,98500000,193700000,6200000,1290789000,-578939000,96606000,-287000000,894000000,-39000000,-186000000,121000000,-410000000,1132000000,1729000000,1430000000,4899000000,-1455000000,-1439000000,2374000000,-677000000,306000000,-1023000000,-1130000000,219000000,3428000000,-493000000,1551000000,-1115000000,119000000,5936000000,4454000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1519049000,940110000,1036716000,750000000,1644000000,1605000000,1419000000,1540000000,1130000000,2262000000,3991000000,5421000000,10320000000,8865000000,7426000000,9800000000,9123000000,9429000000,8406000000,7276000000,7495000000,10923000000,10430000000,11981000000,10866000000,10985000000,16921000000,21375000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,46500000,18600000,53900000,138000000,168700000,228260000,1519049000,940110000,1037000000,750000000,1644000000,1605000000,1419000000,1540000000,1130000000,2262000000,3991000000,5421000000,10320000000,8865000000,7426000000,9800000000,9123000000,9429000000,8406000000,7276000000,7495000000,10923000000,10430000000,11981000000,10866000000,10985000000,16921000000
100,Free Cash Flow,- -,- -,- -,- -,37400000,54800000,111800000,166600000,223500000,246648000,325045000,397036000,496000000,861000000,993000000,1276000000,1419000000,2004000000,2651000000,3785000000,3817000000,5798000000,5006000000,3447000000,4886000000,5395000000,5901000000,6085000000,5684000000,6526000000,8184000000,8090000000,11573000000,13650000000,16392000000,20123000000,19889000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731766/0000950131-96-001401-index.html,https://www.sec.gov/Archives/edgar/data/731766/000091205797010848/0000912057-97-010848-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/731766/000091205701505867/0000912057-01-505867-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/731766/000095013404003522/c82635e10vk.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312505039947/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312506038949/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312507046861/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312508035391/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000119312509025587/0001193125-09-025587-index.html,https://www.sec.gov/Archives/edgar/data/731766/000119312510027229/0001193125-10-027229-index.html,https://www.sec.gov/Archives/edgar/data/731766/000119312511030615/d10k.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176612000009/0000731766-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176613000005/0000731766-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176614000008/unh2013123110-k.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176615000007/unh2014123110-k.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176616000058/0000731766-16-000058-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176617000009/0000731766-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176618000005/0000731766-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176619000005/0000731766-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176620000006/0000731766-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/731766/000073176621000013/0000731766-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/731766/000073176622000008/0000731766-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
