,https://roic.ai/company/HNGR,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,-2900000,-10900000,-4000000,-600000,-400000,-38000000,-16100000,-500000,-100000,-273000,16079000,1507000,905000,3032000,304000,308000,366000,73000,629000,373000,-14746000,-1388000,11804000,2518000,4850000,7565000,3893000,4237000,2598000,4025000,171000
89,Cash Used for Investing Activites,- -,- -,-3300000,-11700000,-4700000,-4300000,-1300000,-39200000,-18700000,-33700000,-445000000,4624000,1105000,-18012000,-27477000,-35949000,-11247000,-13212000,-42096000,-30168000,-34152000,-185975000,-46870000,-99051000,-35938000,-68981000,-40161000,-18602000,-1882000,-27158000,-67158000,-45868000,-102486000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19190000,-410415000,-13000000,-9668000,-533570000,-305560000,-121734000,-384795000,-186917000,-447466000,-9345000,-110213000,-1052000
91,Common Stock Issued,- -,- -,11300000,13200000,200000,- -,- -,- -,61200000,40000000,60100000,- -,250000,3917000,2944000,1135000,1063000,50588000,1625000,661000,2756000,12384000,2680000,3560000,2437000,87000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-1200000,- -,- -,- -,- -,- -,-300000,- -,- -,- -,-2393000,-31686000,- -,- -,-64693000,- -,- -,- -,- -,-2107000,-1350000,-2374000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-999000,-1665000,-416000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-7900000,700000,2400000,4300000,-2000000,38300000,-50600000,-21500000,381200000,6703000,-63147000,-34523000,7919000,-21292000,-15987000,19497000,-5752000,8178000,3600000,479214000,4081000,1505000,473834000,332414000,144448000,281568000,153045000,486432000,-3038000,70697000,-15582000
95,Cash Used/Provided by Financing Activities,- -,- -,3400000,12700000,2600000,4300000,-2000000,38300000,10600000,18200000,441300000,6703000,-62897000,-32999000,-20823000,-20157000,-14924000,4393000,-5792000,8423000,-12834000,81183000,-8346000,-5953000,-59673000,26941000,22714000,-103227000,-33872000,38966000,-12383000,-39516000,-16634000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,14934000,-10626000,-3477000,8797000,-7012000,-430000,15218000,3799000,31475000,26145000,-48250000,6588000,-23685000,-9351000,10086000,47054000,-51596000,-5649000,90335000,-20695000,70183000,-82910000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,20669000,10043000,6566000,15363000,8351000,7921000,23139000,26938000,58413000,84558000,36308000,42896000,19211000,9860000,11699000,58753000,7157000,1508000,95114000,74419000,144602000,61692000
99,Cash at the Beginning of Period,- -,- -,1000000,500000,1400000,1400000,1000000,1500000,6600000,6600000,9700000,5735000,20669000,10043000,6566000,15363000,8351000,7921000,23139000,26938000,58413000,84558000,36308000,42896000,19211000,1613000,11699000,58753000,7157000,4779000,95114000,74419000,144602000
100,Free Cash Flow,- -,- -,-1100000,-900000,1500000,-4000000,2800000,4700000,5500000,-14700000,-445100000,-6238000,44469000,38422000,39165000,29640000,16982000,11210000,31558000,33890000,51861000,25949000,33680000,48156000,47814000,18511000,27262000,45184000,7750000,49708000,25741000,127475000,13631000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/722723/000095013396000271/0000950133-96-000271-index.html,https://www.sec.gov/Archives/edgar/data/722723/000090445697000030/0000904456-97-000030-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/722723/000089706901500040/0000897069-01-500040-index.html,https://www.sec.gov/Archives/edgar/data/722723/000089706902000258/0000897069-02-000258-index.html,- -,https://www.sec.gov/Archives/edgar/data/722723/000089706904000603/sdc669.htm,https://www.sec.gov/Archives/edgar/data/722723/000089706905000689/cmw1280.htm,https://www.sec.gov/Archives/edgar/data/722723/000089706906000860/dbk116.htm,https://www.sec.gov/Archives/edgar/data/722723/000089706907000793/cmw2751.htm,https://www.sec.gov/Archives/edgar/data/722723/000089706908000510/cmw3387.htm,https://www.sec.gov/Archives/edgar/data/722723/000104746909001956/0001047469-09-001956-index.html,https://www.sec.gov/Archives/edgar/data/722723/000104746910001757/0001047469-10-001757-index.html,https://www.sec.gov/Archives/edgar/data/722723/000104746911002064/a2202022z10-k.htm,https://www.sec.gov/Archives/edgar/data/722723/000104746912001903/0001047469-12-001903-index.html,https://www.sec.gov/Archives/edgar/data/722723/000104746913002994/0001047469-13-002994-index.html,https://www.sec.gov/Archives/edgar/data/722723/000104746914003425/a2219022z10-k.htm,https://www.sec.gov/Archives/edgar/data/722723/000110465917032012/a17-4163_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/722723/000110465918003089/a17-25118_110k.htm,https://www.sec.gov/Archives/edgar/data/722723/000110465918003089/0001104659-18-003089-index.html,https://www.sec.gov/Archives/edgar/data/722723/000110465919014846/0001104659-19-014846-index.html,https://www.sec.gov/Archives/edgar/data/722723/000110465920031942/0001104659-20-031942-index.html,https://www.sec.gov/Archives/edgar/data/722723/000110465921029987/0001104659-21-029987-index.htm,https://www.sec.gov/Archives/edgar/data/722723/000072272322000006/0000722723-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
