,https://roic.ai/company/RAVE,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,2200000,2600000,3200000,3900000,4530000,4880000,2750000,2880000,2480000,1137000,3090000,2240000,200000,-5990000,210000,2825000,1170000,1160000,1360000,320000,-1261000,-1570000,-1839000,-8886000,-12491000,1912000,-750000,-4233000,1520000
74,Depreciation and Amortization,1200000,500000,500000,600000,700000,900000,900000,1210000,1343000,1337000,1403000,1133000,1143000,1214000,692000,342000,290000,357000,851000,946000,1304000,1454000,1617000,2722000,2456000,874000,466000,657000,736000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,1100000,1127000,1247000,538000,1381000,500000,39000,-1029000,687000,-334000,88000,-67000,310000,83000,-671000,-840000,-703000,2593000,- -,- -,-198000,4060000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198000,165000,103000,121000,150000,68000,128000,213000,58000,115000,36000,-104000,80000
77,Change in Working Capital,700000,- -,- -,2500000,5300000,-840000,-1780000,-440000,-1460000,-524000,-456000,650000,280000,-11750000,11710000,-191000,-799000,420000,690000,-280000,308000,2242000,1441000,-7648000,-990000,4376000,-667000,326000,3424000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-283000,-70000,-240000,-44000,-576000,908000,226000,132000,47000
79,Inventory,- -,- -,200000,-300000,-300000,300000,-400000,-517000,847000,537000,15000,-202000,-205000,145000,254000,122000,25000,-117000,-340000,-23000,237000,-88000,1523000,-17000,118000,73000,-1000,7000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-574000,-23000,320000,-541000,10000,451000,852000,940000,350000,-4241000,-21000,46000,198000
81,Other Working Capital,- -,- -,- -,2500000,7800000,6960000,5180000,4740000,3280000,2756000,2300000,2950000,3230000,-8520000,3190000,2999000,2200000,2620000,3310000,3030000,3338000,5580000,7021000,-627000,-1617000,2759000,2092000,2418000,5842000
82,Other Non-Cash Items,800000,-400000,-900000,-800000,-5130000,1460000,2830000,-199000,2810000,3072000,-1397000,-1011000,-574000,18790000,-14670000,-223000,570000,-488000,-1746000,-18000,904000,-1429000,1333000,12952000,5419000,-11179000,1772000,-1066000,-4275000
83,Cash Provided by Operating Activities,4900000,2700000,2800000,6200000,5400000,6400000,5800000,4578000,6420000,5560000,4021000,3512000,1088000,1235000,-1371000,2419000,1517000,1547000,1568000,1172000,734000,-75000,1977000,1946000,-5548000,-3902000,659000,-360000,1485000
84,CAPEX,-800000,-700000,-1000000,-600000,-600000,-1300000,-600000,-754000,-4713000,-8952000,-476000,-655000,-753000,-2227000,-249000,-249000,-1049000,-769000,-1865000,-2482000,-2244000,-2068000,-6727000,-8110000,-573000,-1081000,-81000,-56000,-286000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-682000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,900000,100000,500000,- -,- -,1000000,- -,- -,- -,24000,6000,38000,- -,589000,11325000,108000,-1049000,-769000,-1865000,-2482000,-2060000,-1962000,-6727000,-7666000,426000,708000,131000,67000,-26000
89,Cash Used for Investing Activites,100000,-600000,-500000,-600000,-600000,-300000,-600000,-754000,-4713000,-8928000,-470000,-1299000,-753000,-1638000,11076000,-141000,-1049000,-769000,-1865000,-2482000,-2060000,-1962000,-6727000,-7666000,426000,708000,131000,67000,-238000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-291000,- -,-868000,-2677000,-1758000,-767000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,200000,200000,500000,500000,1100000,100000,144000,298000,- -,- -,150000,30000,81000,59000,20000,- -,- -,- -,- -,872000,5590000,8253000,764000,- -,5129000,88000,357000,3761000
92,Common Stock Repurchased,- -,-600000,-1200000,-3700000,-1900000,-2600000,-5800000,-6103000,-1329000,- -,- -,- -,-160000,- -,- -,-3020000,-1972000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-2300000,-2100000,-2799000,-1243000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-4100000,-1300000,-2500000,-3500000,-2000000,-2300000,800000,4909000,623000,3598000,-3922000,-2145000,-649000,333000,-8069000,- -,621000,- -,485000,1819000,3460000,82000,426000,102000,4700000,-1000000,- -,642000,119000
95,Cash Used/Provided by Financing Activities,-4100000,-1700000,-3500000,-6700000,-3400000,-6100000,-7000000,-3849000,-1651000,3598000,-3922000,-1995000,-779000,414000,-8010000,-3000000,-1351000,-291000,485000,951000,1655000,3914000,7912000,866000,4700000,4129000,88000,999000,3880000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4100000,-1700000,-3500000,-6700000,-3400000,-6100000,-1800000,-25000,56000,230000,-371000,218000,-444000,11000,1695000,-722000,-883000,487000,188000,-359000,329000,1877000,3162000,-4854000,-422000,935000,878000,706000,5127000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,500000,484000,540000,770000,399000,617000,173000,184000,1879000,1157000,274000,761000,949000,590000,919000,2796000,5958000,1104000,451000,1386000,2264000,3203000,8330000
99,Cash at the Beginning of Period,1700000,2500000,2900000,1700000,700000,2300000,2300000,509000,484000,540000,770000,399000,617000,173000,184000,1879000,1157000,274000,761000,949000,590000,919000,2796000,5958000,873000,451000,1386000,2497000,3203000
100,Free Cash Flow,4100000,2000000,1800000,5600000,4800000,5100000,5200000,3824000,1707000,-3392000,3545000,2857000,335000,-992000,-1620000,2170000,468000,778000,-297000,-1310000,-1510000,-2143000,-4750000,-6164000,-6121000,-4983000,578000,-416000,1199000
