,https://roic.ai/company/CYTR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,600000,- -,- -,100000,- -,- -,- -,- -,-1200000,12600000,840000,100000,- -,30142,- -,- -,-47563,- -,- -,- -,119929,8887614,- -,- -,- -,- -,- -,- -,- -,- -,500142,- -,-9182794
89,Cash Used for Investing Activites,- -,- -,3400000,-100000,- -,-46600000,5700000,4900000,21200000,-7300000,8800000,11500000,4742000,71968,- -,-1371216,1172899,-1733349,964251,-41133,-11048806,-7023353,-21600569,10827636,9395924,-6083967,-3126789,-19492899,10254845,34014979,-134598,-11478,475484,-25902,-7004
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15013638,-9986362,- -,- -,- -
91,Common Stock Issued,- -,- -,200000,1900000,19200000,28600000,100000,100000,200000,100000,200000,100000,339000,2225637,454344,628496,14377388,4429690,19846659,12763551,53037231,976808,18566651,147294,18939619,21476915,24094530,80535501,26780068,25777257,20026865,6512151,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-800000,- -,-200000,-1800000,-200000,-100000,-9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-117070,-182943,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-171668
94,Other Financing Activites,- -,- -,-1700000,- -,- -,- -,- -,- -,-100000,100000,1800000,-1600000,650000,-200000,- -,-615064,- -,- -,- -,- -,482271,- -,- -,- -,- -,7200,39336,431941,590001,24756229,3002858,-1771250,- -,39000,9253790
95,Cash Used/Provided by Financing Activities,- -,- -,-1500000,1900000,19200000,28600000,-700000,100000,-100000,-1600000,1800000,-1600000,980000,2025637,454344,13432,14377388,4429690,19846659,12763551,53519502,976808,18566651,147294,18939619,21484115,24016796,80784499,27370069,50533486,8016085,-5245461,- -,39000,9082122
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5823000,747483,1493538,-4885600,11257132,-9656851,6311795,22082003,20116868,-25456489,-15148182,-3569160,11664160,-3644502,-2860976,20735793,-9957533,34698113,-19316081,-16124418,-5242863,-6127035,-3233772
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3032000,3779376,5272914,387314,11644446,1987595,8299390,30381393,50498261,25041772,9893590,6324430,17988590,14344088,11483112,32218905,22261372,56959485,37643404,21373273,16130410,10003375,6769603
99,Cash at the Beginning of Period,- -,- -,2100000,200000,1000000,22700000,4600000,6900000,3400000,16600000,1400000,5900000,8855000,3031893,3779376,5272914,387314,11644446,1987595,8299390,30381393,50498261,25041772,9893590,6324430,17988590,14344088,11483112,32218905,22261372,56959485,37497691,21373273,16130410,10003375
100,Free Cash Flow,- -,- -,-4000000,-1000000,2500000,-300000,-5900000,-11400000,-8200000,-6600000,-6400000,-6900000,-14061000,-1378154,1039194,-3527816,-4521614,-13124776,-14499115,9359585,-23623141,-20404270,-12309713,-14859841,-16724251,-19186289,-23792792,-41512093,-47913775,-50870793,-27332166,-10878957,-5743005,-6166035,-12308890
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799698/000079969896000005/0000799698-96-000005-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799698/000089843003002249/0000898430-03-002249-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095014804000929/0000950148-04-000929-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095012905003063/0000950129-05-003063-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095013406006504/0000950134-06-006504-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095014807000070/0000950148-07-000070-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000095012408001691/0000950124-08-001691-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969809000006/0000799698-09-000006-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969810000003/0000799698-10-000003-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969811000005/0000799698-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969812000009/0000799698-12-000009-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969813000005/0000799698-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969814000004/0000799698-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969815000004/0000799698-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969816000030/0000799698-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969817000012/0000799698-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000079969818000002/0000799698-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000149315219004165/0001493152-19-004165-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000149315220004848/0001493152-20-004848-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000149315221006668/0001493152-21-006668-index.htm,https://www.sec.gov/Archives/edgar/data/799698/000149315222007485/0001493152-22-007485-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
