,https://roic.ai/company/SXI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6034000,-1081000,8978000,-651000,3832000,15166000,-3657000,-3368000,4552000,-9326000,-6803000,174000,17612000
81,Other Working Capital,- -,- -,- -,- -,115300000,104300000,111000000,109200000,126900000,143100000,138900000,137000000,148900000,146500000,145009087,139807000,44033000,105797000,85111000,64733000,127239000,115999000,88943000,85458000,115519000,92412000,132485000,139828000,158766000,196611000,221742000,200920000,222618000,192258000,209120000,230657000
82,Other Non-Cash Items,- -,- -,- -,- -,300000,13100000,-6400000,800000,-39900000,-27700000,-5400000,-2100000,-11800000,-8500000,2499598,5204087,110668000,-23941000,29580000,-2111000,-63849000,-838000,36606000,33958000,-60931000,26528000,-46946000,-8498000,-9383000,-48748000,-13149000,12499000,-34893000,4070000,-34763000,-16873000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,25300000,35300000,34800000,36500000,18200000,37500000,34100000,36900000,32200000,37100000,44207813,42098000,44361000,51268000,29101000,20523000,31660000,25495000,44706000,39444000,21401000,56337000,43666000,60181000,70299000,64039000,80324000,63439000,64925000,73346000,47242000,83582000
84,CAPEX,- -,- -,- -,- -,-17700000,-15700000,-22400000,-10700000,-13200000,-12000000,-15300000,-12200000,-69100000,-17600000,-22786886,-13832000,-10021000,-7882000,-7383000,-8815000,-15144000,-10341000,-9907000,-5933000,-4670000,-6048000,-9936000,-14147000,-18832000,-22561000,-17851000,-26448000,-26539000,-34367000,-21521000,-21752000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15048000,- -,-17682000,-30803000,-587000,-16470000,-95444000,- -,-5617000,- -,-26603000,- -,-39613000,-23075000,-57149000,-13700000,-153815000,-10397000,-127924000,-622000,-15728000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,1400000,300000,- -,500000,500000,600000,2500000,1500000,- -,1906000,- -,- -,- -,3953000,4316000,1371000,8129000,639000,- -,5743000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,1300000,3300000,1400000,-100000,2700000,13600000,- -,600000,2500000,5100000,857689,532000,268000,10269000,26194000,4585000,4253000,30422000,4164000,3058000,5672000,-7389000,18520000,-13074000,8744000,1194000,2769000,1212000,4671000,112620000,21526000,-23363000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-16400000,-12400000,-19600000,-10500000,-10500000,2100000,-14800000,-11000000,-64100000,-11000000,-21929197,-26442000,-9753000,-15295000,-11992000,-864000,-23045000,-73992000,2386000,-7158000,5672000,-28249000,8584000,-52687000,-33163000,-78516000,-28782000,-179051000,-32265000,-49671000,-617000,-39091000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107311000,-79000000,-116500000,-210300000,-121785000,-76000000,-216700000,-75000000,-164200000,-164788000,-237150000,-105300000,-17000000
91,Common Stock Issued,- -,- -,- -,- -,3200000,3500000,7200000,4300000,4000000,4300000,3200000,5100000,3600000,2800000,2068378,6199000,4673000,342000,- -,1827000,6236000,2168000,950000,821000,376000,342000,316000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-18300000,-20600000,-26100000,-31900000,-23500000,-23900000,-20900000,-15000000,-10200000,-7500000,-12756934,-12483000,-6984000,-1719000,-2145000,-1230000,-8492000,-4091000,-926000,-1652000,-1074000,-5237000,-5521000,-8509000,-7790000,-10356000,-5636000,-7806000,-2652000,-33394000,-10437000,-21200000
93,Dividends Paid,- -,- -,- -,- -,-6700000,-6800000,-6600000,-6900000,-7800000,-9000000,-9800000,-10000000,-9900000,-9900000,-10013536,-10125000,-10104000,-10145000,-10279000,-10240000,-10260000,-10276000,-10318000,-8384000,-2490000,-2875000,-3383000,-3891000,-4793000,-5820000,-6846000,-7852000,-8888000,-9826000,-10606000,-11449000
94,Other Financing Activites,- -,- -,- -,- -,12400000,300000,13700000,5600000,17300000,-7300000,4000000,-4700000,51800000,-14800000,3718448,-241000,-23243000,-22649000,-397000,-4085000,11775000,51265000,-33855000,66650000,78000000,75047000,209349000,123269000,73748000,277484000,66737000,264548000,164415000,242169000,107366000,17917000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-9400000,-23600000,-11800000,-28900000,-10000000,-35900000,-23500000,-24600000,35300000,-29400000,-16983644,-16650000,-35658000,-34171000,-12821000,-13728000,-741000,39066000,-44149000,-49876000,-4188000,-49223000,-9539000,-10916000,-14835000,44608000,-20745000,84690000,-11913000,-38201000,-18977000,-31732000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,500000,- -,100000,-500000,-300000,800000,-100000,-300000,-300000,-100000,-766399,-489000,187000,1615000,1707000,256000,1025000,898000,1657000,-2083000,1761000,1912000,-2369000,-263000,895000,-8263000,-4937000,-2500000,289000,-1931000,-1984000,4799000
97,Net Change In Cash,- -,- -,- -,- -,-9400000,-23600000,-11800000,-28900000,-10000000,-35900000,-23500000,-24600000,35300000,-3400000,4528573,-1483000,-863000,3417000,5995000,6187000,8899000,-8533000,4600000,-19673000,24646000,-19223000,40342000,-3685000,23196000,21868000,25860000,-33422000,21036000,-16457000,25664000,17558000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,10437856,8955000,8092000,11509000,17504000,23691000,32590000,24057000,28657000,8984000,33630000,14407000,54749000,51064000,74260000,96128000,121988000,88566000,109602000,93145000,118809000,136367000
99,Cash at the Beginning of Period,- -,- -,- -,- -,7900000,8000000,7300000,10900000,7500000,5000000,9500000,5100000,6100000,9300000,5909283,10438000,8955000,8092000,11509000,17504000,23691000,32590000,24057000,28657000,8984000,33630000,14407000,54749000,51064000,74260000,96128000,121988000,88566000,109602000,93145000,118809000
100,Free Cash Flow,- -,- -,- -,- -,7600000,19600000,12400000,25800000,5000000,25500000,18800000,24700000,-36900000,19500000,21420927,28266000,34340000,43386000,21718000,11708000,16516000,15154000,34799000,33511000,16731000,50289000,33730000,46034000,51467000,41478000,62473000,36991000,38386000,38979000,25721000,61830000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/310354/000031035494000013/0000310354-94-000013-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035495000018/0000310354-95-000018-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035496000013/0000310354-96-000013-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035497000010/0000310354-97-000010-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035498000026/0000310354-98-000026-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035499000038/0000310354-99-000038-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035400000053/0000310354-00-000053-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035401500062/0000310354-01-500062-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035402000033/0000310354-02-000033-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/310354/000031035405000050/f10kdocumentedgarfinal.htm,https://www.sec.gov/Archives/edgar/data/310354/000031035406000053/colleenfinal10kdocumentv3.htm,https://www.sec.gov/Archives/edgar/data/310354/000031035407000044/0000310354-07-000044-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035408000045/0000310354-08-000045-index.html,- -,https://www.sec.gov/Archives/edgar/data/310354/000031035410000023/0000310354-10-000023-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035411000034/0000310354-11-000034-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035412000025/0000310354-12-000025-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035413000023/0000310354-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035414000040/0000310354-14-000040-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035415000025/0000310354-15-000025-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035416000077/f10k.htm,https://www.sec.gov/Archives/edgar/data/310354/000031035417000023/0000310354-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/310354/000031035418000016/0000310354-18-000016-index.html,- -,https://www.sec.gov/Archives/edgar/data/310354/000143774920018688/0001437749-20-018688-index.htm,https://www.sec.gov/Archives/edgar/data/310354/000143774921019845/0001437749-21-019845-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
