,https://roic.ai/company/CATO,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
83,Cash Provided by Operating Activities,- -,- -,- -,3200000,6200000,22900000,17100000,6500000,33400000,14900000,15600000,38900000,40900000,44521000,44093000,47057000,63729000,65747000,79851000,70943000,58701000,74164000,71567000,84689000,79476000,81341000,80351000,92959000,117459000,93853000,72129000,35988000,60244000,53396000,-30710000,59788000
84,CAPEX,- -,- -,- -,-4300000,-1800000,-1600000,-7600000,-17200000,-25500000,-9400000,-8400000,-7400000,-13500000,-23964000,-27230000,-25684000,-28953000,-20553000,-25301000,-28512000,-27547000,-18330000,-19443000,-9960000,-19559000,-35890000,-45175000,-31542000,-28901000,-26534000,-27297000,-11096000,-4354000,-8306000,-13956000,-4105000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-3800000,-34100000,-11900000,-10400000,-23300000,-24600000,-24600000,-22544000,-11906000,-35878000,-46281000,-18462000,-122380000,-94845000,-180463000,-313761000,-169979000,-162957000,-144630000,-109098000,-108662000,-65455000,-49820000,-116956000,-110831000,-15770000,-157515000,-218345000,-74041000,-141937000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,16600000,9100000,11600000,11200000,30100000,10700000,4496000,12166000,51194000,13735000,45589000,81350000,97355000,167985000,319960000,160136000,108287000,110778000,85796000,156642000,62766000,48850000,66927000,122989000,94403000,91023000,205375000,149298000,121110000
88,Other Investing Activites,- -,- -,- -,-300000,-300000,-400000,-100000,- -,500000,-100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6514000,-2251000,-499000,-674000,1298000,2182000,-5204000,492000,-682000,-291000,-1357000,-10751000,-4505000
89,Cash Used for Investing Activites,- -,- -,- -,-4600000,-2100000,-2000000,-11500000,-34700000,-27800000,-8300000,-20500000,-1800000,-27400000,-42012000,-26970000,-10368000,-61499000,6574000,-66331000,-26002000,-40025000,-12131000,-29286000,-58116000,-55662000,-59691000,2131000,-32933000,-27689000,-81767000,-14647000,66855000,-71137000,-22633000,64506000,-25332000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,-29500000,-21000000,- -,- -,-34000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,1000000,30300000,27000000,500000,400000,600000,600000,4300000,353000,3771000,5011000,4140000,4740000,3697000,2656000,1383000,8591000,432000,412000,436000,488000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-100000,- -,- -,- -,- -,-200000,-800000,-8200000,-10100000,-9572000,-15449000,-11729000,-1187000,-98304000,- -,-3536000,- -,-58561000,-2435000,-49000,-5863000,-10622000,-367000,-6429000,-42129000,-6148000,-42564000,-38878000,-13344000,-9605000,-19654000,-22033000
93,Dividends Paid,- -,- -,- -,-1200000,-300000,- -,-1100000,-2500000,- -,-4600000,-4600000,-4500000,-5200000,-7416000,-10633000,-13400000,-14890000,-14465000,-14134000,-15867000,-18228000,-20277000,-19389000,-19481000,-21216000,-25715000,-87222000,-5853000,-33886000,-33572000,-35432000,-33731000,-32577000,-32592000,-7912000,-9972000
94,Other Financing Activites,- -,- -,- -,3600000,-5800000,-8300000,-25600000,-200000,-4100000,- -,100000,- -,- -,447000,- -,- -,- -,27500000,-8300000,-25100000,1268000,4964000,290000,668000,1074000,462000,1283000,614000,764000,745000,30191000,21579000,759000,626000,34391000,204000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,2400000,-6200000,-7300000,3600000,24300000,-3600000,-4400000,-4700000,-12100000,-11000000,-16188000,-22311000,-20118000,-11937000,-80529000,-18737000,-41847000,-15577000,-65283000,-21602000,-18450000,-25569000,-35387000,-86306000,-11668000,-75251000,-38975000,-77305000,-72030000,-45162000,-41571000,-27175000,-31801000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,2400000,-6200000,-7300000,3600000,24300000,-3600000,-4400000,-4700000,-12100000,-11000000,-13679000,-5188000,16571000,-9707000,-8208000,-5217000,3094000,3099000,-3250000,20679000,8123000,-1755000,-13737000,-3824000,48358000,14519000,-26889000,-19823000,30813000,-56055000,-10808000,6621000,2655000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30389000,25201000,41772000,32065000,23857000,18640000,21734000,24833000,21583000,42262000,50385000,48630000,34893000,31069000,79427000,93946000,67057000,47234000,78047000,25209000,14401000,21022000,23677000
99,Cash at the Beginning of Period,- -,- -,- -,4100000,5100000,3000000,16600000,25900000,22000000,24000000,26200000,16600000,41600000,44068000,30389000,25201000,41772000,32065000,23857000,18640000,21734000,24833000,21583000,42262000,50385000,48630000,34893000,31069000,79427000,93946000,67057000,47234000,81264000,25209000,14401000,21022000
100,Free Cash Flow,- -,- -,- -,-1100000,4400000,21300000,9500000,-10700000,7900000,5500000,7200000,31500000,27400000,20557000,16863000,21373000,34776000,45194000,54550000,42431000,31154000,55834000,52124000,74729000,59917000,45451000,35176000,61417000,88558000,67319000,44832000,24892000,55890000,45090000,-44666000,55683000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18255/000001825595000008/0000018255-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825596000003/0000018255-96-000003-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18255/000095014402004286/0000950144-02-004286-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095014403005836/g82235e10vk.htm,https://www.sec.gov/Archives/edgar/data/18255/000095014404004248/g87882e10vk.htm,https://www.sec.gov/Archives/edgar/data/18255/000095014405004549/0000950144-05-004549-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095014406003412/g00595e10vk.htm,https://www.sec.gov/Archives/edgar/data/18255/000095014407003039/0000950144-07-003039-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095014408002521/0000950144-08-002521-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095014409002758/0000950144-09-002758-index.html,https://www.sec.gov/Archives/edgar/data/18255/000095012310029987/0000950123-10-029987-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/18255/000001825513000013/0000018255-13-000013-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825514000009/0000018255-14-000009-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825515000009/cato10k2014.htm,https://www.sec.gov/Archives/edgar/data/18255/000001825516000062/0000018255-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825517000017/0000018255-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825518000024/0000018255-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825519000010/0000018255-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825520000005/0000018255-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/18255/000001825521000004/0000018255-21-000004-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
