,https://roic.ai/company/FOE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,14300000,- -,8500000,35800000,-33100000,27600000,16700000,2500000,-25200000,-12000000,-10900000,-14900000,25000000,-21400000,-74767000,117221000,-113936000,87530000,- -,74887000,-4114000,-42861000,94982000,39081000,-54844000,30186000,-89265000,24658000,135307000,-41905000,930000,134543000,27934000,-85877000,-113065000,-138723000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13444000,-5258000,16224000,-5667000,20208000,-21893000,-25852000,19885000,-74444000,-141330000,-127473000
79,Inventory,- -,- -,- -,- -,-8800000,5100000,14100000,10600000,-20600000,-12700000,1400000,2200000,23500000,-13400000,-4100000,2341000,78788000,23797000,1455000,1455000,-343000,-28717000,20714000,-6462000,76254000,-22654000,-29790000,22287000,18056000,-12575000,6562000,-10271000,-46962000,-33922000,-10578000,36485000,-18076000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29230000,12618000,4715000,-18359000,-27963000,5936000,-14605000,1162000,26150000,35887000,-10075000,-26671000,10859000
81,Other Working Capital,140000000,154300000,- -,162800000,198600000,165500000,193100000,209800000,212300000,187100000,175100000,164200000,149300000,174300000,152900000,78133000,195354000,81418000,168948000,168948000,243835000,239721000,196860000,291842000,330923000,276079000,306265000,217000000,241658000,376965000,335060000,335990000,470533000,498467000,9220000,18451000,-4033000
82,Other Non-Cash Items,-25700000,-57300000,- -,-81200000,-43200000,49400000,38300000,-10000000,-4200000,17100000,22000000,17800000,172100000,-62100000,22000000,63695000,-5872000,139122000,-87312000,-5156000,-135480000,-10819000,224911000,-124138000,-69405000,176335000,-92658000,322232000,-136017000,-178085000,54274000,39918000,-192152000,16071000,44713000,19183000,-132197000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,70200000,68900000,93000000,101600000,62000000,81800000,107800000,111600000,130200000,80000000,127200000,114451000,219436000,168631000,85705000,85705000,21381000,70944000,144579000,-9096000,2151000,198865000,53233000,23658000,18464000,60473000,51202000,62630000,84790000,182793000,17710000,-13192000,-61303000
84,CAPEX,- -,- -,- -,- -,-49600000,-59700000,-39000000,-44800000,-43700000,-59700000,-49500000,-46700000,-45100000,-64400000,-195700000,-65405000,-53808000,-38465000,-36083000,-35702000,-42825000,-50615000,-67634000,-77468000,-43260000,-44737000,-72713000,-58685000,-34220000,-60494000,-43087000,-24945000,-50552000,-80619000,-64970000,-31783000,-29959000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-210565000,-513069000,131500000,- -,-12693000,-1908000,- -,- -,2360000,483000,11276000,6441000,- -,- -,128958000,-202155000,-129511000,-128926000,-74954000,-251000,- -,402087000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,9800000,38300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-7600000,3100000,29100000,-22800000,-68000000,-5200000,-54300000,-6200000,8600000,2800000,4100000,-6163000,6456000,-2536000,-12180000,132000,8919000,6897000,5601000,58058000,- -,139000,-71568000,-55308000,17168000,-53754000,-42445000,-21311000,-49985000,-73562000,21554000,98993000,88572000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-57200000,-56600000,-9900000,-67600000,-101900000,-26600000,-103800000,-52900000,-36500000,-61600000,-191600000,-282133000,-560421000,90499000,-48263000,-48263000,-35814000,-68718000,-62033000,-17050000,-42654000,-33322000,-65127000,-55308000,17168000,75204000,-244600000,-150822000,-178911000,-148516000,21303000,98993000,490659000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1091965000,-755058000,-639853000,-400687000,-477725000,-728313000,-75390000,-267188000,-681881000,-763195000,-235301000,-407310000,-593200000
91,Common Stock Issued,- -,- -,- -,- -,72300000,2000000,2600000,3700000,3100000,2800000,1900000,2100000,4800000,5100000,7200000,- -,- -,131540000,- -,- -,- -,- -,9843000,58000,215655000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-41100000,-14200000,-3400000,-3600000,-1300000,-38100000,-25900000,-40500000,-43300000,-64200000,-20100000,-30729000,-7910000,-424000,- -,- -,- -,- -,- -,- -,- -,- -,-9427000,- -,- -,- -,-38571000,-11429000,- -,-28807000,-25000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-16300000,-18200000,-17600000,-18300000,-19800000,-20700000,-20500000,-20400000,-22300000,-22700000,-23200000,-23541000,-22933000,-24098000,-25640000,-25640000,-25937000,-25901000,-26086000,-26069000,-1142000,-660000,-165000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,2700000,-19200000,-7700000,500000,23400000,-2700000,39300000,-2800000,-26300000,60800000,95500000,216754000,388178000,-369923000,-4278000,-4278000,44074000,22866000,-72474000,49865000,924077000,598454000,655349000,437144000,441010000,710170000,233687000,360614000,790244000,801369000,221106000,397262000,55148000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,17600000,-49600000,-26100000,-17700000,5400000,-58700000,-5200000,-61600000,-87100000,-21000000,59400000,162484000,357335000,-262905000,-29918000,-29918000,18137000,-3035000,-88717000,23854000,46625000,-157264000,5904000,36457000,-36715000,-18143000,119726000,81997000,108363000,9367000,-39195000,-10048000,-538052000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-700000,300000,400000,-2400000,-1200000,-1800000,-1900000,300000,-4300000,-1600000,-100000,-1139000,-1810000,3400000,953000,953000,-230000,381000,1211000,458000,2194000,2249000,-54000,1778000,-165000,-5362000,-8448000,-6603000,3727000,-2894000,283000,2122000,-2088000
97,Net Change In Cash,- -,- -,- -,- -,17600000,-49600000,-26100000,-17700000,5400000,-58700000,-5200000,-61600000,-87100000,-21000000,-5100000,-6337000,14540000,-375000,8477000,8477000,3474000,-428000,-4960000,-1834000,8316000,10528000,-6044000,6585000,-1248000,112172000,-82120000,-12798000,17969000,40750000,101000,77875000,-110784000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7100000,777000,15317000,14942000,23419000,23419000,17413000,16985000,12025000,10191000,18507000,29035000,22991000,29576000,28328000,140500000,58380000,45582000,63551000,104301000,104402000,182277000,71493000
99,Cash at the Beginning of Period,- -,- -,- -,- -,28400000,58200000,21200000,46900000,60800000,25100000,19800000,16700000,14000000,16300000,12200000,7114000,777000,15317000,14942000,14942000,13939000,17413000,16985000,12025000,10191000,18507000,29035000,22991000,29576000,28328000,140500000,58380000,45582000,63551000,104301000,104402000,182277000
100,Free Cash Flow,- -,- -,- -,- -,20600000,9200000,54000000,56800000,18300000,22100000,58300000,64900000,85100000,15600000,-68500000,49046000,165628000,130166000,49622000,50003000,-21444000,20329000,76945000,-86564000,-41109000,154128000,-19480000,-35027000,-15756000,-21000,8115000,37685000,34238000,102174000,-47260000,-44975000,-91262000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/35214/000095015295000421/0000950152-95-000421-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095015296001215/0000950152-96-001215-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095015297002316/0000950152-97-002316-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095015298002026/0000950152-98-002026-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/35214/000095015201001589/0000950152-01-001589-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095015202002439/0000950152-02-002439-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/35214/000095015206002821/l19322ae10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000095015206007902/l22374ae10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000095015207001684/l24249ae10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000095015208001569/l30299ae10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000095015209002492/0000950152-09-002492-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095012310019423/0000950123-10-019423-index.html,https://www.sec.gov/Archives/edgar/data/35214/000095012311019921/l41870e10vk.htm,https://www.sec.gov/Archives/edgar/data/35214/000119312512086029/0001193125-12-086029-index.html,https://www.sec.gov/Archives/edgar/data/35214/000119312513090626/0001193125-13-090626-index.html,https://www.sec.gov/Archives/edgar/data/35214/000119312514065182/d654279d10k.htm,https://www.sec.gov/Archives/edgar/data/35214/000156276215000041/c214-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/35214/000156276216000341/0001562762-16-000341-index.html,https://www.sec.gov/Archives/edgar/data/35214/000156276217000028/0001562762-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/35214/000156276218000046/0001562762-18-000046-index.html,https://www.sec.gov/Archives/edgar/data/35214/000003521419000019/0000035214-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/35214/000003521420000009/0000035214-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/35214/000003521421000006/0000035214-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/35214/000003521422000009/0000035214-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
