,https://roic.ai/company/AIN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,-19600000,-8100000,16500000,15000000,-815000,-15046000,-19061000,-7164000,-557000,-12685000,13300000,18809000,42797000,17687000,3171000,642000,-17155000,-19034000,-8610000,6753000,42069000,16639000,7105000,11565000,5739000,-744000,-8277000,-12520000,3090000,-968000,-8923000,-13685000,-9942000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23476000,-7700000,-1677000,3298000,955000,640000,-6001000,2108000,2910000,9340000,10524000,-15586000,9492000
81,Other Working Capital,- -,- -,- -,- -,143600000,168400000,150900000,140200000,166210000,201399000,234617000,204314000,202883000,189675000,331109000,272253000,179874000,202394000,292191000,234592000,272024000,333211000,363784000,344699000,306157000,340937000,336222000,276677000,363976000,276732000,325829000,301296000,382190000,403743000,415615000,526413000,2075000
82,Other Non-Cash Items,- -,- -,- -,- -,-16000000,-60700000,50800000,20300000,-31288000,-72274000,-58641000,19869000,-2229000,7999000,-128313000,83029000,235543000,15595000,-61514000,110476000,-53144000,-118549000,-18676000,135289000,30189000,-53861000,5612000,120937000,-92947000,74920000,-44902000,-24465000,-122614000,-62170000,-30478000,-154445000,-2259000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,47600000,11100000,66000000,45800000,43760000,23121000,67453000,82895000,86562000,86850000,98090000,130582000,214278000,118825000,131524000,101825000,122372000,52023000,81299000,84038000,13975000,99572000,105269000,34507000,62631000,84196000,95937000,79518000,64216000,132485000,200352000,140253000,217475000
84,CAPEX,- -,- -,- -,- -,-82300000,-110700000,-40100000,-20200000,-30940000,-38375000,-41921000,-53473000,-50804000,-38825000,-34953000,-36866000,-28238000,-31678000,-51849000,-57129000,-43293000,-93274000,-165238000,-140996000,-42496000,-31591000,-28680000,-37207000,-64457000,-58873000,-50595000,-73492000,-87637000,-82886000,-67955000,-42390000,-53699000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-55356000,526000,-11312000,-25587000,- -,-24032000,-247236000,-1037000,- -,- -,- -,- -,- -,-15918000,-9592000,-2265000,- -,-1902000,- -,150654000,16797000,- -,- -,-187000000,- -,- -,-30793000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-957000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2272000,49302000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,56400000,-9100000,-600000,-1000000,26552000,659000,-2564000,24010000,-7012000,-4296000,-6504000,6799000,16269000,-22185000,463000,4311000,1512000,-1022000,10599000,55671000,-6700000,7999000,2860000,-161000,3655000,477000,824000,4691000,-2127000,-1307000,-597000,-927000,-906000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-24200000,-119800000,-40700000,-21200000,-59744000,-37190000,-55797000,-55050000,-57816000,-67153000,-288693000,-31104000,-11969000,-53863000,-51386000,-52818000,-41781000,-110214000,-164231000,-87590000,-43647000,28065000,-25820000,113447000,-41392000,-57747000,-47798000,-253553000,-87637000,-82886000,-98748000,-42390000,-53699000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11113000,-96919000,-65575000,-102128000,-132691000,-45124000,-102215000,-34356000,-84047000,-29913000,-121197000,-108234000,-57447000
91,Common Stock Issued,- -,- -,- -,- -,32400000,100000,- -,- -,68690000,126000,4989000,426000,8089000,2386000,173000,- -,- -,14950000,17559000,8284000,14455000,36188000,3303000,2918000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-20500000,-10400000,- -,- -,- -,- -,-2883000,-2552000,-8257000,-47077000,- -,- -,- -,- -,- -,-81135000,-1576000,-179187000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23449000
93,Dividends Paid,- -,- -,- -,- -,-5400000,-7000000,-8900000,-8900000,-8990000,-10474000,-11305000,-12144000,-12724000,-6387000,- -,- -,- -,-6391000,-7692000,-9570000,-10489000,-11446000,-12335000,-13678000,-14593000,-14885000,-15616000,-21315000,-13929000,-19729000,-21088000,-21812000,-21869000,-21926000,-23251000,-24568000,-25894000
94,Other Financing Activites,- -,- -,- -,- -,-24600000,121900000,-16300000,700000,-40466000,27994000,6806000,-9599000,183000,40029000,209656000,-83127000,-192851000,-46238000,-13876000,5726000,-59025000,200730000,100073000,62568000,47798000,18287000,15268000,47379000,150485000,14370000,95974000,229628000,118783000,24581000,44141000,72133000,7155000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-18100000,104600000,-25200000,-8200000,19234000,17646000,-2393000,-23869000,-12709000,-11049000,209829000,-83127000,-192851000,-37679000,-4009000,-76695000,-56635000,46285000,91041000,51808000,22092000,-93517000,-65923000,-76064000,3865000,-50483000,-27329000,173460000,12867000,-27258000,-100307000,-60669000,-99635000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-2100000,-3400000,800000,-17500000,-5874000,-4730000,-1882000,-3551000,-21525000,-5326000,-18069000,-18017000,-8664000,-14637000,-16106000,7848000,-10167000,7372000,-3041000,-14990000,-1525000,-9285000,-3373000,-81000,6844000,-18830000,-15499000,-2796000,12539000,-8313000,-3512000,8582000,-3421000
97,Net Change In Cash,- -,- -,- -,- -,-18100000,104600000,-25200000,-8200000,-2624000,-1153000,7381000,425000,-5488000,3322000,1157000,-1666000,794000,12646000,60023000,-19840000,13789000,-4534000,5068000,33266000,-9105000,24835000,984000,71809000,31948000,-42864000,5311000,-3371000,1985000,14028000,-2215000,45776000,60720000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,1381000,228000,7609000,8034000,2546000,5868000,7025000,5359000,6153000,18799000,78822000,58982000,72771000,68237000,73305000,106571000,97466000,122301000,118909000,190718000,222666000,179802000,185113000,181742000,183727000,197755000,195540000,241316000,302036000
99,Cash at the Beginning of Period,- -,- -,- -,- -,8500000,11700000,4200000,5100000,4005000,1381000,228000,7609000,8034000,2546000,5868000,7025000,5359000,6153000,18799000,78822000,58982000,72771000,68237000,73305000,106571000,97466000,117925000,118909000,190718000,222666000,179802000,185113000,181742000,183727000,197755000,195540000,241316000
100,Free Cash Flow,- -,- -,- -,- -,-34700000,-99600000,25900000,25600000,12820000,-15254000,25532000,29422000,35758000,48025000,63137000,93716000,186040000,87147000,79675000,44696000,79079000,-41251000,-83939000,-56958000,-28521000,67981000,76589000,-2700000,-1826000,25323000,45342000,6026000,-23421000,49599000,132397000,97863000,163776000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/819793/000091205796005142/0000912057-96-005142-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/819793/000104746903009653/a2106011z10-k.htm,https://www.sec.gov/Archives/edgar/data/819793/000104746904007489/0001047469-04-007489-index.html,https://www.sec.gov/Archives/edgar/data/819793/000114544305000454/d16431_10-k.htm,https://www.sec.gov/Archives/edgar/data/819793/000114544306000597/d18647_10k.htm,https://www.sec.gov/Archives/edgar/data/819793/000114544307000543/d20727.htm,https://www.sec.gov/Archives/edgar/data/819793/000114544308000503/d22743.htm,https://www.sec.gov/Archives/edgar/data/819793/000114544309000304/0001145443-09-000304-index.html,https://www.sec.gov/Archives/edgar/data/819793/000114420410012663/0001144204-10-012663-index.html,https://www.sec.gov/Archives/edgar/data/819793/000114420411012289/b212132_10k.htm,https://www.sec.gov/Archives/edgar/data/819793/000089109212001229/0000891092-12-001229-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109213001806/0000891092-13-001806-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109214001589/e57527_10k.htm,https://www.sec.gov/Archives/edgar/data/819793/000089109215001671/e62839-10k.htm,https://www.sec.gov/Archives/edgar/data/819793/000089109216012779/0000891092-16-012779-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109217001810/0000891092-17-001810-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109218001722/0000891092-18-001722-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109219002857/0000891092-19-002857-index.html,https://www.sec.gov/Archives/edgar/data/819793/000089109220002167/0000891092-20-002167-index.html,https://www.sec.gov/Archives/edgar/data/819793/000081979321000017/0000819793-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/819793/000081979322000009/0000819793-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
