,https://roic.ai/company/VOXX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,10000000,-2300000,2900000,-3100000,-1100000,-45800000,-40200000,24000000,-36900000,17400000,-95600000,-6628000,-74076000,24070000,-74076000,86706000,-42145000,55300000,43420000,-64691000,30006000,28222000,32130000,59584000,25523000,66817000,47428000,27521000,-1790000,-25539000,22562000,-1009000,36611000
84,CAPEX,- -,- -,- -,-1300000,-4100000,-3900000,-1300000,-1300000,-2600000,-2700000,-2800000,-4000000,-4900000,-4800000,-12047000,-2608000,-3159000,-2869000,-4782000,-2450000,-480000,-3186000,-7396000,-5256000,-5017000,-3055000,-12364000,-20210000,-14629000,-17195000,-19636000,-12177000,-6238000,-4761000,-2914000,-2907000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7106000,- -,- -,-15345000,- -,-60485000,-42265000,621000,-14657000,-57000,-167260000,-105137000,- -,- -,-15504000,- -,168206000,- -,-16500000,-11000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,- -,-4700000,-12700000,-14200000,- -,- -,- -,- -,-124237000,-143075000,- -,-159230000,-33750000,-548000,-7498000,-24226000,- -,-261000,- -,-6000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,29400000,17500000,1300000,46400000,5800000,11200000,13227000,- -,- -,- -,- -,158450000,- -,178535000,174416000,1080000,1304000,28758000,214000,- -,- -,- -,251000,- -,2678000,- -,775000,42000
88,Other Investing Activites,- -,- -,- -,200000,-100000,- -,-4000000,- -,7800000,- -,- -,- -,2600000,6700000,2208000,4634000,30355000,4895000,125280000,16049000,-50540000,3469000,2460000,-538000,859000,- -,- -,34000,- -,313000,-3698000,47000,-3286000,-6276000,11930000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-1100000,-4200000,-3900000,-5300000,-1300000,28600000,14800000,-1500000,37700000,-9200000,-1100000,3388000,2026000,20090000,2026000,-3739000,13629000,-51020000,-40897000,93465000,-3991000,-25009000,1420000,-179410000,-125574000,-14629000,-22882000,-38587000,-12130000,161360000,-11037000,-6709000,-13865000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73000,-1452000,-5429000,-56794000,-37952000,-180986000,-265385000,-234854000,-50977000,-130150000,-2882000,-9851000,-21105000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,200000,200000,- -,- -,2300000,- -,3400000,97410000,2317000,132000,2317000,1524000,7692000,- -,4228000,3148000,8000,10000,10000,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2400000,-3000000,-900000,-1534000,-1382000,-1125000,-1382000,- -,-2037000,-2310000,-4160000,-1425000,- -,- -,- -,- -,- -,- -,-2620000,-227000,- -,- -,- -,-2742000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1034000,- -,-1034000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-10400000,6100000,1900000,5600000,1000000,21100000,27000000,-17300000,-3400000,-5100000,90400000,-91678000,68784000,-43205000,68784000,-46104000,-6150000,120000,-3517000,-6964000,4720000,220000,1037000,91486000,146206000,120827000,243127000,248776000,60672000,37903000,1958000,- -,19165000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-10400000,6100000,1900000,5600000,1200000,21300000,27000000,-17300000,-3500000,-8100000,92900000,4198000,68685000,-44198000,68685000,-44580000,-495000,-2190000,-3449000,-5241000,4655000,-1222000,-4382000,34699000,108254000,-60159000,-24878000,13695000,9695000,-92247000,-924000,-12593000,-1940000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,-200000,-100000,- -,-54000,-41000,-229000,-41000,320000,-234000,20000,119000,335000,-507000,-1984000,-49000,103000,-2032000,-1203000,-1823000,690000,258000,366000,-4105000,-500000,1173000
97,Net Change In Cash,- -,- -,- -,-10400000,6100000,1900000,5600000,1200000,21300000,27000000,-17300000,-3500000,-8100000,-3900000,904000,-3406000,-267000,-3406000,38707000,-29245000,2120000,-807000,23868000,30163000,7000,29119000,-85024000,6171000,-9174000,-2155000,3319000,-3967000,43940000,6496000,-20811000,21979000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,6431000,3025000,2758000,3025000,43409000,14164000,16320000,15473000,39341000,69504000,69511000,98630000,13606000,19777000,10603000,8448000,11767000,7800000,51740000,58236000,37425000,59404000
99,Cash at the Beginning of Period,- -,- -,- -,6600000,5200000,4700000,5700000,2700000,1400000,5500000,7100000,12400000,9400000,9400000,5527000,6431000,3025000,6431000,4702000,43409000,14200000,16280000,15473000,39341000,69504000,69511000,98630000,13606000,19777000,10603000,8448000,11767000,7800000,51740000,58236000,37425000
100,Free Cash Flow,- -,- -,- -,8700000,-6400000,-1000000,-4400000,-2400000,-48400000,-42900000,21200000,-40900000,12500000,-100400000,-18675000,-76684000,20911000,-76945000,81924000,-44595000,54820000,40234000,-72087000,24750000,23205000,29075000,47220000,5313000,52188000,30233000,7885000,-13967000,-31777000,17801000,-3923000,33704000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807707/000080770795000006/0000807707-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/807707/000080770796000002/0000807707-96-000002-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807707/000095013607003491/0000950136-07-003491-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770708000022/0000807707-08-000022-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770709000011/0000807707-09-000011-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770710000010/0000807707-10-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/807707/000080770712000013/0000807707-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770713000022/0000807707-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770714000008/0000807707-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770715000006/0000807707-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770716000051/0000807707-16-000051-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770717000011/0000807707-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770718000034/0000807707-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000080770719000013/0000807707-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000156459020029359/0001564590-20-029359-index.htm,https://www.sec.gov/Archives/edgar/data/807707/000156459021027539/0001564590-21-027539-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
