,https://roic.ai/company/TISI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,-5300000,-5200000,-11300000,1800000,13600000,7500000,-1600000,7200000,10700000,-300000,-4500000,1187000,-2153000,-3174000,-2294000,-8702000,-27732000,-14804000,-30551000,-49047000,-22416000,4087000,-3395000,-37770000,-30106000,-2034000,-25462000,-48422000,9253000,81314000,93892000,76307000,258040000,78682000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,6400000,-400000,3500000,7900000,3900000,4300000,700000,3800000,3900000,1700000,3200000,3930000,4586000,5281000,6566000,2624000,-2916000,7373000,6726000,24735000,38962000,43797000,28480000,36652000,58643000,52861000,43471000,79564000,-13728000,41859000,58836000,52764000,-35453000
84,CAPEX,- -,- -,- -,- -,-2400000,-5200000,-7300000,-3900000,-1100000,-7600000,-500000,-800000,-1400000,-2000000,-17900000,-2312000,-1563000,-2043000,-2597000,-3330000,-4748000,-7081000,-16497000,-25612000,-16383000,-7711000,-13158000,-23933000,-26068000,-33016000,-28769000,-45812000,-36798000,-27164000,-29035000,-19958000,-17605000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5401000,-33940000,- -,- -,-53261000,- -,- -,-41376000,-19351000,-18589000,-10175000,-3695000,-35087000,- -,- -,- -,-1013000,- -
86,Purchases of Investments,- -,- -,- -,- -,-1100000,-3100000,- -,- -,-2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1200000,3500000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,750000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-2400000,-3800000,-5700000,-5400000,2000000,-3300000,10200000,600000,3400000,-200000,-3200000,-293000,1307000,-349000,67000,20000,-699000,15018000,1008000,-2184000,-14747000,-8554000,-13316000,-23704000,-24310000,-30434000,-28086000,-35753000,-33996000,-25027000,-28101000,-17288000,-14077000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-4700000,-8600000,-12800000,-9300000,-1400000,-10900000,9700000,-200000,2000000,-2200000,-21100000,-2605000,-256000,-2392000,-2530000,-8711000,-39387000,7937000,-15489000,-81057000,-14747000,-7954000,-53942000,-42264000,-42899000,-40609000,-31781000,-70840000,-33996000,-25027000,-28101000,-18301000,-14077000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19428000,-35012000,- -,-235000,-13600000,- -,- -,-20000000,-193006000,-19690000,-82396000,-297139000,-137000000
91,Common Stock Issued,- -,- -,- -,- -,200000,10100000,400000,- -,100000,- -,- -,- -,- -,2200000,3500000,140000,180000,812000,751000,374000,893000,2272000,3097000,3368000,1621000,716000,1797000,2997000,8275000,5270000,3804000,5243000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-300000,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,-1272000,-1994000,-2086000,-395000,- -,- -,- -,- -,- -,- -,-1344000,-868000,- -,-13334000,-21138000,-7593000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-500000,-600000,-700000,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-1500000,-1300000,7000000,3200000,-2400000,8600000,-11000000,-4700000,-6300000,-2000000,14000000,-2173000,-2597000,-1852000,-2670000,7273000,43384000,-18774000,7423000,52482000,1570000,575000,25645000,13441000,1462000,-1579000,7259000,16344000,218598000,-3351000,45591000,273678000,228850000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1300000,8000000,6800000,2500000,-2800000,8600000,-11000000,-4700000,-6300000,200000,17500000,-2033000,-3689000,-3034000,-4005000,7252000,44277000,-16502000,10520000,55850000,-16237000,-33721000,26098000,15335000,-3863000,-9643000,-10075000,-6006000,25592000,-23041000,-36805000,-23461000,91850000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2737000,-1946000,-2144000,832000,-1324000,-157000,-2154000,-3060000,-1327000,2468000,-2055000,-43000,1409000,-1591000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-708000,641000,-145000,31000,1165000,1974000,-1415000,1757000,2265000,6032000,-22000,1468000,8399000,11724000,455000,-1445000,1391000,-19664000,-8264000,-6113000,12411000,40729000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,327000,968000,823000,854000,2019000,3993000,2578000,4335000,6600000,12632000,12610000,14078000,22477000,34201000,34656000,33211000,46216000,26552000,18288000,12175000,24586000,65315000
99,Cash at the Beginning of Period,- -,- -,- -,- -,3600000,4100000,3100000,800000,1900000,1700000,3700000,3200000,2000000,1700000,1400000,1035000,327000,968000,823000,854000,2019000,3993000,2578000,4335000,6600000,12632000,12610000,14078000,22477000,34201000,34656000,44825000,46216000,26552000,18288000,12175000,24586000
100,Free Cash Flow,- -,- -,- -,- -,4000000,-5600000,-3800000,4000000,2800000,-3300000,200000,3000000,2500000,-300000,-14700000,1618000,3023000,3238000,3969000,-706000,-7664000,292000,-9771000,-877000,22579000,36086000,15322000,12719000,32575000,19845000,14702000,33752000,-50526000,14695000,29801000,32806000,-53058000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318833/000089056696001065/0000890566-96-001065-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318833/000095012902004406/0000950129-02-004406-index.html,- -,https://www.sec.gov/Archives/edgar/data/318833/000119312504146420/0001193125-04-146420-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312505168774/0001193125-05-168774-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312506172757/0001193125-06-172757-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312507180806/0001193125-07-180806-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312508161503/0001193125-08-161503-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312509171986/0001193125-09-171986-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312510181451/0001193125-10-181451-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312511204994/0001193125-11-204994-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312512340842/0001193125-12-340842-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312513330880/0001193125-13-330880-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000119312514303174/0001193125-14-303174-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/318833/000031883318000013/0000318833-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000031883319000014/0000318833-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000031883320000008/0000318833-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000031883321000018/0000318833-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/318833/000031883322000011/0000318833-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
