,https://roic.ai/company/PDEX,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-100000,-200000,-500000,-200000,-4700000,-500000,-809516,-875000,-221000,6713000,845000,432000,-352000,-474000,-4206000,-515000,-3130000,-269000,-137000,-265000,-259000,-452000,323000,-1513000,1588000,-1026000,-4115000,-1222000,-2287000,-3710000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2427000,-433000,-1764000,-357000,-775000,-5000,-15000,-2219000,-659000,-78000,-433000,-630000,-351000
91,Common Stock Issued,- -,- -,- -,- -,700000,1200000,- -,100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,576000,133000,33000,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000,2262000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44000,- -,- -,- -,- -,- -,-137000,- -,- -,- -,- -,- -,-154000,-454000,-312000,-220000,-3984000,-3388000,-5537000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-100000,-700000,100000,300000,100000,3600000,1900000,-2140628,1318000,-1406000,-7104000,450000,-332000,-427000,-145000,1792000,-953000,1226000,1722000,- -,26000,-6000,66000,1519000,-34000,2216000,625000,38000,4867000,39000,8976000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,600000,500000,100000,400000,100000,3700000,1900000,-2140628,1318000,-1406000,-7104000,450000,-376000,-427000,431000,1925000,-920000,1226000,-842000,-433000,-1738000,-363000,-709000,1514000,-203000,-457000,-298000,2002000,450000,-3979000,3088000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,600000,500000,100000,400000,100000,- -,500000,- -,- -,366000,225000,-462000,559000,1275000,514000,-2226000,45000,114000,607000,2670000,895000,-577000,-2432000,1508000,-2491000,1597000,1911000,983000,2554000,-1321000,-2700000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,- -,107000,473000,698000,236000,795000,2070000,2584000,358000,403000,517000,1124000,3794000,4689000,4112000,1680000,3188000,697000,2294000,4205000,5188000,7742000,6421000,3721000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,300000,700000,500000,700000,400000,400000,851108,- -,107000,473000,698000,236000,795000,2070000,2584000,358000,403000,517000,1124000,3794000,4689000,4112000,1680000,3188000,697000,2294000,4205000,5188000,7742000,6421000
100,Free Cash Flow,- -,- -,- -,- -,-400000,-200000,-300000,-200000,-300000,600000,-1500000,1289520,-1211000,1772000,464000,-2053000,139000,1702000,83000,-1754000,1031000,-1112000,1449000,3103000,2633000,-296000,-1357000,-484000,-1083000,131000,2597000,2162000,1928000,4380000,-10384000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/788920/000100329701500234/prodex10k.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329702000197/prodex10k1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329703000373/pdex10k1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329704000407/pdex10k.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329705000311/pdex10k1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329706000381/pdex10k1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329707000252/esform10ksb.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329708000207/esprodex10kv1.htm,https://www.sec.gov/Archives/edgar/data/788920/000100329709000203/0001003297-09-000203-index.html,https://www.sec.gov/Archives/edgar/data/788920/000100329710000227/0001003297-10-000227-index.html,https://www.sec.gov/Archives/edgar/data/788920/000119312511248026/0001193125-11-248026-index.html,https://www.sec.gov/Archives/edgar/data/788920/000119312512389350/0001193125-12-389350-index.html,https://www.sec.gov/Archives/edgar/data/788920/000153442413000410/0001534424-13-000410-index.html,https://www.sec.gov/Archives/edgar/data/788920/000153442414000247/0001534424-14-000247-index.html,https://www.sec.gov/Archives/edgar/data/788920/000153442415000286/0001534424-15-000286-index.html,https://www.sec.gov/Archives/edgar/data/788920/000153442416001027/0001534424-16-001027-index.html,https://www.sec.gov/Archives/edgar/data/788920/000155335017001029/0001553350-17-001029-index.html,https://www.sec.gov/Archives/edgar/data/788920/000155335018001036/0001553350-18-001036-index.html,https://www.sec.gov/Archives/edgar/data/788920/000155335019000942/0001553350-19-000942-index.html,https://www.sec.gov/Archives/edgar/data/788920/000155335020000854/0001553350-20-000854-index.htm,https://www.sec.gov/Archives/edgar/data/788920/000155335021000795/0001553350-21-000795-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
