,https://roic.ai/company/UVV,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,-24900000,-52500000,8300000,-130000000,- -,400000,16600000,-26000000,-130500000,-15400000,145400000,31196000,-16054000,-80552000,-85958000,-68288000,-155876000,-149641000,97115000,39934000,-16870000,-215865000,75146000,31907000,6578000,-47492000,37751000,-7370000,52139000,-116427000,33796000,-94538000,43199000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44626000,- -,- -,- -,- -,- -,- -,- -,- -,11167000,-27345000,-63257000,-13678000,28643000,13082000,-54912000,- -,- -
81,Other Working Capital,- -,- -,- -,200400000,264100000,223500000,273300000,300500000,318000000,264800000,299800000,347500000,328800000,271800000,204916000,550881000,431606000,550716000,787559000,819047000,864792000,852391000,1014734000,954044000,1078077000,1065883000,1297921000,1123376000,1218270000,1363697000,1392276000,1293403000,1321323000,1334397000,1212218000,1262201000
82,Other Non-Cash Items,- -,- -,- -,- -,-75100000,4300000,-98600000,-80200000,-44000000,70100000,31200000,-224600000,-54700000,195300000,130618000,-348444000,123164000,-316160000,-320043000,-278180000,-29970000,216809000,-247385000,-34253000,-187447000,-134381000,-180932000,213180000,-290407000,-63430000,-11900000,183872000,-81651000,-1802000,26083000,34517000
83,Cash Provided by Operating Activities,- -,- -,- -,94000000,53800000,8100000,51800000,64700000,27100000,60500000,147500000,-1500000,133400000,332400000,177833000,161196000,170383000,-44853000,-41700000,-87123000,56361000,296411000,97067000,99066000,162234000,54218000,199786000,234466000,-3503000,226497000,183591000,250315000,83245000,164522000,10897000,220414000
84,CAPEX,- -,- -,- -,-37700000,-31800000,-44600000,-47100000,-122300000,-45600000,-101700000,-35300000,-58800000,-96700000,-69200000,-60837000,-61145000,-110790000,-115396000,-63243000,-105757000,-74217000,-25178000,-27704000,-35656000,-57577000,-39129000,-38174000,-30783000,-45849000,-58385000,-47153000,-35630000,-34037000,-38760000,-35227000,-66154000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13348000,-71865000,- -,-16027000,-14339000,385545000,26556000,- -,- -,- -,- -,- -,- -,- -,-5964000,- -,- -,- -,-80180000,-161751000
86,Purchases of Investments,- -,- -,- -,-63000000,-50500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58889000,-9658000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,60600000,51900000,- -,- -,- -,- -,- -,- -,- -,29100000,- -,32063000,- -,- -,- -,- -,- -,- -,- -,- -,68848000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-4500000,-21800000,-31000000,-5000000,6100000,4600000,600000,-15100000,16900000,-41100000,-8600000,5827000,1783000,3907000,11133000,2843000,-6569000,24794000,-2287000,36035000,18584000,5555000,40781000,28299000,4538000,3779000,4381000,2186000,1776000,4644000,4061000,9042000,10636000
89,Cash Used for Investing Activites,- -,- -,- -,-44600000,-52200000,-75600000,-52100000,-116200000,-41000000,-101100000,-50400000,-41900000,-108700000,-77800000,-22947000,-59362000,-120231000,-176128000,-60400000,-128353000,-63762000,358080000,-24002000,42118000,-52022000,1652000,-9875000,-26245000,-42070000,-54004000,-50931000,-33854000,-29393000,-34699000,-106365000,-217269000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-607000,-159150000,- -,- -,- -,- -,-79500000,-15000000,-113638000,-34624000,-254977000,-356250000,- -,- -,- -,-41147000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,70900000,- -,200000,200000,600000,4300000,2300000,1010000,17364000,7482000,3923000,- -,4867000,196644000,70436000,24372000,37000,729000,- -,134000,3949000,457000,187000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-1000000,-15300000,-1300000,- -,- -,-11400000,- -,- -,- -,-19800000,-93000000,-98756000,-40673000,-45681000,-54607000,18600000,- -,- -,- -,-16700000,-111073000,-32194000,-46929000,-4004000,-8481000,-14145000,-32724000,- -,-178365000,-21610000,-1443000,-33457000,- -
93,Dividends Paid,- -,- -,- -,-22700000,-24200000,-24600000,-25600000,-28200000,-32800000,-34300000,-35400000,-40700000,-38400000,-40900000,-44313000,-37752000,-39799000,-39442000,-28700000,-41452000,-46495000,-60108000,-63452000,-60892000,-60732000,-60171000,-59561000,-60846000,-61571000,-62161000,-62137000,-60889000,-54699000,-69883000,-75368000,-75177000
94,Other Financing Activites,- -,- -,- -,-12100000,20200000,134700000,51700000,45200000,103300000,65500000,-4400000,-21700000,200000,-110000000,-43872000,7415000,-23732000,296130000,106807000,430045000,-134321000,-373071000,-189895000,59934000,92661000,-39450000,109746000,-1957000,172154000,364814000,431000,-11990000,-28337000,46686000,14679000,166566000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-35800000,-19300000,108800000,26100000,87900000,59100000,31400000,-39600000,-61800000,-53700000,-241600000,-185931000,-53646000,-101730000,206004000,96100000,234310000,15828000,-362743000,-245675000,-111994000,-79036000,-161550000,-67323000,-101959000,-158082000,-86134000,-61706000,-251244000,-104646000,-65787000,-94146000,91389000
96,Effect of Forex Changes on Cash,- -,- -,- -,-4200000,100000,-600000,-2600000,700000,-400000,500000,-800000,-500000,-100000,-100000,-344000,-43000,41000,1633000,700000,481000,-420000,95000,205000,-2634000,2151000,734000,-1896000,-97000,-677000,-1108000,-290000,-671000,929000,-608000,-512000,1257000
97,Net Change In Cash,- -,- -,- -,-35800000,-19300000,108800000,26100000,87900000,59100000,31400000,-39600000,-61800000,-53700000,13000000,-31389000,48145000,-51537000,-13344000,-5300000,19315000,8007000,291843000,-172405000,26556000,33327000,-104946000,120692000,106165000,-204332000,85251000,70664000,-35454000,-49865000,63428000,-190126000,95791000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92800000,61395000,109540000,58003000,44659000,39400000,58625000,66632000,358475000,186070000,212626000,245953000,141007000,261699000,367864000,163532000,248783000,319447000,283993000,234128000,297556000,107430000,203221000
99,Cash at the Beginning of Period,- -,- -,- -,59100000,68400000,18900000,59500000,82700000,119700000,166800000,158100000,214800000,109100000,79800000,92784000,61395000,109540000,58003000,44700000,39310000,58625000,66632000,358475000,186070000,212626000,245953000,141007000,261699000,367864000,163532000,248783000,319447000,283993000,234128000,297556000,107430000
100,Free Cash Flow,- -,- -,- -,56300000,22000000,-36500000,4700000,-57600000,-18500000,-41200000,112200000,-60300000,36700000,263200000,116996000,100051000,59593000,-160249000,-104900000,-192880000,-17856000,271233000,69363000,63410000,104657000,15089000,161612000,203683000,-49352000,168112000,136438000,214685000,49208000,125762000,-24330000,154260000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102037/000091664194000107/0000916641-94-000107-index.html,- -,https://www.sec.gov/Archives/edgar/data/102037/000091664196000792/0000916641-96-000792-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102037/000091664102001493/0000916641-02-001493-index.html,https://www.sec.gov/Archives/edgar/data/102037/000119312503049971/0001193125-03-049971-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312504102037/0001193125-04-102037-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312505124147/0001193125-05-124147-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312506129584/0001193125-06-129584-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312507125847/0001193125-07-125847-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312508125576/0001193125-08-125576-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312509121445/0001193125-09-121445-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000119312510130818/0001193125-10-130818-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000114420411032627/0001144204-11-032627-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000144530512001881/0001445305-12-001881-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203713000016/0000102037-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203714000019/0000102037-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203715000017/0000102037-15-000017-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203716000046/0000102037-16-000046-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203717000030/0000102037-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203718000012/0000102037-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203719000022/0000102037-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203720000024/0000102037-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/102037/000010203721000012/0000102037-21-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
