,https://roic.ai/company/EFX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,116100000,116100000,62300000,73300000,101200000,104600000,178685000,82100000,-142300000,-68900000,-157300000,-14100000,-236900000,-121900000,35800000,-75400000,109700000,89500000,-116800000,-14100000,-218000000,-42200000,-586700000,-675100000,75500000,-149700000,-4800000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-1300000,15500000,28500000,-4100000,42100000,-124600000,-75200000,119200000,11300000,-70600000,-40800000,-183416000,114785000,196500000,-55600000,58000000,-145900000,242400000,-73400000,-168800000,102600000,-288900000,3100000,265600000,-101000000,220000000,-72500000,558700000,32000000,-734300000,638000000,-239300000,63100000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,83300000,134000000,128200000,133900000,136100000,162600000,159900000,308800000,292800000,289100000,324700000,284165000,255100000,248500000,293800000,310700000,337800000,374300000,449900000,444700000,418400000,352600000,408700000,496300000,566300000,616200000,742100000,795800000,816000000,672200000,313800000,946200000,1334800000
84,CAPEX,- -,- -,- -,- -,-135400000,-45000000,-23600000,-34600000,-39800000,-20200000,-31700000,-56000000,-34600000,-523400000,-61200000,-37132000,-47100000,-12800000,-14600000,-16500000,-17200000,-52000000,-118500000,-110500000,-70700000,-99800000,-75000000,-66000000,-83300000,-86400000,-146200000,-173500000,-218200000,-321900000,-399600000,-421300000,-469000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-382831000,-43500000,-321200000,-40700000,-17400000,-121800000,-34400000,-300000000,-31100000,-199400000,-80900000,-129100000,-1017600000,-50300000,-342900000,-1600000,-1791600000,-139900000,-145200000,-297900000,-71400000,-2934100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-8300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10800000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2400000,47300000,- -,3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59400000,10100000,- -,- -,- -,- -,181700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,22900000,-63900000,-15600000,-39800000,-38400000,-114900000,-50000000,-129500000,-85900000,-84300000,-56600000,80522000,-15900000,-7000000,-44400000,-32000000,-29000000,-400000,-3800000,-110500000,-70700000,-99800000,-75000000,-66000000,-83300000,-86400000,-146200000,-173500000,-209600000,-316300000,-399600000,-421300000,-464100000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-112500000,-106500000,8100000,-82700000,-74800000,-135100000,-81700000,-185500000,-120500000,-607700000,-117800000,-339441000,-106500000,-341000000,-99700000,-6500000,-157900000,-86800000,-422300000,-141600000,-270100000,1000000,-204100000,-1083600000,-133600000,-429300000,-147800000,-1975900000,-349500000,-461500000,-697500000,-492700000,-3398200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-202600000,-447000000,-159800000,7700000,-15200000,-15000000,-290000000,-331000000,-350000000,-322500000,-1059200000,-251800000,-125700000,-1100200000
91,Common Stock Issued,- -,- -,- -,- -,1500000,5600000,8900000,1600000,3500000,11800000,16600000,25900000,18300000,12200000,7000000,23165000,36400000,34200000,19500000,28100000,62800000,26100000,31600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-600000,- -,-127000000,-27000000,-58000000,-132700000,-105600000,-129100000,-161800000,-210200000,-6517000,-42300000,-79800000,-94900000,-138000000,-144000000,-215200000,-718700000,-155700000,-23800000,-167500000,-142300000,-85100000,-11900000,-301600000,-196300000,- -,-77100000,- -,- -,- -,-69900000
93,Dividends Paid,- -,- -,- -,- -,-21100000,-35800000,-42600000,-42800000,-42000000,-47200000,-50200000,-49800000,-52000000,-52100000,-52000000,-52374000,-32300000,-11400000,-11300000,-15000000,-20200000,-20300000,-20700000,-20500000,-24200000,-40300000,-83700000,-86000000,-106700000,-121200000,-137800000,-157600000,-187400000,-187900000,-188700000,-189500000,-190000000
94,Other Financing Activites,- -,- -,- -,- -,57000000,23100000,-65900000,99900000,7700000,63700000,33700000,30900000,-5600000,561200000,102200000,51699000,-131200000,149600000,-106900000,-164100000,-92100000,-47800000,690200000,63100000,386700000,32300000,22400000,792600000,-199500000,429400000,53100000,1695100000,323300000,936100000,998400000,1126000000,1977800000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,37400000,-7700000,-99600000,-68300000,-57800000,-29700000,-132600000,-98600000,-168400000,359500000,-153000000,15973000,-169400000,92600000,-193600000,-289000000,-193500000,-257200000,-17600000,-315700000,-108300000,-335300000,-195900000,606300000,-333100000,-283400000,-612000000,1187500000,-263700000,-311000000,557900000,810800000,617700000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,200000,-200000,400000,-4100000,-1900000,-4100000,1100000,-1000000,200000,-2500000,-7900000,-7880000,-5600000,-2800000,8300000,-1200000,-1000000,- -,3800000,-10800000,4900000,-2000000,-400000,100000,-10500000,-11100000,-17300000,28600000,4300000,-12500000,3500000,19000000,-14200000
97,Net Change In Cash,- -,- -,- -,- -,37400000,-7700000,-99600000,-68300000,-57800000,-29700000,- -,- -,- -,38400000,46000000,-47183000,-26400000,-2700000,8800000,14000000,-14600000,30300000,13800000,-23400000,44900000,16300000,8300000,19100000,89100000,-107600000,-35000000,36000000,207100000,-112800000,177700000,1283300000,-1459900000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90700000,136600000,89413000,33200000,30500000,39300000,52100000,37500000,67800000,81600000,58200000,103100000,119400000,127700000,146800000,235900000,128300000,93300000,129300000,336400000,223600000,401300000,1684600000,224700000
99,Cash at the Beginning of Period,- -,- -,- -,- -,6100000,48400000,68000000,105100000,84000000,85600000,79400000,26100000,48200000,52300000,90600000,136596000,59600000,33200000,30500000,38100000,52100000,37500000,67800000,81600000,58200000,103100000,119400000,127700000,146800000,235900000,128300000,93300000,129300000,336400000,223600000,401300000,1684600000
100,Free Cash Flow,- -,- -,- -,- -,-52100000,89000000,104600000,99300000,96300000,142400000,128200000,252800000,258200000,-234300000,263500000,247033000,208000000,235700000,279200000,294200000,320600000,322300000,331400000,334200000,347700000,252800000,333700000,430300000,483000000,529800000,595900000,622300000,597800000,350300000,-85800000,524900000,865800000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33185/0000950109-96-001983-index.html,https://www.sec.gov/Archives/edgar/data/33185/000093176397000464/0000931763-97-000464-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33185/000093176302000622/0000931763-02-000622-index.html,https://www.sec.gov/Archives/edgar/data/33185/000093176303000722/0000931763-03-000722-index.htm,- -,https://www.sec.gov/Archives/edgar/data/33185/000110465905011449/0001104659-05-011449-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000110465906013557/0001104659-06-013557-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000110465907014494/0001104659-07-014494-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000104746908001839/0001047469-08-001839-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000104746909001891/0001047469-09-001891-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000104746910001159/0001047469-10-001159-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000114420411010496/0001144204-11-010496-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000114420412010639/0001144204-12-010639-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000114420413010696/0001144204-13-010696-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000114420414012238/0001144204-14-012238-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000162828015001024/0001628280-15-001024-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318516000037/0000033185-16-000037-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318517000008/0000033185-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318518000011/0000033185-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318519000007/0000033185-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318520000011/0000033185-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318521000025/0000033185-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/33185/000003318522000014/0000033185-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
