,https://roic.ai/company/KEP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12228501000000,12436755000000,53957817000000,64084937000000,71799108000000,74310555000000,68841860000000,63256065000000,66829860000000,71157655000000,79469986000000,81196651000000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,19010430598519,18099525000000,16172938000000,16185670036530,15237947261449,18678861462820,36387933000000,41056521000000,46534411000000,64922733000000,76271539000000,83862749000000,87283211000000,84604042000000,80047271000000,85399993000000,92314766000000,104476487000000,106594043000000,- -
59,Other Liabilities,- -,- -,- -,- -,43745274006479,43062887500000,40124184000000,41253122828180,39636640525414,48019237929516,36387933000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145790000000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1007169000000,884966000000,769435000000,659394000000,541179000000,418260000000,283806000000,5070133000000,4621096000000,- -
61,Total Liabilities,- -,- -,- -,- -,34840483973919,35597037500000,31930638000000,32150494664770,32621477768400,38683618995867,46923796000000,51804224000000,58121797000000,82663900000000,95088618000000,104076598000000,108883279000000,107314884000000,104786497000000,108824274000000,114156299000000,128708143000000,132475265000000,145790000000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,3200341635923,3359630000000,3095105000000,3182772060650,3059779108955,3209654501186,3207839000000,3207839000000,3207839000000,4053578000000,3209820000000,3209820000000,3209820000000,3209820000000,3209820000000,3209820000000,3209820000000,3209820000000,3209820000000,- -
64,Retained Earnings,- -,- -,- -,- -,17907151832583,21215906250000,22355169000000,24436894182460,24913319360158,26939463540258,23501924000000,23405208000000,23333052000000,35769094000000,32564283000000,32766086000000,35303647000000,48187241000000,53173871000000,53370558000000,51519119000000,49202133000000,51133601000000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-29897983382,-341217500000,-394465000000,-63955231360,-724048609528,-658281836602,435064000000,487211000000,453928000000,255095000000,11957000000,55538000000,-202269000000,-98713000000,-33875000000,-271457000000,-358570000000,-280730000000,-409577000000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,14482383150473,15252223750000,14050735000000,14309983016800,13847095673373,14566494412903,14129987000000,13926976000000,14023044000000,13192529000000,14102707000000,14228224000000,15290133000000,15336119000000,15373877000000,15372524000000,15373556000000,15365095000000,15362836000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,35559978635596,39486542500000,39106544000000,41865694028550,41096145532957,44057330617746,41274814000000,41027234000000,41017863000000,53270296000000,49888767000000,50259668000000,53601331000000,66634467000000,71723693000000,71681445000000,69743925000000,67496318000000,69296680000000,63913834000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,70400462609516,75083580000000,71037182000000,74016188693320,73717623301357,82740949613613,88198610000000,92831458000000,99139660000000,135934196000000,144977385000000,154336266000000,162484610000000,173949351000000,176510190000000,180505719000000,183900224000000,196204461000000,201771945000000,209703834000000
69,Minority Interest,- -,- -,- -,- -,108067615622,133776250000,118924000000,145897871540,143782488697,234573970535,- -,376573000000,470738000000,533654000000,1175435000000,1191068000000,1223679000000,1308008000000,1326852000000,1283196000000,1348837000000,1393331000000,1370166000000,1370166000000
