,https://roic.ai/company/OSUR,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,1000000,-200000,-700000,-1100000,-400000,-100000,400000,-1000000,-6700000,-200000,-100000,-639993,-63486,-750267,-255886,146587,-1824801,- -,- -,- -,- -,-4500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1899000,513000
89,Cash Used for Investing Activites,900000,-900000,-2200000,-8600000,4900000,-8300000,-12500000,-3800000,4500000,2400000,-900000,-5641431,-66496,-230900,-24039930,-24777177,7990905,-38903881,-364389,16346413,36904449,-3764775,-50339848,-2019000,-2462000,-7980000,-6705000,-8065000,-96353000,-17427000,-19797000,-14029000,-5501000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-557897,-509760,-500000,-7292000,- -,- -,- -,- -,- -,- -,-1166000,-687000,-686000
91,Common Stock Issued,6700000,1400000,14300000,1500000,12500000,24400000,21100000,5900000,1700000,400000,3200000,19797206,3853929,2828785,48544894,1904161,6067869,457334,3100037,92517,24807,7977,- -,70246000,- -,- -,- -,- -,- -,- -,- -,95036000,- -
92,Common Stock Repurchased,-1000000,-100000,-1200000,- -,-1200000,-300000,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-601347,-631509,-785908,-995367,-700195,-708785,-908884,-1560000,-829000,-639000,-6090000,-3444000,-1240000,-3592000,-3712000,-2088000,-2113000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5121108,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-200000,-100000,- -,4800000,100000,- -,- -,2200000,-7200000,-2100000,- -,-1054194,-1125206,-168702,-892451,-1126186,-1116129,9298574,-1264716,-515083,- -,- -,4782645,10040000,409000,1115000,404000,2289000,31675000,1701000,196000,218000,-18000
95,Cash Used/Provided by Financing Activities,5500000,1200000,13100000,6300000,11400000,24100000,20300000,6800000,-5500000,-1700000,3200000,18743012,2728723,2660083,47652443,777975,4350393,9124399,1049413,-6539041,-1233285,-1210568,3373761,71434000,-420000,476000,-5686000,-1155000,30435000,-1891000,-4682000,92479000,-2817000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61140,-75670,26286,16560,-12983,-28102,16759,10973,-11509,-9987,-2052,-5329,-32000,-200000,-346000,-2155000,318000,841000,-4203000,1952000,830000,-340000
97,Net Change In Cash,5500000,1200000,13100000,6300000,11400000,24100000,20300000,6800000,-3300000,-1700000,-100000,3045995,-2669293,1937962,26330869,-20573969,22705532,-12876919,12279876,7335521,35368412,-1090228,-49965400,64010000,5303000,-324000,1227000,13865000,-36921000,15569000,-12723000,85087000,-44040000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,1900000,- -,1100000,5095639,2426346,4364308,30695177,10121208,32826740,19949821,32229697,39565218,74933630,73843402,23878002,87888000,93191000,92867000,94094000,107959000,72869000,88438000,75715000,160802000,116762000
99,Cash at the Beginning of Period,700000,4900000,2600000,10200000,2600000,8600000,11000000,4300000,5200000,1900000,1200000,2049644,5095639,2426346,4364308,30695177,10121208,32826740,19949821,32229697,39565218,74933630,73843402,23878000,87888000,93191000,92867000,94094000,109790000,72869000,88438000,75715000,160802000
100,Free Cash Flow,-2300000,-3000000,-5300000,-6300000,-11600000,-15900000,-16000000,-2600000,-2800000,-1600000,-3100000,-13066011,-8019489,-2166636,1708074,1926072,8344169,4042538,1880109,-6303612,-1492316,-2718608,-5498907,-7392000,5923000,4521000,12029000,18414000,23819000,32746000,490000,-23117000,-83499000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1116463/000093066102000960/0000930661-02-000960-index.html,https://www.sec.gov/Archives/edgar/data/1116463/000095010903001919/0000950109-03-001919-index.html,https://www.sec.gov/Archives/edgar/data/1116463/000119312504034555/0001193125-04-034555-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312505051144/0001193125-05-051144-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312506053910/0001193125-06-053910-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312507057268/0001193125-07-057268-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312508054266/0001193125-08-054266-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312509049845/0001193125-09-049845-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312510057039/0001193125-10-057039-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312511062311/0001193125-11-062311-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312512114853/0001193125-12-114853-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312513105190/0001193125-13-105190-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312514098958/0001193125-14-098958-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312515089338/0001193125-15-089338-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312516503534/0001193125-16-503534-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312517082033/0001193125-17-082033-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000119312518064054/0001193125-18-064054-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000156459019005491/0001564590-19-005491-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000156459020008195/0001564590-20-008195-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000156459021009887/0001564590-21-009887-index.htm,https://www.sec.gov/Archives/edgar/data/1116463/000095017022002556/0000950170-22-002556-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
