,https://roic.ai/company/VLO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66000000,54000000,58000000,58000000,64000000,60000000,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-51300000,- -,- -,- -,- -,- -,- -,- -,191700000,-49700000,-32100000,136175000,-863177000,1146802000,223300000,-22100000,240100000,967000000,940000000,363000000,-116000000,1609000000,-1470000000,1267000000,1623000000,480000000,978000000,860000000,-231000000,-1290000000,-1142000000,752000000,2161000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,437000000,-753000000,2753000000,1294000000,-1531000000,-870000000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11200000,- -,-66532000,- -,- -,- -,- -,-405000000,-249000000,-705000000,-77000000,-407000000,643000000,-282000000,-13000000,-1014000000,-222000000,771000000,-516000000,-197000000,-385000000,1007000000,-253000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1475000000,670000000,2004000000,-113000000,977000000,-3149000000,-1787000000,1556000000,1842000000,304000000,1534000000,-4068000000,6301000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191700000,142000000,109900000,246075000,-617102000,529700000,753000000,730900000,971000000,1938000000,2878000000,3241000000,3125000000,4734000000,3264000000,4531000000,6154000000,6634000000,7612000000,8472000000,8241000000,6951000000,5809000000,6561000000,-64000000
82,Other Non-Cash Items,- -,- -,- -,- -,2100000,19500000,2000000,-5800000,10100000,-73400000,-44000000,44700000,-164200000,215800000,323300000,-150149000,682084000,-1416802000,-226100000,213000000,839700000,-1562200000,-2161000000,1609000000,2671000000,-762000000,1365000000,-675000000,-1064000000,-2064000000,-1364000000,-453000000,2205000000,267000000,1762000000,-1206000000,489000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,43400000,196400000,182800000,152500000,141300000,68100000,155800000,275800000,221100000,165800000,435100000,601302000,905514000,272300000,1416400000,2957200000,5799000000,6312000000,5258000000,2992000000,1823000000,3045000000,4038000000,5270000000,5564000000,4241000000,5611000000,4820000000,5482000000,4371000000,5531000000,948000000,5859000000
84,CAPEX,- -,- -,- -,- -,-36900000,-137800000,-229700000,-282800000,-159600000,-80700000,-124600000,-128500000,-122000000,-500700000,-100600000,-194889000,-393561000,-811200000,-975800000,-1291500000,-2133000000,-3187000000,-2260000000,-2790000000,-2327000000,-1730000000,-2355000000,-2931000000,-2121000000,-2153000000,-1618000000,-1278000000,-1379000000,-1752000000,-1994000000,-1788000000,-1555000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-889730000,-1905366000,-23900000,-50600000,-594700000,-2343000000,779000000,-86000000,-169000000,-585000000,287000000,-2275000000,80000000,- -,- -,-141000000,-4000000,-406000000,-1269000000,-239000000,-54000000,261000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-8600000,-6200000,-133500000,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26000000,-209000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1400000,- -,- -,- -,- -,- -,- -,- -,- -,8000000,2428000000,487000000,27000000,330000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-18000000,-74700000,-58100000,-37300000,31700000,-15700000,-22000000,-28800000,-366100000,-65600000,-71600000,-109368000,-1002953000,1083700000,-304600000,-799000000,-424000000,-545000000,-455000000,-390000000,-2713000000,-2022000000,-3023000000,-3431000000,-2812000000,-2844000000,-2346000000,-2002000000,-1976000000,-2659000000,-2762000000,-2371000000,-2420000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-54900000,-212500000,-287800000,-328700000,-134100000,-229900000,-148600000,-156200000,-486700000,-566300000,-172200000,-1193987000,-3301880000,248600000,-1331000000,-2685200000,-4900000000,-2971000000,-582000000,-2862000000,-3292000000,-1405000000,-5298000000,-3351000000,-2812000000,-2844000000,-2487000000,-2006000000,-2382000000,-3928000000,-3001000000,-2425000000,-2159000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1174000000,-1842000000,-778000000,-1962000000,-538000000,-200000000,-513000000,-1475000000,-21000000,-1359000000,-1811000000,-495000000,-3028000000
91,Common Stock Issued,- -,- -,- -,- -,- -,64400000,- -,66000000,3800000,171100000,1700000,7200000,59100000,6700000,15600000,350834000,78434000,102000000,550200000,540700000,227000000,122000000,159000000,16000000,810000000,20000000,- -,- -,369000000,- -,189000000,- -,36000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-5800000,-1200000,-46200000,-1200000,-1200000,-1200000,-5800000,-5800000,-10600000,-34500000,-13500000,-64292000,-156677000,-45500000,-73200000,-317400000,-571000000,-2020000000,-5788000000,-955000000,-4000000,-13000000,-349000000,-281000000,-928000000,-1296000000,-2838000000,-1336000000,-1372000000,-1708000000,-1727000000,-156000000,-27000000
93,Dividends Paid,- -,- -,- -,- -,-18500000,-17100000,-20400000,-19200000,-21100000,-31200000,-34600000,-34200000,-5400000,- -,-17900000,-18692000,-20698000,-42300000,-50600000,-79400000,-106000000,-184000000,-271000000,-299000000,-324000000,-114000000,-169000000,-360000000,-462000000,-554000000,-848000000,-1111000000,-1242000000,-1369000000,-1492000000,-1600000000,-1602000000
94,Other Financing Activites,- -,- -,- -,- -,30000000,6700000,133700000,124900000,10400000,42100000,33300000,-95000000,232400000,429500000,-198300000,279344000,2750148000,-426600000,-561900000,63400000,-881000000,-106000000,2069000000,-369000000,1981000000,2765000000,230000000,1370000000,1396000000,120000000,1465000000,1910000000,327000000,1268000000,2033000000,4328000000,1811000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,5700000,52800000,67100000,170500000,-8100000,180800000,-5400000,-127800000,275500000,401700000,-214100000,547194000,2651207000,-412400000,-135500000,207300000,-1331000000,-2188000000,-3831000000,-1607000000,1289000000,816000000,-1066000000,-1233000000,-163000000,-1930000000,-2545000000,-2012000000,-2272000000,-3168000000,-2997000000,2077000000,-2846000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,40400000,15100000,4000000,1000000,29000000,-47000000,65000000,53000000,16000000,13000000,-20000000,-70000000,-154000000,-100000000,206000000,-143000000,68000000,130000000,-45000000
97,Net Change In Cash,- -,- -,- -,- -,5700000,52800000,67100000,170500000,-8100000,180800000,-5400000,-127800000,275500000,401700000,48900000,-45491000,254841000,109500000,-9700000,494400000,-428000000,1154000000,874000000,-1524000000,-115000000,2509000000,-2310000000,699000000,2569000000,-603000000,425000000,702000000,1034000000,-2868000000,-399000000,730000000,809000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60100000,14596000,269437000,378900000,369200000,863600000,436000000,1590000000,2464000000,940000000,825000000,3334000000,1024000000,1723000000,4292000000,3689000000,4114000000,4816000000,5850000000,2982000000,2583000000,3313000000,4122000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,20900000,15100000,51700000,13900000,8200000,7300000,26200000,28100000,- -,9900000,11200000,60087000,14596000,269400000,378900000,369200000,864000000,436000000,1590000000,2464000000,940000000,825000000,3334000000,1024000000,1723000000,4292000000,3689000000,4114000000,4816000000,5850000000,2982000000,2583000000,3313000000
100,Free Cash Flow,- -,- -,- -,- -,6500000,58600000,-46900000,-130300000,-18300000,-12600000,31200000,147300000,99100000,-334900000,334500000,406413000,511953000,-538900000,440600000,1665700000,3666000000,3125000000,2998000000,202000000,-504000000,1315000000,1683000000,2339000000,3443000000,2088000000,3993000000,3542000000,4103000000,2619000000,3537000000,-840000000,4304000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1035002/000103500298000002/0001035002-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095013499001346/0000950134-99-001346-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1035002/000111080503000007/0001110805-03-000007-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095013404003420/0000950134-04-003420-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095013405004779/0000950134-05-004779-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095013406004061/d32462e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035002/000119312507039165/d10k.htm,https://www.sec.gov/Archives/edgar/data/1035002/000095013408003802/d54294e10vk.htm,https://www.sec.gov/Archives/edgar/data/1035002/000095013409003971/0000950134-09-003971-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000095012310018097/0000950123-10-018097-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500211000013/vlo12311010k.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500212000008/0001035002-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500213000008/0001035002-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500214000008/vloform10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500215000009/vloform10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500216000069/0001035002-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500217000009/0001035002-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500218000010/0001035002-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000008/0001035002-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000007/0001035002-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1035002/000103500221000051/0001035002-21-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1035002/000103500222000007/0001035002-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
