,https://roic.ai/company/OIBRQ,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4094909000,- -,4094909000,4094909000,- -,- -
63,Common Stock,- -,- -,5005400778,3296121671,4917921483,4935239084,4984720414,- -,- -,3470758000,3470758000,3470758000,- -,- -,7252144000,7414662000,21128628000,16898522000,21438000000,16898522000,27498619000,31737864000,31737864000
64,Retained Earnings,- -,- -,1177248037,1729700131,15366359,-753433294,-1114455792,-1641266806,-2000146388,428051000,- -,- -,- -,- -,- -,- -,-4024184000,-9672334000,-16849000000,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,-16695671840,-12372064862,2751325095,2706866494,2705290950,-25245241738,393403600,1831774000,1431948000,1431948000,1885511000,2639809000,6165018000,6210084000,1931919000,-6446000,13242000000,-25439856000,165728000,-14054223000,-23953057000
66,Other Total Stockholders Equity,- -,- -,19638812407,14210434698,-60828267,-75343329,-92475345,- -,- -,-154692000,1338246000,1338246000,- -,- -,-2100608000,-2100608000,-1234071000,4141242000,-6166000000,-5531092000,-2803250000,-33315000,-33315000
67,Total Stockholders Equity,- -,- -,9125789383,6864191638,7623784670,6813328955,6483080227,5493176055,5514941418,5575891000,6240952000,6240952000,11336488000,10588802000,11316554000,11524138000,17802292000,15455893000,11665000000,-9977517000,28956006000,17650326000,7751492000
68,Total Liabilities And Stockholders Equity,- -,- -,15638825610,14055871700,16432184263,15559692958,17376825631,16701004300,15946764628,15567226000,17675844000,17545594000,26885763000,31663661000,69076894000,70096071000,101279925000,98144054000,81380000000,70693312000,67004111000,71745642000,73821369000
69,Minority Interest,- -,- -,- -,- -,-0,5770,30284168,16641474,12359970,8510000,-5656000,-5656000,351000,370000,- -,- -,1509197000,1190547000,792000000,293456000,243490000,146180000,18418000
70,Total Liabilities & Equity,- -,- -,15638825610,14055871700,16432184263,15559698729,17407109799,16717645774,15959124598,15575736000,17670188000,17539938000,26886114000,31664031000,69076894000,70096071000,102789122000,99334601000,82172000000,70986768000,67247601000,71891822000,73839787000
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1160846/000116084604000040/0001160846-04-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000129281405000757/0001292814-05-000757-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000129281406001767/0001292814-06-001767-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000129281407001383/0001292814-07-001383-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000129281408000656/0001292814-08-000656-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312509148208/0001193125-09-148208-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312510151837/0001193125-10-151837-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312511119254/0001193125-11-119254-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312512191656/0001193125-12-191656-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312513187787/0001193125-13-187787-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312514094078/0001193125-14-094078-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312515175172/0001193125-15-175172-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312516596449/0001193125-16-596449-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1160846/000119312518165452/0001193125-18-165452-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312519123081/0001193125-19-123081-index.htm,https://www.sec.gov/Archives/edgar/data/1160846/000119312520128888/0001193125-20-128888-index.htm,- -
