,https://roic.ai/company/SO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,117000000,57000000,-5000000,-22000000,137000000,97000000,-22000000,172000000,451000000,590000000,- -,- -,- -,- -,25000000,1038000000,1155000000,1096000000,798000000,744000000,1356000000,-127000000,166000000,94000000,1368000000,100000000,239000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,28000000,20000000,23000000,33000000,42000000,55000000,59000000,63000000,99000000,121000000,109000000,125000000,107000000,113000000,144000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,-361000000,30000000,-1043000000,-252000000,-1568000000,2692000000,-504000000,-631000000,1347000000,372000000,-707000000,-1299000000,1435000000,1031000000,157000000,-878000000,284000000,-547000000,915000000,-2660000000,-6000000,-592000000,-327000000,-1181000000,1974000000,-733000000,-990000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,585000000,- -,- -,234000000,-153000000,-352000000,243000000,-544000000,-199000000,-426000000,630000000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-128000000,39000000,104000000,77000000,-45000000,-76000000,63000000,-242000000,113000000,-29000000,-39000000,-188000000,-239000000,-110000000,-326000000,-471000000,105000000,-122000000,-549000000,517000000,341000000,17000000,-79000000,72000000,172000000,-76000000,-186000000,-603000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000000,-147000000,180000000,-51000000,118000000,-68000000,29000000,71000000,-173000000,105000000,-74000000,-125000000,4000000,-5000000,-89000000,72000000,267000000,-353000000,301000000,-280000000,291000000,-693000000,-27000000,-8000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-410000000,-771000000,-741000000,-1784000000,-2036000000,-3604000000,-912000000,-1416000000,-2047000000,-700000000,-328000000,-1035000000,-2334000000,-899000000,132000000,289000000,-589000000,-305000000,-852000000,63000000,-2597000000,-2603000000,-3195000000,-3522000000,-4703000000,-2729000000,-3462000000,-25000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,1107000000,1456000000,-14000000,1230000000,272000000,1356000000,-2621000000,290000000,814000000,-1369000000,-980000000,248000000,1097000000,-1288000000,-1099000000,-438000000,-73000000,106000000,-266000000,317000000,3344000000,-5000000,76000000,2110000000,2116000000,-5753000000,177000000,395000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2111000000,2315000000,2401000000,2625000000,2748000000,2723000000,2818000000,2384000000,2831000000,3066000000,2692000000,2530000000,2820000000,3395000000,3398000000,3263000000,3991000000,5903000000,4898000000,6097000000,5815000000,6274000000,4894000000,6395000000,6945000000,5781000000,6696000000,6169000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1536000000,-1401000000,-1229000000,-1859000000,-2005000000,-2560000000,-2225000000,-2617000000,-2717000000,-2002000000,-2110000000,-2370000000,-2994000000,-3545000000,-3961000000,-4670000000,-4086000000,-4525000000,-4809000000,-5463000000,-5977000000,-7393000000,-7310000000,-7423000000,-8001000000,-7555000000,-7441000000,-7240000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1416000000,- -,-2925000000,-998000000,-1800000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12133000000,-1222000000,2777000000,4924000000,888000000,572000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-405000000,- -,- -,- -,- -,- -,- -,- -,- -,-72000000,-97000000,- -,- -,- -,- -,-55000000,-2059000000,-2195000000,-1046000000,-986000000,-916000000,-1424000000,-1160000000,-811000000,-1117000000,-888000000,-877000000,-1598000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,596000000,743000000,775000000,712000000,1228000000,2029000000,2190000000,1043000000,984000000,914000000,1418000000,1154000000,805000000,1111000000,882000000,871000000,1593000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000000,440000000,-64000000,19000000,367000000,146000000,-81000000,-119000000,-244000000,-120000000,-45000000,-855000000,-583000000,-939000000,-877000000,-822000000,-140000000,347000000,-356000000,-277000000,-429000000,119000000,-599000000,1460000000,-530000000,-755000000,-471000000,-680000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1857000000,-2377000000,-1293000000,-4765000000,-2636000000,-4214000000,-2306000000,-2736000000,-2961000000,-2194000000,-2252000000,-2629000000,-2834000000,-3709000000,-4126000000,-4319000000,-4256000000,-4183000000,-5168000000,-5742000000,-6408000000,-7280000000,-20048000000,-7191000000,-5760000000,-3392000000,-7030000000,-7353000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2448000000,-970000000,-2439000000,-1847000000,-690000000,-1185000000,-2338000000,-3375000000,-1386000000,-1285000000,-967000000,-2566000000,-1469000000,-1540000000,-2966000000,-3170000000,-3199000000,-2830000000,-1492000000,-3859000000,-3623000000,-3990000000,-8207000000,-6197000000,-6394000000,-4352000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,379000000,277000000,171000000,360000000,234000000,24000000,910000000,395000000,451000000,470000000,124000000,213000000,137000000,538000000,474000000,1286000000,772000000,723000000,397000000,695000000,806000000,256000000,3758000000,793000000,1090000000,844000000,74000000,73000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-1000000,-179000000,-660000000,-364000000,-948000000,-415000000,- -,-70000000,- -,-28000000,-352000000,- -,- -,- -,- -,- -,- -,-430000000,-20000000,-5000000,-527000000,- -,-658000000,-33000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-766000000,-811000000,-846000000,-889000000,-933000000,-921000000,-873000000,-922000000,-958000000,-1004000000,-1045000000,-1098000000,-1140000000,-1205000000,-1280000000,-1434000000,-1561000000,-1666000000,-1758000000,-1828000000,-1934000000,-2018000000,-2104000000,-2300000000,-2425000000,-2570000000,-2685000000,-2777000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,95000000,1230000000,1867000000,4455000000,3661000000,4777000000,689000000,2219000000,2964000000,3075000000,1957000000,2455000000,1949000000,3581000000,3219000000,3017000000,3777000000,3261000000,4573000000,3659000000,3269000000,7848000000,17694000000,7106000000,7762000000,5993000000,8429000000,9001000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-293000000,695000000,-1435000000,2296000000,159000000,1085000000,-379000000,507000000,49000000,-834000000,-378000000,-67000000,-21000000,348000000,944000000,1329000000,22000000,-852000000,-417000000,-324000000,644000000,1700000000,15725000000,951000000,-1813000000,-1930000000,-576000000,1945000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39000000,633000000,-327000000,156000000,271000000,-406000000,45000000,155000000,-81000000,38000000,62000000,-166000000,-35000000,34000000,216000000,273000000,-243000000,868000000,-687000000,31000000,51000000,694000000,571000000,155000000,-628000000,459000000,-910000000,761000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,139000000,772000000,445000000,601000000,872000000,466000000,199000000,354000000,273000000,311000000,373000000,202000000,167000000,201000000,417000000,690000000,447000000,1315000000,628000000,659000000,710000000,1404000000,1975000000,2130000000,1519000000,1978000000,1068000000,1829000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000000,139000000,772000000,445000000,601000000,872000000,154000000,199000000,354000000,273000000,311000000,368000000,202000000,167000000,201000000,417000000,690000000,447000000,1315000000,628000000,659000000,710000000,1404000000,1975000000,2147000000,1519000000,1978000000,1068000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,575000000,914000000,1172000000,766000000,743000000,163000000,593000000,-233000000,114000000,1064000000,582000000,160000000,-174000000,-150000000,-563000000,-1407000000,-95000000,1378000000,89000000,634000000,-162000000,-1119000000,-2416000000,-1028000000,-1056000000,-1774000000,-745000000,-1071000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/92122/000009212295000038/0000092122-95-000038-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/92122/000009212299000040/0000092122-99-000040-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1160661/000009212203000074/0000092122-03-000074-index.html,- -,https://www.sec.gov/Archives/edgar/data/92122/000095014405001905/southernco10k2004.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212206000153/g99802e10vk.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212207000016/soco10k.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212208000010/soco10-k1207.htm,https://www.sec.gov/Archives/edgar/data/1160661/000009212209000011/0000092122-09-000011-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212210000009/0000092122-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/92122/000009212211000013/g24641xxe10vk.htm,https://www.sec.gov/Archives/edgar/data/1160661/000009212212000016/0000092122-12-000016-index.html,https://www.sec.gov/Archives/edgar/data/92122/000009212213000014/so_10-kx12312012.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212214000012/so_10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212215000015/so_10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1160661/000009212216000126/0000092122-16-000126-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212217000007/0000092122-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212218000012/0000092122-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212219000006/0000092122-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1160661/000009212220000017/0000092122-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/92122/000009212221000006/0000092122-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/92122/000009212222000003/0000092122-22-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
