,https://roic.ai/company/DISH,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,3800000,62900000,2259000,353935000,2830000,8915000,11586000,9929000,1492907000,20438000,16592000,10039000,23957000,54674000,21011000,- -,- -,- -,- -,- -,- -,204200000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-90934000,- -,- -,-1065689000,-190391000,-809609000,-362512000,-11677000,- -,-82733000,-18594000,-107079000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-455650000,- -,- -,- -,- -,-894150000,- -,-893278000,-452890000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,324200000,-200000,330285000,349247000,-16552000,1002110000,970567000,1600778000,-6386000,1164023000,-1417355000,-50150000,1009867000,-1030690000,-1350119000,1405418000,6536000,2019511000,4492913000,7586124000,2111919000,64057000,4731903000,1013324000,16711000,1030751000,2700006000,6749304000
95,Cash Used/Provided by Financing Activities,325000000,62700000,332544000,703182000,-13722000,920091000,982153000,1610707000,420832000,994070000,-2666022000,-402623000,1022147000,-976016000,-1411841000,418283000,-127453000,93997000,4002484000,1851505000,980267000,-413269000,3197079000,-103237000,-1134545000,-328169000,1499470000,4659428000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4111000,1887000,156000,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,17477000,105976000,-38660000,798752000,-48481000,821071000,-194811000,-192219000,-586299000,-88891000,1307436000,-742287000,-820968000,7270000,534828000,-31564000,2997032000,1103042000,2395314000,-6051338000,4270567000,-3844995000,-591977000,1616396000,949674000,4280266000
98,Cash at the End of Period,- -,- -,39231000,145207000,106547000,905299000,856818000,1677889000,1483078000,1290859000,704560000,615669000,1923105000,1180818000,98574000,105844000,640672000,609108000,3606140000,4709182000,7104496000,1053158000,5323725000,1479508000,887924000,2504320000,3453994000,7734260000
99,Cash at the Beginning of Period,6900000,17500000,21754000,39231000,145207000,106547000,905299000,856818000,1677889000,1483078000,1290859000,704560000,615669000,1923105000,919542000,98574000,105844000,640672000,609108000,3606140000,4709182000,7104496000,1053158000,5324503000,1479901000,887924000,2504320000,3453994000
100,Free Cash Flow,20200000,-24400000,-78379000,-232015000,-178030000,-149665000,-450078000,-147974000,-369075000,253762000,20855000,267680000,882924000,1172199000,1058454000,1157353000,1026583000,1668450000,1030309000,1018966000,-1501109000,-7648686000,1474802000,-3316940000,1201144000,1167798000,1071728000,1945067000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001082/000104746998010660/0001047469-98-010660-index.html,https://www.sec.gov/Archives/edgar/data/1001082/000104746999010168/0001047469-99-010168-index.html,https://www.sec.gov/Archives/edgar/data/1001082/000103570400000160/0001035704-00-000160-index.html,https://www.sec.gov/Archives/edgar/data/1001082/000095013401002076/0000950134-01-002076-index.html,- -,https://www.sec.gov/Archives/edgar/data/1001082/000095013403003310/0000950134-03-003310-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013404004096/0000950134-04-004096-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013405005271/0000950134-05-005271-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013406005091/0000950134-06-005091-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013407004460/0000950134-07-004460-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000114036108004989/0001140361-08-004989-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095013409004095/0000950134-09-004095-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000095012310018671/0000950123-10-018671-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465911009436/0001104659-11-009436-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465912011853/0001104659-12-011853-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465913011967/0001104659-13-011967-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465914012023/0001104659-14-012023-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000110465915012777/0001104659-15-012777-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837016003267/0001558370-16-003267-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837017000748/0001558370-17-000748-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837018000826/0001558370-18-000826-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837019000607/0001558370-19-000607-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837020000945/0001558370-20-000945-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837021001322/0001558370-21-001322-index.htm,https://www.sec.gov/Archives/edgar/data/1001082/000155837022001816/0001558370-22-001816-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
