,https://roic.ai/company/TGNA,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39899/000095013304000855/0000950133-04-000855-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312505038875/0001193125-05-038875-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312506038810/0001193125-06-038810-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312507043708/0001193125-07-043708-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312508041403/0001193125-08-041403-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000136231009002765/0001362310-09-002765-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000095012310016360/0000950123-10-016360-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000095012311017139/0000950123-11-017139-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312512072714/0001193125-12-072714-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989913000007/0000039899-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989914000010/0000039899-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989915000006/0000039899-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989916000034/0000039899-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989917000010/0000039899-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989918000011/0000039899-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989919000011/0000039899-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989920000006/0000039899-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989921000008/0000039899-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989922000007/0000039899-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,223900000,253300000,276400000,319400000,364500000,397500000,377000000,301600000,199700000,397800000,465400000,477300000,943100000,712700000,999900000,957900000,1719077000,831200000,1160100000,1211200000,1317200000,1244700000,1160782000,1055600000,-6647600000,355300000,588200000,458700000,424300000,388700000,1062200000,459522000,436697000,273744000,405665000,286235000,482778000,476955000
74,Depreciation and Amortization,- -,90500000,103500000,143200000,161100000,177200000,190100000,194000000,199800000,197900000,209600000,208800000,210000000,287400000,301100000,310200000,280100000,375915000,443777000,222444000,231532000,244021000,276186000,276770000,285125000,262198000,242809000,214684000,197373000,194039000,189572000,265724000,262244000,204490000,136507000,86787000,110629000,134570000,127852000
75,Deferred Income Tax,- -,20400000,- -,37000000,22900000,16200000,21500000,16600000,-10800000,-17200000,20300000,-40600000,23600000,68300000,-14200000,40100000,22000000,-169290000,228568000,175144000,65434000,77974000,10713000,32010000,15488000,-816219000,54660000,150363000,97500000,122700000,53900000,1200000,100202000,16535000,-296820000,17258000,22064000,8533000,9916000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22646000,25373000,32707000,28003000,26608000,33437000,33882000,26344000,17590000,17098000,12531000,20146000,20306000,31515000
77,Change in Working Capital,- -,29100000,-2000000,69000000,-31000000,-13000000,38000000,5000000,23000000,7000000,104000000,-179000000,-82700000,6700000,69000000,61000000,13000000,-62665000,-78335000,124000000,87000000,105000000,- -,49071000,-34071000,-288000000,56000000,97000000,-72000000,-36000000,778000000,-736390000,18766000,-26869000,140064000,-45566000,80161000,-97747000,164038000
78,Accounts Receivable,- -,-42000000,-52000000,-69000000,-41000000,-20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132143000,- -,- -,33464000,35799000,-17884000,-1514000,32787000,-32046000,14541000,-5351000,-86245000,27474000,-88687000
79,Inventory,- -,-10000000,-13000000,-3000000,-8000000,-19000000,23200000,-5300000,13900000,3400000,-1700000,-100000,-47000000,16500000,-6300000,11100000,-7600000,-16091000,22457000,3647000,-14153000,-3438000,4149000,-2145000,21943000,-26856000,56768000,-10434000,22932000,-7167000,4489000,10032000,1807000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-18000000,-8000000,-38000000,-43000000,-26000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50256000,-66765000,-15199000,-12614000,-3284000,-29310000,66740000,-57643000,-1506000,-21474000,29357000,-29526000,7245000,14947000
81,Other Working Capital,- -,103000000,101000000,170000000,139000000,126000000,164000000,169000000,192000000,199000000,303000000,124000000,41300000,48000000,117000000,178000000,191000000,128335000,50000000,174000000,261000000,366000000,366000000,415071000,381000000,93000000,149000000,246000000,174000000,138000000,916000000,179610000,198376000,171507000,311571000,266005000,346166000,248419000,412457000
82,Other Non-Cash Items,- -,-2000000,900000,34600000,-17000000,-23000000,-43700000,22800000,-52400000,157600000,-61400000,259700000,-24700000,-698600000,-187500000,-440700000,-126100000,-1360710000,-106213000,-649988000,-116057000,-158420000,-99858000,-38768000,22967000,8484161000,132438000,-310070000,104560000,25093000,-932121000,194583000,-253972000,34986000,115618000,50534000,-221762000,256696000,-308664000
83,Cash Provided by Operating Activities,- -,361900000,355700000,560200000,455400000,521900000,603400000,615400000,461200000,545000000,670300000,714300000,603500000,606900000,881100000,970500000,1146900000,502327000,1318997000,1031700000,1479109000,1585775000,1431741000,1479865000,1345109000,1017186000,866580000,772884000,814136000,756740000,511488000,821199000,613106000,683429000,386211000,527209000,297473000,805136000,501612000
84,CAPEX,- -,-117100000,-202600000,-195900000,-240600000,-193100000,-216700000,-187700000,-192400000,-154100000,-132100000,-144900000,-183500000,-260000000,-221300000,-614200000,-258400000,-350580000,-324579000,-274828000,-281264000,-279790000,-262637000,-200780000,-171405000,-165000000,-67737000,-69070000,-72451000,-91874000,-110407000,-150354000,-118767000,-94796000,-76886000,-65230000,-88356000,-45499000,-63076000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-186201000,-35266000,-482650000,-169262000,-619283000,-402684000,-30581000,-168570000,-9581000,-15164000,-23020000,-28235000,-1451006000,-1990877000,-53656000,-197637000,205188000,-312098000,-1491800000,-29815000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17500000,-8100000,-16200000,-18600000,-78531000,- -,- -,-28328000,-50521000,-187218000,-338341000,-39963000,-46779000,-9674000,-10984000,-19406000,-2501000,-3380000,-7026000,-33715000,-20797000,-6405000,-11677000,-4986000,-2415000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12825000,13552000,12451000,147573000,43381000,29049000,20461000,45478000,52982000,35629000,63408000,180809000,12402000,39954000,36468000,7189000,4698000,5028000,- -
88,Other Investing Activites,- -,-35200000,-337500000,-938300000,1300000,-156100000,9300000,-42500000,133400000,29900000,18000000,80300000,-1830900000,781900000,-309000000,667300000,-1450000000,-1549852000,-4098000,-75558000,13012000,23180000,245334000,42927000,464157000,78541000,31908000,112706000,36976000,- -,113895000,305347000,411012000,- -,16454000,7400000,16974000,13180000,-6180000
89,Cash Used for Investing Activites,- -,-152300000,-540100000,-1134200000,-239300000,-349200000,-207400000,-230200000,-59000000,-124200000,-114100000,-64600000,-2014400000,504400000,-538400000,36900000,-1727000000,-1978963000,-514878000,-385652000,-766405000,-462841000,-811353000,-751305000,265589000,-272759000,-34623000,62966000,-24919000,-86981000,-1387490000,-1662101000,217276000,-273276000,174819000,-374416000,-1563470000,-59521000,-69256000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2462334000,-1206505000,-1210000000,-180000000,-336571000,-492719000,-537490000,-587509000,-437590000,-1047246000,-121146000,-710000000,-2171000000,-189000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,21200000,9900000,- -,16200000,27000000,30400000,24000000,33700000,21225000,48780000,84899000,235939000,115984000,72537000,27353000,12472000,- -,402000,3214000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,4100000,2400000,7000000,5200000,-27100000,-3100000,-117900000,-662400000,- -,- -,-395100000,- -,-1400000,- -,-329000000,-163200000,-967242000,- -,- -,- -,-1668760000,-1309477000,-215426000,-215210000,-72764000,- -,- -,-53037000,-153948000,-116639000,-75815000,-239746000,-182243000,-27412000,-8267000,-819000,-9208000,- -
93,Dividends Paid,- -,-102500000,-118700000,-135400000,-148700000,-161800000,-174100000,-192700000,-192500000,-180000000,-188400000,-194500000,-191900000,-197400000,-206600000,-218900000,-226300000,-228391000,-235472000,-247721000,-260737000,-282518000,-272885000,-280008000,-311237000,-368789000,-119328000,-38216000,-47946000,-158822000,-183233000,-181328000,-167508000,-121639000,-90170000,-60290000,-60624000,-76465000,-78465000
94,Other Financing Activites,- -,-106300000,302600000,709300000,-104000000,37900000,-212300000,-73700000,466200000,-254700000,-373000000,-85200000,1589000000,-955000000,-144800000,-470200000,915800000,2799161000,-667831000,-538960000,-712754000,773232000,823944000,-238021000,-1115636000,2187000000,492618000,493743000,-524514000,-14379000,1962604000,1285097000,175097000,279039000,625679000,44731000,1930982000,1522622000,-148870000
95,Cash Used/Provided by Financing Activities,- -,-204700000,186300000,580900000,-247500000,-151000000,-389500000,-384300000,-388700000,-413500000,-551500000,-674800000,1413300000,-1126800000,-321000000,-994100000,560000000,1624753000,-854523000,-701782000,-737552000,-1062062000,-685881000,-706102000,-1629611000,-716887000,-832813000,-751259000,-805497000,-663720000,1170013000,490464000,-819666000,-462433000,-539149000,-144972000,1159539000,-734051000,-416335000
96,Effect of Forex Changes on Cash,- -,-400000,-500000,100000,300000,100000,400000,-200000,1000000,-4500000,-2600000,-6100000,400000,-200000,- -,- -,100000,-1081000,-2163000,5479000,1662000,7814000,-1578000,2995000,1906000,-5840000,702000,-372000,192000,2065000,162000,-281000,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,4400000,1400000,7100000,-31000000,21800000,-389500000,-384300000,-388700000,-413500000,-551500000,-674800000,1413300000,-1126800000,-321000000,-994100000,-20000000,147036000,-52567000,-50255000,-23186000,68686000,-67071000,25453000,-17007000,21700000,-154000,84219000,-16088000,8104000,294173000,-350719000,10716000,-52280000,21881000,7821000,-106458000,11564000,16021000
98,Cash at the End of Period,- -,12400000,23400000,42100000,7000000,36800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46200000,193196000,140629000,90374000,67188000,135874000,68803000,94256000,77249000,98949000,98795000,183014000,166926000,175030000,469203000,118484000,129200000,76920000,98801000,135862000,29404000,40968000,56989000
99,Cash at the Beginning of Period,- -,8000000,22000000,35000000,38000000,15000000,48700000,55600000,56200000,70700000,73300000,75500000,44300000,47000000,31200000,52800000,66200000,46160000,193196000,140629000,90374000,67188000,135874000,68803000,94256000,77249000,98949000,98795000,183014000,166926000,175030000,469203000,118484000,129200000,76920000,128041000,135862000,29404000,40968000
100,Free Cash Flow,- -,244800000,153100000,364300000,214800000,328800000,386700000,427700000,268800000,390900000,538200000,569400000,420000000,346900000,659800000,356300000,888500000,151747000,994418000,756872000,1197845000,1305985000,1169104000,1279085000,1173704000,852186000,798843000,703814000,741685000,664866000,401081000,670845000,494339000,588633000,309325000,461979000,209117000,759637000,438536000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39899/000095013304000855/0000950133-04-000855-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312505038875/0001193125-05-038875-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312506038810/0001193125-06-038810-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312507043708/0001193125-07-043708-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312508041403/0001193125-08-041403-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000136231009002765/0001362310-09-002765-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000095012310016360/0000950123-10-016360-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000095012311017139/0000950123-11-017139-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000119312512072714/0001193125-12-072714-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989913000007/0000039899-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989914000010/0000039899-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989915000006/0000039899-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989916000034/0000039899-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989917000010/0000039899-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989918000011/0000039899-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989919000011/0000039899-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989920000006/0000039899-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989921000008/0000039899-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/39899/000003989922000007/0000039899-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
