,https://roic.ai/company/JWN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,42000000,50000000,53000000,58000000,68000000,70000000,91000000,77000000,90000000,69000000,67000000,79000000
77,Change in Working Capital,- -,- -,- -,- -,-63600000,- -,- -,- -,- -,707200000,73300000,-35500000,-92600000,259500000,-213800000,164314000,244446000,95667000,203354000,-174681000,19700000,58200000,416900000,-110000000,424000000,905000000,40000000,-130000000,-168000000,-263000000,-2321000000,110000000,1000000,-221000000,-283000000,-188000000,336000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-159000000,-74000000,-98000000,-113000000,-93000000,-161000000,-56000000,-3000000,1000000,-4000000,82000000,-46000000,-10000000
79,Inventory,- -,- -,- -,- -,-16200000,-28400000,-58300000,-30100000,-48900000,-42300000,1600000,-93600000,-106100000,75800000,-47600000,-128744000,215731000,-117379000,28213000,-11771000,-20804000,-38649000,- -,53000000,-1000000,-80000000,-137000000,-170000000,-157000000,-176000000,-203000000,31000000,-62000000,15000000,30000000,53000000,-383000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168000000,72000000,54000000,48000000,167000000,15000000,-2000000,16000000,77000000,12000000,98000000,432000000,-400000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,707200000,780500000,745000000,652400000,911900000,698100000,862414000,1106860000,1202527000,1405881000,1231200000,1250900000,1309100000,1726000000,1616000000,2040000000,2945000000,2985000000,2855000000,2687000000,2424000000,103000000,213000000,214000000,-7000000,-290000000,-478000000,-142000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-53300000,-77800000,-3800000,18200000,-805700000,-250800000,-19200000,47100000,-42600000,202000000,-278449000,-180260000,-125161000,-127968000,162676000,-26208000,216212000,-1161900000,312000000,141000000,-712000000,19000000,1000000,230000000,180000000,3384000000,463000000,208000000,228000000,48000000,-373000000,-628000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,122200000,148100000,154000000,235600000,262100000,215300000,121900000,248900000,300400000,600800000,378100000,179733000,413717000,278672000,573225000,606346000,776232000,1142365000,161000000,848000000,1251000000,1177000000,1177000000,1110000000,1320000000,1220000000,2451000000,1648000000,1400000000,1296000000,1236000000,-348000000,705000000
84,CAPEX,- -,- -,- -,- -,-168500000,-199400000,-145800000,-70000000,-124400000,-232100000,-252900000,-204300000,-259900000,-290600000,-305100000,-321454000,-390138000,-328166000,-258314000,-246851000,-271659000,-264437000,-501000000,-563000000,-360000000,-399000000,-511000000,-513000000,-803000000,-861000000,-1082000000,-846000000,-731000000,-654000000,-935000000,-385000000,-506000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83828000,- -,- -,- -,- -,- -,- -,216000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3232250000,-542925000,-109550000,- -,- -,-182000000,-66000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3366425000,530750000,163550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-200000,-1300000,-1400000,-1900000,-8300000,1700000,-1100000,-1800000,- -,23000000,105600000,86759000,123074000,44160000,49458000,2643000,-8259000,-7843000,15000000,-229000000,-359000000,-396000000,-728000000,-369000000,-822000000,-889000000,-144000000,-791000000,-684000000,-653000000,-909000000,-347000000,-521000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-168700000,-200700000,-147200000,-71900000,-132700000,-230400000,-254000000,-206100000,-259900000,-267600000,-199500000,-318523000,-267064000,-284006000,-208856000,-110033000,-292093000,-218280000,-270000000,-792000000,-541000000,-462000000,-728000000,-369000000,-822000000,-889000000,-144000000,-791000000,-684000000,-653000000,-909000000,-347000000,-521000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000000,-356000000,-36000000,-506000000,-407000000,-7000000,-347000000,-10000000,-661000000,-56000000,-500000000,-804000000,-1100000000
91,Common Stock Issued,- -,- -,- -,- -,1200000,1800000,2400000,2400000,1900000,6000000,5100000,15000000,17700000,15500000,9600000,6250000,10542000,14663000,57459000,99953000,88623000,67200000,51000000,30000000,13000000,13000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000000,-71800000,-160800000,-346100000,-303000000,-85509000,-1310000,- -,- -,-300000000,-287080000,-621527000,-1702000000,-264000000,- -,-84000000,-840000000,-725000000,-515000000,-610000000,-1192000000,-277000000,-211000000,-678000000,-210000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-22800000,-24500000,-25400000,-26200000,-27900000,-31600000,-41000000,-40500000,-41200000,-44100000,-44500000,-45935000,-48265000,-51322000,-55853000,-67240000,-87196000,-110158000,-134000000,-138000000,-139000000,-167000000,-197000000,-220000000,-234000000,-251000000,-1185000000,-256000000,-247000000,-250000000,-229000000,-58000000,- -
94,Other Financing Activites,- -,- -,- -,- -,85100000,66900000,6200000,-125500000,-41300000,-18000000,210000000,58300000,140400000,258100000,-55100000,262201000,198448000,-81005000,-109095000,-208684000,-96453000,-319697000,1849000000,30000000,439000000,590000000,995000000,118000000,567000000,170000000,185000000,98000000,577000000,117000000,508000000,1392000000,542000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,63500000,44200000,-16800000,-149300000,-67300000,-43600000,124100000,-39000000,-43900000,-116600000,-393000000,137007000,159415000,-117664000,-107489000,-475971000,-382106000,-984182000,64000000,-342000000,13000000,-4000000,-78000000,-1333000000,-589000000,-698000000,-2539000000,-445000000,-542000000,-867000000,-431000000,530000000,-544000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,1000000
97,Net Change In Cash,- -,- -,- -,- -,63500000,44200000,-16800000,-149300000,-67300000,-43600000,124100000,-39000000,-43900000,-116600000,-214400000,-1783000,306068000,-122998000,256880000,20342000,102033000,-60097000,-45000000,-286000000,723000000,711000000,371000000,-592000000,-91000000,-367000000,-232000000,412000000,174000000,-224000000,-104000000,-172000000,-359000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,25259000,331327000,208329000,476224000,360623000,462656000,402559000,358000000,72000000,795000000,1506000000,1877000000,1285000000,1194000000,827000000,595000000,1007000000,1181000000,957000000,853000000,681000000,322000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,16100000,33100000,24700000,14700000,29100000,91200000,32500000,24500000,28300000,24800000,241400000,27042000,25259000,331327000,219344000,340281000,360623000,462656000,403000000,358000000,72000000,795000000,1506000000,1877000000,1285000000,1194000000,827000000,595000000,1007000000,1181000000,957000000,853000000,681000000
100,Free Cash Flow,- -,- -,- -,- -,-46300000,-51300000,8200000,165600000,137700000,-16800000,-131000000,44600000,40500000,310200000,73000000,-141721000,23579000,-49494000,314911000,359495000,504573000,877928000,-340000000,285000000,891000000,778000000,666000000,597000000,517000000,359000000,1369000000,802000000,669000000,642000000,301000000,-733000000,199000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72333/000007233395000004/0000072333-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233396000002/0000072333-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233397000007/0000072333-97-000007-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/72333/000089102000000775/0000891020-00-000775-index.html,https://www.sec.gov/Archives/edgar/data/72333/000109581101501149/0001095811-01-501149-index.html,https://www.sec.gov/Archives/edgar/data/72333/000089102002000499/0000891020-02-000499-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/72333/000089102005000104/v07697e10vk.htm,https://www.sec.gov/Archives/edgar/data/72333/000095012406001459/v18665e10vk.htm,https://www.sec.gov/Archives/edgar/data/72333/000095013407006483/v28408e10vk.htm,https://www.sec.gov/Archives/edgar/data/72333/000095013408005196/v39073e10vk.htm,https://www.sec.gov/Archives/edgar/data/72333/000095013409005871/0000950134-09-005871-index.html,https://www.sec.gov/Archives/edgar/data/72333/000095012310026782/0000950123-10-026782-index.html,https://www.sec.gov/Archives/edgar/data/72333/000119312511071211/d10k.htm,https://www.sec.gov/Archives/edgar/data/72333/000119312512119641/0001193125-12-119641-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233313000039/0000072333-13-000039-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233314000036/jwn-212014x10k.htm,https://www.sec.gov/Archives/edgar/data/72333/000007233315000041/jwn-1312015x10k.htm,https://www.sec.gov/Archives/edgar/data/72333/000007233316000260/0000072333-16-000260-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233317000071/0000072333-17-000071-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233318000049/0000072333-18-000049-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233319000060/0000072333-19-000060-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233320000078/0000072333-20-000078-index.html,https://www.sec.gov/Archives/edgar/data/72333/000007233321000099/0000072333-21-000099-index.htm,https://www.sec.gov/Archives/edgar/data/72333/000007233322000060/0000072333-22-000060-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
