,https://roic.ai/company/GATX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,- -,24500000,-169100000,-66400000,81700000,-95000000,135600000,78800000,-67700000,-37900000,3200000,339700000,495800000,-55900000,-412900000,-592200000,270900000,328400000,-441100000,7900000,-23100000,66000000,237500000,-311300000,451900000,-280100000,42300000,63500000,-83100000,-332400000,150700000,100800000,23500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900000,-8700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17200000,-16500000,-6700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,465400000,296300000,229900000,311600000,216600000,352200000,431000000,363300000,325400000,328600000,668300000,1164100000,1108200000,695300000,103100000,374000000,702400000,261300000,269200000,246100000,312100000,549600000,238300000,690200000,410100000,452400000,515900000,432800000,100400000,251100000,351900000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,182700000,432300000,456900000,214200000,94400000,-219100000,-111600000,139700000,-61200000,-170400000,-317800000,-855800000,-3500000,381300000,476500000,-148000000,-380900000,318300000,-116700000,-44200000,-143800000,-310900000,270400000,-555000000,161900000,-118400000,-93300000,5800000,255800000,-285700000,-211300000,-89400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,171800000,202400000,211300000,229600000,265400000,205100000,297500000,291400000,339100000,354800000,450100000,355700000,439700000,408300000,301500000,284800000,293300000,339800000,364000000,265400000,242100000,306800000,370200000,400700000,449200000,534300000,626100000,496800000,508500000,462600000,428300000,507200000
84,CAPEX,- -,- -,- -,- -,- -,-503300000,-460100000,-210700000,-292900000,-1324600000,-777600000,-812500000,-898400000,-1454100000,-1559000000,-1474300000,-841000000,-910600000,-665200000,-705100000,-416600000,- -,- -,-597400000,-409300000,-525500000,-527500000,-740600000,-805500000,-1165700000,-799800000,-712800000,-678600000,-995900000,-742700000,-860800000,-1130100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59800000,- -,-64700000,-116200000,-29700000,-101300000,-15300000,-15500000,-25000000,-36600000,-14100000,- -,-203200000,-1800000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29500000,-49700000,-92800000,-306100000,-147200000,-186400000,-819900000,-347600000,-145700000,-151100000,-38300000,-272500000,- -,- -,- -,-81400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,155000000,141200000,146900000,142600000,254100000,240200000,615100000,282000000,575500000,- -,- -,- -,39200000,249500000,- -,- -,156100000,67900000,84300000,154100000,288900000,385300000,264000000,482200000,223700000,165600000,234400000,250300000,131100000,187100000
88,Other Investing Activites,- -,- -,- -,- -,- -,291100000,147400000,-64800000,42100000,111400000,347500000,71500000,374300000,790200000,534400000,744800000,632900000,684700000,713100000,430900000,422800000,-876400000,-368400000,17400000,114600000,88200000,31600000,137800000,118300000,38500000,25500000,119200000,121300000,99500000,52700000,268900000,27100000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-212200000,-312700000,-120500000,-109600000,-367500000,-337200000,-579700000,-590000000,-196000000,-929000000,-973900000,-555700000,-371600000,-103200000,-273300000,-16800000,-876400000,-368400000,-483700000,-308200000,-417700000,-458000000,-343600000,-403200000,-878500000,-307600000,-394900000,-428300000,-676100000,-439700000,-664000000,-917700000
90,Debt Repayment,- -,- -,- -,- -,- -,-279100000,-108500000,-290500000,-280000000,-139400000,-233400000,-297700000,-410500000,-377000000,-413300000,-1087900000,-1019400000,-1210000000,-1082000000,-500500000,-736400000,-416600000,-211200000,-218300000,-546000000,-357000000,-331300000,-674200000,-605200000,-822400000,-729000000,-803600000,-705400000,-634000000,-421300000,-1100000000,-884000000
91,Common Stock Issued,- -,- -,- -,- -,- -,600000,3300000,1200000,4700000,4600000,5500000,3100000,12400000,9000000,- -,1587400000,- -,8400000,3800000,5800000,23600000,31300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27300000,-20100000,- -,- -,- -,- -,- -,- -,-300200000,-76500000,-55100000,- -,- -,- -,-68600000,-124600000,-125400000,-120100000,-100000000,-115500000,-150000000,- -,-13100000
93,Dividends Paid,- -,- -,- -,- -,- -,-39200000,-36500000,-38600000,-40700000,-43100000,-45300000,-48000000,-49400000,-49300000,-54300000,-57400000,-60200000,-62500000,-62800000,-39400000,-40000000,-43400000,-47600000,-51700000,-53600000,-53500000,-56000000,-58800000,-60500000,-62000000,-68200000,-67400000,-68200000,-69300000,-69300000,-71000000,-74300000
94,Other Financing Activites,- -,- -,- -,- -,- -,414000000,201100000,234900000,199300000,281100000,412800000,636200000,777700000,290900000,1077100000,180200000,580900000,1221600000,814900000,158200000,519900000,541300000,312500000,468600000,636800000,623100000,710500000,693100000,883400000,1271200000,693600000,866200000,789700000,797400000,662500000,1548400000,1434500000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,96300000,59400000,-93000000,-116700000,103200000,139600000,293600000,330200000,-126400000,582200000,602200000,-498700000,-42500000,-326100000,-375900000,-232900000,112600000,-246500000,122100000,-17900000,212600000,323200000,-39900000,149100000,262200000,-229000000,-124900000,-83900000,-21400000,21900000,377400000,463100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10700000,- -,- -,1400000,2900000,-1400000,2000000,1500000,-4600000,200000,-200000,-2100000,-900000,-1100000,-2700000,-5200000,-1200000,4000000,-4000000,-500000,-100000,-1800000
97,Net Change In Cash,- -,- -,- -,- -,- -,96300000,59400000,-93000000,-116700000,1100000,7500000,11400000,31600000,16700000,8000000,89100000,-498700000,14700000,-19600000,-375900000,42600000,90200000,-91800000,-2200000,-60500000,36800000,169900000,-14200000,145500000,-169800000,-7500000,105100000,-11400000,-193000000,44300000,141600000,51900000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,27300000,34800000,46200000,77800000,94500000,102500000,83600000,- -,231100000,211500000,- -,106000000,196200000,104400000,102200000,41700000,78500000,248400000,234200000,379700000,209900000,202400000,307500000,299700000,106700000,151000000,292600000,344500000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,20100000,76000000,25100000,22900000,26200000,27300000,34800000,46200000,77800000,94500000,-5500000,- -,216400000,231100000,- -,63400000,106000000,196200000,104400000,102200000,41700000,78500000,248400000,234200000,379700000,209900000,202400000,311100000,299700000,106700000,151000000,292600000
100,Free Cash Flow,- -,- -,- -,- -,- -,-331500000,-257700000,600000,-63300000,-1059200000,-572500000,-515000000,-607000000,-1115000000,-1204200000,-1024200000,-485300000,-470900000,-256900000,-403600000,-131800000,293300000,339800000,-233400000,-143900000,-283400000,-220700000,-370400000,-404800000,-716500000,-265500000,-86700000,-181800000,-487400000,-280100000,-432500000,-622900000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40211/0000040211-94-000003-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021195000001/0000040211-95-000001-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021196000002/0000040211-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021197000009/0000040211-97-000009-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40211/000095013701000962/0000950137-01-000962-index.html,https://www.sec.gov/Archives/edgar/data/40211/000095013702001493/0000950137-02-001493-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40211/000095013708003102/c22861e10vk.htm,https://www.sec.gov/Archives/edgar/data/40211/000095013709001303/0000950137-09-001303-index.html,https://www.sec.gov/Archives/edgar/data/40211/000095012310017129/0000950123-10-017129-index.html,https://www.sec.gov/Archives/edgar/data/40211/000095012311017209/c61268e10vk.htm,https://www.sec.gov/Archives/edgar/data/40211/000119312512077477/0001193125-12-077477-index.html,https://www.sec.gov/Archives/edgar/data/40211/000144530513000340/0001445305-13-000340-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021114000010/gmt20131231-10k.htm,https://www.sec.gov/Archives/edgar/data/40211/000004021115000009/gmt20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/40211/000004021116000064/0000040211-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021117000012/0000040211-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021118000023/0000040211-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021119000020/0000040211-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/40211/000004021120000017/0000040211-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/40211/000004021121000018/0000040211-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/40211/000004021122000023/0000040211-22-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
