,https://roic.ai/company/AMAT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,51500000,34100000,26200000,39500000,99700000,220700000,454100000,600000000,498000000,231000000,746700000,2064000000,508000000,269000000,-149000000,1351303000,1210000000,1517000000,1710000000,961000000,-305000000,937866000,1926000000,109000000,256000000,1072000000,1377000000,1721000000,3519000000,3038000000,2706000000,3619000000,5888000000
74,Depreciation and Amortization,- -,- -,- -,- -,11700000,16000000,24500000,28900000,38900000,59100000,83200000,148900000,219400000,284500000,275400000,361970000,386971000,387526000,384391000,356985000,300584000,270413000,268334000,320051000,291203000,304515000,246000000,422000000,410000000,375000000,371000000,389000000,407000000,457000000,363000000,376000000,394000000
75,Deferred Income Tax,- -,- -,- -,- -,-3200000,-6400000,-1000000,-9800000,-23000000,-32700000,-99300000,-85900000,-52500000,-49400000,10300000,-237262000,88230000,-161000,-208565000,78927000,20310000,25323000,31642000,-58259000,18863000,-186057000,122000000,161000000,-91000000,36000000,-134000000,21000000,-11000000,94000000,49000000,80000000,80000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147160000,126070000,146000000,182000000,162000000,177000000,187000000,201000000,220000000,258000000,263000000,307000000,346000000
77,Change in Working Capital,- -,- -,- -,- -,-44700000,-28300000,62500000,99400000,61800000,338700000,715800000,308100000,610000000,33000000,990100000,2687900000,170000000,323000000,158000000,1263538000,-309538000,-4039000000,588000000,-515000000,32000000,127439000,3683561000,-4724000000,362000000,945000000,1319000000,-742000000,4082000000,-2121000000,-923000000,3151000000,-1344000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,586993000,-766937000,292000000,493000000,-404000000,-21000000,-61000000,-542000000,-37000000,-226000000,-207000000,-427000000,-1989000000
79,Inventory,- -,- -,- -,- -,-26400000,-19900000,-2300000,-6200000,-42700000,-80500000,-186400000,-60000000,-171200000,133800000,-48400000,-788590000,321164000,147015000,331161000,-187925000,130924000,-222335000,140933000,-638256000,359560000,144626000,-163000000,679000000,-141000000,-154000000,-266000000,-216000000,-879000000,-792000000,248000000,-421000000,-405000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-660006000,469049000,- -,-435000000,78000000,79000000,-133000000,107000000,245000000,179000000,-247000000,327000000,465000000
81,Other Working Capital,- -,- -,- -,- -,200000000,171700000,234200000,333600000,395400000,734100000,1449900000,1758000000,2368000000,2401000000,3391100000,6079000000,6249000000,6572000000,6730000000,7993538000,7684000000,3645000000,4233000000,3718000000,3750000000,3877439000,7561000000,2837000000,3199000000,4144000000,5463000000,4721000000,8803000000,6682000000,5759000000,8910000000,755000000
82,Other Non-Cash Items,- -,- -,- -,- -,100000,27000000,-73200000,-98800000,-60400000,-474800000,-1011100000,-279100000,-573200000,317300000,-1089200000,-3224793000,427103000,-487227000,616928000,-1423482000,25784000,4161991000,-388680000,1002676000,148439000,413020000,-3697561000,5701000000,-476000000,-805000000,-1957000000,876000000,-4608000000,2061000000,789000000,-3729000000,78000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,15400000,42400000,39000000,59200000,117000000,111000000,142700000,692000000,701700000,816400000,933300000,1651815000,1580304000,492138000,801754000,1627271000,1247140000,1935727000,2209296000,1710468000,332665000,1722853000,2426000000,1851000000,623000000,1800000000,1163000000,2466000000,3609000000,3787000000,3247000000,3804000000,5442000000
84,CAPEX,- -,- -,- -,- -,-42900000,-111100000,-67500000,-66600000,-99400000,-180400000,-265600000,-452500000,-339400000,-448600000,-204000000,-383255000,-710620000,-417080000,-265280000,-190577000,-199650000,-179482000,-264784000,-287906000,-248427000,-169081000,-209000000,-162000000,-197000000,-241000000,-215000000,-253000000,-345000000,-622000000,-441000000,-422000000,-668000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-246300000,- -,-36500000,- -,-21017000,-107462000,-13498000,-7400000,-101793000,-339093000,-599653000,-235324000,- -,-322599000,- -,-4190000000,-1000000,-12000000,-4000000,-16000000,-68000000,-6000000,-28000000,-107000000,-12000000
86,Purchases of Investments,- -,- -,- -,- -,-100600000,-36500000,-42700000,-82600000,-239000000,- -,-572700000,-857900000,-1125400000,-872800000,-1710700000,-2637438000,-2905680000,-2356157000,-2446927000,-3535327000,-3123366000,-821505000,-3203427000,-5534475000,-956249000,-1777736000,-1137000000,-1327000000,-607000000,-811000000,-1162000000,-1390000000,-4856000000,-2077000000,-1914000000,-1355000000,-2007000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,93500000,71300000,42700000,34400000,155700000,151300000,351200000,707600000,664200000,779400000,961900000,2008257000,2054004000,2188117000,1941111000,3380542000,3245686000,3312388000,3053640000,5939509000,1317365000,1407804000,1926000000,1019000000,1013000000,878000000,1100000000,1234000000,2743000000,3276000000,1940000000,1754000000,1471000000
88,Other Investing Activites,- -,- -,- -,- -,3800000,4900000,4800000,5600000,-1900000,-266800000,100000,- -,- -,-32300000,- -,- -,- -,- -,53321000,- -,- -,18069000,37611000,42210000,-248427000,-169081000,-79000000,-162000000,-190000000,-216000000,-215000000,-253000000,-345000000,-622000000,-441000000,-422000000,-668000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-46200000,-71400000,-62700000,-109200000,-184600000,-295900000,-487000000,-602800000,-1046900000,-574300000,-989300000,-1012436000,-1583313000,-692582000,-731273000,-352762000,-179123000,1990377000,-976613000,-75986000,112689000,-861612000,710000000,-4660000000,215000000,-161000000,-281000000,-425000000,-2526000000,571000000,-443000000,-130000000,-1216000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-750000,-6441000,- -,-1000000,- -,- -,- -,-1207000000,-205000000,- -,- -,-2882000000,- -
91,Common Stock Issued,- -,- -,- -,- -,5000000,4500000,6500000,102600000,21600000,134300000,370400000,40400000,150400000,94600000,359200000,276358000,202379000,199486000,322721000,396610000,266115000,337106000,898025000,393978000,61824000,128832000,95000000,97000000,182000000,137000000,88000000,88000000,97000000,124000000,145000000,174000000,175000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37100000,-78200000,-153300000,-42100000,-177154000,-371400000,-124995000,-249937000,-650000000,-1677511000,-4157725000,-1331997000,-1499984000,-22906000,-350000000,-468000000,-1416000000,-245000000,- -,-1325000000,-1892000000,-1172000000,-5283000000,-2403000000,-649000000,-3750000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98040000,-250782000,-305672000,-325405000,-319507000,-348522000,-397000000,-434000000,-456000000,-485000000,-487000000,-444000000,-430000000,-605000000,-771000000,-787000000,-838000000
94,Other Financing Activites,- -,- -,- -,- -,24700000,24400000,87400000,-19100000,6200000,89900000,102500000,27100000,318500000,-64300000,-16600000,49938000,-91604000,56351000,-64405000,-105414000,-61715000,15954000,-152345000,5374000,- -,- -,1730000000,- -,- -,- -,2637000000,23000000,2231000000,-164000000,-86000000,2807000000,-178000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,29700000,28900000,93900000,83500000,27800000,224200000,472900000,30400000,390700000,-123000000,300500000,149142000,-260625000,130842000,8379000,-358804000,-1571151000,-4055447000,-891989000,-1426037000,-281339000,-576131000,960000000,-1754000000,-519000000,-348000000,913000000,-3432000000,521000000,-5928000000,-3115000000,-1337000000,-4591000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,300000,-300000,-2100000,800000,-100000,1400000,-3000000,-1600000,-1400000,8000000,3400000,-9038000,-27666000,-1911000,1206000,1282000,184000,464000,565000,457000,742000,-3827000,6000000,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,29700000,28900000,93900000,83500000,27800000,40700000,125500000,118100000,44100000,127200000,248100000,779483000,-291300000,-71513000,80066000,916987000,-502950000,-128879000,341259000,208902000,164757000,281283000,4102000000,-4568000000,319000000,1291000000,1795000000,-1391000000,1604000000,-1570000000,-311000000,2337000000,-365000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,160300000,285800000,403900000,448000000,575200000,823300000,1647604000,1356304000,1284791000,1364857000,2281844000,990342000,861463000,1202722000,1411624000,1576381000,1857664000,5960000000,1392000000,1711000000,3002000000,4797000000,3406000000,5010000000,3440000000,3129000000,5466000000,5101000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,58200000,57400000,57100000,125200000,159500000,119600000,160300000,285800000,403900000,448000000,575200000,868121000,1647604000,1356304000,1284791000,1364857000,1493292000,990342000,861463000,1202722000,1411624000,1576381000,1858000000,5960000000,1392000000,1711000000,3002000000,4797000000,3406000000,5010000000,3440000000,3129000000,5466000000
100,Free Cash Flow,- -,- -,- -,- -,-27500000,-68700000,-28500000,-7400000,17600000,-69400000,-122900000,239500000,362300000,367800000,729300000,1268560000,869684000,75058000,536474000,1436694000,1047490000,1756245000,1944512000,1422562000,84238000,1553772000,2217000000,1689000000,426000000,1559000000,948000000,2213000000,3264000000,3165000000,2806000000,3382000000,4774000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6951/000089161894000267/0000891618-94-000267-index.html,https://www.sec.gov/Archives/edgar/data/6951/000089161896000013/0000891618-96-000013-index.html,https://www.sec.gov/Archives/edgar/data/6951/000089161897000148/0000891618-97-000148-index.html,https://www.sec.gov/Archives/edgar/data/6951/0000891618-98-000207-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6951/000000695102000002/0000006951-02-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/6951/000089161804000093/f95058e10vk.htm,https://www.sec.gov/Archives/edgar/data/6951/000095013404019339/f03874e10vk.htm,https://www.sec.gov/Archives/edgar/data/6951/000095013405023162/f15204e10vk.htm,https://www.sec.gov/Archives/edgar/data/6951/000089161806000507/f25754e10vk.htm,https://www.sec.gov/Archives/edgar/data/6951/000089161807000682/0000891618-07-000682-index.html,https://www.sec.gov/Archives/edgar/data/6951/000095013408022104/0000950134-08-022104-index.html,https://www.sec.gov/Archives/edgar/data/6951/000095012309070205/0000950123-09-070205-index.html,https://www.sec.gov/Archives/edgar/data/6951/000095012310112754/0000950123-10-112754-index.html,https://www.sec.gov/Archives/edgar/data/6951/000119312511332050/0001193125-11-332050-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695112000018/0000006951-12-000018-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695113000044/0000006951-13-000044-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695114000037/0000006951-14-000037-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695115000034/0000006951-15-000034-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695116000068/0000006951-16-000068-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695117000038/0000006951-17-000038-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695118000041/0000006951-18-000041-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695119000046/0000006951-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/6951/000000695120000048/0000006951-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/6951/000000695121000043/0000006951-21-000043-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
