,https://roic.ai/company/EHC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-14300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-12900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,-1300000,800000,-4400000,6400000,5400000,900000,6300000,7500000,6600000,-6100000,13600000,14900000
81,Other Working Capital,- -,- -,- -,- -,71900000,110600000,165500000,170100000,171600000,218681000,327474000,543975000,566751000,945927000,852711000,1048204000,1377459000,-492900000,165636000,13355000,-235569000,-381300000,-333100000,-63500000,34800000,46900000,77800000,335900000,268800000,322300000,172300000,178900000,184700000,-10400000,34800000,231300000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,14700000,-14200000,-40100000,17700000,87200000,-42645000,-92593000,-272154000,-200066000,-90783000,352812000,-134489000,-428744000,1934753000,204795000,546515000,470849000,450631000,-564200000,-395500000,124600000,65600000,-32500000,-240900000,87900000,-59600000,158700000,18400000,88000000,388700000,-141700000,-100900000,104400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,3600000,28100000,25700000,31200000,52300000,132050000,217282000,367656000,415848000,636132000,704511000,796764000,670394000,- -,603413000,413915000,1561000,-120400000,230700000,227200000,406100000,331000000,342700000,411500000,470300000,444900000,484800000,605500000,657200000,762400000,635300000,704700000,715800000
84,CAPEX,- -,- -,- -,- -,-20000000,-37500000,-72000000,-86200000,-110800000,-182882000,-260201000,-347408000,-408028000,-762627000,-507255000,-666930000,-480506000,- -,-146941000,-178491000,-94045000,-99200000,-39400000,-74200000,-72600000,-70900000,-109100000,-159700000,-216500000,-187900000,-156500000,-202900000,-245000000,-270500000,-404100000,-408200000,-551200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85967000,-463105000,-91391000,-270218000,-729440000,-104304000,-74137000,-5032000,- -,- -,-744000,- -,- -,- -,-14600000,- -,-34100000,-4900000,-3100000,-18100000,-694800000,-985100000,-48100000,-38800000,-143900000,-231500000,-1100000,-118600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-26300000,-4900000,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68127000,-91240000,-104200000,-23000000,-4800000,-10200000,-70700000,-19300000,-9100000,-9200000,-3500000,-7100000,-1300000,-8500000,-13300000,-32900000,-8700000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1800000,1700000,11300000,14000000,12100000,1660000,21097000,317000,773000,18340000,1300000,3392000,- -,- -,3698000,- -,70302000,64800000,66400000,12400000,5600000,10400000,1200000,300000,16900000,300000,12800000,- -,- -,11600000,17600000,12600000,- -
88,Other Investing Activites,- -,- -,- -,- -,-42400000,-23100000,-60600000,-64500000,-428100000,-26934000,-117729000,-187307000,982100000,-356147000,-37740000,-102920000,45724000,- -,-192249000,-136970000,10685000,197900000,1180500000,41200000,-128400000,-31500000,98700000,-26100000,-20600000,-8000000,-22000000,-17900000,-11400000,-24400000,-38200000,-14300000,-18800000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-60600000,-58900000,-147600000,-141600000,-532800000,-234816000,-705557000,-451343000,366514000,-1781459000,-614859000,-757304000,-399340000,- -,-188551000,-205841000,-104298000,59300000,1184500000,-40000000,-133000000,-125900000,-24600000,-178800000,-226200000,-876900000,-1129800000,-245000000,-284500000,-424500000,-657400000,-407500000,-666300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-462481000,-416888000,-104262000,-2534813000,-2309163000,-470621000,-1495993000,-2037747000,- -,-118550000,-389936000,- -,- -,- -,- -,-483200000,-788200000,-824100000,-423300000,-224600000,-468700000,-1343400000,-528400000,-475500000,-428500000,-1159000000,-1115800000,-331300000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,14428000,338887000,32807000,59024000,60204000,4371000,14788000,31809000,- -,- -,- -,13984000,400000000,- -,150200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17890000,-256691000,-2020000,- -,- -,- -,-159000,-44000,- -,- -,- -,- -,- -,- -,-46000000,-236900000,-43100000,-45300000,-65600000,-38100000,- -,-45900000,-6100000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15700000,-26000000,-26000000,-58700000,-60400000,-26000000,-24600000,-38700000,-72100000,-80300000,-83800000,-91500000,-100800000,-108700000,-111900000,-112400000
94,Other Financing Activites,- -,- -,- -,- -,69700000,64200000,142800000,98300000,464000000,548437000,593239000,154563000,1691429000,3388011000,623862000,1494682000,1831150000,- -,8212000,165366000,-187772000,-459600000,-1410600000,-300200000,317600000,610900000,513700000,363900000,187800000,1018100000,2108900000,296200000,246300000,208100000,1361800000,1087900000,203600000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,69700000,64200000,142800000,98300000,463100000,100384000,515238000,83108000,-784360000,1121162000,-99079000,11457000,-174788000,- -,-110338000,-224729000,-173832000,-75300000,-1436600000,-176000000,-224300000,-237700000,-336400000,-130000000,-312400000,434200000,639900000,-381600000,-358800000,-321200000,48200000,-145900000,-240100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3637000,- -,- -,- -,- -,- -,- -,-50000,1251000,-1248000,100000,100000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,69700000,64200000,142800000,98300000,463100000,-2382000,26963000,-4216000,-1998000,-24165000,-9427000,50917000,96266000,- -,382054000,-15404000,-277817000,-136300000,-21300000,12000000,48800000,-32600000,-18300000,102700000,-68300000,2200000,-5100000,-21100000,13900000,16700000,26100000,151300000,-190600000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,65949000,104896000,148028000,148073000,138827000,129400000,180317000,276583000,- -,472781000,453769000,175497000,40600000,19800000,32200000,80900000,48400000,30100000,132800000,64500000,66700000,61600000,40500000,54400000,133500000,159600000,310900000,120300000
99,Cash at the Beginning of Period,- -,- -,- -,- -,15800000,28600000,62100000,82900000,70800000,68331000,77933000,152244000,150071000,162992000,138827000,129400000,180317000,- -,90727000,469173000,453314000,176900000,41100000,20200000,32100000,81000000,48400000,30100000,132800000,64500000,66700000,61600000,40500000,116800000,133500000,159600000,310900000
100,Free Cash Flow,- -,- -,- -,- -,-16400000,-9400000,-46300000,-55000000,-58500000,-50832000,-42919000,20248000,7820000,-126495000,197256000,129834000,189888000,- -,456472000,235424000,-92484000,-219600000,191300000,153000000,333500000,260100000,233600000,251800000,253800000,257000000,328300000,402600000,412200000,491900000,231200000,296500000,164600000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785161/000100515096000062/0001005150-96-000062-index.html,https://www.sec.gov/Archives/edgar/data/785161/000100515097000195/0001005150-97-000195-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785161/000100515001000286/0001005150-01-000286-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785161/000119312505235488/d10k.htm,https://www.sec.gov/Archives/edgar/data/785161/000119312506065473/d10k.htm,https://www.sec.gov/Archives/edgar/data/785161/000116923207001180/form_10k-2006.htm,https://www.sec.gov/Archives/edgar/data/785161/000137886208000014/form_10k-2007.htm,https://www.sec.gov/Archives/edgar/data/785161/000144264309000012/0001442643-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516110000011/0000785161-10-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/785161/000078516112000009/0000785161-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516113000012/0000785161-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516114000013/hls10k123113.htm,https://www.sec.gov/Archives/edgar/data/785161/000078516115000020/hls10k123114.htm,https://www.sec.gov/Archives/edgar/data/785161/000078516116000117/0000785161-16-000117-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516117000009/0000785161-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516118000012/0000785161-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516119000011/0000785161-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516120000011/0000785161-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/785161/000078516121000006/0000785161-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/785161/000078516122000008/0000785161-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
