,https://roic.ai/company/UNF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4748000,9796000,-3688000,2130000,13646000,-7648000,49000,9594000,4573000,3365000,-10702000,15136000
81,Other Working Capital,- -,- -,- -,- -,23800000,25000000,25700000,21400000,19200000,28000000,31500000,38600000,37600000,49300000,61400000,66100000,50900000,65688000,68900000,57900000,76600000,101700000,-4821000,133200000,148300000,176000000,242400000,342200000,302485000,398300000,477712000,624979000,636378000,586339000,723947000,759238000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,100000,-5300000,-2200000,10100000,5700000,-18500000,-1700000,-12900000,4700000,-21100000,-13300000,-3026000,30643000,-19016000,-9063000,36517000,-34506000,-47072000,1222000,-11625000,8053000,-35971000,-141490000,-105905000,38013000,-106888000,-55800000,-161796000,34383000,22778000,-152590000,17079000,1971000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,27600000,23900000,27100000,32900000,37700000,28100000,42500000,41500000,55800000,51800000,56900000,57636000,76211000,52699000,60808000,106058000,72116000,63232000,85499000,119465000,159195000,133973000,86193000,161718000,211571000,194619000,226917000,207636000,218274000,230073000,282142000,286684000,212302000
84,CAPEX,- -,- -,- -,- -,-11100000,-22100000,-22100000,-17400000,-19300000,-24700000,-24400000,-27200000,-47400000,-50600000,-98900000,-46714000,-34196000,-33304000,-37919000,-30873000,-53255000,-52104000,-54661000,-73795000,-65323000,-50015000,-63847000,-74549000,-103526000,-91808000,-101163000,-98235000,-108554000,-112747000,-119815000,-116717000,-133639000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6783000,-1300000,-12342000,-2785000,-179972000,-16380000,-41807000,-22757000,-60952000,-4730000,-20908000,-32556000,- -,-30714000,-3635000,-22359000,-16583000,-125457000,-42665000,-4919000,-41221000,-8443000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-3100000,-900000,-9700000,-500000,-10900000,-8800000,-19700000,-7500000,-3400000,-4900000,-5032000,-3261000,3940000,1912000,3397000,-803000,206000,1050000,1116000,-65019000,-51809000,-64244000,-75057000,-103472000,-90539000,-101910000,-98086000,-107580000,-111233000,-119410000,-116395000,-133022000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-11100000,-25200000,-23000000,-27100000,-19800000,-35600000,-33200000,-46900000,-54900000,-54000000,-103800000,-58529000,-38757000,-41706000,-38792000,-207448000,-70438000,-93705000,-76368000,-133631000,-69749000,-72717000,-96800000,-75057000,-134186000,-94174000,-124269000,-114669000,-233037000,-153898000,-124329000,-157616000,-141465000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-193761000,-9113000,-91464000,-55851000,-24000,-113247000,-13055000,-1301000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,300000,200000,100000,200000,600000,- -,- -,- -,- -,- -,- -,- -,- -,65000,192000,372000,437000,154000,708000,518000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16600000,-3466000,-4706000,-1000,-1249000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-146011000,-30515000,-21745000,-11222000
93,Dividends Paid,- -,- -,- -,- -,-1000000,-1200000,-1200000,-1200000,-1900000,-1800000,-1800000,-2000000,-2200000,-2200000,-2600000,-2642000,-2587000,-2577000,-2572000,-2579000,-2592000,-2637000,-2742000,-2748000,-2754000,-2777000,-2830000,-2840000,-2851000,-2860000,-2869000,-2878000,-2898000,-4218000,-8260000,-15700000,-18147000
94,Other Financing Activites,- -,- -,- -,- -,-12400000,-400000,-1100000,-8300000,-16200000,9700000,-5800000,4900000,1900000,5700000,63700000,11226000,-31599000,-9846000,-16667000,101980000,-2170000,33864000,-5665000,29835000,141317000,10027000,30385000,42820000,6689000,11760000,9663000,-1465000,716000,-2719000,-2716000,-3658000,-4886000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-13100000,-1400000,-2200000,-9300000,-17500000,7900000,-7600000,2900000,-300000,3500000,44500000,5118000,-38892000,-12359000,-20296000,99773000,-4325000,31381000,-7699000,27605000,-55198000,-1863000,-63909000,-15871000,3814000,-104347000,-6261000,-5644000,-2182000,-152948000,-41491000,-41103000,-34255000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2915000,2690000,2964000,-482000,248000,1714000,2070000,521000,-3843000,-1808000,-11603000,-81000,2902000,-2467000,-1493000,1532000,1448000
97,Net Change In Cash,- -,- -,- -,- -,-13100000,-1400000,-2200000,-9300000,-17500000,7900000,-7600000,2900000,-300000,3500000,-2400000,4225000,-1438000,-1366000,1720000,-1617000,268000,3598000,4396000,12957000,34496000,61107000,-72446000,71311000,77356000,-5710000,84784000,87242000,-14043000,-79240000,114829000,89497000,38030000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,7137000,5699000,4333000,6053000,4436000,4704000,8302000,12698000,25655000,60151000,121258000,48812000,120123000,197479000,191769000,276553000,363795000,349752000,270512000,385341000,474838000,512868000
99,Cash at the Beginning of Period,- -,- -,- -,- -,4200000,7600000,4900000,6800000,3300000,3700000,4100000,5900000,3400000,4100000,5300000,2912000,7137000,5699000,4333000,6053000,4436000,4704000,8302000,12698000,25655000,60151000,121258000,48812000,120123000,197479000,191769000,276553000,363795000,349752000,270512000,385341000,474838000
100,Free Cash Flow,- -,- -,- -,- -,16500000,1800000,5000000,15500000,18400000,3400000,18100000,14300000,8400000,1200000,-42000000,10922000,42015000,19395000,22889000,75185000,18861000,11128000,30838000,45670000,93872000,83958000,22346000,87169000,108045000,102811000,125754000,109401000,109720000,117326000,162327000,169967000,78663000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717954/000095013594000674/0000950135-94-000674-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717954/000095013598006066/0000950135-98-006066-index.html,https://www.sec.gov/Archives/edgar/data/717954/000095013599005419/0000950135-99-005419-index.html,- -,https://www.sec.gov/Archives/edgar/data/717954/000095013501503670/0000950135-01-503670-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/717954/000128408404000113/form10-k_2004.htm,https://www.sec.gov/Archives/edgar/data/717954/000095013505006394/form_10k-2005.htm,https://www.sec.gov/Archives/edgar/data/717954/000128408406000136/form10-k_082606.htm,- -,https://www.sec.gov/Archives/edgar/data/717954/000128408408000043/0001284084-08-000043-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408409000056/0001284084-09-000056-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408410000049/0001284084-10-000049-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408411000040/0001284084-11-000040-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408412000040/0001284084-12-000040-index.html,https://www.sec.gov/Archives/edgar/data/717954/000143774913013615/0001437749-13-013615-index.html,https://www.sec.gov/Archives/edgar/data/717954/000143774914019037/0001437749-14-019037-index.html,https://www.sec.gov/Archives/edgar/data/717954/000143774915019003/0001437749-15-019003-index.html,https://www.sec.gov/Archives/edgar/data/717954/000143774916040348/0001437749-16-040348-index.html,https://www.sec.gov/Archives/edgar/data/717954/000162828017010136/0001628280-17-010136-index.html,https://www.sec.gov/Archives/edgar/data/717954/000128408418000061/0001284084-18-000061-index.html,https://www.sec.gov/Archives/edgar/data/717954/000156459019038460/0001564590-19-038460-index.html,https://www.sec.gov/Archives/edgar/data/717954/000156459020048412/0001564590-20-048412-index.htm,https://www.sec.gov/Archives/edgar/data/717954/000156459021052248/0001564590-21-052248-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
