,https://roic.ai/company/SNPS,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,4900000,31000000,5700000,9200000,19800000,28000000,41300000,62300000,102700000,59545000,105359000,119868000,334928000,156716000,48615000,69566000,208484000,79181000,71918000,145329000,162180000,175896000,131914000,82083000,84904000,125283000,126337000,123829000,156364000,197403000,210719000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-14800000,-9500000,-12400000,-95400000,-397466000,-331882000,-171677000,-260746000,-423303000,-88386000,-199992000,-151620000,-220053000,- -,-184699000,-401836000,-40000000,-145016000,-119747000,-260000000,-400000000,-380000000,-400000000,-329185000,-242078000,-753081000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-800000,-1500000,-10900000,-1400000,-400000,- -,-5500000,-10200000,-7800000,-12600000,-13572000,-6468000,- -,- -,- -,- -,- -,- -,-2970000,1279000,- -,-33335000,250000000,-50258000,194943000,443451000,152780000,261168000,576622000,134992000,192948000,-178325000
95,Cash Used/Provided by Financing Activities,-800000,3400000,20100000,4300000,8800000,19800000,7700000,21600000,42100000,-5300000,-351493000,-232991000,-51809000,74182000,-266587000,-39771000,-130426000,56864000,-143842000,69452000,-43062000,-277619000,243488000,-97985000,-73689000,-62070000,-306937000,-373120000,5138000,-561892000,-140606000,-748748000
96,Effect of Forex Changes on Cash,- -,- -,200000,-100000,100000,400000,-200000,-300000,400000,-400000,-3433000,-5669000,-1979000,4340000,-3016000,-217000,4636000,3795000,12145000,7272000,14553000,5792000,-5128000,-10582000,-16693000,-23035000,3409000,-427000,-11086000,2782000,17154000,2369000
97,Net Change In Cash,-800000,3400000,20100000,4300000,8800000,19800000,7700000,21600000,42100000,120800000,-156274000,118991000,40884000,211728000,-177599000,57727000,-73677000,248568000,-1695000,123981000,73794000,79670000,-154695000,322059000,-36679000,-149574000,140432000,71736000,-325241000,5526000,507443000,197213000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,285300000,153120000,271696000,312580000,524308000,346709000,404436000,330759000,579327000,577632000,701613000,775407000,855077000,700382000,1022441000,985762000,836188000,976620000,1048356000,723115000,730527000,1237970000,1435183000
99,Cash at the Beginning of Period,7200000,9300000,12200000,21400000,49100000,51900000,91200000,47200000,126400000,164500000,309394000,152705000,271696000,312580000,524308000,346709000,404436000,330759000,579327000,577632000,701613000,775407000,855077000,700382000,1022441000,985762000,836188000,976620000,1048356000,725001000,730527000,1237970000
100,Free Cash Flow,4900000,2200000,13000000,37500000,42200000,55800000,49000000,55100000,55700000,111000000,82615000,213336000,-229804000,341386000,219032000,225627000,154483000,386189000,289345000,197108000,298961000,380086000,428575000,427637000,444040000,404513000,515595000,561011000,322306000,598125000,832551000,1396882000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/883241/000104746905000652/a2149671z10-k.htm,https://www.sec.gov/Archives/edgar/data/883241/000110465906001880/a06-1373_210k.htm,https://www.sec.gov/Archives/edgar/data/883241/000110465907001964/a07-1403_110k.htm,https://www.sec.gov/Archives/edgar/data/883241/000104746907010271/0001047469-07-010271-index.html,https://www.sec.gov/Archives/edgar/data/883241/000104746908013321/0001047469-08-013321-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312509255277/0001193125-09-255277-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312510282648/0001193125-10-282648-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312511343034/0001193125-11-343034-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312512510596/0001193125-12-510596-index.html,https://www.sec.gov/Archives/edgar/data/883241/000119312513479653/0001193125-13-479653-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324114000008/0000883241-14-000008-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324115000014/0000883241-15-000014-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324116000027/0000883241-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324117000014/0000883241-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324118000012/0000883241-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324119000019/0000883241-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/883241/000088324120000015/0000883241-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/883241/000088324121000022/0000883241-21-000022-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
