,https://roic.ai/company/IIVIP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-200000,-200000,- -,- -,- -,- -,-1100000,- -,- -,- -,- -,- -,-182000,-5221000,-501000,-5865000,-12880000,- -,- -,-4988000,-19978000,-19973000,-12729000,-6284000,- -,-49875000,-1616000,-1625000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20319000
94,Other Financing Activites,- -,- -,- -,200000,1500000,-300000,-1000000,-700000,-400000,1300000,-1100000,-100000,7200000,-1900000,-1390000,29264000,-2584000,-10885000,-8564000,29475000,-12497000,-13483000,-7617000,10112000,3587000,19154000,4479000,116757000,174055000,5165000,133436000,136572000,438844000,141493000,2049918000,1161696000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,300000,1500000,-300000,-900000,-900000,-600000,1600000,10000000,200000,7400000,-2800000,-709000,29730000,-2214000,-10337000,-7251000,30584000,-16316000,-10724000,-9718000,-10277000,3029000,19154000,-14804000,85779000,99082000,-76064000,61452000,111572000,96969000,4877000,1173625000,675727000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,-500000,500000,-70000,695000,-191000,-44000,-573000,260000,-2008000,443000,-4572000,2719000,1709000,1278000,-2893000,1634000,1500000,-2082000,-4445000,496000,2117000,-1542000,-3453000,21723000
97,Net Change In Cash,- -,- -,- -,300000,1500000,-300000,-900000,-900000,-600000,1600000,10000000,200000,7400000,1400000,772000,1763000,1517000,5973000,6100000,-8000,5210000,5733000,37217000,26095000,12096000,41434000,-14516000,50489000,-10773000,-1026000,44811000,53443000,-24850000,-42166000,288174000,1098846000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,6330000,8093000,9610000,15583000,21683000,21675000,26885000,32618000,69835000,95930000,108026000,149460000,134944000,185433000,174660000,173634000,218445000,271888000,247038000,204872000,493046000,1591892000
99,Cash at the Beginning of Period,- -,- -,- -,3300000,2700000,2400000,2700000,3100000,1900000,1700000,3800000,9400000,10900000,4200000,5558000,6330000,8093000,9610000,15583000,21683000,21675000,26885000,32618000,69835000,95930000,108026000,149460000,134944000,185433000,174660000,173634000,218445000,271888000,247038000,204872000,493046000
100,Free Cash Flow,- -,- -,- -,-1000000,-1900000,700000,1300000,-1100000,600000,3000000,-2400000,1000000,-13600000,4400000,3659000,-28921000,7475000,18624000,17670000,956000,25164000,24167000,28061000,33356000,58583000,32635000,45229000,82334000,66242000,77053000,64800000,-19901000,7576000,41353000,156665000,428016000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/820318/000119312512371833/0001193125-12-371833-index.htm,- -,https://www.sec.gov/Archives/edgar/data/820318/000156459014003921/0001564590-14-003921-index.htm,- -,https://www.sec.gov/Archives/edgar/data/820318/000156459016024750/0001564590-16-024750-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000156459017017901/0001564590-17-017901-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000156459018022409/0001564590-18-022409-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000156459019032471/0001564590-19-032471-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000082031820000023/0000820318-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/820318/000082031821000017/0000820318-21-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
