,https://roic.ai/company/WBA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,-121300000,-191700000,-202500000,-144900000,-184700000,-290000000,-310300000,-364600000,-485000000,-641000000,-696300000,-1119100000,-1237000000,-934400000,-795100000,-939500000,-1237500000,-1337800000,-1785300000,-2225000000,-1927000000,-1014000000,-1213000000,-1550000000,-1212000000,-1106000000,-1251000000,-1325000000,-1351000000,-1367000000,-1702000000,-1374000000,-1379000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-485400000,-1085800000,-620,-405000000,-779000000,-188000000,-536000000,-834000000,-744000000,-4018000000,-2412000000,-88000000,-4793000000,-741000000,-718000000,4096000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-57200000,-17900000,-38100000,-800000,-34100000,- -,-16000000,- -,- -,- -,- -,- -,- -,- -,-10742000000,-12282400000,-6396900000,- -,-2600000000,-3000000000,- -,-4025000000,-66000000,-59000000,-49000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,52400000,- -,30500000,47400000,- -,- -,- -,- -,- -,- -,- -,- -,11519900000,12388400000,6826000000,- -,2105000000,3500000000,- -,- -,16000000,58000000,50000000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,100000,-5800000,-4900000,-30300000,9000000,7700000,15300000,17900000,15000000,139000000,50800000,81700000,102500000,382500000,92900000,16400000,25600000,33700000,46300000,-592999380,51000000,19000000,-124000000,251000000,100000000,120000000,992000000,220000000,596000000,659000000,136000000,795000000,1355000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-121200000,-197500000,-264600000,-193100000,-161400000,-283100000,-298600000,-299300000,-486000000,-502000000,-645500000,-1037400000,-1134500000,-551900000,-702200000,-923100000,-434000000,-1683500000,-2395700000,-2818000000,-2776000000,-1274000000,-1525000000,-5860000000,-1996000000,-1731000000,-4276000000,-3517000000,-843000000,-5501000000,-2307000000,-1297000000,4072000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70000000,-576000000,-17000000,- -,-4300000000,-550000000,-10698000000,-791000000,-6196000000,-4890000000,-10461000000,-21414000000,-15257000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,3900000,- -,35000000,105000000,131800000,79200000,126100000,111100000,- -,145100000,177500000,319100000,266100000,210000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1700000,-1500000,-4500000,-4500000,-15000000,-3400000,-5900000,-19700000,-18000000,- -,- -,- -,- -,- -,- -,-299200000,-781800000,-668800000,-1063500000,-294000000,-279000000,-1756000000,-2028000000,-1191000000,-615000000,-705000000,-1226000000,-1152000000,-5220000000,-5228000000,-4160000000,-1589000000,-110000000
93,Dividends Paid,- -,- -,- -,- -,-40600000,-47400000,-54800000,-62200000,-71400000,-81200000,-92900000,-105200000,-116000000,-123000000,-128600000,-134600000,-140900000,-147000000,-152400000,-176900000,-214500000,-262900000,-310200000,-376000000,-446000000,-541000000,-647000000,-787000000,-1040000000,-1199000000,-1384000000,-1563000000,-1723000000,-1739000000,-1643000000,-1747000000,-1617000000
94,Other Financing Activites,- -,- -,- -,- -,-4200000,-4500000,-24400000,-5500000,-112000000,-5700000,-7100000,-400000,-1000000,20000000,14500000,-7900000,434200000,-453000000,-69700000,28900000,14400000,199600000,481500000,427000000,1104000000,196000000,250000000,3148000000,4459000000,832000000,12393000000,6112000000,205000000,6562000000,13217000000,20103000000,7948000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-46500000,-53400000,-83700000,-72200000,-198400000,-86000000,-102000000,-125300000,-100000000,2000000,17700000,-63300000,419400000,-488900000,-222100000,-302100000,-804400000,-413000000,-626100000,-33000000,309000000,-2677000000,-2442000000,1170000000,-1496000000,-1622000000,-915000000,2606000000,-12934000000,-5295000000,-3047000000,-4647000000,-9036000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119000000,-129000000,20000000,15000000,-9000000,-1000000,-66000000
97,Net Change In Cash,- -,- -,- -,- -,-46500000,-53400000,-83700000,-72200000,-198400000,-86000000,-102000000,-125300000,-100000000,71000000,-2600000,-129000000,4100000,433000000,567200000,427500000,132800000,343100000,-665100000,188000000,1644000000,-207000000,-324000000,-259000000,809000000,540000000,354000000,6807000000,-6506000000,-2516000000,232000000,-461000000,524000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000000,141800000,12800000,16900000,449900000,1017100000,1695500000,576800000,919900000,254800000,443000000,2087000000,1880000000,1556000000,1297000000,2106000000,2646000000,3000000000,9807000000,3301000000,785000000,1207000000,746000000,1270000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,209700000,225500000,207900000,72000000,144500000,91600000,77900000,22200000,9000000,73000000,144400000,141800000,12800000,16900000,449900000,1268000000,444000000,576800000,919900000,255000000,443000000,2087000000,1880000000,1556000000,1297000000,2106000000,2646000000,3000000000,9807000000,3301000000,975000000,1207000000,746000000
100,Free Cash Flow,- -,- -,- -,- -,62100000,47400000,9900000,193000000,122200000,65400000,34700000,46700000,165000000,-70000000,-71100000,-147400000,-517800000,539400000,696400000,713200000,133700000,1101800000,571400000,814000000,2184000000,2730000000,2430000000,2881000000,3089000000,2787000000,4413000000,6522000000,5900000000,6898000000,3892000000,4110000000,4176000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1618921/000114036115038791/0001140361-15-038791-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000114036116083198/0001140361-16-083198-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892117000069/0001618921-17-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000162828018012472/0001628280-18-012472-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000069/0001618921-19-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000082/0001618921-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1618921/000161892121000129/0001618921-21-000129-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
