,https://roic.ai/company/ATRO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,100000,2000000,3800000,2400000,4700000,3400000,5600000,8100000,6100000,6300000,10100000,2209000,12690000,3730000,1922000,-11000,4603000,-47000,8601000,11505000,31088000,16503000,27908000,24178000,49549000,99874000,78501000,48854000,37783000,54881000,42689000,37335000,-5530000
84,CAPEX,- -,- -,- -,- -,-900000,-400000,-900000,-1100000,-3300000,-1600000,-6100000,-4000000,-3100000,-9700000,-14600000,-3981000,-271000,-397000,-420000,-1136000,-2498000,-5400000,-9592000,-4325000,-2466000,-3568000,-14281000,-16720000,-6868000,-40882000,-18641000,-13037000,-13478000,-16317000,-12083000,-7459000,-6034000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13366000,- -,- -,- -,-40655000,- -,-23926000,-10659000,-159761000,-68201000,-52276000,- -,-114039000,- -,75970000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-100000,-100000,100000,-300000,-500000,600000,-6700000,2200000,- -,-500000,-500000,-3707000,-2225000,-316000,-284000,-288000,-177000,-65000,-745000,-247000,-2047000,-3614000,-14206000,-16720000,-6868000,-40919000,-21310000,-14622000,-15522000,-19667000,-11340000,-5797000,3179000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1000000,-500000,-800000,-1400000,-3800000,-1000000,-12800000,-1800000,-3100000,-10200000,-15100000,-7688000,-2496000,-713000,-704000,-2424000,-15041000,-5465000,-10337000,-4572000,-42702000,-3614000,-38132000,-27379000,-166629000,-109120000,-73586000,-14622000,-129561000,-19667000,64630000,-5797000,3179000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19141000,-6245000,-5302000,-13307000,-26498000,-275544000,-67694000,-41835000,-23720000,-72834000,-157853000,-172150000,-30000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,100000,100000,100000,100000,200000,500000,300000,200000,300000,273000,428000,80000,35000,133000,343000,984000,1162000,329000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,-500000,-600000,- -,-500000,- -,- -,-15000,-461000,-2089000,-1103000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17618000,-32382000,- -,-50784000,-7732000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-600000,-500000,-700000,-900000,-1500000,-2000000,4800000,-6400000,-3100000,3400000,5300000,4113000,-1030000,-2453000,3872000,-897000,6103000,274000,3173000,-7042000,42661000,1114000,3737000,12966000,190751000,252431000,60969000,24647000,147527000,36700000,116455000,155306000,22495000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-600000,-600000,-700000,-800000,-1400000,-2400000,4400000,-5900000,-3300000,3600000,5600000,4371000,-1063000,-4462000,2804000,-764000,6446000,1258000,4335000,-6713000,23520000,-5131000,-1565000,-341000,164253000,-23113000,-6725000,-34806000,91425000,-36134000,-92182000,-24576000,-7505000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000,64000,-133000,-11000,3000,-3000,- -,5000,2000,-1000,3000,82000,-1079000,-826000,-86000,366000,-372000,147000,1544000,-799000
97,Net Change In Cash,- -,- -,- -,- -,-600000,-600000,-700000,-800000,-1400000,-2400000,4400000,-5900000,-3300000,3600000,700000,-1108000,9131000,-1454000,4086000,-3332000,-4003000,-4251000,2596000,220000,11911000,7760000,-11790000,-3539000,47255000,-33438000,-2636000,-660000,13000,-1292000,15284000,8506000,-10655000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,45000,9176000,7722000,11808000,8476000,4473000,222000,2818000,3038000,14949000,22709000,10919000,7380000,54635000,21197000,18561000,17901000,17914000,16622000,31906000,40412000,29757000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2100000,700000,1500000,3800000,4000000,3500000,3500000,800000,1100000,700000,500000,1153000,45000,9176000,7722000,11808000,8476000,4473000,222000,2818000,3038000,14949000,22709000,10919000,7380000,54635000,21197000,18561000,17901000,17914000,16622000,31906000,40412000
100,Free Cash Flow,- -,- -,- -,- -,-800000,1600000,2900000,1300000,1400000,1800000,-500000,4100000,3000000,-3400000,-4500000,-1772000,12419000,3333000,1502000,-1147000,2105000,-5447000,-991000,7180000,28622000,12935000,13627000,7458000,42681000,58992000,59860000,35817000,24305000,38564000,30606000,29876000,-6034000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8063/0000904802-96-000018-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8063/000089979703000139/form10_k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8063/000095015207002216/l24210ae10vk.htm,https://www.sec.gov/Archives/edgar/data/8063/000095015208001882/l29713ae10vk.htm,https://www.sec.gov/Archives/edgar/data/8063/000095015209002488/0000950152-09-002488-index.html,https://www.sec.gov/Archives/edgar/data/8063/000095012310019152/0000950123-10-019152-index.html,https://www.sec.gov/Archives/edgar/data/8063/000095012311021474/l41871e10vk.htm,https://www.sec.gov/Archives/edgar/data/8063/000119312512101055/0001193125-12-101055-index.html,https://www.sec.gov/Archives/edgar/data/8063/000119312513071168/0001193125-13-071168-index.html,https://www.sec.gov/Archives/edgar/data/8063/000119312514088997/d651807d10k.htm,https://www.sec.gov/Archives/edgar/data/8063/000119312515069887/d845354d10k.htm,https://www.sec.gov/Archives/edgar/data/8063/000162828016011645/0001628280-16-011645-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806317000004/0000008063-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806318000006/0000008063-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806319000009/0000008063-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806320000013/0000008063-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/8063/000000806321000007/0000008063-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/8063/000000806322000011/0000008063-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
