,https://roic.ai/company/GHM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,7200000,2200000,1000000,-2400000,2100000,-900000,1600000,4700000,-1800000,7300000,2400000,-1620000,-822000,4464000,1897000,-1044000,-4479000,6533000,5193000,19702000,11046000,30270000,-10369000,2605000,12432000,15230000,6279000,18751000,12389000,8511000,7917000,1239000,-1722000
84,CAPEX,- -,- -,- -,- -,-2600000,-2700000,-2600000,-9200000,-500000,-400000,-200000,-1300000,-240000,-1400000,-1200000,-711000,-1124000,-688000,-943000,-284000,-224000,-1048000,-1637000,-1027000,-1492000,-1003000,-1979000,-3243000,-1655000,-5263000,-5300000,-1153000,-325000,-2051000,-2138000,-2417000,-2158000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17899000,384000,- -,- -,- -,- -,- -,- -,- -,602000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,- -,-13700000,-12400000,-904000,- -,-5975000,-23636000,-13209000,-8462000,-33160000,-33300000,-94781000,-142601000,-182481000,-155717000,-32896000,-83984000,-109494000,-50000000,-44000000,-55000000,-54023000,-115342000,-181462000,-42603000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,- -,9400000,12300000,906000,- -,8377000,19800000,14408000,11849000,25000000,30500000,74680000,136620000,153530000,202310000,39920000,73000000,108000000,46000000,36000000,62000000,52000000,88633000,204146000,77151000
88,Other Investing Activites,- -,- -,- -,- -,1500000,- -,100000,9500000,400000,900000,- -,100000,210000,- -,100000,49000,293000,160000,114000,351000,-75000,8000,25000,45000,1000,9000,14000,5000,37000,32000,1000,3000,1000,6000,- -,12000,7000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1100000,-2700000,-2500000,300000,-100000,500000,-200000,-2000000,-30000,-5700000,-1200000,-660000,-831000,1874000,-4665000,1266000,3088000,-9200000,-4412000,-21083000,-7472000,-29945000,26729000,4170000,-12602000,-6725000,-9299000,-9150000,6676000,-4068000,-28847000,20881000,32397000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2955000,-861000,-68000,-81000,-85000,-88000,-80000,-59000,-58000,-107000,-97000,-51000,-4639000
91,Common Stock Issued,- -,- -,- -,- -,400000,- -,100000,100000,- -,- -,- -,- -,- -,1000000,- -,- -,66000,146000,- -,311000,390000,4827000,413000,1116000,695000,63000,236000,386000,83000,581000,47000,97000,137000,- -,307000,24000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,10000,-100000,-2300000,-124000,- -,- -,- -,-20000,- -,- -,- -,- -,-2303000,-229000,-874000,-221000,- -,- -,- -,-9441000,-29000,-119000,-146000,-230000,-23000
93,Dividends Paid,- -,- -,- -,- -,-100000,-300000,-300000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-172000,-327000,-333000,-452000,-387000,-493000,-754000,-788000,-790000,-793000,-899000,-1308000,-2026000,-3296000,-3492000,-3517000,-3834000,-4250000,-4391000
94,Other Financing Activites,- -,- -,- -,- -,-5800000,1400000,1200000,2800000,-2400000,800000,-1500000,-1900000,1410000,-1700000,-500000,3410000,723000,-3809000,247000,58000,1594000,-1861000,-10000,1419000,4628000,867000,120000,-499000,43000,271000,200000,6000,-19000,- -,- -,- -,4599000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-5500000,100000,1000000,2600000,-2400000,800000,-1500000,-1900000,1420000,-800000,-2800000,3286000,789000,-3663000,75000,22000,1651000,2514000,16000,2042000,-689000,-948000,-1376000,-1208000,-858000,-544000,-1859000,-12693000,-3461000,-3743000,-3770000,-4507000,-4454000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,-10000,- -,- -,-16000,-20000,- -,9000,6000,-3000,-1000,8000,76000,153000,3000,51000,57000,33000,-9000,4000,-107000,-202000,282000,-183000,-231000,356000
97,Net Change In Cash,- -,- -,- -,- -,-5500000,100000,1000000,2600000,-2400000,800000,-1500000,-1900000,-410000,-800000,-1600000,990000,-884000,2675000,-2684000,250000,257000,-154000,805000,737000,3038000,-620000,15035000,5624000,-995000,7952000,-4875000,-3199000,15402000,982000,-25435000,17934000,26577000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,890000,- -,100000,1110000,226000,2901000,217000,467000,724000,570000,1375000,2112000,5150000,4530000,19565000,25189000,24194000,32146000,27271000,24072000,39474000,40456000,15021000,32955000,59532000
99,Cash at the Beginning of Period,- -,- -,- -,- -,300000,900000,500000,- -,500000,100000,500000,400000,1300000,900000,1700000,120000,1110000,226000,2901000,217000,467000,724000,570000,1375000,2112000,5150000,4530000,19565000,25189000,24194000,32146000,27271000,24072000,39474000,40456000,15021000,32955000
100,Free Cash Flow,- -,- -,- -,- -,4600000,-500000,-1600000,-11600000,1600000,-1300000,1400000,3400000,-2040000,5900000,1200000,-2331000,-1946000,3776000,954000,-1328000,-4703000,5485000,3556000,18675000,9554000,29267000,-12348000,-638000,10777000,9967000,979000,17598000,12064000,6460000,5779000,-1178000,-3880000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716314/000071631496000002/0000716314-96-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/716314/000095015298005579/0000950152-98-005579-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716314/000095015202005120/0000950152-02-005120-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716314/000095015206005026/l20778ae10vk.htm,https://www.sec.gov/Archives/edgar/data/716314/000095015207004921/0000950152-07-004921-index.html,https://www.sec.gov/Archives/edgar/data/716314/000095013408010593/0000950134-08-010593-index.html,https://www.sec.gov/Archives/edgar/data/716314/000095012309010517/0000950123-09-010517-index.html,https://www.sec.gov/Archives/edgar/data/716314/000095012310052810/0000950123-10-052810-index.html,https://www.sec.gov/Archives/edgar/data/716314/000095012311056491/0000950123-11-056491-index.html,https://www.sec.gov/Archives/edgar/data/716314/000119312512263414/d347995d10k.htm,https://www.sec.gov/Archives/edgar/data/716314/000119312513247725/0001193125-13-247725-index.html,https://www.sec.gov/Archives/edgar/data/716314/000119312514224704/0001193125-14-224704-index.html,https://www.sec.gov/Archives/edgar/data/716314/000119312515209819/0001193125-15-209819-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459016020188/0001564590-16-020188-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459017012090/0001564590-17-012090-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459018014971/0001564590-18-014971-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459019021076/0001564590-19-021076-index.html,https://www.sec.gov/Archives/edgar/data/716314/000156459020029237/ghm-10k_20200331.htm,https://www.sec.gov/Archives/edgar/data/716314/000156459021031421/0001564590-21-031421-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
