,https://roic.ai/company/KBAL,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,300000,-5400000,22300000,10600000,4200000,34900000,15900000,17200000,700000,-9400000,15800000,18500000,23200000,16200000,-42000000,-27575000,-9211000,7270000,12597000,-8534000,11421000,27713000,-32770000,-36009000,13579000,3837000,-2007000,12939000,23498000,31744000,-201800000,8375000,29703000,2651000,11380000,26576000,-78972000
78,Accounts Receivable,- -,- -,-4400000,-3300000,-5700000,-10100000,-8200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,3900000,-10300000,-5000000,-10400000,4400000,10700000,3900000,-16000000,-12200000,3600000,4900000,-13300000,10800000,-15200000,-4800000,-16800000,-623000,10116000,11483000,-5232000,5000000,-2758000,173000,-22960000,36667000,-26229000,3243000,20472000,-5844000,-14894000,-21934000,-3304000,2876000,8000,-4505000,-3045000,11185000
80,Accounts Payable,- -,- -,-1200000,-2500000,-5300000,-1300000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5142000,26700000,-28524000,-7081000,17693000,15738000,10120000,2874000,1998000,3062000,-1298000,-8341000,-6643000
81,Other Working Capital,- -,- -,95000000,89600000,111900000,122500000,126700000,161600000,177500000,194700000,195400000,186000000,201800000,220300000,243500000,259700000,217700000,190125000,180914000,188184000,200781000,192247000,203668000,231381000,198611000,162602000,176181000,180018000,178011000,190950000,214448000,246192000,44392000,52767000,82470000,85121000,96501000,123077000,44105000
82,Other Non-Cash Items,- -,- -,-100000,-6100000,-26800000,-30000000,-8300000,-10500000,-12800000,-42000000,-11100000,5800000,-9900000,-36800000,8700000,-29700000,38600000,-22697000,49572000,-16492000,-3429000,11245000,1579000,4304000,22851000,35840000,22365000,-35819000,-17715000,-1531000,-14335000,-25344000,169352000,-3626000,-22641000,-18955000,-5147000,-61466000,74999000
83,Cash Provided by Operating Activities,- -,- -,43100000,31700000,46000000,36700000,53800000,91700000,56600000,38400000,47300000,58200000,78300000,62000000,121800000,76200000,98000000,41396000,102295000,77189000,56555000,68892000,64707000,76612000,44374000,43399000,84159000,13382000,21349000,59019000,63861000,69871000,13843000,48982000,64844000,46866000,64967000,29798000,27294000
84,CAPEX,- -,- -,-35700000,-37900000,-17900000,-32800000,-40900000,-20600000,-19200000,-33100000,-37000000,-46600000,-34500000,-32800000,-32900000,-41300000,-76600000,-61124000,-46778000,-37995000,-21989000,-37145000,-28127000,-31517000,-41880000,-50647000,-48311000,-35415000,-33210000,-28266000,-28755000,-33653000,-33115000,-16166000,-12733000,-22299000,-20971000,-21076000,-19534000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25599000,-51052000,-4566000,-5391000,- -,- -,- -,- -,- -,- -,- -,- -,-18201000,-4288000,- -,-101478000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-100400000,-79100000,-73500000,-54800000,-28500000,-110900000,-78100000,-92800000,-118500000,-23600000,-112101000,-56316000,-45543000,-26101000,-24404000,-42741000,-72033000,-116939000,-33184000,-8032000,-7193000,- -,- -,- -,- -,- -,- -,-42059000,-42497000,-40778000,-24977000,-10000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,38000000,56300000,75200000,65000000,54600000,89900000,67200000,51400000,114400000,62500000,147172000,68433000,60326000,49174000,23723000,27793000,25160000,152470000,53777000,34572000,29702000,- -,- -,- -,- -,- -,- -,5941000,42839000,42406000,52884000,15250000
88,Other Investing Activites,- -,- -,- -,- -,-18800000,4200000,4100000,1000000,300000,3900000,200000,-5000000,-600000,-4400000,-8100000,-3000000,-18000000,-7641000,-9352000,4262000,-1472000,-2017000,18039000,12520000,2140000,5212000,1311000,-22317000,-31888000,-24390000,-28031000,-27546000,-30657000,-16883000,-58000,-17357000,-19526000,-21766000,-19756000
89,Cash Used for Investing Activites,- -,- -,-35700000,-37900000,-36700000,-28600000,-36800000,-82000000,-41700000,-27500000,-26600000,-25500000,-56100000,-48100000,-82400000,-48400000,-55700000,-33694000,-44013000,-18950000,-388000,-39843000,-25036000,-91469000,-55261000,-29408000,22460000,192000,-33727000,-25713000,-28031000,-27546000,-30657000,-16883000,-36176000,-35216000,-22186000,6141000,-115984000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99681000,-12308000,-88812000,-11000,- -,-24000,-25000,-27000,-30000,-27000,-23000,-25000,-27000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,- -,- -,- -,- -,800000,1500000,1000000,801000,654000,269000,- -,- -,- -,- -,6595000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,100000,-2700000,-1900000,-3800000,-100000,- -,-800000,- -,-1400000,-300000,-4200000,-5100000,-4900000,-8300000,-17200000,-24427000,-20447000,-26000,- -,- -,- -,- -,-1078000,-25703000,- -,- -,-278000,-337000,-875000,-1953000,-14361000,-11449000,-8301000,-11758000,-10807000,-4386000,-4715000
93,Dividends Paid,- -,- -,-5400000,-6000000,-6500000,-8400000,-10100000,-11800000,-13500000,-14300000,-16000000,-17700000,-17700000,-19200000,-21500000,-24300000,-25800000,-25558000,-24842000,-24054000,-24079000,-24106000,-24136000,-24175000,-24419000,-23701000,-19410000,-7264000,-7330000,-7363000,-7430000,-7507000,-7660000,-8078000,-8783000,-10084000,-11435000,-12921000,-13285000
94,Other Financing Activites,- -,- -,4600000,-900000,1300000,-1200000,-3500000,-2500000,-3000000,1100000,-3500000,-3800000,-700000,800000,-600000,1300000,-300000,29911000,-7513000,-27056000,379000,-1378000,1603000,20871000,-1768000,26814000,59708000,-949000,88750000,41000,597000,43000,-61849000,370000,3752000,- -,- -,- -,40000000
95,Cash Used/Provided by Financing Activities,- -,- -,-700000,-9600000,-7100000,-13400000,-13700000,-14300000,-17300000,-11700000,-20900000,-21800000,-22600000,-23500000,-26200000,-29800000,-42300000,-19273000,-52148000,-50867000,-23700000,-25484000,-22533000,-3304000,-20670000,-22590000,-59383000,-20521000,-7670000,-7670000,-7708000,-9441000,-83895000,-19184000,-13362000,-21869000,-22265000,-17332000,21973000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,100000,- -,-100000,100000,-100000,- -,-100000,-100000,200000,- -,- -,- -,- -,19000,-120000,53000,162000,85000,124000,534000,1006000,4127000,-2109000,-3643000,6115000,-1848000,281000,140000,-1254000,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,6800000,-15800000,2300000,-5300000,3300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11552000,6014000,7425000,32629000,3650000,17262000,7604000,-29830000,-4222000,45127000,-10590000,-13933000,23788000,28403000,33024000,-101963000,12915000,15306000,-10219000,20516000,18607000,-66717000
98,Cash at the End of Period,- -,- -,42800000,27000000,29300000,43700000,43800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,16800000,5223000,11237000,18662000,51291000,54941000,57253000,64857000,35027000,30805000,75932000,65342000,51409000,75197000,103600000,136624000,34661000,47576000,62882000,52663000,73837000,92444000,25727000
99,Cash at the Beginning of Period,- -,- -,36000000,42800000,27000000,49000000,40500000,104200000,122600000,5600000,4900000,4600000,15500000,15300000,5600000,18800000,16800000,16775000,5223000,11237000,18662000,51291000,39991000,57253000,64857000,35027000,30805000,75932000,65342000,51409000,75197000,103600000,136624000,34661000,47576000,62882000,53321000,73837000,92444000
100,Free Cash Flow,- -,- -,7400000,-6200000,28100000,3900000,12900000,71100000,37400000,5300000,10300000,11600000,43800000,29200000,88900000,34900000,21400000,-19728000,55517000,39194000,34566000,31747000,36580000,45095000,2494000,-7248000,35848000,-22033000,-11861000,30753000,35106000,36218000,-19272000,32816000,52111000,24567000,43996000,8722000,7760000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55772/000005577201500010/k01.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577202000009/k02.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577203000008/k03.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577204000011/k04.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577205000011/k05.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577206000008/k06.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577207000013/k07.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577208000010/k08.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577209000012/k09.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577210000008/k10.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577211000014/kbalb0630201110kq4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577212000013/kbalb0630201210kq4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577213000016/kbalb06302013q410k.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577214000034/kbalb06302014q410k.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577215000026/kbal06302015q410k.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577216000064/kbal10k06302016q4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577217000020/kbal10k06302017q4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577218000022/kbal10k06302018q4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577219000027/kbal10k06302019q4.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577220000108/0000055772-20-000108-index.htm,https://www.sec.gov/Archives/edgar/data/55772/000005577221000119/0000055772-21-000119-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
