,https://roic.ai/company/VIRC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8900000,-1700000,-700000,-800000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61000,-64000,-68000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,7700000,600000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000,149000,- -,- -,- -,- -,- -,- -,- -,5000,5000,5000
88,Other Investing Activites,- -,- -,- -,- -,600000,100000,100000,-600000,800000,600000,100000,- -,2300000,900000,-828000,10258000,1955000,-16000,7428000,451000,124000,-167000,-99000,2342000,-5318000,-2963000,-1987000,-1753000,-3638000,-3382000,-4197000,-4471000,-6067000,-5392000,-4199000,-2072000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2800000,-4000000,-7000000,-4400000,-8000000,-20200000,-5000000,-7200000,-8500000,-28200000,-39677000,-12453000,-3274000,-8098000,5192000,-2348000,-3346000,-3789000,-4931000,-2714000,-5282000,-2814000,-1987000,-1753000,-3638000,-3382000,-4197000,-4471000,-13267000,-5448000,-4258000,-2135000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69000,-393000,-24287000,-35876000,-24656000,-32479000,-34719000,-38601000,-25072000,-49978000,-44488000,-38496000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,200000,400000,232000,284000,30000,178000,153000,6000,9000,4752000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,-5300000,-4878000,-1317000,-1954000,-4367000,-440000,- -,- -,- -,- -,-950000,-652000,-344000,- -,- -,-116000,-129000,-206000,-264000,-339000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-100000,-100000,-100000,-200000,-200000,-200000,-200000,-700000,-700000,-700000,-800000,-866000,-945000,-1014000,-524000,- -,- -,- -,-361000,-1445000,-1421000,-1418000,-710000,- -,- -,- -,- -,- -,- -,-930000,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,2300000,-1500000,-500000,2200000,-6000000,6700000,3300000,-14500000,-9600000,10800000,24531000,7162000,-27541000,1191000,-3463000,-2203000,3330000,-11475000,-11418000,-3730000,6877000,- -,29263000,28422000,28851000,33750000,31960000,37447000,36742000,54197000,39399000,32084000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,2200000,-1600000,-600000,1800000,-6200000,6500000,3200000,-15200000,-10100000,5200000,19085000,5263000,-30410000,-4012000,-4274000,-2197000,3339000,-6723000,-11779000,-6125000,4735000,-2155000,4266000,-7454000,4079000,1142000,-2965000,-1418000,11331000,3289000,-5089000,-6412000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,2200000,-1600000,-600000,1800000,-6200000,6500000,3200000,-15200000,-10100000,5200000,-14000,-721000,1353000,-65000,420000,-867000,297000,403000,174000,2321000,-3342000,483000,1369000,-2044000,198000,-581000,345000,-27000,-254000,204000,412000,-748000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1072000,351000,1704000,1639000,2059000,1192000,1489000,1892000,2066000,4387000,1045000,1528000,2897000,853000,1051000,470000,815000,788000,534000,738000,1150000,402000
99,Cash at the Beginning of Period,- -,- -,- -,- -,700000,300000,300000,700000,300000,400000,600000,700000,700000,1200000,1086000,1072000,351000,1704000,1639000,2059000,1192000,1489000,1892000,2066000,4387000,1045000,1528000,2897000,853000,1051000,470000,815000,788000,534000,738000,1150000
100,Free Cash Flow,- -,- -,- -,- -,-3100000,1500000,900000,-1600000,5500000,1500000,-9200000,15300000,8400000,-5200000,-18271000,-16242000,29808000,8513000,-2734000,879000,-3166000,7293000,12052000,6104000,-8140000,2450000,-3069000,5113000,-3875000,-1655000,3246000,1454000,-11726000,-3032000,5543000,5645000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/751365/000095014802001157/0000950148-02-001157-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/751365/000095012905003787/v07947e10vk.htm,https://www.sec.gov/Archives/edgar/data/751365/000095012906004020/v19551e10vk.htm,https://www.sec.gov/Archives/edgar/data/751365/000095014807000082/0000950148-07-000082-index.html,https://www.sec.gov/Archives/edgar/data/751365/000095012408001881/0000950124-08-001881-index.html,https://www.sec.gov/Archives/edgar/data/751365/000095013409007689/0000950134-09-007689-index.html,https://www.sec.gov/Archives/edgar/data/751365/000095012310035608/0000950123-10-035608-index.html,https://www.sec.gov/Archives/edgar/data/751365/000095012311036097/0000950123-11-036097-index.html,https://www.sec.gov/Archives/edgar/data/751365/000119312512182323/d319583d10k.htm,https://www.sec.gov/Archives/edgar/data/751365/000144530513000855/0001445305-13-000855-index.html,https://www.sec.gov/Archives/edgar/data/751365/000144530514001471/0001445305-14-001471-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828015002923/0001628280-15-002923-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828016014729/0001628280-16-014729-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828017004284/0001628280-17-004284-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828018005275/0001628280-18-005275-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828019005502/0001628280-19-005502-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828020005961/0001628280-20-005961-index.html,https://www.sec.gov/Archives/edgar/data/751365/000162828021007933/0001628280-21-007933-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
