,https://roic.ai/company/WTS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,95700000,145300000,138700000,184800000,239800000,222700000,246600000,242000000,274900000,224700000,237400000,137142000,142595000,77165000,308135000,300506000,305092000,653024000,667000000,504700000,489800000,578400000,531000000,448000000,530200000,528600000,514000000,432500000,456200000,372600000,315600000,397000000,- -
82,Other Non-Cash Items,- -,- -,- -,300000,-68900000,12600000,-57100000,-54600000,-9700000,-56600000,103300000,-50300000,35300000,1800000,109632000,-1026000,62229000,-242014000,-14744000,-33207000,-371744000,-30776000,229800000,119800000,-71100000,48200000,91900000,-74300000,32500000,194000000,67300000,-13400000,78000000,53800000,-17400000,1400000
83,Cash Provided by Operating Activities,- -,- -,- -,26200000,20000000,50400000,38900000,47000000,36400000,40300000,55400000,58900000,62800000,65100000,54826000,51237000,53599000,43527000,46763000,50817000,83134000,91800000,145800000,183400000,118900000,126300000,133300000,118200000,135200000,109400000,138100000,155900000,169400000,194000000,228000000,180800000
84,CAPEX,- -,- -,- -,-12300000,-17800000,-14100000,-18100000,-25800000,-21900000,-49800000,-32200000,-29900000,-54100000,-133600000,-14238000,-16047000,-19593000,-20035000,-20999000,-18590000,-44648000,-37800000,-26600000,-24200000,-24600000,-23600000,-30700000,-27700000,-23700000,-27700000,-36000000,-30900000,-36600000,-29200000,-43000000,-26700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9982000,-42977000,-26233000,-18584000,-68453000,-191396000,-93420000,-22600000,-177300000,-300000,-36300000,-165500000,-17500000,- -,-272200000,-20400000,-88000000,100000,-1700000,-42700000,-13200000,-9100000
86,Purchases of Investments,- -,- -,- -,-34900000,- -,-38000000,-27600000,-6900000,- -,- -,- -,-700000,-100000,- -,- -,- -,- -,- -,-25000000,- -,-11825000,-27500000,-2700000,- -,-4000000,-8100000,-2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,34700000,- -,- -,32700000,7400000,54300000,4500000,- -,- -,- -,- -,- -,- -,- -,2400000,26600000,- -,400000,33300000,1700000,6500000,8100000,4100000,2100000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-14100000,-34400000,-30600000,-60100000,-36400000,-11600000,-72500000,-14000000,50700000,7400000,1900000,-29000,775000,2005000,1574000,673000,183000,30680000,100000,1100000,1500000,1200000,800000,3500000,1500000,400000,30800000,10000000,3500000,2400000,100000,1400000,5100000
89,Cash Used for Investing Activites,- -,- -,- -,-61300000,-17500000,-82700000,-105800000,-36400000,-26100000,-68000000,-41700000,20100000,-46800000,-131700000,-24249000,-58249000,-43821000,-37045000,-111379000,-183203000,-119213000,-87400000,-172200000,-21300000,-57200000,-188300000,-42700000,-24100000,-295500000,-17300000,-114000000,-27300000,-35900000,-71800000,-54800000,-30700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56200000,-62800000,-52100000,-170600000,-26800000,-82000000,-5900000,-6000000,-616300000,-182900000,-201100000,-127000000,-517000000,-96400000
91,Common Stock Issued,- -,- -,- -,- -,500000,37000000,1300000,1300000,2400000,2100000,800000,1900000,2700000,100000,675000,2576000,8003000,87930000,5837000,3923000,221282000,1100000,1600000,400000,3400000,5400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-12100000,- -,-28600000,-25600000,-2600000,-9400000,- -,-1385000,- -,- -,- -,- -,- -,-23600000,-44500000,- -,- -,-27200000,-65800000,-23000000,-39600000,-44600000,-26800000,-18200000,-26000000,-19500000,-28000000,-16000000
93,Dividends Paid,- -,- -,- -,-1800000,-2300000,-2900000,-3600000,-4800000,-5900000,-7000000,-7800000,-8000000,-8900000,-9400000,-7107000,-6422000,-6490000,-6859000,-9071000,-10480000,-12445000,-15600000,-16200000,-16200000,-16400000,-16300000,-16000000,-17700000,-20500000,-23100000,-24500000,-25900000,-28300000,-31400000,-31000000,-34300000
94,Other Financing Activites,- -,- -,- -,40700000,-3200000,-5700000,74100000,2100000,-5200000,30800000,18500000,-34200000,-11100000,84700000,-21430000,10959000,-14596000,46979000,-13292000,119481000,123254000,-28400000,22900000,1400000,72000000,184800000,27900000,13200000,286800000,2800000,695300000,21700000,52500000,72300000,394100000,28100000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,38900000,-5000000,28400000,71800000,-1400000,-20800000,25900000,-17100000,-65900000,-19900000,66000000,-27862000,5728000,-13083000,128050000,-16526000,112924000,332091000,-66500000,-92400000,-77200000,6900000,-23900000,-80700000,-109500000,220800000,-70900000,27700000,-205300000,-202900000,-105600000,-181900000,-118600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,100000,-100000,400000,-2200000,-200000,-200000,100000,800000,200000,2600000,-496000,-214000,2281000,3856000,2054000,-693000,1209000,9400000,-5900000,8000000,-2700000,7300000,3200000,4100000,-27300000,-26100000,-9600000,18500000,-6700000,-1000000,7100000,-8400000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2218000,-1498000,-1024000,138388000,-79088000,-20155000,297221000,-52700000,-124700000,92600000,71000000,-78600000,21200000,-3400000,33200000,-4900000,42200000,-58200000,-76100000,15600000,-1000000,23100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12800000,15234000,11997000,10973000,149361000,65913000,45758000,342979000,290300000,165600000,258200000,329200000,250600000,271800000,267900000,301100000,296200000,338400000,280200000,204100000,219700000,218000000,242000000
99,Cash at the Beginning of Period,- -,- -,- -,7300000,11100000,8800000,4800000,10000000,16900000,6200000,3300000,- -,13900000,10800000,13016000,13495000,11997000,10973000,145001000,65913000,45758000,343000000,290300000,165600000,258200000,329200000,250600000,271300000,267900000,301100000,296200000,338400000,280200000,204100000,219000000,218900000
100,Free Cash Flow,- -,- -,- -,13900000,2200000,36300000,20800000,21200000,14500000,-9500000,23200000,29000000,8700000,-68500000,40588000,35190000,34006000,23492000,25764000,32227000,38486000,54000000,119200000,159200000,94300000,102700000,102600000,90500000,111500000,81700000,102100000,125000000,132800000,164800000,185000000,154100000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/795403/000095014694000174/0000950146-94-000174-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/795403/000091412097000009/0000914120-97-000009-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/795403/000104746904007603/a2129402z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000110465905011292/a05-3959_110k.htm,https://www.sec.gov/Archives/edgar/data/795403/000110465906013915/a06-1978_110k.htm,https://www.sec.gov/Archives/edgar/data/795403/000110465907015491/a07-5433_110k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746908002029/a2182966z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746909001986/0001047469-09-001986-index.html,https://www.sec.gov/Archives/edgar/data/795403/000104746910001634/0001047469-10-001634-index.html,https://www.sec.gov/Archives/edgar/data/795403/000104746911001609/a2202253z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746912001733/0001047469-12-001733-index.html,https://www.sec.gov/Archives/edgar/data/795403/000104746913001806/0001047469-13-001806-index.html,https://www.sec.gov/Archives/edgar/data/795403/000104746914001466/a2218544z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746915001296/a2223227z10-k.htm,https://www.sec.gov/Archives/edgar/data/795403/000104746916010540/0001047469-16-010540-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837017000970/0001558370-17-000970-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837018001010/0001558370-18-001010-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837019000893/0001558370-19-000893-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837020001062/0001558370-20-001062-index.html,https://www.sec.gov/Archives/edgar/data/795403/000155837021001199/0001558370-21-001199-index.htm,https://www.sec.gov/Archives/edgar/data/795403/000155837022001530/0001558370-22-001530-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
