,https://roic.ai/company/MMM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,1244000000,1308000000,1154000000,1235700000,1263000000,1322000000,976000000,1526000000,2121000000,1175000000,1763000000,1782000000,1430000000,1974000000,2403000000,2990000000,3199000000,3851000000,4096000000,3460000000,3193000000,4085000000,4283000000,4444000000,4659000000,4956000000,4833000000,5050000000,4858000000,5349000000,4570000000,5384000000,5921000000
74,Depreciation and Amortization,- -,- -,- -,- -,700000000,781000000,969000000,1087000000,1076000000,1101000000,859000000,883000000,870000000,866000000,900000000,1025000000,1089000000,954000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1288000000,1371000000,1408000000,1435000000,1474000000,1544000000,1488000000,1593000000,1911000000,1915000000
75,Deferred Income Tax,- -,- -,- -,- -,-60000000,-69000000,-117000000,-111000000,-86000000,- -,- -,- -,- -,- -,- -,89000000,1000000,579000000,- -,- -,- -,-316000000,11000000,118000000,701000000,-170000000,177000000,33000000,-167000000,-146000000,395000000,7000000,107000000,-57000000,-273000000,-165000000,-166000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000,228000000,202000000,217000000,274000000,253000000,223000000,240000000,280000000,276000000,298000000,324000000,302000000,278000000,262000000,274000000
77,Change in Working Capital,- -,- -,- -,- -,-241000000,- -,3081000000,- -,- -,242000000,-652000000,26000000,-512000000,-253000000,315000000,-622000000,162000000,-185000000,1036000000,11000000,-772000000,-254000000,2853000000,-717000000,2139000000,228000000,673000000,631000000,-2195000000,532000000,-1899000000,1639000000,1083000000,-125000000,-2716000000,3285000000,-751000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000000,56000000,-184000000,-103000000,-35000000,197000000,55000000,-189000000,-205000000,-133000000,-337000000,-268000000,-58000000,-313000000,-245000000,-305000000,345000000,165000000,-122000000
79,Inventory,- -,- -,- -,- -,-222000000,-87000000,-21000000,-78000000,-161000000,-302000000,-51000000,-75000000,-295000000,195000000,96000000,-261000000,194000000,279000000,281000000,7000000,-294000000,-309000000,-54000000,-127000000,453000000,-404000000,-196000000,-251000000,-86000000,-113000000,3000000,57000000,-387000000,-509000000,370000000,-91000000,-903000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,113000000,68000000,-4000000,-224000000,109000000,146000000,-83000000,72000000,16000000,75000000,9000000,148000000,24000000,408000000,-117000000,252000000,518000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,3081000000,3081000000,3081000000,3323000000,2671000000,2697000000,2185000000,1932000000,2247000000,1625000000,1787000000,1602000000,2638000000,2649000000,1877000000,1623000000,4476000000,3759000000,5898000000,6126000000,6799000000,7430000000,5235000000,5767000000,3868000000,5507000000,6590000000,6465000000,3749000000,7034000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,67000000,145000000,-3178000000,65300000,-162000000,-736000000,1077000000,-224000000,-773000000,586000000,60000000,52000000,396000000,-330000000,334000000,1281000000,1831000000,358000000,-2913000000,1470000000,-1309000000,757000000,-102000000,-1319000000,1909000000,-404000000,1380000000,-1806000000,-1676000000,-518000000,3618000000,-2564000000,261000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1710000000,2165000000,1909000000,2277000000,2091000000,1929000000,2260000000,2211000000,1706000000,2374000000,3038000000,2326000000,3078000000,2992000000,3773000000,4282000000,4258000000,3839000000,4275000000,4533000000,4941000000,5174000000,5284000000,5300000000,5817000000,6626000000,6420000000,6662000000,6240000000,6439000000,7070000000,8113000000,7454000000
84,CAPEX,- -,- -,- -,- -,-1187000000,-1337000000,-1326000000,-1318000000,-1112000000,-1148000000,-1088000000,-1109000000,-1406000000,-1430000000,-1039000000,-1115000000,-980000000,-763000000,-677000000,-937000000,-943000000,-1168000000,886000000,-1471000000,-903000000,-1091000000,-1379000000,-1484000000,-1665000000,-1493000000,-1461000000,-1420000000,-1373000000,-1577000000,-1699000000,-1501000000,-1603000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93000000,-49000000,-263000000,-40000000,-265000000,-374000000,-472000000,-218000000,-1258000000,-439000000,-73000000,-1293000000,321000000,358000000,-1306000000,-64000000,-1830000000,-649000000,-1046000000,8000000,-94000000,-2791000000,126000000,-958000000,859000000,-4748000000,551000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67000000,-12000000,-12000000,-7000000,-16000000,-10000000,-1627000000,-3253000000,-8194000000,-2211000000,-2240000000,-3287000000,-4162000000,-5492000000,-4040000000,-1280000000,-652000000,-1410000000,-2152000000,-1828000000,-1635000000,-1579000000,-2202000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,11000000,88000000,- -,- -,- -,- -,- -,- -,- -,9000000,121000000,47000000,18000000,34000000,13000000,1581000000,2591000000,6902000000,2502000000,1401000000,3560000000,3417000000,5281000000,4667000000,2034000000,1952000000,1247000000,1354000000,2497000000,1443000000,1811000000,2406000000
88,Other Investing Activites,- -,- -,- -,- -,169000000,-97000000,41000000,82000000,20000000,70000000,-71000000,111000000,1089000000,123000000,357000000,105000000,113000000,83000000,129000000,69000000,41000000,49000000,-1319000000,87000000,74000000,-41000000,55000000,55000000,174000000,237000000,135000000,54000000,43000000,271000000,195000000,138000000,82000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1018000000,-1423000000,-1197000000,-1236000000,-1092000000,-1171000000,-1208000000,-1261000000,-357000000,-1572000000,-1114000000,-1373000000,-1050000000,-1927000000,-969000000,-938000000,-2241000000,-1460000000,-1367000000,-2399000000,-1732000000,-2689000000,-2718000000,-2686000000,-856000000,-596000000,-2817000000,-1403000000,-3086000000,222000000,-6444000000,-580000000,-1317000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-719000000,-868000000,-656000000,-440000000,-1580000000,-1080000000,-519000000,-556000000,-1429000000,-612000000,-859000000,-1625000000,-800000000,-992000000,-962000000,-1034000000,-2716000000,-3482000000,-1144000000
91,Common Stock Issued,- -,- -,- -,- -,692000000,139000000,139000000,177000000,181000000,138000000,214000000,268000000,355000000,292000000,390000000,425000000,462000000,522000000,555000000,508000000,545000000,523000000,796000000,289000000,431000000,666000000,902000000,1012000000,1609000000,968000000,635000000,804000000,734000000,485000000,547000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-852000000,-420000000,-240000000,-247000000,-706000000,-689000000,-351000000,-532000000,-1693000000,-618000000,-825000000,-814000000,-1322000000,-942000000,-685000000,-1791000000,-2377000000,-2351000000,-3239000000,-1631000000,-17000000,-854000000,-2701000000,-2204000000,-5212000000,-5652000000,-5238000000,-3753000000,-2068000000,-4870000000,-1407000000,-368000000,-2199000000
93,Dividends Paid,- -,- -,- -,- -,-578000000,-647000000,-685000000,-701000000,-721000000,-744000000,-790000000,-803000000,-876000000,-887000000,-901000000,-918000000,-948000000,-968000000,-1034000000,-1125000000,-1286000000,-1376000000,-1380000000,-1398000000,-1431000000,-1500000000,-1555000000,-1635000000,-1730000000,-2216000000,-2561000000,-2678000000,-2803000000,-3193000000,-3316000000,-3388000000,-3420000000
94,Other Financing Activites,- -,- -,- -,- -,26000000,150000000,100000000,-131000000,118000000,555000000,26000000,161000000,455000000,475000000,-392000000,176000000,92000000,367000000,256000000,742000000,95000000,1583000000,2856000000,2054000000,-478000000,123000000,1108000000,1381000000,946000000,1922000000,4316000000,1993000000,2444000000,1911000000,5768000000,1938000000,618000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-712000000,-778000000,-686000000,-902000000,-1128000000,-740000000,-901000000,-906000000,-1759000000,-738000000,-1728000000,-1131000000,-1716000000,-1021000000,-1627000000,-2534000000,-3679000000,-2061000000,-2547000000,-1766000000,-2014000000,-2121000000,-3675000000,-2058000000,-5246000000,-6603000000,-3648000000,-4626000000,-2655000000,-6701000000,-1124000000,-5300000000,-6145000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-61000000,-83000000,-62000000,-15000000,21000000,5000000,37000000,54000000,57000000,-83000000,-20000000,93000000,2000000,-42000000,41000000,111000000,-23000000,57000000,88000000,-415000000,-4000000,-27000000,-49000000,108000000,-17000000,-111000000,-54000000,-33000000,156000000,-160000000,-2000000,48000000,-62000000
97,Net Change In Cash,- -,- -,- -,- -,-712000000,-778000000,-686000000,-902000000,- -,23000000,188000000,98000000,-353000000,-19000000,176000000,-85000000,314000000,2000000,1218000000,921000000,-1685000000,375000000,449000000,-47000000,1191000000,337000000,-1158000000,664000000,-302000000,-684000000,-99000000,600000000,655000000,-200000000,-500000000,2281000000,-70000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,297000000,485000000,583000000,230000000,211000000,387000000,302000000,616000000,618000000,1836000000,2757000000,1072000000,1447000000,1896000000,1849000000,3040000000,3377000000,2219000000,2883000000,2581000000,1897000000,1798000000,2398000000,3053000000,2853000000,2353000000,4634000000,4564000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,529000000,413000000,294000000,258000000,382000000,274000000,297000000,485000000,583000000,230000000,211000000,387000000,302000000,616000000,618000000,1836000000,2757000000,1072000000,1447000000,1896000000,1849000000,3040000000,3377000000,2219000000,2883000000,2581000000,1897000000,1798000000,2398000000,3053000000,2853000000,2353000000,4634000000
100,Free Cash Flow,- -,- -,- -,- -,523000000,828000000,583000000,959000000,979000000,781000000,1172000000,1102000000,300000000,944000000,1999000000,1211000000,2098000000,2229000000,3096000000,3345000000,3315000000,2671000000,2853000000,3062000000,4038000000,4083000000,3905000000,3816000000,4152000000,5133000000,4959000000,5242000000,4867000000,4862000000,5371000000,6612000000,5851000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66740/000006674094000007/0000066740-94-000007-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/66740/000006674097000003/0000066740-97-000003-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66740/000110465905008057/0001104659-05-008057-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465906010894/0001104659-06-010894-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465907013613/0001104659-07-013613-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465908011226/0001104659-08-011226-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465909009669/0001104659-09-009669-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465910007295/0001104659-10-007295-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465911007845/0001104659-11-007845-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465912010566/0001104659-12-010566-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465913010881/0001104659-13-010881-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465914009773/0001104659-14-009773-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000110465915009560/0001104659-15-009560-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837016003162/0001558370-16-003162-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837017000479/0001558370-17-000479-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837018000535/0001558370-18-000535-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837019000470/0001558370-19-000470-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/0001558370-20-000581-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000155837021000737/0001558370-21-000737-index.htm,https://www.sec.gov/Archives/edgar/data/66740/000006674022000010/0000066740-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
