,https://roic.ai/company/CMTL,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-108000,-126000,-539000,- -,- -,-149963000,- -,-233207000,-63659000,-30562000,-170630000,-16305000,-38000
91,Common Stock Issued,- -,- -,- -,- -,5700000,1000000,- -,- -,100000,100000,200000,42856000,766000,454000,40332000,1896000,7680000,2537000,10293000,7600000,- -,- -,- -,1088000,- -,- -,- -,95029000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,-718000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119617000,-219375000,-26954000,-70729000,-4989000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20135000,-22625000,-18879000,-18677000,-19426000,-19406000,-18872000,-9538000,-9789000,-10020000,-10334000
94,Other Financing Activites,1600000,-500000,-1900000,-200000,-300000,-300000,-600000,-600000,-600000,-900000,-800000,40000000,7900000,-20314000,-29747000,100279000,-271000,3831000,7836000,2239000,205903000,3227000,4179000,2922000,2233000,7576000,2504000,344668000,-935000,38000,159148000,-3953000,49476000
95,Cash Used/Provided by Financing Activities,1600000,-500000,-1900000,-200000,5400000,700000,-600000,-600000,-500000,-800000,-600000,82056000,7948000,-19860000,10585000,102175000,7409000,6368000,18129000,9839000,205795000,3101000,-136112000,-237990000,-43600000,-231793000,-21911000,187084000,-83466000,-40062000,-21271000,-30278000,39104000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,6691000,23618000,-20695000,33107000,114675000,51121000,37174000,91316000,67164000,75383000,122144000,-48790000,-190910000,-11252000,-202142000,-3547000,-84148000,-24961000,1640000,2092000,2302000,-17017000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,12587000,36205000,15510000,48617000,163292000,214413000,251587000,342903000,410067000,485450000,607594000,558804000,367894000,356642000,154500000,150953000,66805000,41844000,43484000,45576000,47878000,30861000
99,Cash at the Beginning of Period,2700000,1500000,4400000,400000,400000,8300000,500000,2000000,1800000,1300000,2700000,5896000,12587000,36205000,15510000,48617000,163292000,214413000,251587000,342903000,410067000,485450000,607594000,558804000,367894000,356642000,154500000,150953000,66805000,41844000,43484000,45576000,47878000
100,Free Cash Flow,-3300000,3500000,-2100000,1300000,2600000,-3100000,-3000000,200000,-100000,2300000,3700000,6788000,2024000,6311000,22411000,17687000,46522000,31806000,77124000,63519000,74948000,117005000,90172000,47080000,32348000,29651000,18364000,9303000,58505000,41702000,59246000,45539000,-56675000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23197/000095013096004122/0000950130-96-004122-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23197/000116923202002122/0001169232-02-002122-index.html,- -,https://www.sec.gov/Archives/edgar/data/23197/000095011704003364/0000950117-04-003364-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000116923205004655/0001169232-05-004655-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000116923206003817/0001169232-06-003817-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000116923207003695/0001169232-07-003695-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319708000029/0000023197-08-000029-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319709000063/0000023197-09-000063-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319710000054/0000023197-10-000054-index.htm,- -,https://www.sec.gov/Archives/edgar/data/23197/000002319712000020/0000023197-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319713000023/0000023197-13-000023-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319714000024/0000023197-14-000024-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319715000039/0000023197-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319716000074/0000023197-16-000074-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319717000069/0000023197-17-000069-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319718000076/0000023197-18-000076-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319719000075/0000023197-19-000075-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319720000127/0000023197-20-000127-index.htm,https://www.sec.gov/Archives/edgar/data/23197/000002319721000082/0000023197-21-000082-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
