,https://roic.ai/company/FSTR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,41600000,29700000,- -,35000000,32900000,50000000,50600000,48100000,49800000,52500000,57800000,63600000,60000000,54900000,67737000,71477000,62011000,46694000,46844000,46831000,56095000,91462000,200645000,202264000,210332000,142463000,155261000,184423000,171885000,138908000,122828000,117273000,127581000,102481000,99920000,100017000,6285000
82,Other Non-Cash Items,-3500000,44600000,- -,-15200000,-900000,-21900000,11600000,2200000,-1800000,-12600000,-6900000,-8300000,-2800000,16200000,-16399000,-11633000,25275000,42394000,-34000,-8148000,-24891000,-66451000,-232520000,-11185000,-6753000,94511000,-22825000,-29283000,-17999000,61390000,103134000,137407000,5397000,61401000,-1986000,-1159000,-3105000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,14900000,2900000,3900000,-5700000,5400000,6800000,900000,19200000,3301000,541000,22099000,18214000,8935000,-481000,-3605000,-13655000,-5124000,24097000,25740000,59482000,30670000,26466000,14155000,66739000,56172000,18405000,39372000,25964000,29297000,16918000,-1063000
84,CAPEX,- -,- -,- -,- -,- -,- -,-4400000,-3600000,-1600000,-2800000,-4100000,-2300000,-10300000,-6600000,-5001000,-4085000,-4818000,-4724000,-2593000,-2617000,-15309000,-17010000,-5263000,-4836000,-6107000,-6160000,-11939000,-7160000,-9674000,-17056000,-14913000,-7664000,-6149000,-5251000,-8831000,-9179000,-4620000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17514000,- -,- -,-2214000,- -,- -,- -,- -,- -,- -,- -,-90807000,-8952000,- -,-37500000,-80879000,-196001000,- -,- -,3875000,- -,-1156000,-295000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1734000,- -,-800000,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148775000,2022000,2115000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,900000,300000,-2400000,2100000,3900000,2200000,1600000,8600000,-1590000,2428000,-581000,-17000,56000,981000,4541000,5463000,18000,6621000,-7506000,4019000,-11898000,3412000,-9674000,-16872000,-9574000,-7930000,-4687000,-1627000,-7680000,-6885000,18117000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-3500000,-2600000,-4000000,-700000,-200000,-100000,-8700000,2000000,-24105000,-1657000,-5399000,-6955000,-2537000,-1636000,-10768000,-11547000,143530000,2073000,-5391000,-87588000,-21650000,3412000,-47174000,-97751000,-205575000,-7930000,-4687000,2248000,-7680000,-8041000,17822000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8908000,-23383000,-2366000,-2373000,-6000,-125000,-161068000,-155427000,-182718000,-195254000,-210323000,-172892000,-183372000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,600000,400000,330000,185000,85000,207000,951000,1763000,738000,1937000,2195000,854000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,-1800000,-1702000,-901000,-75000,- -,- -,- -,- -,- -,- -,-26482000,-1863000,-17000,-6480000,- -,-708000,-985000,-2701000,-342000,-103000,-316000,-621000,-1665000,-732000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1022000,-1029000,-1240000,-1345000,-1656000,-1244000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-9200000,-1500000,-1100000,6300000,-5100000,-7100000,7700000,-20100000,22844000,293000,-12445000,-12054000,-6868000,-3500000,14951000,22978000,-20813000,-6565000,193000,1412000,632000,321000,238000,24510000,299714000,144494000,153118000,140270000,192698000,159261000,170200000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-9200000,-1500000,-1100000,6300000,-5100000,-6900000,7800000,-21500000,21472000,-423000,-12435000,-11847000,-5917000,-1737000,15689000,24915000,-18618000,-32193000,-10578000,-21988000,-9236000,-3081000,-1716000,22055000,134289000,-12519000,-29703000,-55300000,-18246000,-15296000,-13904000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,-19000,-43000,19000,- -,- -,- -,- -,- -,- -,- -,49000,-857000,940000,-2106000,-3642000,-3598000,-905000,2333000,-308000,525000,-195000,-47000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-9200000,-1500000,-1100000,6300000,-5100000,-6900000,7800000,-21500000,684000,-423000,-12435000,-569000,481000,-3854000,1316000,-287000,119788000,-6023000,9771000,-50045000,-1073000,27737000,-36841000,-12599000,-18712000,-2949000,7315000,-27396000,3896000,-6614000,2808000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1558000,- -,4222000,3653000,4134000,280000,1596000,1309000,121097000,115074000,124845000,74800000,73727000,101464000,64623000,52024000,33312000,30363000,37678000,10282000,14178000,7564000,10372000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,1400000,3600000,2300000,1200000,1200000,1300000,1200000,1200000,874000,1558000,- -,4222000,3653000,4134000,280000,1596000,1309000,121097000,115074000,124845000,74800000,73727000,101464000,64623000,52024000,33312000,30363000,37678000,10282000,14178000,7564000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,10500000,-700000,2300000,-8500000,1300000,4500000,-9400000,12600000,-1700000,-3544000,17281000,13490000,6342000,-3098000,-18914000,-30665000,-10387000,19261000,19633000,53322000,18731000,19306000,4481000,49683000,41259000,10741000,33223000,20713000,20466000,7739000,-5683000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/352825/000035282596000002/0000352825-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282597000006/0000352825-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282598000006/0000352825-98-000006-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/352825/000035282501000003/0000352825-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282502000003/0000352825-02-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/352825/000095015205002205/j1230501e10vk.htm,https://www.sec.gov/Archives/edgar/data/352825/000095015206002143/j1822401e10vk.htm,https://www.sec.gov/Archives/edgar/data/352825/000095015207002170/l24097ae10vk.htm,https://www.sec.gov/Archives/edgar/data/352825/000095015208001842/l29863ae10vk.htm,https://www.sec.gov/Archives/edgar/data/352825/000095015209002603/0000950152-09-002603-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282510000010/0000352825-10-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/352825/000119312514073053/d680882d10k.htm,https://www.sec.gov/Archives/edgar/data/352825/000119312515074375/d860671d10k.htm,https://www.sec.gov/Archives/edgar/data/352825/000119312516487797/0001193125-16-487797-index.html,https://www.sec.gov/Archives/edgar/data/352825/000119312517074622/0001193125-17-074622-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282518000004/0000352825-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282519000012/0000352825-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282520000008/0000352825-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/352825/000035282521000014/0000352825-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/352825/000035282522000008/0000352825-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
