,https://roic.ai/company/ASUR,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,3500000,5500000,30400000,7300000,600000,59100000,- -,9300000,1476000,900000,2240000,175000,1288000,502000,699000,441000,244000,88000,23000,2000,- -,- -,- -,3433000,- -,- -,15192000,28002000,39449000,820000,21392000,678000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,480000,-3700000,- -,-2300000,- -,-108000,-2741000,-1374000,-495000,-89000,- -,- -,- -,- -,-110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-100000,-100000,-100000,- -,- -,- -,- -,-10700000,- -,9400000,-13228000,-8064000,566000,-289000,-186000,-4000,-106000,-543000,-15000,- -,- -,7289000,13618000,3705000,17308000,5812000,24537000,54643000,74119000,45020000,193434000,-91328000
95,Cash Used/Provided by Financing Activities,- -,3400000,5400000,30300000,7300000,600000,59100000,480000,-5100000,1476000,8000000,-10988000,-7997000,-887000,-1161000,18000,348000,138000,-455000,8000,-38000,-158000,7231000,9252000,170000,-2147000,-1143000,32299000,73541000,101788000,-82995000,202592000,-90650000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-100000,200000,- -,210000,-100000,-154000,-100000,-115000,19000,-671000,-414000,-5000,5000,- -,-15000,-37000,-12000,45000,-91000,27000,1000,23000,14000,97000,12000,221000,-115000,- -,- -
97,Net Change In Cash,- -,3400000,5400000,30300000,7300000,600000,-1300000,-940000,-5100000,10434000,-7400000,-937000,8980000,1389000,3964000,-2150000,-3190000,345000,17318000,-21462000,-7687000,-1193000,-3000,1110000,1761000,-3618000,838000,11609000,15025000,-12348000,13382000,-249000,170166000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,2900000,1960000,- -,15191000,7800000,6868000,15848000,17237000,21201000,19051000,15861000,16206000,33524000,12062000,4375000,1070000,1067000,2177000,3938000,320000,1158000,12767000,27792000,15444000,28826000,28577000,198743000
99,Cash at the Beginning of Period,- -,1800000,1800000,3100000,1900000,3800000,4200000,2900000,2000000,4757000,15200000,7805000,6868000,15848000,17237000,21201000,19051000,15861000,16206000,33524000,12062000,2263000,1070000,1067000,2177000,3938000,320000,1158000,12767000,27792000,15444000,28826000,28577000
100,Free Cash Flow,- -,-3300000,-4100000,-8000000,-11000000,-3000000,-8000000,-14650000,-34000000,2933000,-19500000,39376000,-7699000,9494000,2187000,-234000,-8031000,-1307000,19393000,-13624000,-4932000,-1080000,3232000,1554000,1580000,1899000,1949000,-2448000,-3094000,-12923000,-5291000,-5344000,-2896000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884144/000089907800000631/0000899078-00-000631-index.html,https://www.sec.gov/Archives/edgar/data/884144/000095013401507724/0000950134-01-507724-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/884144/000095013404016022/0000950134-04-016022-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000119312505212156/0001193125-05-212156-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000110465906069652/0001104659-06-069652-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000110465907077747/0001104659-07-077747-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000110465908068296/0001104659-08-068296-index.htm,- -,https://www.sec.gov/Archives/edgar/data/884144/000118518511000393/0001185185-11-000393-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518512000624/0001185185-12-000624-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518513000740/0001185185-13-000740-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518514000654/0001185185-14-000654-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518515000633/0001185185-15-000633-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518516004066/0001185185-16-004066-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518517000607/0001185185-17-000607-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518518000448/0001185185-18-000448-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000118518519000390/0001185185-19-000390-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000088414420000022/0000884144-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000162828021004536/0001628280-21-004536-index.htm,https://www.sec.gov/Archives/edgar/data/884144/000088414422000004/0000884144-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
