,https://roic.ai/company/GPS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
75,Deferred Income Tax,- -,- -,- -,- -,-4100000,-5600000,-7000000,-10500000,-22400000,-24400000,-2400000,-28900000,-13700000,-34800000,2400000,-38872000,-28512000,6090000,103000000,-80000000,-46000000,-41000000,-51000000,10000000,-50000000,93000000,-1000000,-4000000,119000000,112000000,127000000,-58000000,61000000,65000000,-81000000,-137000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,77000000,58000000,113000000,116000000,100000000,76000000,76000000,87000000,91000000,68000000,77000000,- -
77,Change in Working Capital,- -,- -,- -,- -,-25600000,- -,- -,- -,556000000,- -,172000000,-174000000,285400000,-520400000,126000000,-596000000,1139000000,2025000000,1184000000,-135000000,-765000000,-540000000,-1104000000,194000000,686000000,-702000000,350000000,-393000000,197000000,98000000,-633000000,412000000,245000000,-30000000,-770000000,817000000,-1036000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-50200000,-4000000,-66600000,-51800000,33900000,-39900000,-113000000,-93800000,-156100000,-322300000,-404200000,-454595000,213067000,-258222000,385000000,-90000000,114000000,-97000000,252000000,51000000,43000000,-127000000,4000000,-143000000,-193000000,-9000000,-6000000,46000000,-142000000,-154000000,4000000,-305000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,-7000000,11000000,91000000,105000000,-41000000,-47000000,146000000,-90000000,-78000000,66000000,564000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,556000000,556000000,728000000,554000000,839400000,319000000,445000000,-151000000,988000000,3013000000,4197000000,4062000000,3297000000,2757000000,1653000000,1847000000,2533000000,1831000000,2181000000,1788000000,1985000000,2083000000,1450000000,1862000000,2107000000,2077000000,1307000000,2124000000,1088000000
82,Other Non-Cash Items,- -,- -,- -,- -,6400000,56500000,28700000,-7200000,-382500000,40700000,-231900000,370000000,-230600000,798000000,-213700000,458712000,-595135000,-2050610000,-810000000,65000000,624000000,523000000,1856000000,-327000000,-529000000,424000000,-469000000,526000000,-543000000,-7000000,512000000,20000000,-420000000,-326000000,1286000000,-362000000,780000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,118100000,256900000,333700000,307000000,551300000,504500000,489100000,835000000,844700000,1394200000,1477900000,1291205000,1317839000,1238356000,2171000000,1620000000,1551000000,1250000000,2081000000,1412000000,1928000000,1744000000,1363000000,1936000000,1705000000,2129000000,1594000000,1719000000,1380000000,1381000000,1411000000,237000000,- -
84,CAPEX,- -,- -,- -,- -,-88400000,-193700000,-236500000,-205500000,-212300000,-232800000,-302300000,-371800000,-485600000,-797600000,-1238700000,-1858662000,-940078000,-303284000,-272000000,-442000000,-600000000,-572000000,-682000000,-431000000,-334000000,-557000000,-548000000,-659000000,-670000000,-714000000,-726000000,-524000000,-731000000,-705000000,-1045000000,-392000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10549000,3416000,5000000,- -,- -,- -,- -,-142000000,- -,- -,- -,-129000000,- -,- -,- -,- -,- -,- -,-69000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-83500000,-90000000,- -,-11800000,-2900000,- -,- -,- -,- -,- -,-1202000000,-1813000000,-1868000000,-1460000000,-894000000,-75000000,-350000000,-475000000,-50000000,-200000000,- -,- -,- -,- -,- -,-464000000,-293000000,-508000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116100000,- -,174700000,- -,- -,- -,- -,- -,442000000,2072000000,1745000000,1841000000,1287000000,251000000,125000000,600000000,150000000,150000000,50000000,- -,- -,- -,- -,177000000,293000000,388000000,- -
88,Other Investing Activites,- -,- -,- -,- -,4800000,-4500000,-9200000,-10000000,-3700000,-37100000,-36900000,-52300000,-100000,-28800000,-39900000,-16252000,- -,8513000,1000000,343000000,1009000000,41000000,15000000,-1000000,22000000,3000000,-6000000,-6000000,-4000000,118000000,-4000000,-5000000,63000000,-9000000,220000000,2000000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-83600000,-198200000,-245700000,-215500000,-299500000,-359900000,-223100000,-435900000,-313900000,-826400000,-1278600000,-1874914000,-950627000,-291355000,-1026000000,160000000,286000000,-150000000,-274000000,-398000000,-537000000,-429000000,-454000000,-844000000,-624000000,-596000000,-730000000,-529000000,-668000000,-1001000000,-894000000,-510000000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000000,-3000000,- -,-419000000,- -,-21000000,-21000000,-421000000,-67000000,- -,- -,-1807000000,- -
91,Common Stock Issued,- -,- -,- -,- -,4300000,10200000,20000000,8700000,10800000,12800000,17100000,37100000,30700000,49400000,76200000,152105000,139105000,153272000,111000000,130000000,110000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-21700000,-10100000,-1000000,- -,- -,-58300000,-71300000,-466700000,-593100000,-892100000,-707100000,-392558000,-785000,- -,- -,-976000000,-1971000000,-1050000000,-1700000000,-705000000,-547000000,-1959000000,-2092000000,-1030000000,-979000000,-1179000000,-1015000000,- -,-315000000,-398000000,-200000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-22900000,-29600000,-41100000,-44100000,-53000000,-64800000,-67000000,-83900000,-79500000,-76900000,-75800000,-75488000,-76373000,-78352000,-79000000,-79000000,-179000000,-265000000,-252000000,-243000000,-234000000,-252000000,-236000000,-240000000,-321000000,-383000000,-377000000,-367000000,-361000000,-373000000,-364000000,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-1900000,-2500000,62500000,-5000000,7600000,-79500000,20800000,18400000,540300000,1300000,396600000,871420000,209338000,1303558000,-1971000000,-871000000,- -,213000000,-194000000,-57000000,60000000,87000000,1726000000,208000000,296000000,76000000,423000000,11000000,12000000,22000000,4000000,2702000000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-42200000,-32000000,40400000,-40400000,-34600000,-189800000,-100400000,-495100000,-101600000,-918300000,-310100000,555479000,271285000,1378478000,-1939000000,-1796000000,-2040000000,-1102000000,-2146000000,-1005000000,-771000000,-2127000000,-602000000,-1481000000,-1004000000,-1507000000,-990000000,-777000000,-731000000,-749000000,-560000000,895000000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,200000,1200000,-2500000,-400000,-100000,-600000,-500000,2200000,-1600000,2600000,-4200000,-13328000,-11542000,27286000,28000000,- -,-7000000,-3000000,33000000,-18000000,13000000,25000000,17000000,-36000000,-27000000,-21000000,-19000000,- -,19000000,-10000000,4000000,13000000,- -
97,Net Change In Cash,- -,- -,- -,- -,-42200000,-32000000,40400000,-40400000,-34600000,-189800000,-100400000,-495100000,427600000,-347900000,-114900000,-41558000,626955000,2352765000,-766000000,-16000000,-210000000,-5000000,-306000000,-9000000,633000000,-787000000,324000000,-425000000,50000000,5000000,-145000000,413000000,- -,-379000000,-39000000,635000000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,913200000,565300000,450400000,408794000,1035749000,3388514000,2261000000,2245000000,2035000000,2030000000,1724000000,1715000000,2348000000,1561000000,1885000000,1460000000,1510000000,1515000000,1370000000,1783000000,1783000000,1420000000,1381000000,2016000000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,46400000,38800000,66700000,192600000,243300000,460300000,414500000,579600000,485600000,913200000,565300000,450352000,408794000,1035749000,3027000000,2261000000,2245000000,2035000000,2030000000,1724000000,1715000000,2348000000,1561000000,1885000000,1460000000,1510000000,1515000000,1370000000,1783000000,1799000000,1420000000,1381000000,2016000000
100,Free Cash Flow,- -,- -,- -,- -,29700000,63200000,97200000,101500000,339000000,271700000,186800000,463200000,359100000,596600000,239200000,-567457000,377761000,935072000,1899000000,1178000000,951000000,678000000,1399000000,981000000,1594000000,1187000000,815000000,1277000000,1035000000,1415000000,868000000,1195000000,649000000,676000000,366000000,-155000000,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39911/000003991195000015/0000039911-95-000015-index.html,- -,https://www.sec.gov/Archives/edgar/data/39911/000101287097000791/0001012870-97-000791-index.html,https://www.sec.gov/Archives/edgar/data/39911/000101287098000890/0001012870-98-000890-index.html,https://www.sec.gov/Archives/edgar/data/39911/000092962499000704/0000929624-99-000704-index.html,- -,https://www.sec.gov/Archives/edgar/data/39911/000092962401000565/0000929624-01-000565-index.html,https://www.sec.gov/Archives/edgar/data/39911/000102140802004717/0001021408-02-004717-index.html,https://www.sec.gov/Archives/edgar/data/39911/000102140803005462/d10k.htm,https://www.sec.gov/Archives/edgar/data/39911/000119312504053618/d10k.htm,https://www.sec.gov/Archives/edgar/data/39911/000119312505061097/d10k.htm,https://www.sec.gov/Archives/edgar/data/39911/000119312506064998/d10k.htm,https://www.sec.gov/Archives/edgar/data/39911/000119312507070941/0001193125-07-070941-index.html,https://www.sec.gov/Archives/edgar/data/39911/000119312508069025/d10k.htm,https://www.sec.gov/Archives/edgar/data/39911/000119312509066067/0001193125-09-066067-index.html,https://www.sec.gov/Archives/edgar/data/39911/000119312510068386/0001193125-10-068386-index.html,https://www.sec.gov/Archives/edgar/data/39911/000119312511079691/d10k.htm,https://www.sec.gov/Archives/edgar/data/39911/000119312512132098/0001193125-12-132098-index.html,https://www.sec.gov/Archives/edgar/data/39911/000003991113000057/0000039911-13-000057-index.html,https://www.sec.gov/Archives/edgar/data/39911/000003991114000045/fy201310-k.htm,https://www.sec.gov/Archives/edgar/data/39911/000003991115000101/fy201410-k.htm,https://www.sec.gov/Archives/edgar/data/39911/000003991116000269/0000039911-16-000269-index.html,https://www.sec.gov/Archives/edgar/data/39911/000003991117000058/0000039911-17-000058-index.html,https://www.sec.gov/Archives/edgar/data/39911/000003991118000048/0000039911-18-000048-index.html,https://www.sec.gov/Archives/edgar/data/39911/000003991119000023/0000039911-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/39911/000003991120000019/0000039911-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/39911/000003991121000021/0000039911-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/39911/000003991122000012/0000039911-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
