,https://roic.ai/company/ESP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,600000,500000,- -,-100000,500000,600000,-100000,500000,558662,15350,570912,558663,558662,- -,-4334470,10,-65002,9074000,7649563,-70140,3287138,42177,25194,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-200000,400000,400000,-11000000,7700000,3200000,-7000000,3500000,2691701,37263,576916,523370,-910855,-2441362,-5667338,-948993,-3598961,731666,-1170683,4515760,-1463276,-990225,-1705547,481270,-1699359,-4202411,-4020102,5234540,326010,2006910
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67575,13250,142786,45500,4611678,287570,572819,- -,326752,436335,58975,66102,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-200000,-1400000,- -,-100000,-3700000,-100000,- -,-600000,-403472,-70891,- -,-311468,-272329,-215366,-679808,-298064,-769443,-311545,-452155,-575246,-143731,-150020,- -,-320504,-355418,-44335,-109694,-44888,-47949,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-800000,- -,-800000,-800000,-900000,-800000,-800000,-200000,-208729,-206309,-309176,-358099,-1519913,-606286,-685646,-1142340,-4679491,-5044268,-4047656,-4080492,-4116532,-4356066,-4481066,-1698306,-2846690,-2307445,-2329593,-4736962,-2388211,-1201316
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49697,83471,162777,138718,10939,105851,509783,467333,168312,314104,159987,439115,315681,81000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-1100000,-1400000,-800000,-900000,-4600000,-900000,-800000,-800000,-612201,-277200,-241601,-656317,-1649456,-776152,3246224,-1103137,-4792644,-5193036,-4034341,-4208464,-4095437,-3930201,-4013733,-1850498,-2888004,-2191793,-2000172,-4466169,-2355160,-1201316
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-1100000,-1400000,-800000,-900000,-4600000,-900000,-800000,-200000,2856,2833544,3992226,1803521,1314489,-2507465,-2730892,4023496,-4244358,-4076434,1699747,5220745,1827613,-1634796,-331737,-697486,1172239,26519,-5759367,-2836035,3939361,1400590
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,2367191,5200735,9192962,10996483,12310972,9803507,7072615,11096111,6851753,2775319,4475066,9695811,11523424,9888628,9556891,8859405,10031644,10058163,4298796,1462761,5402122,6802712
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,11800000,11500000,12300000,13500000,1700000,5600000,12100000,2600000,2364335,2367191,5200736,9192962,10996483,12310972,9803507,7072615,11096111,6851753,2775319,4475066,9695811,11523424,9888628,9556891,8859405,10031644,10058163,4298796,1462761,5402122
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,200000,1400000,1400000,-1000000,500000,3800000,-2100000,-3400000,-2858766,2536732,3263046,1497987,3461283,284687,-778646,5510623,3629288,104146,6468269,4306138,7118343,2963123,4677571,405713,5475392,6068591,-1662313,-4212724,5754090,551442
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33533/000003353395000006/0000033533-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/33533/000003353396000006/0000033533-96-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/33533/000003353398000017/0000033533-98-000017-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431799000560/0000914317-99-000560-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431700000664/0000914317-00-000664-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431701500369/0000914317-01-500369-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431702001025/0000914317-02-001025-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33533/000091431709001828/0000914317-09-001828-index.html,https://www.sec.gov/Archives/edgar/data/33533/000091431710001478/0000914317-10-001478-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000091431711001254/0000914317-11-001254-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000091431712001329/0000914317-12-001329-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000091431713001186/0000914317-13-001186-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000091431714001216/0000914317-14-001216-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494715001463/0001174947-15-001463-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494716003138/0001174947-16-003138-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494717001285/0001174947-17-001285-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494718001151/0001174947-18-001151-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494719001066/0001174947-19-001066-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494720000957/0001174947-20-000957-index.htm,https://www.sec.gov/Archives/edgar/data/33533/000117494721000861/0001174947-21-000861-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
