,https://roic.ai/company/SFE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,39300000,95100000,116200000,122700000,128300000,127800000,130900000,147800000,138600000,167100000,244600000,282000000,317200000,479700000,1044400000,1075332000,413695000,376541000,317675000,221842000,195946000,228395000,223480000,112255000,168210000,99108000,152700000,188306000,166866000,179610000,187966000,199277000,142856000,96910000,81227000,52972000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54028000
47,Total Assets,69900000,128400000,208000000,264400000,288300000,300000000,388200000,425500000,542800000,617200000,742900000,936100000,714500000,1068700000,1499900000,1648259000,1192263000,868666000,836331000,453812000,416200000,443381000,391862000,232402000,282099000,337050000,406636000,374144000,345996000,318454000,257634000,231828000,176464000,145737000,107577000,69035000,54028000
48,Accounts Payable,- -,- -,- -,- -,- -,52200000,101700000,111400000,168800000,168400000,192900000,222000000,74000000,161700000,183800000,123130000,125121000,121793000,108843000,6370000,11380000,11111000,7654000,3337000,156000,493000,243000,610000,245000,226000,290000,140000,155000,165000,39000,56000,- -
49,Short-Term Debt,5000000,6500000,1800000,2800000,3400000,9700000,23200000,25000000,16500000,17100000,12500000,8600000,3400000,2400000,11000000,5250000,7761000,11517000,11530000,15456000,22903000,28952000,43764000,14367000,- -,31289000,- -,- -,470000,- -,- -,- -,40485000,27160000,- -,327000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14529000,7267000,8062000,4250000,6100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,8900000,12600000,30100000,54000000,65500000,17000000,26100000,33000000,53400000,63800000,66200000,77900000,91900000,172900000,126900000,130722000,296242000,116669000,105557000,33389000,32097000,33779000,32392000,14043000,7750000,8391000,8273000,6651000,7459000,6331000,6127000,5721000,5172000,5615000,2390000,3087000,- -
53,Total Current Liabilities,13900000,19100000,31900000,56800000,68900000,78900000,151000000,169400000,238700000,249300000,271600000,308500000,169300000,337000000,321700000,259102000,429124000,249979000,240459000,62482000,74442000,78092000,89910000,31747000,7906000,40173000,8516000,7261000,8174000,6557000,6417000,5861000,45812000,32940000,2429000,3470000,- -
54,Long-Term Debt,12000000,70100000,59200000,75900000,89100000,121800000,126400000,134800000,186100000,201400000,204400000,354800000,218100000,276400000,214500000,13493000,220138000,201998000,202537000,161210000,150170000,134067000,133746000,86345000,78225000,44630000,45694000,48991000,49478000,50563000,51747000,52560000,45321000,43014000,- -,2053000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1600000,5600000,12800000,10600000,5400000,3000000,- -,- -,2100000,7300000,28400000,18300000,20000000,12600000,110600000,- -,- -,- -,1853000,880000,895000,911000,1026000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,16800000,1200000,51400000,57500000,59000000,1600000,1400000,1100000,1300000,1100000,18600000,100000,-200000,-100000,175600000,364765000,11579000,14032000,13152000,11785000,15240000,12939000,9849000,9600000,5461000,5311000,4146000,3921000,3683000,3507000,3965000,3630000,3535000,2804000,3407000,637000,- -
58,Total Non-Current Liabilities,30400000,76900000,123400000,144000000,153500000,126400000,127800000,135900000,189500000,209800000,251400000,373200000,237900000,288900000,500700000,378258000,231717000,216030000,217542000,173875000,166305000,147917000,144621000,95945000,83686000,49941000,49840000,52912000,53161000,54070000,55712000,56190000,48856000,45818000,3407000,2690000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3462000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2779000,2380000,- -
61,Total Liabilities,44300000,96000000,155300000,200800000,222400000,205300000,278800000,305300000,428200000,459100000,523000000,681700000,407200000,625900000,822400000,637360000,660841000,466009000,458001000,236357000,240747000,226009000,234531000,127692000,91592000,90114000,58356000,60173000,61335000,60627000,62129000,62051000,94668000,78758000,5836000,6160000,3462000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10500000,11815000,11815000,11945000,11945000,11989000,11993000,12042000,12112000,12159000,2042000,2063000,2075000,2097000,2155000,2157000,2157000,2157000,2157000,2157000,2157000,2157000,- -
64,Retained Earnings,10000000,17100000,30000000,37200000,44500000,60000000,71600000,81400000,76000000,91800000,110000000,130000000,151500000,261600000,385100000,172716000,-326384000,-476867000,-510198000,-565018000,-597088000,-551058000,-616013000,-669526000,-601916000,-574802000,-464710000,-504072000,-539597000,-544746000,-604270000,-626904000,-715476000,-731105000,-697223000,-736639000,- -
65,Other Comprehensive Income/Loss,-14800000,-16200000,-20400000,-21900000,-18000000,-23600000,-30400000,-37800000,-33400000,-36000000,-37000000,-39500000,-28200000,-43500000,-48300000,-61938000,-85030000,-95633000,-108334000,-36309000,3000000,1000000,-26175000,-14400000,-1212000,13000000,-1316000,-1416000,-1508000,- -,- -,- -,- -,- -,- -,-25000,-25000
66,Other Total Stockholders Equity,30400000,31500000,43100000,48300000,39400000,45000000,51400000,57300000,46200000,72300000,81300000,78500000,83800000,124800000,227400000,781844000,818275000,832828000,842758000,795141000,747070000,749897000,784715000,776477000,791593000,806675000,812231000,817362000,823611000,800416000,797618000,794524000,795115000,795927000,796807000,797382000,- -
67,Total Stockholders Equity,25600000,32400000,52700000,63600000,65900000,81400000,92600000,100900000,88800000,128100000,154300000,169000000,207100000,342900000,574700000,904437000,418676000,272273000,236171000,205803000,164975000,211881000,154639000,104710000,190507000,246936000,348280000,313971000,284661000,257827000,195505000,169777000,81796000,66979000,101741000,62875000,50566000
68,Total Liabilities And Stockholders Equity,69900000,128400000,208000000,264400000,288300000,286700000,371400000,406200000,517000000,587200000,677300000,850700000,614300000,968800000,1397100000,1541797000,1079517000,738282000,694172000,442160000,405722000,437890000,389170000,232402000,282099000,337050000,406636000,374144000,345996000,318454000,257634000,231828000,176464000,145737000,107577000,69035000,54028000
69,Minority Interest,- -,- -,- -,- -,- -,13300000,16800000,19300000,25800000,30000000,65600000,85400000,100200000,99900000,102800000,106462000,112746000,130384000,142159000,11652000,10478000,5491000,2692000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,69900000,128400000,208000000,264400000,288300000,300000000,388200000,425500000,542800000,617200000,742900000,936100000,714500000,1068700000,1499900000,1648259000,1192263000,868666000,836331000,453812000,416200000,443381000,391862000,232402000,282099000,337050000,406636000,374144000,345996000,318454000,257634000,231828000,176464000,145737000,107577000,69035000,54028000
